ForceDecks Raw Data Export,2.0
Weight,"93,1"
Frequency,1000
Recording Date,2024-10-10T11:56:45
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T16:32:48
AthleteId,0dc6e84b-1fb2-42d4-8b64-8ecbbcb8ee99

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"438,940896","-26,31574","-33,299166","470,598546","-2,712128","14,565111",,"107,536225","89,30827","91,138346","150,958055","126,626907","119,282769","111,7046","112,984271"
"0,001","440,190896","-26,661284","-32,654278","472,598546","-2,074326","15,528656",,"108,286225","89,55827","90,888346","151,458055","127,126907","120,532769","112,4546","112,484271"
"0,002","439,190896","-26,721989","-33,464072","470,098546","-1,927944","15,267693",,"108,036225","88,80827","91,138346","151,208055","126,126907","120,032769","111,9546","111,984271"
"0,003","436,440896","-26,46648","-33,11987","469,848546","-2,007719","15,44768",,"107,536225","88,30827","90,888346","149,708055","126,126907","120,032769","111,7046","111,984271"
"0,004","438,690896","-26,077711","-33,134072","469,598546","-1,929997","15,62786",,"107,036225","89,80827","90,888346","150,958055","126,126907","120,032769","111,7046","111,734271"
"0,005","436,940896","-26,436194","-34,190816","470,848546","-2,003455","15,071874",,"107,036225","88,30827","91,138346","150,458055","126,126907","120,282769","111,9546","112,484271"
"0,006","437,940896","-26,375829","-32,268888","471,098546","-2,55217","14,892468",,"107,536225","89,55827","90,388346","150,458055","126,376907","120,032769","111,4546","113,234271"
"0,007","438,940896","-26,652915","-32,563304","471,348546","-2,315322","16,083788",,"108,036225","89,30827","90,638346","150,958055","127,376907","120,032769","111,9546","111,984271"
"0,008","437,940896","-26,037884","-33,006431","470,098546","-2,085358","15,611238",,"107,036225","89,55827","90,888346","150,458055","126,376907","120,032769","111,7046","111,984271"
"0,009","438,690896","-26,583762","-32,397791","471,348546","-2,629315","15,39852",,"108,036225","89,30827","90,638346","150,708055","126,876907","120,032769","111,4546","112,984271"
"0,01","438,440896","-26,68331","-30,758686","471,598546","-1,921812","15,904036",,"108,286225","90,05827","89,638346","150,458055","126,626907","120,782769","111,9546","112,234271"
"0,011","438,190896","-26,276343","-32,434758","470,598546","-2,397635","16,281011",,"107,536225","89,55827","90,638346","150,458055","127,126907","120,032769","111,4546","111,984271"
"0,012","439,940896","-26,592332","-33,223476","471,098546","-2,70925","16,263731",,"108,036225","89,30827","91,138346","151,458055","127,376907","120,032769","111,2046","112,484271"
"0,013","437,690896","-26,644498","-34,685702","471,348546","-1,844333","16,083788",,"107,036225","88,30827","91,138346","151,208055","126,376907","121,032769","111,7046","112,234271"
