ForceDecks Raw Data Export,2.0
Weight,"93,3"
Frequency,1000
Recording Date,2024-10-10T11:58:20
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T16:31:53
AthleteId,0dc6e84b-1fb2-42d4-8b64-8ecbbcb8ee99

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"436,940896","-26,436194","53,407988","482,848546","-16,819609","11,68704",,"137,536225","117,05827","62,388346","119,958055","136,126907","114,032769","99,9546","132,734271"
"0,001","435,940896","-26,327088","55,012352","480,348546","-17,061202","11,075437",,"137,536225","117,55827","61,638346","119,208055","135,626907","112,782769","99,7046","132,234271"
"0,002","437,190896","-26,674971","53,931553","482,848546","-16,513094","10,349146",,"137,286225","117,80827","61,388346","120,708055","135,376907","113,782769","100,7046","132,984271"
"0,003","437,190896","-27,013496","55,039765","482,848546","-16,20658","11,018093",,"138,286225","117,55827","61,138346","120,208055","135,376907","114,282769","100,7046","132,484271"
"0,004","437,440896","-27,08264","52,239364","481,598546","-17,093747","11,549703",,"137,536225","116,55827","62,138346","121,208055","136,126907","113,282769","99,7046","132,484271"
"0,005","437,190896","-27,013496","53,931553","481,348546","-16,410819","10,381397",,"138,036225","117,05827","61,638346","120,458055","134,626907","113,782769","100,2046","132,734271"
"0,006","436,690896","-26,3666","54,363131","479,848546","-17,07898","12,096671",,"137,286225","117,80827","61,638346","119,958055","135,876907","113,032769","99,2046","131,734271"
"0,007","436,440896","-27,144693","53,839213","479,848546","-16,924765","11,086978",,"138,286225","116,30827","61,888346","119,958055","135,376907","112,782769","99,7046","131,984271"
"0,008","435,190896","-27,477722","53,437203","479,848546","-16,616334","11,086978",,"137,286225","116,30827","60,888346","120,708055","134,876907","113,282769","99,7046","131,984271"
"0,009","439,190896","-26,385006","53,685958","480,598546","-16,513416","11,909774",,"137,786225","118,30827","62,138346","120,958055","135,126907","114,032769","99,4546","131,984271"
"0,01","439,440896","-26,959381","53,839172","479,348546","-15,861785","11,772374",,"139,036225","117,30827","62,388346","120,708055","134,626907","113,782769","100,2046","130,734271"
"0,011","438,940896","-26,652915","53,164639","477,848546","-16,53102","11,471355",,"138,286225","117,30827","62,638346","120,708055","134,126907","113,282769","98,9546","131,484271"
"0,012","438,940896","-27,158678","54,636363","479,098546","-16,256204","11,27288",,"138,536225","118,05827","61,138346","121,208055","134,626907","113,282769","99,9546","131,234271"
"0,013","438,690896","-26,583762","55,587851","478,348546","-16,51374","11,459364",,"138,536225","118,55827","61,388346","120,208055","134,626907","113,032769","99,4546","131,234271"
"0,014","437,940896","-27,389665","54,023578","478,098546","-16,290206","11,972051",,"138,786225","116,80827","61,638346","120,708055","134,126907","113,782769","98,9546","131,234271"
"0,015","439,190896","-26,216514","54,789123","477,098546","-16,479454","10,981631",,"138,536225","118,30827","62,388346","119,958055","134,376907","112,282769","99,7046","130,734271"
"0,016","439,940896","-26,928741","54,145078","477,598546","-15,997376","11,308284",,"138,786225","118,05827","61,888346","121,208055","133,876907","113,282769","99,7046","130,734271"
"0,017","439,190896","-26,553497","54,05368","477,598546","-16,462202","12,322735",,"138,286225","118,05827","62,138346","120,708055","134,626907","113,282769","98,9546","130,734271"
"0,018","438,690896","-27,42718","53,379006","476,098546","-16,514068","11,343912",,"138,536225","117,05827","61,638346","121,458055","133,626907","112,782769","98,7046","130,984271"
"0,019","438,940896","-26,484327","54,268432","478,348546","-16,359041","13,485084",,"138,536225","117,80827","62,388346","120,208055","134,876907","114,282769","98,4546","130,734271"
"0,02","438,190896","-27,2896","53,808476","476,098546","-16,514068","12,700774",,"138,536225","117,05827","61,638346","120,958055","134,626907","112,782769","98,7046","129,984271"
"0,021","439,690896","-26,523302","53,624909","475,598546","-16,375836","11,355838",,"138,286225","118,05827","62,388346","120,958055","133,376907","112,782769","98,7046","130,734271"
"0,022","440,690896","-26,631034","53,503225","473,848546","-15,733558","11,909017",,"138,536225","118,30827","62,388346","121,458055","132,876907","112,782769","98,9546","129,234271"
"0,023","440,440896","-27,066184","55,183645","476,848546","-16,876058","11,834093",,"139,286225","118,55827","61,388346","121,208055","134,876907","112,282769","98,9546","130,734271"
"0,024","442,190896","-25,703954","52,591278","477,348546","-16,393312","12,160025",,"138,786225","118,30827","64,388346","120,708055","134,376907","113,282769","98,9546","130,734271"
"0,025","440,190896","-27,16561","53,930884","473,598546","-16,13249","13,108824",,"139,036225","117,80827","61,888346","121,458055","133,376907","113,032769","97,9546","129,234271"
"0,026","441,690896","-26,570741","54,113373","475,848546","-16,444988","11,519569",,"138,786225","119,05827","62,138346","121,708055","133,876907","112,532769","98,9546","130,484271"
"0,027","440,440896","-26,730157","54,083611","472,848546","-16,705822","11,934202",,"139,036225","118,05827","62,388346","120,958055","133,376907","111,782769","97,9546","129,734271"
"0,028","439,690896","-26,523302","54,726819","473,848546","-16,670566","11,227364",,"139,036225","118,05827","62,388346","120,208055","133,876907","111,282769","98,9546","129,734271"
"0,029","441,690896","-26,403203","54,113373","470,598546","-16,235332","11,819671",,"138,786225","119,05827","62,388346","121,458055","132,376907","111,532769","97,9546","128,734271"
"0,03","440,940896","-26,86767","53,289759","472,848546","-16,705822","11,934202",,"138,536225","118,30827","62,138346","121,958055","133,626907","111,532769","98,2046","129,484271"
"0,031","441,690896","-27,408431","55,575934","472,598546","-16,636369","12,111379",,"140,036225","118,80827","61,138346","121,708055","133,376907","111,782769","97,9546","129,484271"
"0,032","441,940896","-26,471989","53,169178","473,098546","-16,775202","12,781312",,"139,036225","118,30827","63,138346","121,458055","134,126907","111,782769","97,9546","129,234271"
"0,033","442,690896","-26,677879","53,261507","471,848546","-16,113907","12,301766",,"138,786225","119,05827","62,388346","122,458055","132,376907","112,532769","97,7046","129,234271"
