ForceDecks Raw Data Export,2.0
Weight,"93,4"
Frequency,1000
Recording Date,2024-10-10T11:57:38
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T11:57:42
AthleteId,0dc6e84b-1fb2-42d4-8b64-8ecbbcb8ee99

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"17,190896",0,0,"891,598546","31,518307","22,903043",,"5,536225","1,05827","17,388346","-6,791945","195,876907","281,532769","259,2046","154,984271"
"0,001","15,190896",0,0,"891,348546","31,485637","22,637688",,"5,036225","1,05827","17,138346","-8,041945","195,626907","281,282769","259,2046","155,234271"
"0,002","14,690896",0,0,"892,598546","31,482996","22,696452",,"4,786225","0,55827","17,138346","-7,791945","196,376907","281,282769","259,9546","154,984271"
"0,003","15,190896",0,0,"891,098546","31,619035","23,278368",,"4,786225","0,30827","17,638346","-7,541945","195,876907","281,782769","258,9546","154,484271"
"0,004","15,190896",0,0,"891,848546","31,79988","22,987166",,"5,286225","0,30827","16,638346","-7,041945","196,376907","281,282769","260,4546","153,734271"
"0,005","14,190896",0,0,"891,848546","31,385011","23,349335",,"5,536225","-0,19173","16,138346","-7,291945","196,376907","281,782769","258,7046","154,984271"
"0,006","11,940896",0,0,"889,848546","31,788192","23,038831",,"4,286225","-0,94173","16,138346","-7,541945","195,376907","281,282769","259,2046","153,984271"
"0,007","14,190896",0,0,"891,848546","31,716906","23,349335",,"5,036225","-0,44173","17,138346","-7,541945","195,876907","282,282769","259,2046","154,484271"
"0,008","13,440896",0,0,"889,848546","31,871352","23,220322",,"5,286225","-0,94173","16,388346","-7,291945","195,626907","281,282769","259,4546","153,484271"
"0,009","15,190896",0,0,"890,098546","31,654558","23,12308",,"5,536225","-0,19173","16,888346","-7,041945","195,626907","281,282769","258,9546","154,234271"
"0,01","14,940896",0,0,"889,598546","31,755533","23,317619",,"6,036225","-0,69173","16,638346","-7,041945","195,376907","281,532769","258,7046","153,984271"
"0,011","11,940896",0,0,"891,098546","31,785122","23,097131",,"4,786225","-0,94173","15,888346","-7,791945","195,376907","282,032769","259,2046","154,484271"
"0,012","14,440896",0,0,"888,348546","32,008468","22,895935",,"5,036225","-0,69173","17,138346","-7,041945","194,376907","281,282769","258,9546","153,734271"
"0,013","12,690896",0,0,"891,098546","31,619035","22,55342",,"4,036225","0,05827","16,138346","-7,541945","195,126907","281,532769","259,2046","155,234271"
"0,014","14,940896",0,0,"892,098546","31,832443","22,709173",,"5,536225","-0,19173","16,388346","-6,791945","195,626907","281,782769","260,2046","154,484271"
"0,015","14,190896",0,0,"892,598546","31,648804","23,782047",,"5,286225","-0,19173","16,638346","-7,541945","197,126907","282,032769","259,7046","153,734271"
"0,016","13,190896",0,0,"890,848546","31,669442","23,738121",,"4,036225","-0,19173","16,388346","-7,041945","196,376907","281,782769","258,9546","153,734271"
"0,017","14,690896",0,0,"891,598546","31,684301","22,903043",,"5,536225","0,55827","16,388346","-7,791945","195,876907","281,532769","259,7046","154,484271"
"0,018","11,440896",0,0,"891,348546","31,900738","23,724805",,"4,536225","-1,19173","15,888346","-7,791945","195,626907","282,782769","258,9546","153,984271"
"0,019","13,690896",0,0,"891,098546","31,785122","22,55342",,"5,286225","0,30827","15,888346","-7,791945","195,376907","281,282769","259,9546","154,484271"
"0,02","11,940896",0,0,"889,848546","31,871352","23,764797",,"5,286225","-1,44173","15,888346","-7,791945","195,626907","282,032769","258,7046","153,484271"
"0,021","14,690896",0,0,"891,348546","31,568657","23,543619",,"5,536225","0,30827","15,888346","-7,041945","196,626907","281,532769","259,2046","153,984271"
"0,022","12,190896",0,0,"892,348546","32,030843","23,698218",,"5,786225","-0,94173","15,638346","-8,291945","196,126907","282,782769","259,9546","153,484271"
"0,023","13,190896",0,0,"892,848546","31,930025","23,142301",,"5,536225","-0,94173","15,388346","-6,791945","196,126907","282,282769","260,4546","153,984271"
"0,024","14,690896",0,0,"892,848546","31,764263","22,96142",,"5,536225","-0,19173","16,388346","-7,041945","196,376907","281,782769","260,4546","154,234271"
"0,025","12,940896",0,0,"891,098546","32,117297","23,822079",,"4,786225","-0,19173","15,638346","-7,291945","195,876907","282,532769","259,7046","152,984271"
"0,026","12,190896",0,0,"890,348546","31,853454","23,207282",,"4,786225","-0,94173","16,388346","-8,041945","195,376907","281,782769","259,2046","153,984271"
"0,027","12,190896",0,0,"892,598546","31,814612","23,420182",,"5,536225","-0,94173","15,888346","-8,291945","196,376907","282,282769","259,9546","153,984271"
"0,028","12,190896",0,0,"892,848546","32,012906","23,142301",,"4,786225","-1,19173","15,888346","-7,291945","195,626907","282,782769","260,2046","154,234271"
"0,029","12,940896",0,0,"892,598546","32,063324","23,420182",,"4,786225","-0,44173","16,138346","-7,541945","195,876907","282,782769","260,2046","153,734271"
"0,03","11,690896",0,0,"892,098546","32,413097","23,433308",,"4,286225","-0,94173","16,138346","-7,791945","195,126907","283,282769","260,4546","153,234271"
"0,031","13,690896",0,0,"893,098546","32,293946","23,045408",,"6,036225","-0,94173","15,888346","-7,291945","195,626907","282,782769","261,2046","153,484271"
"0,032","13,440896",0,0,"894,098546","31,844003","22,658375",,"5,536225","-0,19173","15,888346","-7,791945","195,626907","282,782769","260,4546","155,234271"
"0,033","13,190896",0,0,"893,598546","32,193065","23,393973",,"5,536225","-0,69173","15,888346","-7,541945","196,126907","283,032769","260,9546","153,484271"
"0,034","13,440896",0,0,"891,848546","32,214748","23,711504",,"5,536225","-0,94173","15,888346","-7,041945","195,376907","283,282769","259,7046","153,484271"
"0,035","12,440896",0,0,"893,348546","32,326326","24,394812",,"5,536225","-0,94173","15,888346","-8,041945","196,376907","284,032769","260,2046","152,734271"
"0,036","10,940896",0,0,"893,098546","32,128231","23,768732",,"5,036225","-0,94173","14,388346","-7,541945","196,376907","283,032769","260,4546","153,234271"
"0,037","11,440896",0,0,"895,098546","31,891099","23,715624",,"5,536225","-0,94173","15,138346","-8,291945","197,126907","283,282769","260,7046","153,984271"
"0,038","12,440896",0,0,"895,598546","31,955921","23,341731",,"5,036225","-0,44173","15,888346","-8,041945","196,626907","283,532769","260,9546","154,484271"
"0,039","11,940896",0,0,"895,098546","32,139116","23,354769",,"5,036225","-0,94173","15,138346","-7,291945","196,626907","283,282769","261,4546","153,734271"
"0,04","13,440896",0,0,"895,598546","32,038547","23,522057",,"5,536225","-0,94173","15,388346","-6,541945","196,376907","284,032769","260,7046","154,484271"
"0,041","12,690896",0,0,"895,348546","32,254117","23,438437",,"4,786225","-0,69173","16,138346","-7,541945","196,126907","284,032769","261,2046","153,984271"
"0,042","13,690896",0,0,"895,098546","32,304461","23,896051",,"6,036225","-1,19173","15,388346","-6,541945","196,376907","284,282769","260,9546","153,484271"
"0,043","12,440896",0,0,"895,598546","32,2038","24,063036",,"5,536225","-0,94173","15,638346","-7,791945","196,626907","284,532769","260,7046","153,734271"
"0,044","11,940896",0,0,"895,848546","32,153511","23,605631",,"5,536225","-1,19173","15,388346","-7,791945","196,626907","284,032769","261,2046","153,984271"
"0,045","13,690896",0,0,"895,348546","32,667363","23,979567",,"6,036225","-0,94173","16,138346","-7,541945","195,626907","285,282769","261,2046","153,234271"
"0,046","12,940896",0,0,"897,098546","32,397418","23,302702",,"5,536225","-0,94173","16,138346","-7,791945","196,376907","284,532769","262,2046","153,984271"
"0,047","13,190896",0,0,"895,098546","32,221789","24,076478",,"5,786225","-0,94173","16,138346","-7,791945","197,376907","283,532769","261,4546","152,734271"
"0,048","11,940896",0,0,"897,098546","32,562394","24,022801",,"5,786225","-0,94173","15,638346","-8,541945","197,126907","284,782769","262,4546","152,734271"
"0,049","11,940896",0,0,"898,598546","32,425688","24,521874",,"5,536225","-1,69173","15,888346","-7,791945","197,126907","286,282769","261,4546","153,734271"
"0,05","12,190896",0,0,"898,348546","32,064032","23,719714",,"5,536225","-1,44173","15,888346","-7,791945","197,626907","284,532769","261,9546","154,234271"
"0,051","13,190896",0,0,"898,848546","32,375506","24,065868",,"5,786225","-0,94173","15,888346","-7,541945","197,126907","285,782769","261,9546","153,984271"
"0,052","10,690896",0,0,"898,848546","32,046196","23,526845",,"5,286225","-1,94173","15,388346","-8,041945","197,626907","284,532769","262,2046","154,484271"
"0,053","10,690896",0,0,"895,098546","32,387134","24,076478",,"5,036225","-1,44173","15,888346","-8,791945","196,376907","284,532769","260,9546","153,234271"
"0,054","11,690896",0,0,"897,098546","32,479906","23,302702",,"4,786225","-0,94173","15,388346","-7,541945","196,376907","284,532769","262,4546","153,734271"
"0,055","10,940896",0,0,"899,598546","32,718679","24,315091",,"5,536225","-1,94173","15,388346","-8,041945","197,126907","286,532769","262,7046","153,234271"
"0,056","12,440896",0,0,"898,348546","32,393525","23,899488",,"6,036225","-1,69173","15,888346","-7,791945","196,876907","285,532769","261,9546","153,984271"
"0,057","10,190896",0,0,"897,598546","32,544255","23,829495",,"5,536225","-1,44173","15,388346","-9,291945","196,376907","285,532769","261,9546","153,734271"
"0,058","13,190896",0,0,"899,848546","32,421763","24,398073",,"6,036225","-1,44173","15,888346","-7,291945","197,376907","286,532769","261,9546","153,984271"
"0,059","11,690896",0,0,"899,598546","32,554161","24,135566",,"5,536225","-0,44173","14,638346","-8,041945","196,876907","286,532769","262,2046","153,984271"
"0,06","12,690896",0,0,"899,348546","32,52207","23,693339",,"6,036225","-1,44173","15,388346","-7,291945","197,376907","285,282769","263,2046","153,484271"
"0,061","11,440896",0,0,"901,348546","32,203609","23,999118",,"6,036225","-1,44173","14,638346","-7,791945","197,626907","286,532769","262,2046","154,984271"
"0,062","10,940896",0,0,"901,348546","32,532006","23,819942",,"5,286225","-1,69173","15,888346","-8,541945","197,126907","286,782769","262,9546","154,484271"
"0,063","11,440896",0,0,"901,098546","32,582093","23,736938",,"5,536225","-1,69173","15,138346","-7,541945","197,126907","286,532769","263,2046","154,234271"
"0,064","13,690896",0,0,"901,598546","32,481947","23,723774",,"5,786225","-0,44173","15,888346","-7,541945","197,376907","286,532769","263,2046","154,484271"
"0,065","12,440896",0,0,"902,598546","32,200004","23,69749",,"5,536225","-1,44173","15,888346","-7,541945","197,626907","286,782769","262,7046","155,484271"
"0,066","11,690896",0,0,"902,598546","32,363975","24,055346",,"5,786225","-1,19173","14,888346","-7,791945","198,126907","286,782769","263,2046","154,484271"
"0,067","10,690896",0,0,"902,348546","32,413945","23,43559",,"5,286225","-1,44173","14,638346","-7,791945","197,626907","286,282769","263,7046","154,734271"
"0,068","11,440896",0,0,"902,348546","32,577962","23,793544",,"5,786225","-1,19173","15,388346","-8,541945","197,126907","287,282769","263,2046","154,734271"
"0,069","12,690896",0,0,"901,598546","32,481947","23,365521",,"6,286225","-1,19173","15,888346","-8,291945","197,376907","286,032769","263,7046","154,484271"
"0,07","12,190896",0,0,"902,598546","32,527946","23,69749",,"6,536225","-0,94173","15,138346","-8,541945","197,626907","286,782769","263,7046","154,484271"
"0,071","10,440896",0,0,"903,348546","32,623816","23,945984",,"5,536225","-2,19173","15,138346","-8,041945","197,126907","288,032769","263,2046","154,984271"
"0,072","12,440896",0,0,"903,598546","32,983316","24,028724",,"5,786225","-2,19173","16,138346","-7,291945","197,126907","288,282769","264,2046","153,984271"
"0,073","12,940896",0,0,"903,598546","32,573842","23,313805",,"5,536225","-0,69173","15,388346","-7,291945","197,626907","286,782769","264,4546","154,734271"
"0,074","12,440896",0,0,"904,598546","32,537833","24,180693",,"6,286225","-1,44173","15,388346","-7,791945","198,376907","287,782769","263,9546","154,484271"
"0,075","10,690896",0,0,"904,848546","32,733297","22,835391",,"5,286225","-1,94173","15,138346","-7,791945","197,126907","287,282769","265,2046","155,234271"
"0,076","11,190896",0,0,"904,098546","32,883225","24,015435",,"5,036225","-1,44173","15,638346","-8,041945","197,626907","288,032769","264,4546","153,984271"
"0,077","10,940896",0,0,"905,598546","32,583617","23,975657",,"5,536225","-2,19173","14,638346","-7,041945","198,626907","287,782769","264,7046","154,484271"
"0,078","10,440896",0,0,"904,348546","32,751395","23,740924",,"5,036225","-1,44173","15,138346","-8,291945","197,626907","287,782769","264,4546","154,484271"
