ForceDecks Raw Data Export,2.0
Weight,"93,3"
Frequency,1000
Recording Date,2024-10-10T12:00:16
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T12:00:19
AthleteId,0dc6e84b-1fb2-42d4-8b64-8ecbbcb8ee99

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,440896",0,0,"0,348546",0,0,,"9,036225","-8,19173","9,388346","-9,791945","-1,373093","1,532769","-1,5454","1,734271"
"0,001","1,190896",0,0,"-1,401454",0,0,,"9,786225","-9,44173","9,888346","-9,041945","-1,623093","1,782769","-2,7954","1,234271"
"0,002","1,190896",0,0,"0,598546",0,0,,"10,536225","-8,94173","9,138346","-9,541945","-1,123093","1,532769","-1,5454","1,734271"
"0,003","-0,059104",0,0,"1,098546",0,0,,"9,536225","-9,69173","9,138346","-9,041945","-1,373093","2,032769","-1,5454","1,984271"
"0,004","-1,559104",0,0,"0,348546",0,0,,"9,536225","-9,44173","8,638346","-10,291945","-1,623093","2,032769","-1,2954","1,234271"
"0,005","0,190896",0,0,"-0,651454",0,0,,"9,536225","-9,44173","9,138346","-9,041945","-1,373093","1,532769","-2,0454","1,234271"
"0,006","-0,059104",0,0,"0,848546",0,0,,"9,786225","-9,44173","9,638346","-10,041945","-1,123093","1,782769","-1,2954","1,484271"
"0,007","-2,309104",0,0,"0,848546",0,0,,"8,786225","-10,44173","9,138346","-9,791945","-2,123093","2,782769","-2,2954","2,484271"
"0,008","-1,059104",0,0,"0,598546",0,0,,"8,786225","-9,44173","9,388346","-9,791945","-1,873093","2,282769","-1,5454","1,734271"
"0,009","-0,559104",0,0,"0,848546",0,0,,"9,286225","-9,19173","9,388346","-10,041945","-1,623093","2,532769","-1,7954","1,734271"
"0,01","-0,059104",0,0,"1,348546",0,0,,"8,786225","-8,69173","9,638346","-9,791945","-2,123093","3,032769","-2,0454","2,484271"
"0,011","-0,059104",0,0,"0,598546",0,0,,"9,536225","-9,94173","8,888346","-8,541945","-1,623093","2,032769","-2,2954","2,484271"
"0,012","-1,059104",0,0,"-0,151454",0,0,,"9,036225","-8,94173","8,638346","-9,791945","-2,123093","1,782769","-1,5454","1,734271"
"0,013","-1,309104",0,0,"-0,151454",0,0,,"8,786225","-9,69173","9,388346","-9,791945","-1,873093","1,282769","-2,0454","2,484271"
"0,014","-0,309104",0,0,"0,348546",0,0,,"9,536225","-9,94173","9,138346","-9,041945","-1,623093","2,032769","-2,0454","1,984271"
"0,015","0,690896",0,0,"1,348546",0,0,,"9,536225","-9,69173","9,888346","-9,041945","-0,873093","1,532769","-1,5454","2,234271"
"0,016","-0,309104",0,0,"-0,151454",0,0,,"9,536225","-8,94173","8,638346","-9,541945","-2,123093","2,032769","-1,7954","1,734271"
"0,017","-1,059104",0,0,"1,598546",0,0,,"8,786225","-9,44173","9,888346","-10,291945","-1,123093","1,782769","-1,5454","2,484271"
"0,018","-0,309104",0,0,"-0,151454",0,0,,"9,286225","-9,44173","9,138346","-9,291945","-1,123093","1,532769","-2,7954","2,234271"
"0,019","-2,559104",0,0,"0,348546",0,0,,"9,036225","-9,94173","7,888346","-9,541945","-1,123093","1,782769","-2,7954","2,484271"
"0,02","0,440896",0,0,"-0,151454",0,0,,"9,036225","-8,94173","9,638346","-9,291945","-2,373093","2,032769","-1,5454","1,734271"
"0,021","1,190896",0,0,"-0,401454",0,0,,"9,786225","-8,94173","9,888346","-9,541945","-1,623093","1,532769","-2,7954","2,484271"
"0,022","1,190896",0,0,"0,598546",0,0,,"9,786225","-9,69173","9,638346","-8,541945","-1,123093","1,532769","-2,2954","2,484271"
"0,023","-0,809104",0,0,"-1,651454",0,0,,"8,786225","-8,94173","9,138346","-9,791945","-2,873093","1,532769","-2,5454","2,234271"
"0,024","1,940896",0,0,"1,848546",0,0,,"10,536225","-8,69173","9,888346","-9,791945","-0,873093","2,532769","-1,5454","1,734271"
"0,025","1,440896",0,0,"0,598546",0,0,,"10,036225","-8,69173","9,388346","-9,291945","-2,123093","2,282769","-2,2954","2,734271"
"0,026","0,440896",0,0,"-0,401454",0,0,,"9,536225","-9,19173","10,138346","-10,041945","-2,623093","2,032769","-1,7954","1,984271"
"0,027","0,440896",0,0,"-0,151454",0,0,,"10,536225","-9,44173","9,138346","-9,791945","-1,123093","1,532769","-1,5454","0,984271"
"0,028","-0,309104",0,0,"-3,151454",0,0,,"9,286225","-9,69173","9,888346","-9,791945","-2,873093","1,032769","-2,5454","1,234271"
