ForceDecks Raw Data Export,2.0
Weight,"81,9"
Frequency,1000
Recording Date,2024-11-07T09:03:36
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:03:40
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"393,008941","-5,45231","-127,683196","411,354196","-10,641219","-119,009046",,"35,955293","82,870172","106,395088","167,788388","71,306748","58,588817","132,300072","149,15856"
"0,001","389,508941","-5,881268","-128,415891","412,104196","-10,172937","-118,988403",,"35,205293","82,120172","104,895088","167,288388","71,556748","58,588817","133,300072","148,65856"
"0,002","390,008941","-5,873728","-127,837166","409,854196","-10,499612","-120,232685",,"35,455293","82,370172","104,895088","167,288388","70,306748","58,338817","132,050072","149,15856"
"0,003","390,508941","-5,297718","-127,673486","409,604196","-11,138338","-120,897493",,"35,205293","82,870172","105,395088","167,038388","71,056748","57,088817","132,300072","149,15856"
"0,004","391,758941","-5,753044","-126,647748","410,354196","-10,306486","-119,299061",,"36,455293","82,620172","105,645088","167,038388","70,306748","59,088817","131,800072","149,15856"
"0,005","392,758941","-5,738396","-127,558872","409,854196","-10,138508","-120,626727",,"36,205293","82,620172","106,145088","167,788388","70,056748","58,338817","132,550072","148,90856"
"0,006","392,508941","-5,647786","-127,022935","409,604196","-10,777014","-119,714644",,"35,455293","83,620172","105,145088","168,288388","70,806748","58,088817","131,800072","148,90856"
"0,007","391,758941","-6,319719","-127,884478","412,104196","-10,532069","-119,380295",,"35,955293","82,370172","105,145088","168,288388","71,056748","58,838817","132,550072","149,65856"
"0,008","390,508941","-5,676711","-128,087048","410,104196","-10,042106","-119,96249",,"35,705293","82,120172","105,645088","167,038388","70,306748","58,588817","132,550072","148,65856"
"0,009","391,008941","-6,04796","-129,16236","411,104196","-10,377685","-120,456373",,"35,455293","81,870172","105,645088","168,038388","71,056748","57,838817","133,300072","148,90856"
"0,01","391,758941","-5,186369","-129,533451","409,104196","-10,971068","-121,045252",,"34,955293","82,370172","106,645088","167,788388","70,556748","57,338817","132,050072","149,15856"
"0,011","391,758941","-5,564152","-127,472235","408,354196","-10,356965","-120,278843",,"35,455293","83,120172","105,395088","167,788388","70,306748","57,838817","132,050072","148,15856"
"0,012","392,258941","-6,123012","-130,191775","410,354196","-10,66715","-120,479749",,"35,205293","81,870172","106,145088","169,038388","70,806748","57,838817","132,550072","149,15856"
"0,013","392,758941","-5,738396","-127,147679","410,104196","-9,861664","-118,781083",,"36,205293","82,870172","105,895088","167,788388","70,306748","59,338817","132,050072","148,40856"
"0,014","391,508941","-5,851224","-128,584899","411,104196","-10,377685","-118,099306",,"35,705293","82,120172","105,895088","167,788388","71,306748","59,088817","132,050072","148,65856"
"0,015","392,008941","-5,466218","-128,832872","409,604196","-10,054365","-118,531794",,"35,455293","82,370172","106,395088","167,788388","70,806748","58,838817","132,050072","147,90856"
"0,016","391,758941","-5,753044","-128,296721","412,104196","-9,813804","-119,380295",,"35,455293","82,620172","105,645088","168,038388","70,806748","59,088817","133,300072","148,90856"
"0,017","391,508941","-6,040236","-128,584899","411,354196","-9,921644","-118,223834",,"35,455293","82,370172","105,395088","168,288388","71,056748","59,338817","132,550072","148,40856"
"0,018","391,508941","-6,040236","-128,997406","411,354196","-10,641219","-120,186863",,"35,455293","82,120172","105,645088","168,288388","70,556748","58,588817","132,300072","149,90856"
"0,019","392,508941","-6,024847","-128,257302","410,854196","-10,834281","-119,940044",,"34,955293","83,370172","104,895088","169,288388","71,306748","57,838817","132,550072","149,15856"
"0,02","391,008941","-5,480198","-129,575394","411,354196","-10,461325","-120,186863",,"34,955293","82,120172","106,145088","167,788388","70,556748","58,588817","132,550072","149,65856"
"0,021","392,758941","-5,361575","-128,38126","409,354196","-9,789346","-118,801446",,"35,205293","83,120172","106,145088","168,288388","70,306748","59,088817","132,050072","147,90856"
"0,022","390,008941","-5,873728","-127,00898","410,104196","-10,40299","-119,568687",,"35,955293","82,370172","104,895088","166,788388","70,556748","58,588817","132,050072","148,90856"
"0,023","391,008941","-5,290944","-129,575394","410,604196","-10,930989","-118,243118",,"34,205293","82,870172","105,645088","168,288388","71,306748","58,838817","131,300072","149,15856"
"0,024","391,758941","-5,564152","-127,884478","410,354196","-9,945822","-120,873311",,"35,205293","83,120172","105,395088","168,038388","69,806748","58,588817","132,800072","149,15856"
"0,025","392,508941","-5,459255","-128,257302","409,104196","-10,247536","-121,440017",,"35,455293","82,870172","106,145088","168,038388","69,806748","57,838817","132,550072","148,90856"
"0,026","393,008941","-5,264019","-129,326925","409,604196","-10,777014","-120,50321",,"35,205293","82,620172","106,895088","168,288388","70,806748","57,588817","132,300072","148,90856"
"0,027","391,758941","-5,564152","-127,884478","412,104196","-10,711636","-119,380295",,"35,455293","82,870172","105,645088","167,788388","71,306748","58,588817","132,550072","149,65856"
"0,028","390,758941","-5,767767","-128,21175","411,854196","-10,26895","-121,217341",,"35,455293","82,370172","105,395088","167,538388","70,306748","58,338817","133,300072","149,90856"
"0,029","391,758941","-5,941936","-127,884478","408,854196","-9,801318","-120,131751",,"35,955293","82,370172","105,645088","167,788388","69,306748","59,088817","131,800072","148,65856"
"0,03","392,508941","-5,647786","-129,080213","411,354196","-10,281431","-120,186863",,"35,455293","82,370172","106,395088","168,288388","71,056748","58,088817","133,300072","148,90856"
"0,031","391,508941","-5,284187","-128,997406","409,354196","-10,150891","-121,563113",,"34,705293","82,870172","105,895088","168,038388","69,556748","58,088817","132,550072","149,15856"
"0,032","392,008941","-5,843761","-130,480793","410,854196","-11,194506","-121,512378",,"35,455293","81,370172","106,895088","168,288388","70,306748","57,838817","132,050072","150,65856"
"0,033","392,258941","-5,368409","-128,956621","409,604196","-10,777014","-120,50321",,"34,955293","82,870172","106,145088","168,288388","70,306748","58,088817","131,800072","149,40856"
"0,034","391,758941","-5,564152","-129,945694","410,354196","-10,306486","-121,660436",,"34,705293","82,370172","106,145088","168,538388","69,806748","58,088817","132,800072","149,65856"
"0,035","392,258941","-4,802456","-128,133186","410,104196","-10,222548","-122,325304",,"34,705293","83,620172","106,145088","167,788388","69,556748","57,838817","133,050072","149,65856"
"0,036","392,758941","-4,984753","-130,026035","411,604196","-10,544863","-119,525313",,"34,455293","82,870172","106,895088","168,538388","71,306748","58,338817","132,800072","149,15856"
"0,037","392,758941","-5,361575","-127,970066","409,854196","-10,860716","-121,414812",,"35,705293","82,870172","106,395088","167,788388","70,806748","57,088817","132,800072","149,15856"
"0,038","392,258941","-4,991107","-128,544903","410,104196","-10,763874","-120,750094",,"35,455293","82,620172","106,895088","167,288388","70,806748","57,588817","132,550072","149,15856"
"0,039","389,758941","-5,402843","-129,783777","410,604196","-10,750767","-120,996378",,"34,455293","82,120172","105,645088","167,538388","70,556748","57,838817","132,550072","149,65856"
"0,04","391,508941","-5,662211","-128,997406","409,854196","-10,860716","-120,232685",,"34,955293","82,620172","105,645088","168,288388","70,806748","57,838817","132,050072","149,15856"
"0,041","391,758941","-5,564152","-128,708965","411,104196","-10,017679","-120,456373",,"34,955293","82,870172","105,645088","168,288388","70,306748","58,588817","133,050072","149,15856"
"0,042","392,008941","-5,088676","-127,596931","409,354196","-11,054754","-121,957637",,"34,955293","83,620172","105,645088","167,788388","69,556748","57,838817","131,550072","150,40856"
"0,043","393,008941","-6,017182","-129,737857","410,604196","-10,390322","-121,783023",,"35,455293","82,120172","106,395088","169,038388","70,306748","57,588817","133,300072","149,40856"
"0,044","392,008941","-5,654989","-128,420891","410,604196","-10,930989","-121,783023",,"35,205293","82,870172","105,645088","168,288388","70,556748","57,338817","132,800072","149,90856"
"0,045","393,508941","-5,25733","-128,341779","410,854196","-9,753606","-121,512378",,"35,455293","83,120172","106,645088","168,288388","69,556748","58,588817","133,300072","149,40856"
"0,046","392,758941","-4,984753","-127,970066","412,354196","-10,435955","-121,070359",,"35,205293","83,370172","106,395088","167,788388","70,306748","58,588817","133,050072","150,40856"
