ForceDecks Raw Data Export,2.0
Weight,"81,9"
Frequency,1000
Recording Date,2024-11-07T09:05:16
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:05:21
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"1,258941",0,0,"753,604196","-40,029382","-93,356195",,"0,205293","1,120172","-0,104912","0,038388","182,306748","85,588817","189,300072","296,40856"
"0,001","1,008941",0,0,"755,104196","-40,537862","-92,529112",,"0,455293","0,370172","-0,104912","0,288388","183,806748","85,588817","188,550072","297,15856"
"0,002","0,508941",0,0,"753,354196","-40,091779","-93,708737",,"-0,044707","-0,129828","0,895088","-0,211612","182,056748","85,338817","189,300072","296,65856"
"0,003","0,508941",0,0,"752,354196","-40,440141","-93,618632",,"-1,044707","0,870172","0,895088","-0,211612","182,806748","84,338817","189,050072","296,15856"
"0,004","0,258941",0,0,"752,854196","-40,708161","-93,556456",,"-0,794707","0,120172","0,395088","0,538388","183,056748","84,338817","188,550072","296,90856"
"0,005","-0,491059",0,0,"751,854196","-40,565458","-92,606879",,"-0,294707","0,370172","-0,354912","-0,211612","183,306748","84,838817","188,050072","295,65856"
"0,006","-0,741059",0,0,"752,604196","-40,672521","-93,265651",,"-0,544707","0,120172","-0,354912","0,038388","183,306748","84,338817","188,550072","296,40856"
"0,007","-0,991059",0,0,"751,854196","-40,171765","-93,036483",,"-0,544707","0,120172","-0,354912","-0,211612","182,306748","85,338817","188,550072","295,65856"
"0,008","0,258941",0,0,"749,854196","-40,673654","-93,500004",,"-0,294707","0,120172","0,395088","0,038388","182,306748","84,088817","187,800072","295,65856"
"0,009","0,008941",0,0,"750,604196","-40,780894","-93,514159",,"-0,794707","0,870172","-0,854912","0,788388","182,806748","83,838817","188,050072","295,90856"
"0,01","1,008941",0,0,"748,854196","-40,727968","-93,409199",,"-0,544707","0,370172","0,145088","1,038388","182,056748","84,088817","187,300072","295,40856"
