ForceDecks Raw Data Export,2.0
Weight,"81,7"
Frequency,1000
Recording Date,2024-11-07T09:04:29
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:04:44
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"2,508941",0,0,"807,854196","-23,372175","-56,6004",,"0,955293","0,120172","0,395088","1,038388","197,806748","135,338817","204,800072","269,90856"
"0,001","0,008941",0,0,"806,104196","-23,652414","-57,023795",,"0,205293","0,620172","-0,604912","-0,211612","197,556748","134,338817","204,300072","269,90856"
"0,002","0,008941",0,0,"808,354196","-23,449263","-56,365601",,"-0,294707","-0,379828","0,645088","0,038388","197,806748","135,838817","204,300072","270,40856"
"0,003","2,008941",0,0,"806,104196","-23,836013","-55,821717",,"0,205293","0,120172","1,395088","0,288388","198,056748","135,338817","202,800072","269,90856"
"0,004","0,008941",0,0,"804,854196","-23,459292","-57,012029",,"0,205293","-0,379828","-0,854912","1,038388","196,806748","134,588817","204,050072","269,40856"
"0,005","-0,241059",0,0,"805,354196","-23,444728","-56,375034",,"0,205293","0,620172","-0,354912","-0,711612","197,556748","134,838817","204,050072","268,90856"
"0,006","-0,991059",0,0,"804,104196","-23,527187","-57,165627",,"-0,294707","0,870172","-1,104912","-0,461612","196,556748","134,338817","203,800072","269,40856"
"0,007","1,008941",0,0,"805,354196","-23,444728","-56,174501",,"0,455293","0,120172","0,895088","-0,461612","197,306748","135,338817","203,550072","269,15856"
"0,008","-0,991059",0,0,"803,354196","-23,687323","-55,912287",,"-0,544707","0,870172","-0,604912","-0,711612","197,556748","134,588817","202,800072","268,40856"
"0,009","-0,741059",0,0,"803,604196","-23,633911","-55,995378",,"-0,544707","-0,379828","0,395088","-0,211612","196,806748","135,338817","202,300072","269,15856"
"0,01","-1,491059",0,0,"804,104196","-23,527187","-56,161404",,"-0,294707","0,120172","-0,354912","-0,961612","197,556748","134,588817","203,550072","268,40856"
"0,011","0,758941",0,0,"806,854196","-23,492857","-56,470389",,"0,205293","0,120172","0,395088","0,038388","198,306748","134,588817","204,800072","269,15856"
"0,012","0,508941",0,0,"803,854196","-23,396419","-56,279324",,"0,205293","-0,379828","0,395088","0,288388","196,806748","135,088817","203,300072","268,65856"
"0,013","-0,491059",0,0,"804,604196","-23,696508","-57,330823",,"-0,544707","0,370172","-0,354912","0,038388","197,056748","133,838817","204,050072","269,65856"
"0,014","-1,241059",0,0,"806,104196","-23,101616","-56,422756",,"-0,544707","-0,379828","-0,354912","0,038388","196,806748","135,838817","204,300072","269,15856"
"0,015","0,258941",0,0,"804,354196","-23,657874","-56,846686",,"-0,294707","-0,629828","0,395088","0,788388","197,306748","134,088817","203,800072","269,15856"
"0,016","-0,741059",0,0,"805,604196","-23,667094","-55,655892",,"-0,294707","0,870172","-0,354912","-0,961612","198,056748","135,338817","203,050072","269,15856"
"0,017","-0,741059",0,0,"804,104196","-23,711243","-55,759714",,"0,455293","-0,129828","-0,104912","-0,961612","197,806748","134,838817","202,800072","268,65856"
"0,018","0,258941",0,0,"803,854196","-23,672589","-55,877509",,"0,205293","-0,379828","0,645088","-0,211612","197,806748","134,588817","203,050072","268,40856"
"0,019","0,008941",0,0,"802,604196","-23,386758","-55,260265",,"0,205293","0,120172","0,395088","-0,711612","197,556748","135,088817","202,800072","267,15856"
"0,02","0,258941",0,0,"804,354196","-23,289877","-55,842775",,"0,205293","-0,379828","0,145088","0,288388","197,556748","135,088817","203,800072","267,90856"
"0,021","-1,991059",0,0,"805,604196","-24,03452","-55,455422",,"-0,044707","-0,379828","-0,354912","-1,211612","199,056748","134,588817","202,800072","269,15856"
"0,022","1,508941",0,0,"803,854196","-23,488476","-56,078416",,"0,205293","-0,129828","1,145088","0,288388","197,306748","134,838817","203,300072","268,40856"
"0,023","-1,241059",0,0,"803,104196","-23,83291","-55,829145",,"0,205293","-0,629828","-0,354912","-0,461612","197,806748","134,338817","202,550072","268,40856"
"0,024","-0,741059",0,0,"802,354196","-23,624616","-55,981972",,"-0,044707","-0,129828","-0,104912","-0,461612","196,806748","134,838817","202,300072","268,40856"
"0,025","-0,741059",0,0,"803,854196","-23,488476","-55,274788",,"-0,544707","0,370172","-0,354912","-0,211612","197,806748","135,338817","202,800072","267,90856"
"0,026","0,508941",0,0,"803,354196","-23,318867","-55,309191",,"-0,044707","0,120172","0,145088","0,288388","197,556748","135,338817","203,050072","267,40856"
"0,027","-0,241059",0,0,"805,354196","-23,352843","-55,171837",,"0,455293","-0,379828","-0,354912","0,038388","198,056748","135,838817","203,300072","268,15856"
"0,028","-1,241059",0,0,"803,854196","-23,856702","-54,872974",,"-0,794707","0,120172","0,395088","-0,961612","198,806748","134,838817","202,300072","267,90856"
"0,029","-0,491059",0,0,"804,604196","-23,788479","-54,922185",,"0,455293","0,120172","-0,104912","-0,961612","198,556748","135,338817","202,300072","268,40856"
"0,03","1,008941",0,0,"803,354196","-23,410981","-54,706094",,"0,455293","0,370172","0,395088","-0,211612","197,806748","135,838817","202,300072","267,40856"
"0,031","-0,991059",0,0,"804,604196","-23,512567","-54,520745",,"-0,294707","-0,379828","0,395088","-0,711612","198,306748","136,088817","202,300072","267,90856"
"0,032","0,508941",0,0,"805,604196","-23,483381","-54,453068",,"-0,544707","-0,129828","0,645088","0,538388","199,056748","135,838817","203,050072","267,65856"
"0,033","1,258941",0,0,"802,854196","-23,517732","-54,136692",,"-0,544707","0,370172","0,645088","0,788388","198,056748","136,088817","201,550072","267,15856"
"0,034","1,008941",0,0,"801,854196","-23,362489","-55,009839",,"-0,544707","0,370172","0,395088","0,788388","197,306748","135,338817","202,300072","266,90856"
"0,035","0,508941",0,0,"802,354196","-23,901302","-54,774276",,"0,455293","-0,379828","0,395088","0,038388","198,056748","135,088817","201,300072","267,90856"
"0,036","1,758941",0,0,"802,104196","-23,862623","-54,287985",,"-0,794707","0,870172","1,395088","0,288388","197,806748","135,838817","200,550072","267,90856"
"0,037","-0,741059",0,0,"801,854196","-23,916206","-55,009839",,"-0,044707","0,120172","-0,104912","-0,711612","198,056748","134,588817","201,550072","267,65856"
"0,038","0,258941",0,0,"803,854196","-23,304363","-53,667531",,"-0,044707","-0,379828","0,395088","0,288388","198,056748","137,088817","201,550072","267,15856"
"0,039","1,508941",0,0,"802,854196","-23,425561","-53,935535",,"-0,044707","0,120172","0,895088","0,538388","197,806748","136,588817","201,300072","267,15856"
"0,04","-0,241059",0,0,"803,104196","-23,556483","-53,214914",,"-0,544707","-0,129828","0,645088","-0,211612","198,806748","136,588817","201,050072","266,65856"
"0,041","-0,491059",0,0,"803,604196","-23,725996","-53,985682",,"-0,294707","0,370172","-0,104912","-0,461612","199,306748","135,338817","202,050072","266,90856"
"0,042","0,258941",0,0,"802,104196","-23,862623","-53,482603",,"0,205293","-0,379828","-0,104912","0,538388","199,306748","135,338817","201,050072","266,40856"
"0,043","1,258941",0,0,"801,104196","-23,800038","-53,146171",,"0,955293","-0,379828","0,395088","0,288388","198,806748","135,838817","200,300072","266,15856"
"0,044","-1,241059",0,0,"799,854196","-24,068524","-53,532094",,"0,205293","-0,129828","-1,354912","0,038388","199,056748","134,588817","200,300072","265,90856"
"0,045","-0,741059",0,0,"802,854196","-23,978588","-53,734377",,"-0,044707","0,370172","-0,354912","-0,711612","199,556748","135,088817","201,300072","266,90856"
"0,046","0,258941",0,0,"801,354196","-23,931128","-53,633425",,"-0,294707","-0,129828","0,395088","0,288388","198,806748","135,338817","200,550072","266,65856"
"0,047","-0,241059",0,0,"801,354196","-23,931128","-53,028824",,"-0,294707","-0,129828","-0,104912","0,288388","199,556748","135,338817","200,550072","265,90856"
"0,048","-0,741059",0,0,"802,604196","-23,847757","-52,241965",,"0,455293","0,120172","-0,604912","-0,711612","200,056748","136,338817","200,300072","265,90856"
"0,049","3,258941",0,0,"800,854196","-24,03847","-52,860272",,"0,205293","0,870172","1,645088","0,538388","199,306748","135,588817","199,800072","266,15856"
"0,05","0,508941",0,0,"802,604196","-23,478958","-52,845625",,"-0,294707","-0,129828","0,395088","0,538388","199,056748","136,588817","201,050072","265,90856"
"0,051","0,258941",0,0,"803,104196","-23,925052","-52,611629",,"0,205293","0,370172","0,395088","-0,711612","199,306748","136,838817","199,800072","267,15856"
"0,052","-0,491059",0,0,"803,604196","-23,818081","-53,181803",,"0,205293","-0,629828","0,645088","-0,711612","199,556748","136,088817","201,050072","266,90856"
"0,053","-0,241059",0,0,"800,354196","-23,776111","-52,893295",,"-0,544707","0,870172","-0,354912","-0,211612","199,056748","135,588817","200,300072","265,40856"
"0,054","0,508941",0,0,"800,604196","-23,999762","-53,179362",,"0,955293","-0,379828","0,145088","-0,211612","198,806748","135,588817","199,800072","266,40856"
"0,055","1,758941",0,0,"799,604196","-24,122322","-52,639944",,"0,705293","0,120172","0,645088","0,288388","199,806748","134,838817","199,800072","265,15856"
"0,056","-0,241059",0,0,"800,104196","-24,199736","-52,607049",,"-0,044707","-0,129828","-0,354912","0,288388","199,306748","135,588817","199,050072","266,15856"
"0,057","0,758941",0,0,"801,354196","-24,208159","-52,625756",,"0,705293","-0,379828","1,395088","-0,961612","199,556748","135,838817","199,300072","266,65856"
"0,058","-0,741059",0,0,"800,604196","-24,184622","-52,775917",,"0,205293","-1,129828","0,645088","-0,461612","199,556748","135,338817","199,550072","266,15856"
"0,059","0,758941",0,0,"802,104196","-24,32391","-52,475876",,"-0,294707","0,120172","0,645088","0,288388","200,056748","135,838817","199,300072","266,90856"
"0,06","0,008941",0,0,"801,604196","-24,246767","-51,904195",,"-0,544707","-0,129828","0,145088","0,538388","200,556748","135,838817","199,300072","265,90856"
"0,061","-0,241059",0,0,"800,354196","-24,330865","-52,893295",,"0,205293","-0,379828","0,145088","-0,211612","200,056748","134,588817","199,800072","265,90856"
"0,062","-1,741059",0,0,"799,854196","-24,346075","-52,522535",,"0,205293","-0,629828","-1,104912","-0,211612","199,806748","135,088817","199,050072","265,90856"
"0,063","-0,241059",0,0,"800,854196","-24,223273","-52,658612",,"-0,044707","-0,129828","-0,354912","0,288388","200,056748","135,088817","199,800072","265,90856"
"0,064","0,758941",0,0,"801,354196","-24,208159","-51,416553",,"0,205293","0,620172","0,395088","-0,461612","201,056748","135,838817","199,300072","265,15856"
"0,065","0,508941",0,0,"798,604196","-24,337851","-52,908087",,"-0,544707","0,370172","0,645088","0,038388","199,056748","134,838817","198,800072","265,90856"
"0,066","-0,741059",0,0,"800,354196","-24,608242","-52,893295",,"-0,544707","-0,879828","0,895088","-0,211612","200,056748","134,588817","199,050072","266,65856"
"0,067","-0,491059",0,0,"800,604196","-24,369483","-51,969026",,"-0,794707","-0,129828","0,395088","0,038388","200,306748","135,588817","198,800072","265,90856"
"0,068","0,758941",0,0,"800,604196","-24,369483","-52,170749",,"0,205293","0,120172","0,395088","0,038388","200,306748","135,338817","199,050072","265,90856"
"0,069","2,508941",0,0,"800,354196","-24,515783","-51,682581",,"0,705293","0,870172","0,145088","0,788388","201,306748","134,838817","199,050072","265,15856"
"0,07","2,258941",0,0,"799,854196","-24,161041","-52,724447",,"0,955293","0,120172","0,895088","0,288388","199,306748","135,338817","199,300072","265,90856"
"0,071","0,508941",0,0,"801,104196","-23,89241","-51,734994",,"-0,294707","-0,129828","0,395088","0,538388","200,056748","136,338817","199,550072","265,15856"
"0,072","0,758941",0,0,"799,104196","-24,50783","-51,864476",,"-0,544707","0,120172","0,895088","0,288388","199,806748","135,588817","197,800072","265,90856"
"0,073","1,258941",0,0,"800,354196","-24,515783","-51,884366",,"-0,294707","0,370172","0,895088","0,288388","200,056748","135,838817","198,050072","266,40856"
"0,074","-0,241059",0,0,"800,604196","-24,461913","-51,767303",,"-0,294707","-1,129828","0,895088","0,288388","200,306748","135,838817","198,300072","266,15856"
"0,075","0,258941",0,0,"798,854196","-24,376551","-51,779625",,"0,205293","0,120172","-0,354912","0,288388","200,056748","135,338817","198,300072","265,15856"
"0,076","0,008941",0,0,"798,354196","-24,484508","-51,609762",,"0,205293","-0,379828","0,645088","-0,461612","200,056748","135,338817","197,800072","265,15856"
"0,077","-0,241059",0,0,"800,604196","-24,831633","-51,363858",,"-0,544707","0,620172","0,395088","-0,711612","201,556748","135,088817","198,050072","265,90856"
"0,078","0,758941",0,0,"800,104196","-24,662175","-51,799654",,"-0,544707","0,870172","0,145088","0,288388","200,806748","135,088817","198,300072","265,90856"
"0,079","1,508941",0,0,"800,104196","-24,662175","-51,194108",,"-0,044707","0,870172","0,895088","-0,211612","201,056748","135,588817","197,800072","265,65856"
"0,08","-0,491059",0,0,"799,604196","-24,677597","-51,22612",,"0,455293","0,120172","-0,854912","-0,211612","200,556748","135,838817","197,300072","265,90856"
