ForceDecks Raw Data Export,2.0
Weight,82
Frequency,1000
Recording Date,2024-11-07T09:06:19
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:06:29
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-1,741059",0,0,"0,354196",0,0,,"0,955293","-0,879828","-0,354912","-1,461612","-5,193252","4,838817","-4,949928","5,65856"
"0,001","-2,741059",0,0,"0,104196",0,0,,"0,455293","-0,379828","-1,104912","-1,711612","-5,943252","6,338817","-5,699928","5,40856"
"0,002","-1,241059",0,0,"0,104196",0,0,,"0,455293","-0,879828","0,395088","-1,211612","-4,943252","5,338817","-5,199928","4,90856"
"0,003","-3,491059",0,0,"-1,895804",0,0,,"0,205293","-1,129828","-0,604912","-1,961612","-5,693252","5,338817","-6,199928","4,65856"
"0,004","-1,991059",0,0,"1,354196",0,0,,"0,205293","-1,129828","-0,104912","-0,961612","-5,443252","5,838817","-5,949928","6,90856"
"0,005","-1,491059",0,0,"-0,895804",0,0,,"0,705293","-0,629828","-0,354912","-1,211612","-5,693252","5,338817","-6,449928","5,90856"
"0,006","-1,991059",0,0,"0,354196",0,0,,"0,705293","-1,629828","-0,354912","-0,711612","-6,443252","6,838817","-6,449928","6,40856"
"0,007","0,258941",0,0,"0,854196",0,0,,"0,455293","-1,379828","0,895088","0,288388","-5,693252","6,338817","-6,199928","6,40856"
"0,008","-2,491059",0,0,"0,854196",0,0,,"-0,294707","-1,129828","-0,104912","-0,961612","-5,943252","6,588817","-6,449928","6,65856"
"0,009","1,258941",0,0,"1,104196",0,0,,"0,955293","-1,129828","0,395088","1,038388","-6,443252","7,588817","-6,699928","6,65856"
"0,01","0,508941",0,0,"-0,645804",0,0,,"0,955293","-0,379828","0,645088","-0,711612","-7,443252","7,088817","-6,949928","6,65856"
"0,011","-1,991059",0,0,"-0,645804",0,0,,"0,455293","-0,629828","-0,354912","-1,461612","-7,943252","7,838817","-6,949928","6,40856"
"0,012","0,008941",0,0,"0,854196",0,0,,"0,205293","-0,379828","-0,104912","0,288388","-6,443252","7,588817","-7,699928","7,40856"
"0,013","-1,491059",0,0,"0,354196",0,0,,"-0,544707","-0,629828","0,395088","-0,711612","-7,443252","8,088817","-6,949928","6,65856"
"0,014","-0,241059",0,0,"2,104196",0,0,,"-0,544707","0,120172","0,145088","0,038388","-6,693252","8,588817","-8,199928","8,40856"
"0,015","-0,991059",0,0,"-0,395804",0,0,,"-0,544707","-0,629828","0,395088","-0,211612","-7,943252","8,338817","-7,699928","6,90856"
"0,016","-1,241059",0,0,"-1,145804",0,0,,"0,205293","-0,629828","-0,104912","-0,711612","-8,443252","7,588817","-8,199928","7,90856"
"0,017","1,258941",0,0,"1,104196",0,0,,"0,205293","0,370172","0,395088","0,288388","-7,693252","8,838817","-8,449928","8,40856"
"0,018","0,258941",0,0,"-0,645804",0,0,,"-0,044707","-0,129828","0,645088","-0,211612","-9,693252","8,838817","-8,199928","8,40856"
"0,019","-0,991059",0,0,"0,604196",0,0,,"-0,044707","-1,129828","0,395088","-0,211612","-8,443252","8,838817","-8,699928","8,90856"
"0,02","-0,241059",0,0,"-0,895804",0,0,,"0,205293","-0,129828","0,645088","-0,961612","-9,443252","8,838817","-9,449928","9,15856"
"0,021","-0,991059",0,0,"-1,145804",0,0,,"0,705293","-1,129828","-0,604912","0,038388","-9,693252","8,588817","-9,949928","9,90856"
"0,022","0,508941",0,0,"-0,395804",0,0,,"1,205293","-0,879828","-0,104912","0,288388","-9,943252","9,588817","-9,699928","9,65856"
"0,023","0,508941",0,0,"-1,145804",0,0,,"-0,544707","0,870172","0,395088","-0,211612","-10,193252","9,338817","-10,199928","9,90856"
"0,024","1,758941",0,0,"2,354196",0,0,,"1,205293","-0,379828","1,145088","-0,211612","-9,193252","10,838817","-9,949928","10,65856"
"0,025","-0,991059",0,0,"0,104196",0,0,,"-0,544707","-0,379828","-0,104912","0,038388","-9,943252","10,088817","-10,699928","10,65856"
"0,026","-0,991059",0,0,"1,104196",0,0,,"-0,294707","0,120172","-0,104912","-0,711612","-9,693252","11,338817","-11,449928","10,90856"
"0,027","-0,241059",0,0,"0,104196",0,0,,"-0,044707","-0,129828","-0,104912","0,038388","-10,943252","10,838817","-11,199928","11,40856"
"0,028","0,258941",0,0,"0,604196",0,0,,"0,205293","-0,379828","0,145088","0,288388","-10,443252","11,338817","-10,949928","10,65856"
"0,029","2,508941",0,0,"-0,895804",0,0,,"0,955293","-0,379828","0,895088","1,038388","-10,943252","10,838817","-11,449928","10,65856"
"0,03","2,258941",0,0,"1,104196",0,0,,"0,705293","-0,129828","0,895088","0,788388","-10,693252","11,838817","-11,699928","11,65856"
"0,031","1,258941",0,0,"-0,145804",0,0,,"0,705293","-0,379828","0,645088","0,288388","-11,443252","11,588817","-11,699928","11,40856"
"0,032","-0,491059",0,0,"1,104196",0,0,,"-0,044707","-0,379828","-0,604912","0,538388","-10,943252","11,588817","-11,449928","11,90856"
"0,033","1,008941",0,0,"0,604196",0,0,,"0,455293","-0,379828","0,145088","0,788388","-11,693252","12,088817","-12,199928","12,40856"
"0,034","-1,241059",0,0,"-1,645804",0,0,,"0,205293","-0,879828","-0,854912","0,288388","-12,693252","12,088817","-12,199928","11,15856"
"0,035","1,758941",0,0,"-0,145804",0,0,,"1,455293","0,120172","0,395088","-0,211612","-12,693252","12,588817","-13,199928","13,15856"
"0,036","0,508941",0,0,"0,354196",0,0,,"-0,044707","0,120172","-0,354912","0,788388","-12,193252","12,338817","-12,949928","13,15856"
"0,037","-0,741059",0,0,"0,354196",0,0,,"0,205293","-0,129828","-0,354912","-0,461612","-13,193252","12,338817","-11,949928","13,15856"
"0,038","0,508941",0,0,"-0,145804",0,0,,"0,205293","-0,629828","0,395088","0,538388","-13,693252","13,588817","-13,699928","13,65856"
"0,039","-2,741059",0,0,"0,604196",0,0,,"-0,294707","-1,129828","-0,354912","-0,961612","-13,693252","14,088817","-13,449928","13,65856"
"0,04","0,008941",0,0,"-0,645804",0,0,,"0,455293","-0,629828","0,895088","-0,711612","-13,693252","13,588817","-14,199928","13,65856"
"0,041","-0,241059",0,0,"2,104196",0,0,,"-0,544707","-0,629828","0,645088","0,288388","-13,693252","15,338817","-13,449928","13,90856"
"0,042","-0,991059",0,0,"0,354196",0,0,,"0,205293","-1,129828","-0,354912","0,288388","-14,193252","13,588817","-14,199928","15,15856"
"0,043","-1,241059",0,0,"0,854196",0,0,,"0,705293","-0,879828","-0,354912","-0,711612","-14,193252","14,588817","-14,199928","14,65856"
