ForceDecks Raw Data Export,2.0
Weight,82
Frequency,1000
Recording Date,2024-11-07T09:08:41
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:08:46
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-0,241059",0,0,"-4747,645804",0,0,,"2,455293","-2,379828","2,645088","-2,961612","-5829,693252","-5897,411183","5846,550072","1132,90856"
"0,001","1,258941",0,0,"-0,895804",0,0,,"3,205293","-1,629828","2,145088","-2,461612","-0,443252","-1,161183","0,800072","-0,09144"
"0,002","-0,241059",0,0,"0,354196",0,0,,"2,705293","-2,129828","2,145088","-2,961612","0,306748","0,088817","0,800072","-0,84144"
"0,003","0,258941",0,0,"-0,395804",0,0,,"3,205293","-2,629828","1,895088","-2,211612","0,806748","-0,411183","-0,449928","-0,34144"
"0,004","-0,741059",0,0,"1,604196",0,0,,"2,205293","-2,379828","1,645088","-2,211612","1,056748","-0,411183","0,800072","0,15856"
"0,005","1,008941",0,0,"0,854196",0,0,,"2,705293","-2,129828","2,395088","-1,961612","-0,193252","0,338817","0,300072","0,40856"
"0,006","-0,491059",0,0,"1,854196",0,0,,"2,705293","-2,629828","2,395088","-2,961612","0,806748","0,338817","0,800072","-0,09144"
"0,007","0,258941",0,0,"1,354196",0,0,,"2,705293","-2,379828","2,145088","-2,211612","0,056748","-0,411183","0,800072","0,90856"
"0,008","0,508941",0,0,"-1,645804",0,0,,"3,205293","-2,129828","2,145088","-2,711612","0,806748","-0,661183","-0,699928","-1,09144"
"0,009","0,508941",0,0,"-0,895804",0,0,,"2,455293","-2,379828","2,895088","-2,461612","1,306748","-0,411183","-0,449928","-1,34144"
"0,01","-0,241059",0,0,"1,104196",0,0,,"2,205293","-2,379828","2,145088","-2,211612","1,306748","0,088817","0,550072","-0,84144"
"0,011","1,008941",0,0,"-0,145804",0,0,,"3,455293","-2,129828","1,895088","-2,211612","1,556748","-0,661183","-0,199928","-0,84144"
"0,012","1,508941",0,0,"1,104196",0,0,,"3,205293","-2,879828","3,145088","-1,961612","0,556748","-0,911183","1,300072","0,15856"
"0,013","-1,241059",0,0,"1,354196",0,0,,"1,955293","-2,379828","1,895088","-2,711612","1,306748","-0,161183","0,050072","0,15856"
"0,014","-0,491059",0,0,"1,104196",0,0,,"2,205293","-2,629828","2,645088","-2,711612","1,556748","-0,411183","0,300072","-0,34144"
"0,015","-0,241059",0,0,"0,104196",0,0,,"1,955293","-2,129828","2,145088","-2,211612","0,556748","-0,411183","0,800072","-0,84144"
"0,016","0,258941",0,0,"0,604196",0,0,,"2,205293","-2,379828","2,645088","-2,211612","-0,443252","-0,411183","1,550072","-0,09144"
"0,017","0,008941",0,0,"0,604196",0,0,,"1,955293","-2,129828","1,895088","-1,711612","0,056748","0,088817","1,300072","-0,84144"
