ForceDecks Raw Data Export,2.0
Weight,"81,9"
Frequency,1000
Recording Date,2024-11-07T09:07:22
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:07:27
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-0,991059",0,0,"-0,395804",0,0,,"2,705293","-3,629828","3,395088","-3,461612","-1,193252","0,588817","-1,199928","1,40856"
"0,001","1,758941",0,0,"-0,395804",0,0,,"3,705293","-2,379828","3,145088","-2,711612","-1,443252","1,088817","-1,449928","1,40856"
"0,002","0,508941",0,0,"-0,895804",0,0,,"3,455293","-3,129828","2,645088","-2,461612","-1,193252","0,338817","-0,949928","0,90856"
"0,003","1,008941",0,0,"0,854196",0,0,,"3,455293","-3,129828","3,395088","-2,711612","-0,693252","0,338817","-0,699928","1,90856"
"0,004","-0,241059",0,0,"1,854196",0,0,,"4,205293","-4,129828","2,145088","-2,461612","0,056748","1,088817","-0,949928","1,65856"
"0,005","1,008941",0,0,"1,354196",0,0,,"4,205293","-2,879828","2,645088","-2,961612","-1,193252","2,088817","-1,449928","1,90856"
"0,006","2,008941",0,0,"1,104196",0,0,,"3,955293","-3,129828","3,395088","-2,211612","-0,693252","1,088817","-1,449928","2,15856"
"0,007","1,008941",0,0,"1,604196",0,0,,"3,455293","-3,129828","3,395088","-2,711612","-0,943252","1,088817","-0,699928","2,15856"
"0,008","2,508941",0,0,"1,104196",0,0,,"3,455293","-2,379828","3,395088","-1,961612","-1,193252","1,588817","-1,449928","2,15856"
"0,009","0,758941",0,0,"1,854196",0,0,,"3,205293","-2,879828","2,645088","-2,211612","-0,443252","2,338817","-0,949928","0,90856"
"0,01","1,008941",0,0,"-0,145804",0,0,,"3,455293","-2,379828","2,645088","-2,711612","-1,443252","1,838817","-1,199928","0,65856"
"0,011","2,008941",0,0,"1,104196",0,0,,"3,455293","-2,129828","2,395088","-1,711612","-0,193252","1,338817","-1,199928","1,15856"
"0,012","1,258941",0,0,"-2,145804",0,0,,"3,455293","-2,629828","3,395088","-2,961612","-1,943252","0,838817","-1,949928","0,90856"
"0,013","0,258941",0,0,"-1,145804",0,0,,"3,205293","-2,379828","2,395088","-2,961612","-1,193252","0,838817","-1,449928","0,65856"
"0,014","2,508941",0,0,"-1,395804",0,0,,"3,455293","-2,379828","3,645088","-2,211612","-1,943252","0,838817","-1,699928","1,40856"
"0,015","0,508941",0,0,"4,104196",0,0,,"3,705293","-3,379828","2,645088","-2,461612","-0,443252","2,338817","-0,449928","2,65856"
"0,016","0,758941",0,0,"1,104196",0,0,,"3,705293","-3,379828","3,395088","-2,961612","-0,943252","1,588817","-0,449928","0,90856"
"0,017","0,758941",0,0,"-0,645804",0,0,,"3,205293","-2,879828","2,645088","-2,211612","-1,193252","0,838817","-1,699928","1,40856"
"0,018","-0,741059",0,0,"-2,145804",0,0,,"2,705293","-3,879828","3,145088","-2,711612","-1,693252","0,338817","-1,699928","0,90856"
"0,019","0,008941",0,0,"-0,145804",0,0,,"2,955293","-3,379828","3,145088","-2,711612","-0,943252","1,088817","-1,199928","0,90856"
"0,02","-0,991059",0,0,"-0,645804",0,0,,"3,205293","-3,879828","2,395088","-2,711612","-0,693252","1,338817","-1,699928","0,40856"
"0,021","-1,241059",0,0,"0,354196",0,0,,"3,455293","-3,879828","2,145088","-2,961612","-0,693252","1,338817","-1,199928","0,90856"
"0,022","-0,991059",0,0,"0,854196",0,0,,"3,705293","-3,879828","2,645088","-3,461612","0,056748","0,838817","-0,449928","0,40856"
"0,023","0,008941",0,0,"-1,895804",0,0,,"2,705293","-2,879828","3,145088","-2,961612","-1,443252","0,588817","-1,449928","0,40856"
"0,024","-1,241059",0,0,"0,854196",0,0,,"2,205293","-3,379828","2,895088","-2,961612","-1,193252","1,588817","-0,949928","1,40856"
"0,025","-1,241059",0,0,"0,604196",0,0,,"3,455293","-3,879828","3,145088","-3,961612","-0,943252","1,088817","-0,949928","1,40856"
"0,026","-2,491059",0,0,"-0,145804",0,0,,"2,705293","-3,629828","2,145088","-3,711612","-0,693252","1,088817","-1,199928","0,65856"
"0,027","-2,741059",0,0,"-1,145804",0,0,,"2,955293","-4,379828","2,645088","-3,961612","-1,443252","0,838817","-1,199928","0,65856"
"0,028","-1,741059",0,0,"0,354196",0,0,,"3,455293","-4,629828","3,145088","-3,711612","-0,443252","0,588817","-1,199928","1,40856"
"0,029","-0,241059",0,0,"1,604196",0,0,,"2,705293","-2,629828","2,895088","-3,211612","0,556748","0,338817","-0,699928","1,40856"
"0,03","-0,741059",0,0,"-2,145804",0,0,,"3,455293","-3,879828","3,395088","-3,711612","-1,193252","0,838817","-2,199928","0,40856"
"0,031","1,258941",0,0,"-2,145804",0,0,,"2,705293","-2,379828","3,395088","-2,461612","-1,443252","0,338817","-1,199928","0,15856"
"0,032","-0,991059",0,0,"-2,395804",0,0,,"3,205293","-3,879828","3,145088","-3,461612","-0,943252","1,088817","-2,949928","0,40856"
"0,033","-2,241059",0,0,"-0,145804",0,0,,"2,455293","-3,379828","2,645088","-3,961612","-0,943252","0,588817","-1,449928","1,65856"
"0,034","-2,491059",0,0,"-0,895804",0,0,,"2,705293","-4,129828","2,645088","-3,711612","-1,193252","0,838817","-1,699928","1,15856"
"0,035","0,508941",0,0,"-1,145804",0,0,,"2,955293","-2,379828","2,895088","-2,961612","-1,443252","1,838817","-2,449928","0,90856"
"0,036","-0,991059",0,0,"-1,145804",0,0,,"2,955293","-3,379828","2,395088","-2,961612","-1,443252","1,088817","-1,449928","0,65856"
"0,037","-0,741059",0,0,"-0,895804",0,0,,"2,705293","-2,629828","2,895088","-3,711612","-1,693252","0,838817","-0,949928","0,90856"
"0,038","-1,491059",0,0,"1,104196",0,0,,"2,455293","-3,379828","2,645088","-3,211612","-0,193252","1,838817","-0,699928","0,15856"
"0,039","0,258941",0,0,"-1,145804",0,0,,"2,705293","-3,129828","3,395088","-2,711612","-1,193252","0,338817","-1,199928","0,90856"
"0,04","0,258941",0,0,"-1,895804",0,0,,"3,455293","-3,129828","2,645088","-2,711612","-1,943252","0,338817","-1,699928","1,40856"
"0,041","-0,991059",0,0,"-1,145804",0,0,,"2,955293","-3,379828","2,895088","-3,461612","-1,443252","1,088817","-0,949928","0,15856"
"0,042","-0,491059",0,0,"1,354196",0,0,,"3,455293","-2,879828","1,895088","-2,961612","-0,943252","1,588817","-0,449928","1,15856"
"0,043","0,758941",0,0,"3,604196",0,0,,"3,705293","-3,379828","3,395088","-2,961612","0,056748","2,338817","-0,449928","1,65856"
"0,044","0,258941",0,0,"0,604196",0,0,,"4,205293","-3,629828","2,645088","-2,961612","-0,693252","1,338817","-1,199928","1,15856"
"0,045","1,258941",0,0,"0,354196",0,0,,"3,455293","-3,129828","3,395088","-2,461612","-0,443252","1,088817","-1,949928","1,65856"
"0,046","1,258941",0,0,"2,604196",0,0,,"3,955293","-3,379828","2,895088","-2,211612","-0,443252","2,088817","-0,699928","1,65856"
