ForceDecks Raw Data Export,2.0
Weight,"81,8"
Frequency,1000
Recording Date,2024-11-07T09:02:50
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:02:55
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"392,508941","23,574479","-48,846372","410,854196","-18,218896","-51,936601",,"34,205293","132,370172","95,145088","130,788388","83,556748","88,838817","91,300072","147,15856"
"0,001","393,508941","23,138467","-49,543062","412,104196","-18,253418","-52,366903",,"34,205293","132,370172","95,145088","131,788388","84,056748","88,588817","92,050072","147,40856"
"0,002","393,008941","22,603032","-50,838888","411,854196","-19,073036","-51,418367",,"34,205293","131,370172","95,145088","132,288388","85,056748","88,088817","91,300072","147,40856"
"0,003","394,258941","22,81291","-49,65363","411,104196","-18,477822","-52,101439",,"34,955293","131,870172","95,645088","131,788388","84,556748","87,838817","92,050072","146,65856"
"0,004","394,258941","22,625216","-49,65363","411,354196","-18,556538","-52,658683",,"35,455293","131,370172","95,895088","131,538388","85,056748","87,088817","92,800072","146,40856"
"0,005","393,758941","23,02981","-50,53698","410,104196","-18,522878","-51,834682",,"34,705293","131,370172","96,145088","131,538388","84,806748","87,338817","92,050072","145,90856"
"0,006","394,008941","24,048169","-49,89008","411,854196","-18,53401","-52,986884",,"34,205293","132,370172","96,645088","130,788388","84,806748","87,338817","92,800072","146,90856"
"0,007","393,508941","22,762364","-51,184701","412,604196","-18,769344","-52,69486",,"35,205293","130,370172","96,645088","131,288388","85,306748","87,338817","92,800072","147,15856"
"0,008","389,758941","23,645881","-51,469987","411,354196","-18,376645","-53,443895",,"34,205293","129,620172","96,395088","129,538388","85,056748","86,588817","93,550072","146,15856"
"0,009","391,758941","23,525165","-48,733764","410,104196","-18,883762","-54,591298",,"35,205293","131,120172","95,895088","129,538388","84,806748","85,588817","93,300072","146,40856"
"0,01","391,758941","23,902948","-51,207224","411,354196","-18,916326","-53,836501",,"34,205293","130,620172","96,895088","130,038388","85,556748","85,838817","93,550072","146,40856"
"0,011","392,758941","23,465267","-51,076845","412,104196","-18,253418","-53,934468",,"34,955293","130,370172","97,145088","130,288388","85,306748","86,338817","94,300072","146,15856"
"0,012","390,508941","23,316223","-51,577917","412,104196","-19,151249","-52,758794",,"34,955293","129,120172","96,895088","129,538388","86,556748","85,838817","93,550072","146,15856"
"0,013","391,008941","24,043424","-50,27286","411,354196","-18,196751","-51,480866",,"34,955293","130,120172","97,145088","128,788388","86,806748","86,088817","94,300072","144,15856"
"0,014","394,758941","23,53384","-50,40896","411,854196","-19,073036","-52,986884",,"36,205293","130,370172","98,395088","129,788388","86,556748","85,588817","93,800072","145,90856"
"0,015","392,758941","23,653678","-49,843264","408,354196","-19,780157","-53,441034",,"36,205293","129,870172","97,895088","128,788388","85,806748","84,588817","92,300072","145,65856"
"0,016","391,508941","24,20173","-53,096202","409,854196","-18,805004","-53,245448",,"34,205293","129,370172","98,395088","129,538388","85,806748","85,338817","93,550072","145,15856"
"0,017","393,758941","23,02981","-49,716681","411,354196","-18,916326","-53,836501",,"36,705293","129,870172","97,645088","129,538388","86,056748","85,338817","94,050072","145,90856"
"0,018","393,508941","22,950415","-51,184701","410,104196","-18,70332","-53,409891",,"36,205293","129,370172","97,895088","130,038388","86,306748","84,838817","94,300072","144,65856"
"0,019","392,508941","23,385948","-50,492194","410,854196","-19,299572","-52,329684",,"36,205293","129,370172","97,895088","129,038388","87,556748","84,588817","94,050072","144,65856"
"0,02","393,758941","23,02981","-48,896382","410,604196","-18,680545","-52,558207",,"37,205293","129,870172","97,645088","129,038388","86,556748","85,338817","94,050072","144,65856"
"0,021","392,258941","24,061131","-51,553669","410,354196","-19,503419","-53,180571",,"35,705293","129,120172","98,895088","128,538388","87,306748","84,088817","94,050072","144,90856"
"0,022","393,008941","23,167904","-50,838888","411,604196","-18,994729","-52,822883",,"36,455293","129,120172","98,145088","129,288388","87,556748","84,588817","94,800072","144,65856"
"0,023","392,508941","23,008886","-49,669283","411,604196","-18,994729","-53,21525",,"36,955293","129,120172","97,645088","128,788388","87,056748","84,838817","94,550072","145,15856"
"0,024","389,508941","23,756049","-51,29571","410,604196","-18,500322","-52,558207",,"35,455293","128,370172","97,645088","128,038388","86,306748","85,588817","94,050072","144,65856"
"0,025","392,258941","23,117876","-49,906798","411,604196","-18,455375","-53,999985",,"36,705293","129,120172","97,645088","128,788388","86,556748","84,838817","95,300072","144,90856"
"0,026","392,258941","23,683829","-50,730234","410,104196","-19,064204","-53,409891",,"36,205293","129,120172","98,395088","128,538388","86,806748","84,338817","94,300072","144,65856"
"0,027","391,258941","23,176962","-50,034352","410,854196","-18,759234","-54,295102",,"36,705293","128,620172","97,645088","128,288388","86,806748","84,088817","95,300072","144,65856"
"0,028","390,508941","23,316223","-50,750791","411,354196","-19,096219","-52,266078",,"36,205293","128,370172","97,645088","128,288388","87,306748","85,088817","94,050072","144,90856"
"0,029","390,508941","23,316223","-50,750791","412,104196","-18,432984","-51,975012",,"36,205293","128,370172","97,645088","128,288388","88,056748","84,838817","95,550072","143,65856"
"0,03","392,008941","23,415776","-49,732635","410,854196","-18,579121","-53,508935",,"36,205293","129,620172","97,395088","128,788388","86,806748","84,588817","95,050072","144,40856"
"0,031","389,758941","23,835742","-50,64127","411,604196","-18,455375","-53,21525",,"35,955293","128,370172","97,895088","127,538388","86,806748","85,088817","95,050072","144,65856"
"0,032","392,258941","22,929225","-50,318516","412,104196","-18,61255","-52,366903",,"37,205293","128,370172","98,145088","128,538388","87,806748","84,838817","95,300072","144,15856"
"0,033","393,508941","23,702622","-50,774292","410,604196","-19,040989","-52,95153",,"37,205293","128,620172","99,645088","128,038388","87,056748","84,588817","94,300072","144,65856"
"0,034","393,508941","23,326519","-49,543062","411,104196","-19,377837","-53,279973",,"37,205293","129,370172","98,395088","128,538388","87,806748","83,838817","94,800072","144,65856"
"0,035","393,258941","24,376289","-49,779892","410,104196","-18,70332","-52,228484",,"36,455293","129,870172","99,145088","127,788388","87,306748","84,588817","94,550072","143,65856"
"0,036","394,008941","22,921291","-51,939526","411,854196","-19,073036","-52,986884",,"36,955293","128,370172","99,145088","129,538388","87,306748","84,838817","94,550072","145,15856"
"0,037","392,258941","23,683829","-50,318516","410,604196","-19,401433","-51,771562",,"37,455293","128,120172","99,395088","127,288388","88,056748","84,338817","94,050072","144,15856"
"0,038","393,758941","23,781539","-50,12683","411,604196","-18,455375","-51,645782",,"36,955293","129,370172","99,145088","128,288388","87,556748","85,338817","94,800072","143,90856"
"0,039","393,008941","23,544486","-49,606092","409,854196","-18,082796","-52,457363",,"37,705293","128,620172","99,145088","127,538388","86,806748","84,838817","95,050072","143,15856"
"0,04","393,008941","22,979614","-50,427956","411,854196","-18,354335","-52,594755",,"37,455293","128,370172","98,645088","128,538388","87,556748","84,838817","95,550072","143,90856"
"0,041","392,008941","23,793319","-50,556596","410,854196","-18,579121","-52,329684",,"36,455293","128,870172","98,645088","128,038388","87,306748","84,838817","94,800072","143,90856"
"0,042","392,508941","23,008886","-48,846372","412,354196","-18,511537","-52,530981",,"38,205293","128,370172","98,395088","127,538388","88,306748","84,338817","96,050072","143,65856"
"0,043","392,508941","23,574479","-50,080739","409,854196","-18,985556","-53,639491",,"37,455293","128,370172","99,145088","127,538388","87,306748","83,588817","95,050072","143,90856"
"0,044","392,008941","23,98209","-50,144616","411,104196","-18,657825","-53,279973",,"36,705293","128,870172","98,895088","127,538388","87,556748","84,088817","95,550072","143,90856"
"0,045","392,758941","23,276857","-50,254458","410,354196","-18,782091","-51,999883",,"37,955293","127,870172","99,395088","127,538388","88,056748","84,088817","95,050072","143,15856"
"0,046","391,508941","24,012718","-50,621162","410,354196","-19,142755","-51,999883",,"36,455293","128,620172","98,895088","127,538388","88,306748","83,838817","94,800072","143,40856"
"0,047","392,758941","23,276857","-49,020877","411,104196","-18,657825","-54,065662",,"37,705293","128,870172","98,395088","127,788388","87,556748","83,588817","96,050072","143,90856"
"0,048","391,258941","22,798696","-50,859893","410,604196","-18,680545","-52,95153",,"37,455293","127,370172","98,395088","128,038388","87,556748","84,088817","95,300072","143,65856"
"0,049","391,758941","22,95849","-50,382737","411,854196","-18,53401","-53,379013",,"38,205293","127,120172","99,145088","127,288388","87,806748","84,088817","96,050072","143,90856"
"0,05","391,758941","24,280731","-50,382737","411,604196","-19,174513","-53,21525",,"36,955293","128,370172","99,645088","126,788388","88,556748","83,338817","95,800072","143,90856"
"0,051","393,008941","23,167904","-49,19516","412,604196","-18,769344","-53,086276",,"38,455293","128,120172","99,145088","127,288388","88,306748","84,088817","96,050072","144,15856"
"0,052","390,758941","23,964119","-50,098374","411,104196","-18,657825","-52,101439",,"36,955293","128,120172","98,895088","126,788388","88,306748","84,088817","95,550072","143,15856"
