ForceDecks Raw Data Export,2.0
Weight,"89,6"
Frequency,1000
Recording Date,2024-10-08T11:15:58
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T11:16:03
AthleteId,dac72f1f-f7ba-437f-959a-b9129c16eb9c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"701,542807","17,005781","-34,560952","170,246344","36,838718","-1,241939",,"125,308491","187,930425","203,145991","185,157901","13,467099","71,328774","34,982429","50,468042"
"0,001","704,042807","16,735181","-34,438229","167,746344","36,064315","-9,925316",,"126,308491","188,180425","203,645991","185,907901","12,217099","69,078774","35,232429","51,218042"
"0,002","708,292807","17,000432","-33,661555","165,246344","34,818665","-6,166161",,"127,558491","189,680425","205,145991","185,907901","12,717099","68,328774","33,732429","50,468042"
"0,003","711,542807","17,18278","-34,98312","158,496344","34,667406","-8,976141",,"126,808491","190,430425","206,645991","187,657901","10,717099","66,328774","31,482429","49,968042"
"0,004","714,042807","16,811714","-35,312991","155,496344","33,432664","-8,110708",,"127,308491","190,680425","206,895991","189,157901","10,217099","65,578774","29,732429","49,968042"
"0,005","718,292807","17,278864","-35,666148","151,996344","33,228806","-11,485049",,"127,058491","192,430425","208,645991","190,157901","8,967099","64,328774","28,732429","49,968042"
"0,006","723,292807","17,057108","-34,526456","146,496344","35,991731","-7,506573",,"129,058491","193,930425","209,395991","190,907901","7,967099","63,578774","27,482429","47,468042"
"0,007","728,292807","16,940005","-34,732922","144,246344","33,73158","-13,781531",,"130,058491","194,930425","210,895991","192,407901","7,967099","61,078774","27,482429","47,718042"
"0,008","733,042807","17,284507","-35,278959","139,746344","33,758715","-8,446987",,"130,308491","196,180425","213,145991","193,407901","6,967099","61,078774","24,732429","46,968042"
"0,009","736,542807","16,800495","-35,769119","136,496344","31,038612","-15,155611",,"131,058491","196,430425","213,645991","195,407901","6,467099","58,578774","23,982429","47,468042"
"0,01","742,792807","17,10744","-34,924594","133,746344","31,95345","-14,863475",,"132,308491","198,930425","215,395991","196,157901","5,467099","58,328774","22,982429","46,968042"
"0,011","742,792807","17,207064","-35,794285","130,246344","31,107645","-15,262889",,"132,058491","198,180425","216,395991","196,157901","4,967099","57,078774","21,732429","46,468042"
"0,012","747,792807","17,19097","-35,338983","126,246344","34,437885","-20,86346",,"132,558491","200,430425","216,895991","197,907901","3,467099","55,578774","22,232429","44,968042"
"0,013","751,042807","16,870255","-35,723646","123,746344","30,947638","-16,0646",,"134,308491","199,680425","218,645991","198,407901","3,717099","55,078774","19,732429","45,218042"
"0,014","754,042807","16,901273","-36,009875","118,996344","33,73765","-10,598523",,"134,058491","200,930425","219,145991","199,907901","2,967099","54,578774","18,482429","42,968042"
"0,015","759,292807","17,222978","-35,86724","115,996344","32,058399","-12,264917",,"134,558491","202,930425","220,895991","200,907901","2,467099","53,328774","17,232429","42,968042"
"0,016","761,792807","17,069318","-36,173533","113,246344","31,203277","-16,127986",,"135,308491","202,930425","221,895991","201,657901","1,467099","52,328774","16,232429","43,218042"
"0,017","766,792807","17,151026","-36,358893","110,496344","32,314708","-14,336995",,"136,058491","204,180425","223,645991","202,907901","0,967099","51,828774","15,482429","42,218042"
"0,018","770,292807","17,265231","-36,403348","106,996344","31,988542","-14,805978",,"136,308491","205,430425","224,645991","203,907901","0,467099","50,578774","14,482429","41,468042"
"0,019","774,542807","17,218265","-36,933385","104,746344","33,735374","-14,353107",,"136,558491","206,430425","225,895991","205,657901","-0,032901","50,078774","14,232429","40,468042"
"0,02","776,792807","17,216024","-36,098735","97,996344","31,905854","-11,221699",,"137,558491","207,430425","226,145991","205,657901","-1,282901","48,578774","10,982429","39,718042"
"0,021","781,792807","17,011264","-36,281016","95,246344","35,54632","-15,784705",,"139,058491","207,930425","227,895991","206,907901","-2,282901","47,578774","11,482429","38,468042"
"0,022","784,542807","17,376086","-36,462621","94,996344","31,355492","-18,376344",,"138,808491","209,180425","229,145991","207,407901","-2,532901","47,328774","10,232429","39,968042"
"0,023","788,792807","17,141743","-36,573276","91,746344","31,256363","-9,345718",,"139,808491","209,930425","230,145991","208,907901","-2,282901","46,828774","8,732429","38,468042"
"0,024","792,792807","17,055255","-36,796168","89,746344","31,952912","-7,754472",,"140,308491","210,930425","231,145991","210,407901","-2,782901","46,578774","7,982429","37,968042"
"0,025","795,042807","16,867373","-35,777932","85,996344","32,055515","-12,787584",,"141,558491","211,930425","230,895991","210,657901","-3,532901","44,828774","7,482429","37,218042"
"0,026","800,042807","16,946948","-35,95806","82,246344","33,067209","-22,20689",,"142,308491","213,180425","232,645991","211,907901","-4,782901","43,078774","7,232429","36,718042"
"0,027","802,792807","17,119341","-36,740162","79,496344","30,953085","-19,927778",,"142,558491","213,180425","234,645991","212,407901","-4,282901","41,578774","6,482429","35,718042"
"0,028","805,542807","17,290557","-37,115951","76,996344","29,074849","-18,477312",,"142,808491","213,680425","236,145991","212,907901","-5,032901","41,328774","4,732429","35,968042"
"0,029","808,792807","17,541308","-36,866967","71,996344","33,149698","-10,787846",,"142,558491","215,680425","236,645991","213,907901","-5,782901","40,578774","3,482429","33,718042"
