ForceDecks Raw Data Export,2.0
Weight,"89,5"
Frequency,1000
Recording Date,2024-10-08T11:17:22
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T11:17:25
AthleteId,dac72f1f-f7ba-437f-959a-b9129c16eb9c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"402,292807","52,373006","-2,661587","476,246344","2,758356","-24,181677",,"55,308491","144,180425","128,145991","74,657901","98,967099","121,328774","121,232429","134,718042"
"0,001","401,542807","52,747262","-0,856664","476,746344","2,755463","-23,140053",,"55,308491","144,930425","127,395991","73,907901","98,717099","122,578774","120,232429","135,218042"
"0,002","402,292807","52,005115","-1,858689","475,996344","3,148463","-24,364022",,"55,808491","144,180425","127,645991","74,657901","98,217099","121,828774","121,232429","134,718042"
"0,003","401,042807","52,259467","-1,663133","475,496344","2,218013","-23,710352",,"55,308491","144,180425","127,145991","74,407901","98,467099","121,828774","119,482429","135,718042"
"0,004","402,792807","52,859145","-1,054481","476,746344","2,445026","-23,817562",,"55,558491","145,180425","128,145991","73,907901","99,217099","121,578774","120,732429","135,218042"
"0,005","403,042807","52,734556","-1,254178","475,246344","2,76416","-23,213089",,"55,808491","144,930425","128,395991","73,907901","98,717099","121,828774","120,232429","134,468042"
"0,006","401,792807","52,069831","-1,459054","478,496344","2,977363","-24,236727",,"56,058491","143,930425","127,645991","74,157901","98,717099","122,578774","121,482429","135,718042"
"0,007","401,542807","51,825816","-1,661062","475,246344","3,231286","-23,213089",,"55,808491","143,930425","127,145991","74,657901","98,467099","122,078774","120,732429","133,968042"
"0,008","401,042807","52,259467","-2,871233","477,996344","2,670851","-24,26208",,"55,558491","143,180425","128,145991","74,157901","99,217099","121,828774","121,482429","135,468042"
"0,009","399,792807","52,700507","-2,678231","476,246344","2,913738","-25,538118",,"54,808491","143,430425","127,645991","73,907901","98,217099","121,078774","121,732429","135,218042"
"0,01","403,042807","52,367349","-1,254178","476,746344","3,22112","-25,17258",,"55,558491","145,180425","127,645991","74,657901","98,217099","121,578774","121,982429","134,968042"
"0,011","402,042807","53,049783","-2,462393","477,746344","2,90459","-22,753571",,"54,808491","144,680425","128,395991","74,157901","99,467099","122,578774","120,982429","134,718042"
"0,012","401,542807","52,747262","-1,661062","477,496344","2,673648","-24,287485",,"55,308491","144,430425","127,895991","73,907901","98,717099","122,078774","120,982429","135,718042"
"0,013","402,292807","52,373006","-2,661587","479,496344","3,125482","-25,87024",,"55,308491","144,180425","128,145991","74,657901","98,467099","122,078774","122,732429","136,218042"
"0,014","401,542807","53,11584","-0,052267","476,996344","2,986725","-23,63579",,"55,308491","145,430425","127,395991","73,407901","98,967099","122,078774","121,232429","134,718042"
"0,015","402,542807","52,064732","-0,854536","475,246344","3,231286","-23,892736",,"55,808491","144,930425","127,145991","74,657901","97,967099","122,078774","120,732429","134,468042"
"0,016","401,542807","52,010105","-0,454466","476,496344","2,834559","-25,355253",,"55,558491","144,930425","126,395991","74,657901","98,717099","120,828774","121,982429","134,968042"
"0,017","400,042807","53,130023","-0,45617","478,496344","2,66806","-23,899212",,"55,058491","144,680425","127,145991","73,157901","99,467099","122,078774","121,482429","135,468042"
"0,018","403,042807","51,632936","-2,856985","475,746344","2,761255","-24,546559",,"55,558491","144,180425","127,645991","75,657901","98,467099","121,328774","120,982429","134,968042"
"0,019","402,042807","52,497603","-1,257297","479,496344","2,971153","-24,186181",,"55,308491","144,930425","127,395991","74,407901","99,967099","121,828774","122,732429","134,968042"
"0,02","401,292807","52,68792","-1,863321","476,996344","2,67645","-22,958636",,"55,308491","144,180425","127,895991","73,907901","99,467099","122,078774","120,732429","134,718042"
"0,021","403,042807","52,550953","-2,456283","476,496344","2,213358","-24,677389",,"55,808491","144,180425","128,895991","74,157901","98,967099","121,078774","120,732429","135,718042"
"0,022","402,792807","52,307993","-1,054481","476,246344","2,447593","-24,520788",,"55,808491","144,930425","127,645991","74,407901","98,967099","121,078774","120,982429","135,218042"
"0,023","403,042807","52,183746","-1,65488","476,746344","3,065901","-25,511335",,"55,808491","144,680425","127,895991","74,657901","98,217099","121,328774","121,982429","135,218042"
"0,024","400,542807","52,139954","-1,262006","477,746344","2,439908","-24,781844",,"55,808491","143,680425","127,145991","73,907901","99,217099","121,328774","121,482429","135,718042"
