ForceDecks Raw Data Export,2.0
Weight,"89,5"
Frequency,1000
Recording Date,2024-10-08T11:16:52
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T11:16:57
AthleteId,dac72f1f-f7ba-437f-959a-b9129c16eb9c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"120,042807","95,684896","-10,93766","760,996344","-34,690499","-7,599492",,"1,058491","56,930425","41,895991","20,157901","221,467099","150,078774","141,232429","248,218042"
"0,001","119,542807","96,085108","-9,632427","759,996344","-34,833514","-8,671996",,"0,558491","57,430425","41,145991","20,407901","220,717099","149,078774","141,482429","248,718042"
"0,002","118,042807","97,306086","-5,650386","759,246344","-34,916655","-8,786918",,"1,058491","56,930425","40,895991","19,157901","220,467099","148,828774","141,232429","248,718042"
"0,003","119,042807","95,867057","-12,386195","762,996344","-34,502581","-8,002903",,"0,558491","56,680425","41,395991","20,407901","221,717099","150,328774","142,232429","248,718042"
"0,004","119,042807","96,488682","-12,386195","759,996344","-34,736145","-8,671996",,"0,308491","56,930425","41,395991","20,407901","220,467099","149,328774","141,482429","248,718042"
"0,005","119,292807","95,355988","-7,621896","758,496344","-34,707277","-8,689146",,"1,308491","56,930425","41,145991","19,907901","219,967099","149,078774","141,232429","248,218042"
"0,006","120,292807","95,178455","-8,901092","760,996344","-34,496017","-8,236157",,"1,058491","57,430425","41,395991","20,407901","220,967099","149,828774","141,982429","248,218042"
"0,007","119,542807","96,085108","-6,930466","759,996344","-34,930882","-8,671996",,"1,058491","57,430425","41,145991","19,907901","220,717099","149,078774","141,232429","248,968042"
"0,008","120,042807","98,150683","-9,592306","758,746344","-35,427311","-8,792709",,"0,808491","57,430425","42,395991","19,407901","220,967099","148,078774","140,482429","249,218042"
"0,009","118,792807","97,003209","-10,372997","761,246344","-35,116547","-9,612441",,"1,308491","56,180425","42,145991","19,157901","220,467099","148,828774","141,482429","250,468042"
"0,01","116,792807","98,030725","-7,785046","762,496344","-34,719305","-8,219955",,"0,558491","56,430425","40,645991","19,157901","221,967099","149,578774","142,232429","248,718042"
