ForceDecks Raw Data Export,2.0
Weight,"89,4"
Frequency,1000
Recording Date,2024-10-08T11:20:21
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T11:20:24
AthleteId,dac72f1f-f7ba-437f-959a-b9129c16eb9c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-1,957193",0,0,"0,746344",0,0,,"5,058491","-5,819575","5,145991","-6,342099","-18,282901","18,078774","-18,017571","18,968042"
"0,001","-0,457193",0,0,"-1,503656",0,0,,"5,308491","-6,069575","6,395991","-6,092099","-18,032901","17,828774","-19,517571","18,218042"
"0,002","1,042807",0,0,"0,246344",0,0,,"5,308491","-5,319575","6,395991","-5,342099","-17,782901","18,078774","-19,267571","19,218042"
"0,003","-1,707193",0,0,"1,496344",0,0,,"5,558491","-6,319575","5,145991","-6,092099","-18,282901","18,578774","-17,517571","18,718042"
"0,004","0,042807",0,0,"0,496344",0,0,,"5,058491","-4,569575","4,895991","-5,342099","-18,282901","18,828774","-18,767571","18,718042"
"0,005","-1,457193",0,0,"-0,003656",0,0,,"5,558491","-6,069575","4,895991","-5,842099","-19,282901","18,078774","-18,767571","19,968042"
"0,006","-0,957193",0,0,"-0,503656",0,0,,"4,808491","-5,069575","5,645991","-6,342099","-19,032901","18,578774","-18,767571","18,718042"
"0,007","0,792807",0,0,"0,246344",0,0,,"5,308491","-4,069575","5,395991","-5,842099","-17,782901","18,328774","-18,767571","18,468042"
"0,008","0,042807",0,0,"1,996344",0,0,,"5,558491","-5,569575","5,895991","-5,842099","-18,032901","19,328774","-19,017571","19,718042"
"0,009","0,542807",0,0,"0,746344",0,0,,"5,808491","-5,319575","5,395991","-5,342099","-17,782901","18,578774","-18,767571","18,718042"
"0,01","0,042807",0,0,"0,746344",0,0,,"4,558491","-4,569575","5,895991","-5,842099","-18,282901","19,078774","-19,017571","18,968042"
"0,011","-0,707193",0,0,"-1,253656",0,0,,"5,558491","-6,069575","5,395991","-5,592099","-19,032901","18,078774","-19,017571","18,718042"
"0,012","-0,207193",0,0,"1,746344",0,0,,"4,558491","-5,569575","5,645991","-4,842099","-17,282901","19,328774","-18,267571","17,968042"
