ForceDecks Raw Data Export,2.0
Weight,"89,5"
Frequency,1000
Recording Date,2024-10-08T11:15:06
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T11:15:12
AthleteId,dac72f1f-f7ba-437f-959a-b9129c16eb9c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"412,292807","-18,357624","-13,173253","459,746344","52,91539","-1,513738",,"107,558491","90,180425","90,395991","124,157901","58,967099","169,828774","142,232429","88,718042"
"0,001","414,792807","-18,425383","-11,536452","461,496344","52,955256","0,066771",,"109,308491","90,680425","90,895991","123,907901","59,717099","171,078774","142,232429","88,468042"
"0,002","414,292807","-18,626238","-12,330017","460,496344","52,909556","-0,634501",,"109,058491","90,180425","90,895991","124,157901","59,467099","170,328774","142,232429","88,468042"
"0,003","412,792807","-19,052455","-11,983584","463,746344","52,937683","-1,500681",,"109,058491","89,680425","90,145991","123,907901","59,217099","171,578774","143,232429","89,718042"
"0,004","415,292807","-18,4032","-11,911445","461,996344","52,417421","-1,331581",,"109,308491","90,680425","91,145991","124,157901","59,217099","170,828774","141,982429","89,968042"
"0,005","415,042807","-18,860022","-11,724061","462,746344","53,052082","-1,154921",,"109,308491","90,680425","90,395991","124,657901","59,217099","171,328774","142,982429","89,218042"
"0,006","414,542807","-18,70426","-12,517374","462,746344","53,052082","-1,154921",,"108,558491","90,680425","90,395991","124,907901","59,217099","171,328774","142,982429","89,218042"
"0,007","415,292807","-18,225012","-11,13368","461,996344","53,538642","0,066699",,"109,558491","90,930425","91,145991","123,657901","58,717099","172,328774","142,232429","88,718042"
"0,008","415,792807","-18,203096","-12,285536","463,496344","53,525033","0,414921",,"108,808491","91,180425","91,145991","124,657901","59,217099","172,828774","142,732429","88,718042"
"0,009","415,542807","-18,303088","-12,487251","464,996344","52,397524","-0,975675",,"108,808491","90,930425","91,145991","124,657901","59,967099","171,828774","142,982429","90,218042"
"0,01","416,292807","-18,892271","-12,27078","463,246344","52,515594","-0,805048",,"109,308491","90,930425","90,645991","125,407901","59,467099","171,578774","142,232429","89,968042"
"0,011","414,542807","-18,16873","-11,738202","462,746344","53,211997","0,939099",,"108,558491","91,180425","90,645991","124,157901","59,467099","172,578774","141,982429","88,718042"
"0,012","414,292807","-18,983473","-13,49948","462,746344","53,211997","-0,456914",,"108,308491","90,180425","90,395991","125,407901","58,717099","172,328774","142,232429","89,468042"
"0,013","414,792807","-18,782188","-11,536452","460,246344","53,340254","-0,459396",,"110,058491","89,930425","91,145991","123,657901","58,467099","171,328774","141,732429","88,718042"
"0,014","414,792807","-18,425383","-12,315154","462,996344","52,943522","-1,328705",,"109,308491","90,180425","91,395991","123,907901","59,217099","171,328774","142,982429","89,468042"
"0,015","414,042807","-19,084298","-11,362321","460,996344","53,494257","-2,035126",,"109,308491","90,430425","89,895991","124,407901","57,467099","171,578774","142,232429","89,718042"
"0,016","414,792807","-18,246981","-11,536452","462,246344","52,949379","-0,108028",,"109,558491","90,430425","91,395991","123,407901","59,467099","171,578774","142,232429","88,968042"
"0,017","413,542807","-18,212665","-11,376059","460,746344","53,121761","-0,458898",,"108,808491","90,680425","90,645991","123,407901","58,967099","171,078774","141,982429","88,718042"
"0,018","412,542807","-19,333064","-12,186584","460,746344","53,442979","-0,809416",,"109,058491","89,430425","89,895991","124,157901","58,217099","171,578774","141,982429","88,968042"
"0,019","412,292807","-18,716593","-12,781541","461,996344","52,577596","0,066699",,"108,308491","89,680425","90,395991","123,907901","59,717099","171,328774","141,732429","89,218042"
"0,02","412,542807","-18,794938","-12,186584","460,746344","53,442979","-0,809416",,"109,058491","89,430425","90,645991","123,407901","58,467099","171,328774","142,232429","88,718042"
"0,021","411,792807","-19,278424","-11,22831","459,996344","53,288808","-0,284101",,"109,558491","89,180425","89,895991","123,157901","58,717099","171,078774","141,732429","88,468042"
"0,022","411,292807","-19,481781","-11,24196","460,496344","52,74886","-0,98521",,"109,058491","89,430425","89,145991","123,657901","58,967099","170,578774","141,732429","89,218042"
"0,023","412,042807","-19,356524","-11,417472","460,746344","52,800543","-0,10838",,"109,558491","89,180425","89,895991","123,407901","59,467099","170,828774","141,732429","88,718042"
"0,024","413,542807","-19,286314","-12,547643","459,996344","53,932292","0,418078",,"109,308491","89,430425","90,395991","124,407901","58,217099","172,078774","141,732429","87,968042"
"0,025","412,542807","-18,794938","-9,837736","462,996344","52,943522","0,066555",,"109,808491","90,180425","89,895991","122,657901","58,967099","172,578774","141,732429","89,718042"
"0,026","413,542807","-19,286314","-10,595003","459,996344","53,288808","-0,635191",,"110,058491","89,930425","89,895991","123,657901","58,217099","171,328774","141,482429","88,968042"
"0,027","411,292807","-19,12194","-12,027289","459,996344","53,288808","0,066989",,"108,808491","89,180425","89,895991","123,407901","58,717099","171,328774","141,482429","88,468042"
"0,028","413,292807","-19,208456","-11,969087","462,246344","53,589731","-0,806789",,"109,058491","89,930425","89,895991","124,407901","58,217099","172,328774","142,482429","89,218042"
"0,029","413,792807","-18,469911","-12,735208","462,746344","53,371912","0,590095",,"109,308491","89,430425","91,645991","123,407901","59,217099","172,578774","142,232429","88,718042"
"0,03","411,792807","-19,817531","-12,012685","460,246344","53,501038","-0,459396",,"109,808491","88,430425","89,895991","123,657901","58,217099","171,578774","141,732429","88,718042"
"0,031","412,792807","-19,052455","-12,374822","461,246344","53,705915","0,241876",,"109,058491","89,430425","90,395991","123,907901","58,467099","172,328774","141,982429","88,468042"
"0,032","413,792807","-19,364079","-11,564332","461,996344","53,218294","-0,982011",,"109,808491","89,680425","90,145991","124,157901","58,467099","171,828774","142,232429","89,468042"
"0,033","415,542807","-18,659249","-11,321306","461,496344","52,794908","0,766668",,"110,308491","90,180425","91,395991","123,657901","59,967099","171,328774","141,732429","88,468042"
