ForceDecks Raw Data Export,2.0
Weight,"87,1"
Frequency,1000
Recording Date,2024-11-07T11:59:25
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T11:59:29
AthleteId,46ef7225-3d03-495b-998c-287b01f5f585

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"447,115923","-64,624902","-16,103572","418,105956","35,3829","-2,857578",,"149,765899","62,646298","63,29402","171,409706","71,950522","135,252966","123,77907","87,123398"
"0,001","447,365923","-65,002319","-16,636076","419,105956","35,121909","-4,77748",,"150,265899","61,896298","63,54402","171,659706","71,700522","134,752966","124,52907","88,123398"
"0,002","447,115923","-64,790407","-18,270796","418,855956","35,231208","-4,973119",,"149,015899","61,896298","63,79402","172,409706","71,450522","134,752966","124,52907","88,123398"
"0,003","447,115923","-65,286922","-16,82598","417,855956","34,961333","-3,82553",,"150,265899","61,646298","63,29402","171,909706","71,950522","134,502966","123,77907","87,623398"
"0,004","448,615923","-64,408821","-18,209705","418,105956","36,267843","-4,016375",,"149,515899","62,146298","64,54402","172,409706","70,950522","135,502966","124,77907","86,873398"
"0,005","449,115923","-64,172346","-17,110646","416,355956","35,97595","-5,778758",,"150,265899","62,396298","64,79402","171,659706","69,950522","134,502966","124,27907","87,623398"
"0,006","447,365923","-64,836906","-16,636076","418,355956","35,803963","-4,593027",,"149,515899","62,646298","63,04402","172,159706","70,950522","135,252966","124,52907","87,623398"
"0,007","448,365923","-64,857343","-17,319366","418,605956","35,340637","-4,397382",,"149,765899","62,396298","63,54402","172,659706","71,700522","134,752966","124,52907","87,623398"
"0,008","448,615923","-64,738724","-17,489713","418,105956","35,028922","-4,402641",,"150,265899","61,896298","64,29402","172,159706","71,450522","134,752966","123,77907","88,123398"
"0,009","447,865923","-64,434066","-16,617504","418,105956","34,851934","-4,402641",,"149,765899","62,646298","63,79402","171,659706","71,700522","134,502966","123,77907","88,123398"
"0,01","446,615923","-65,194322","-17,206426","416,855956","35,222721","-3,834707",,"149,265899","62,146298","62,79402","172,409706","71,200522","134,752966","123,27907","87,623398"
"0,011","447,615923","-64,552714","-16,446385","415,855956","35,663313","-3,067217",,"149,765899","62,646298","63,54402","171,659706","70,950522","135,002966","123,02907","86,873398"
"0,012","447,615923","-65,048675","-16,446385","416,105956","34,841609","-2,095068",,"149,765899","62,646298","62,79402","172,409706","72,200522","134,502966","122,52907","86,873398"
"0,013","449,865923","-64,312101","-17,261618","416,105956","35,197288","-4,03568",,"150,265899","62,646298","64,54402","172,409706","70,950522","134,502966","123,02907","87,623398"
"0,014","446,115923","-65,599144","-15,777656","415,855956","35,307421","-3,455573",,"150,765899","61,396298","62,79402","171,159706","71,450522","134,252966","123,27907","86,873398"
"0,015","447,865923","-65,094978","-14,814509","415,355956","35,349923","-4,237379",,"151,015899","62,646298","62,79402","171,409706","70,450522","134,502966","122,77907","87,623398"
"0,016","448,115923","-64,810959","-16,788432","415,105956","35,816882","-1,322001",,"149,765899","62,646298","63,29402","172,409706","71,200522","135,502966","122,27907","86,123398"
"0,017","444,865923","-65,533953","-17,455627","414,105956","35,545978","-3,275177",,"149,515899","60,896298","63,04402","171,409706","70,950522","134,002966","122,77907","86,373398"
"0,018","449,115923","-64,831419","-16,03186","417,605956","35,602464","-4,79464",,"150,765899","62,646298","63,54402","172,159706","70,950522","134,752966","124,27907","87,623398"
"0,019","446,365923","-64,484812","-17,396968","414,855956","36,284404","-4,242486",,"149,015899","62,146298","63,79402","171,409706","70,200522","134,502966","123,77907","86,373398"
"0,02","446,115923","-64,43801","-16,501683","415,355956","35,171763","-4,237379",,"149,515899","62,146298","63,79402","170,659706","70,950522","134,002966","123,02907","87,373398"
"0,021","447,115923","-64,955912","-15,381165","415,355956","35,706244","-3,848555",,"150,265899","62,646298","62,79402","171,409706","70,450522","134,752966","123,02907","87,123398"
"0,022","446,865923","-64,578257","-17,016096","416,105956","35,019449","-2,483191",,"149,515899","62,146298","63,79402","171,409706","71,700522","134,752966","122,52907","87,123398"
"0,023","446,865923","-64,081464","-15,931879","414,355956","35,613827","-2,688559",,"149,515899","62,896298","63,79402","170,659706","71,200522","134,252966","122,77907","86,123398"
"0,024","446,615923","-64,697251","-16,844817","416,105956","35,375127","-3,647558",,"149,015899","62,646298","63,04402","171,909706","70,950522","134,752966","123,02907","87,373398"
"0,025","446,615923","-65,028632","-13,951951","418,605956","34,810305","-3,239969",,"150,265899","63,396298","61,79402","171,159706","72,200522","135,002966","123,52907","87,873398"
"0,026","445,865923","-65,221003","-15,967611","413,855956","35,656853","-3,862504",,"149,765899","62,146298","62,54402","171,409706","70,200522","134,252966","122,52907","86,873398"
"0,027","447,365923","-64,671494","-16,997078","414,355956","35,256646","-3,468082",,"149,265899","62,646298","63,29402","172,159706","70,950522","134,002966","122,52907","86,873398"
"0,028","447,115923","-65,617933","-15,381165","412,855956","35,56398","-4,263037",,"150,765899","62,146298","62,29402","171,909706","70,450522","133,252966","122,77907","86,373398"
"0,029","444,865923","-64,868584","-17,092596","414,855956","34,679028","-1,906735",,"149,265899","61,396298","63,54402","170,659706","71,950522","134,252966","121,77907","86,873398"
"0,03","446,865923","-64,081464","-15,931879","414,105956","35,545978","-4,055171",,"148,765899","63,646298","63,04402","171,409706","70,450522","134,002966","122,77907","86,873398"
"0,031","446,615923","-64,697251","-15,759993","414,855956","35,035778","-3,07461",,"149,765899","62,646298","63,04402","171,159706","71,450522","134,002966","122,52907","86,873398"
"0,032","446,365923","-64,484812","-15,226103","415,355956","35,706244","-3,070909",,"149,015899","63,646298","62,29402","171,409706","70,950522","134,752966","123,02907","86,623398"
"0,033","445,865923","-65,884879","-14,518745","414,355956","35,792417","-1,519274",,"151,015899","61,896298","61,79402","171,159706","71,450522","134,752966","122,52907","85,623398"
"0,034","445,365923","-65,626535","-15,985537","414,605956","35,324628","-2,492175",,"150,515899","61,146298","62,79402","170,909706","71,450522","134,252966","122,52907","86,373398"
"0,035","446,365923","-64,484812","-16,311536","412,105956","35,898052","-4,074851",,"149,015899","62,896298","63,04402","171,409706","69,950522","133,502966","122,52907","86,123398"
"0,036","445,615923","-64,842437","-15,795359","413,105956","35,632023","-2,110283",,"149,765899","62,146298","63,04402","170,659706","70,700522","134,502966","121,77907","86,123398"
"0,037","444,865923","-65,533953","-16,729566","413,605956","35,410034","-4,060073",,"149,515899","61,396298","62,54402","171,409706","70,950522","133,252966","123,02907","86,373398"
"0,038","446,865923","-64,578257","-17,016096","413,855956","35,656853","-3,472272",,"149,515899","62,146298","63,79402","171,409706","70,200522","134,502966","122,27907","86,873398"
"0,039","445,115923","-65,081524","-16,538756","413,855956","35,120435","-3,08204",,"149,765899","61,396298","63,29402","170,659706","71,700522","133,252966","122,77907","86,123398"
"0,04","447,365923","-65,333144","-15,914072","412,605956","35,316507","-2,504255",,"150,265899","62,396298","62,54402","172,159706","70,950522","133,752966","121,77907","86,123398"
"0,041","446,365923","-64,319028","-15,587914","412,105956","35,898052","-2,899183",,"149,015899","63,396298","62,79402","171,159706","69,950522","134,252966","121,77907","86,123398"
"0,042","446,115923","-65,101515","-14,691616","411,855956","35,470656","-2,312751",,"150,265899","62,646298","62,29402","170,909706","70,700522","133,752966","121,52907","85,873398"
"0,043","445,615923","-64,842437","-14,34568","414,105956","35,36728","-3,275177",,"150,265899","62,646298","62,54402","170,159706","70,950522","134,002966","122,52907","86,623398"
"0,044","447,365923","-65,002319","-16,275074","413,355956","35,162917","-1,52295",,"150,515899","61,896298","63,54402","171,409706","70,950522","134,752966","121,02907","86,623398"
"0,045","445,615923","-64,676375","-16,520199","414,105956","35,188581","-3,275177",,"149,015899","62,396298","63,04402","171,159706","71,200522","133,752966","122,52907","86,623398"
"0,046","445,365923","-64,629602","-14,535045","410,605956","35,66875","-3,303095",,"149,265899","63,396298","62,04402","170,659706","69,950522","133,252966","121,52907","85,873398"
"0,047","445,365923","-65,128069","-15,260291","410,855956","35,917214","-3,890708",,"150,015899","62,146298","62,54402","170,659706","69,700522","133,252966","122,02907","85,873398"
"0,048","443,865923","-65,51488","-14,584164","414,605956","35,324628","-3,660754",,"150,515899","61,396298","62,29402","169,659706","70,950522","134,002966","122,77907","86,873398"
"0,049","444,115923","-65,228065","-15,485064","412,855956","35,74322","-1,524794",,"149,765899","61,646298","62,54402","170,159706","71,450522","134,002966","122,27907","85,123398"
"0,05","445,115923","-65,081524","-14,724622","412,105956","35,359356","-2,899183",,"150,265899","62,146298","62,54402","170,159706","70,700522","133,502966","121,77907","86,123398"
