ForceDecks Raw Data Export,2.0
Weight,"87,2"
Frequency,1000
Recording Date,2024-11-07T12:00:10
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:00:20
AthleteId,46ef7225-3d03-495b-998c-287b01f5f585

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"1,115923",0,0,"845,355956","-22,548133","-49,460846",,"11,265899","-9,603702","9,54402","-10,090294","210,450522","147,502966","210,77907","276,623398"
"0,001","1,115923",0,0,"843,605956","-22,814205","-49,659169",,"11,015899","-10,353702","10,54402","-10,090294","209,950522","147,002966","209,77907","276,873398"
"0,002","1,365923",0,0,"842,105956","-22,679092","-49,555843",,"10,765899","-9,603702","10,79402","-10,590294","209,950522","146,502966","210,02907","275,623398"
"0,003","1,865923",0,0,"842,605956","-22,753458","-50,101438",,"11,265899","-10,103702","10,29402","-9,590294","209,450522","146,502966","210,02907","276,623398"
"0,004","-0,134077",0,0,"842,605956","-22,577812","-50,101438",,"11,015899","-11,103702","9,79402","-9,840294","209,450522","146,502966","210,52907","276,123398"
"0,005","2,115923",0,0,"841,105956","-22,618076","-49,806769",,"11,265899","-10,353702","10,79402","-9,590294","209,200522","146,502966","209,77907","275,623398"
"0,006","1,615923",0,0,"843,355956","-22,601606","-49,386644",,"11,765899","-10,353702","10,79402","-10,590294","209,950522","147,252966","210,02907","276,123398"
"0,007","0,115923",0,0,"840,605956","-22,63153","-49,644272",,"10,515899","-10,603702","8,79402","-8,590294","209,200522","146,502966","209,52907","275,373398"
"0,008","-1,134077",0,0,"841,105956","-22,706056","-49,806769",,"10,515899","-10,853702","9,79402","-10,590294","209,450522","146,252966","209,77907","275,623398"
"0,009","-0,134077",0,0,"839,605956","-22,922895","-49,895752",,"10,515899","-10,603702","10,29402","-10,340294","209,450522","145,502966","209,27907","275,373398"
"0,01","-1,134077",0,0,"841,855956","-22,90558","-48,707288",,"10,015899","-10,353702","9,79402","-10,590294","210,700522","146,752966","209,02907","275,373398"
"0,011","-2,384077",0,0,"838,355956","-22,912939","-48,717994",,"10,265899","-10,853702","9,29402","-11,090294","209,950522","146,002966","208,27907","274,123398"
"0,012","-1,634077",0,0,"839,855956","-22,783906","-48,823277",,"10,015899","-10,853702","10,54402","-11,340294","210,700522","145,752966","209,52907","273,873398"
"0,013","-1,384077",0,0,"840,105956","-23,08542","-49,48158",,"10,265899","-10,603702","9,04402","-10,090294","209,950522","145,752966","208,77907","275,623398"
"0,014","-2,384077",0,0,"838,855956","-22,899282","-49,074004",,"10,015899","-12,103702","9,79402","-10,090294","209,950522","145,752966","208,77907","274,373398"
"0,015","-0,884077",0,0,"837,605956","-23,065976","-48,279588",,"9,765899","-10,353702","10,29402","-10,590294","210,450522","145,752966","207,77907","273,623398"
"0,016","-2,384077",0,0,"836,355956","-22,879252","-49,220694",,"9,765899","-10,853702","10,29402","-11,590294","209,200522","145,252966","208,27907","273,623398"
"0,017","-0,134077",0,0,"836,605956","-23,005094","-48,530339",,"10,765899","-10,853702","10,04402","-10,090294","209,950522","145,502966","207,77907","273,373398"
"0,018","-2,134077",0,0,"837,605956","-22,800935","-48,086776",,"10,015899","-11,353702","10,04402","-10,840294","209,950522","146,502966","207,77907","273,373398"
"0,019","-1,634077",0,0,"835,605956","-23,032625","-48,974963",,"10,515899","-11,353702","10,04402","-10,840294","209,450522","145,002966","207,77907","273,373398"
"0,02","-0,384077",0,0,"835,605956","-22,76695","-48,588417",,"10,515899","-10,853702","10,79402","-10,840294","209,200522","145,752966","207,77907","272,873398"
"0,021","0,365923",0,0,"836,605956","-23,270452","-48,530339",,"10,015899","-10,603702","10,54402","-9,590294","210,200522","145,252966","207,27907","273,873398"
"0,022","-1,884077",0,0,"835,605956","-23,298301","-48,588417",,"10,015899","-11,353702","9,29402","-9,840294","209,950522","145,002966","207,02907","273,623398"
"0,023","-2,134077",0,0,"834,355956","-23,643624","-48,757991",,"10,515899","-11,353702","9,29402","-10,590294","209,950522","144,252966","206,27907","273,873398"
"0,024","-0,384077",0,0,"835,355956","-23,260981","-48,506293",,"11,265899","-10,853702","10,04402","-10,840294","210,200522","144,752966","207,27907","273,123398"
"0,025","-1,884077",0,0,"834,355956","-23,466242","-48,177304",,"10,015899","-11,353702","9,29402","-9,840294","209,950522","145,002966","206,02907","273,373398"
"0,026","-0,134077",0,0,"833,605956","-23,798053","-47,930044",,"10,765899","-11,103702","10,29402","-10,090294","210,950522","144,002966","205,77907","272,873398"
"0,027","0,865923",0,0,"834,605956","-23,503545","-48,06612",,"11,015899","-10,353702","9,79402","-9,590294","210,200522","145,002966","206,02907","273,373398"
"0,028","-1,384077",0,0,"834,105956","-23,162763","-47,901313",,"10,015899","-10,603702","9,79402","-10,590294","209,950522","145,252966","206,52907","272,373398"
"0,029","-0,384077",0,0,"832,605956","-23,382248","-48,569519",,"11,265899","-10,353702","9,54402","-10,840294","208,950522","144,752966","205,77907","273,123398"
"0,03","-0,384077",0,0,"835,355956","-23,526736","-48,312962",,"10,515899","-10,353702","10,29402","-10,840294","210,450522","144,752966","206,52907","273,623398"
"0,031","-0,384077",0,0,"833,355956","-23,760794","-47,653731",,"10,765899","-10,353702","10,04402","-10,840294","210,950522","144,252966","205,52907","272,623398"
"0,032","-0,384077",0,0,"832,605956","-23,560003","-47,987611",,"10,515899","-10,353702","10,29402","-10,840294","210,200522","144,252966","205,77907","272,373398"
"0,033","-0,384077",0,0,"834,605956","-23,769539","-47,292102",,"11,265899","-10,853702","10,04402","-10,840294","211,200522","145,002966","205,27907","273,123398"
"0,034","-1,134077",0,0,"834,355956","-23,732316","-46,435242",,"10,765899","-11,103702","9,54402","-10,340294","211,950522","145,252966","205,02907","272,123398"
