ForceDecks Raw Data Export,2.0
Weight,"87,2"
Frequency,1000
Recording Date,2024-11-07T12:02:18
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:02:21
AthleteId,46ef7225-3d03-495b-998c-287b01f5f585

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-0,384077",0,0,"-1,144044",0,0,,"11,765899","-11,353702","11,54402","-12,340294","-5,799478","5,002966","-5,97093","5,623398"
"0,001","0,865923",0,0,"0,855956",0,0,,"12,515899","-12,603702","12,04402","-11,090294","-4,299478","5,002966","-5,72093","5,873398"
"0,002","0,115923",0,0,"1,105956",0,0,,"11,515899","-11,603702","11,54402","-11,340294","-4,549478","4,752966","-5,47093","6,373398"
"0,003","-1,634077",0,0,"0,605956",0,0,,"11,515899","-12,103702","11,54402","-12,590294","-5,299478","5,502966","-5,47093","5,873398"
"0,004","0,865923",0,0,"0,105956",0,0,,"12,765899","-12,103702","11,29402","-11,090294","-4,549478","4,752966","-5,72093","5,623398"
"0,005","-0,884077",0,0,"2,355956",0,0,,"11,765899","-12,603702","12,04402","-12,090294","-5,049478","5,752966","-4,72093","6,373398"
"0,006","-0,634077",0,0,"1,105956",0,0,,"12,515899","-12,853702","10,79402","-11,090294","-5,549478","5,752966","-5,47093","6,373398"
"0,007","-1,134077",0,0,"1,105956",0,0,,"12,515899","-12,603702","11,79402","-12,840294","-4,549478","5,752966","-4,72093","4,623398"
"0,008","1,865923",0,0,"-0,394044",0,0,,"12,515899","-11,603702","12,04402","-11,090294","-5,799478","5,752966","-5,47093","5,123398"
"0,009","-0,884077",0,0,"-0,894044",0,0,,"12,015899","-12,853702","11,79402","-11,840294","-5,049478","5,002966","-5,47093","4,623398"
"0,01","-1,884077",0,0,"0,355956",0,0,,"12,015899","-12,853702","10,54402","-11,590294","-4,549478","5,752966","-5,72093","4,873398"
"0,011","-0,634077",0,0,"0,105956",0,0,,"12,515899","-12,603702","11,79402","-12,340294","-4,299478","5,502966","-5,47093","4,373398"
"0,012","-2,384077",0,0,"0,355956",0,0,,"11,265899","-12,103702","11,79402","-13,340294","-5,799478","5,002966","-4,97093","6,123398"
"0,013","-1,384077",0,0,"0,605956",0,0,,"12,765899","-12,853702","11,04402","-12,340294","-5,049478","5,502966","-4,72093","4,873398"
"0,014","-1,634077",0,0,"1,355956",0,0,,"13,015899","-13,103702","10,79402","-12,340294","-4,549478","4,752966","-4,97093","6,123398"
"0,015","1,115923",0,0,"0,605956",0,0,,"12,515899","-11,603702","11,79402","-11,590294","-6,049478","5,502966","-4,97093","6,123398"
"0,016","0,365923",0,0,"0,105956",0,0,,"12,015899","-12,353702","11,54402","-10,840294","-5,549478","5,002966","-5,22093","5,873398"
"0,017","0,365923",0,0,"0,105956",0,0,,"12,515899","-12,603702","11,54402","-11,090294","-5,299478","5,002966","-5,47093","5,873398"
"0,018","-0,134077",0,0,"0,355956",0,0,,"12,515899","-12,103702","12,04402","-12,590294","-5,799478","6,252966","-5,47093","5,373398"
"0,019","-2,384077",0,0,"0,355956",0,0,,"12,765899","-13,103702","10,29402","-12,340294","-5,049478","6,252966","-5,47093","4,623398"
"0,02","0,115923",0,0,"0,105956",0,0,,"12,515899","-12,103702","11,04402","-11,340294","-4,549478","5,502966","-5,47093","4,623398"
"0,021","0,365923",0,0,"-2,894044",0,0,,"12,265899","-12,353702","12,29402","-11,840294","-6,299478","4,502966","-5,97093","4,873398"
"0,022","-0,134077",0,0,"-1,144044",0,0,,"11,765899","-12,103702","12,29402","-12,090294","-5,049478","4,752966","-5,97093","5,123398"
"0,023","-0,134077",0,0,"-0,144044",0,0,,"12,015899","-12,603702","11,54402","-11,090294","-5,549478","5,752966","-5,22093","4,873398"
"0,024","-1,384077",0,0,"0,355956",0,0,,"11,765899","-11,853702","10,79402","-12,090294","-4,549478","5,002966","-5,22093","5,123398"
"0,025","-0,884077",0,0,"0,605956",0,0,,"12,765899","-12,853702","11,04402","-11,840294","-5,299478","5,002966","-4,47093","5,373398"
"0,026","-0,884077",0,0,"0,855956",0,0,,"11,765899","-12,103702","11,29402","-11,840294","-4,799478","5,752966","-5,72093","5,623398"
"0,027","0,115923",0,0,"-0,144044",0,0,,"12,765899","-12,103702","11,54402","-12,090294","-5,799478","5,002966","-5,72093","6,373398"
"0,028","-0,634077",0,0,"-1,144044",0,0,,"12,515899","-12,103702","10,79402","-11,840294","-6,299478","5,502966","-6,22093","5,873398"
"0,029","-2,634077",0,0,"-2,144044",0,0,,"11,765899","-12,353702","11,04402","-13,090294","-6,549478","4,752966","-5,47093","5,123398"
"0,03","0,365923",0,0,"2,105956",0,0,,"12,515899","-11,603702","11,29402","-11,840294","-5,049478","6,002966","-4,97093","6,123398"
"0,031","1,865923",0,0,"-1,894044",0,0,,"13,265899","-11,603702","12,04402","-11,840294","-6,549478","5,002966","-5,47093","5,123398"
"0,032","-0,134077",0,0,"0,105956",0,0,,"12,515899","-12,103702","10,79402","-11,340294","-5,549478","5,252966","-5,47093","5,873398"
"0,033","-0,134077",0,0,"1,105956",0,0,,"13,015899","-12,603702","11,04402","-11,590294","-4,799478","6,002966","-5,22093","5,123398"
