ForceDecks Raw Data Export,2.0
Weight,"87,1"
Frequency,1000
Recording Date,2024-11-07T12:05:23
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:05:27
AthleteId,46ef7225-3d03-495b-998c-287b01f5f585

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,365923",0,0,"-0,644044",0,0,,"20,765899","-20,603702","20,54402","-20,340294","-3,799478","3,502966","-3,47093","3,123398"
"0,001","0,865923",0,0,"1,105956",0,0,,"21,015899","-20,103702","20,04402","-20,090294","-3,799478","4,002966","-3,22093","4,123398"
"0,002","0,115923",0,0,"1,605956",0,0,,"20,765899","-20,603702","19,29402","-19,340294","-3,049478","3,502966","-2,97093","4,123398"
"0,003","-0,134077",0,0,"0,355956",0,0,,"21,015899","-20,603702","18,79402","-19,340294","-4,049478","3,502966","-3,22093","4,123398"
"0,004","-2,134077",0,0,"-1,144044",0,0,,"20,015899","-21,353702","19,54402","-20,340294","-3,799478","3,002966","-3,97093","3,623398"
"0,005","0,365923",0,0,"1,855956",0,0,,"21,015899","-20,603702","20,54402","-20,590294","-3,799478","4,502966","-2,72093","3,873398"
"0,006","-2,134077",0,0,"0,355956",0,0,,"20,515899","-20,603702","18,54402","-20,590294","-3,549478","3,752966","-3,97093","4,123398"
"0,007","-1,134077",0,0,"0,855956",0,0,,"21,015899","-21,103702","19,54402","-20,590294","-3,299478","3,502966","-3,47093","4,123398"
"0,008","0,365923",0,0,"1,355956",0,0,,"20,515899","-21,103702","20,54402","-19,590294","-3,049478","4,252966","-3,22093","3,373398"
"0,009","-0,134077",0,0,"0,355956",0,0,,"20,265899","-20,353702","20,04402","-20,090294","-3,299478","3,752966","-3,22093","3,123398"
"0,01","0,365923",0,0,"0,855956",0,0,,"21,765899","-20,603702","19,29402","-20,090294","-3,049478","3,752966","-3,22093","3,373398"
"0,011","-1,634077",0,0,"-0,394044",0,0,,"21,015899","-21,353702","19,54402","-20,840294","-3,049478","3,002966","-3,47093","3,123398"
"0,012","-1,134077",0,0,"1,605956",0,0,,"21,515899","-21,603702","19,29402","-20,340294","-3,049478","4,002966","-3,47093","4,123398"
"0,013","-0,134077",0,0,"-0,394044",0,0,,"21,015899","-20,853702","20,04402","-20,340294","-4,049478","2,752966","-2,97093","3,873398"
"0,014","0,615923",0,0,"0,605956",0,0,,"21,015899","-20,103702","19,79402","-20,090294","-3,549478","3,752966","-3,22093","3,623398"
"0,015","-1,384077",0,0,"-0,144044",0,0,,"21,015899","-20,853702","19,29402","-20,840294","-2,799478","3,002966","-3,72093","3,373398"
"0,016","-1,884077",0,0,"0,355956",0,0,,"20,765899","-21,353702","19,54402","-20,840294","-3,299478","3,002966","-2,72093","3,373398"
"0,017","-1,384077",0,0,"0,855956",0,0,,"21,015899","-20,603702","19,29402","-21,090294","-2,799478","3,752966","-3,47093","3,373398"
"0,018","-0,634077",0,0,"-1,394044",0,0,,"20,265899","-21,103702","19,79402","-19,590294","-5,049478","3,002966","-2,97093","3,623398"
"0,019","-1,634077",0,0,"0,105956",0,0,,"20,515899","-20,853702","19,79402","-21,090294","-3,049478","3,002966","-3,47093","3,623398"
"0,02","0,865923",0,0,"2,105956",0,0,,"20,765899","-20,353702","20,54402","-20,090294","-2,549478","3,252966","-2,47093","3,873398"
"0,021","1,115923",0,0,"-0,144044",0,0,,"21,765899","-19,603702","19,29402","-20,340294","-3,049478","3,002966","-3,97093","3,873398"
"0,022","0,115923",0,0,"-0,144044",0,0,,"21,015899","-20,103702","19,04402","-19,840294","-3,049478","3,502966","-4,22093","3,623398"
"0,023","2,115923",0,0,"-1,644044",0,0,,"22,015899","-20,103702","19,79402","-19,590294","-3,799478","3,002966","-3,47093","2,623398"
"0,024","0,365923",0,0,"-1,394044",0,0,,"20,515899","-20,103702","20,04402","-20,090294","-3,799478","2,502966","-3,47093","3,373398"
"0,025","0,615923",0,0,"0,105956",0,0,,"20,515899","-20,103702","20,04402","-19,840294","-3,549478","3,252966","-3,47093","3,873398"
"0,026","-0,134077",0,0,"0,605956",0,0,,"20,515899","-20,103702","19,79402","-20,340294","-2,799478","3,752966","-3,47093","3,123398"
"0,027","-0,134077",0,0,"0,105956",0,0,,"21,015899","-20,853702","19,29402","-19,590294","-3,299478","3,752966","-3,97093","3,623398"
"0,028","-0,384077",0,0,"-0,644044",0,0,,"21,515899","-20,603702","19,79402","-21,090294","-2,799478","2,502966","-2,97093","2,623398"
"0,029","-0,884077",0,0,"0,605956",0,0,,"21,015899","-21,353702","19,29402","-19,840294","-3,049478","3,502966","-3,72093","3,873398"
"0,03","-0,884077",0,0,"0,355956",0,0,,"20,515899","-20,603702","19,54402","-20,340294","-2,799478","3,502966","-3,97093","3,623398"
"0,031","-0,384077",0,0,"0,355956",0,0,,"20,265899","-20,603702","20,29402","-20,340294","-2,549478","3,752966","-3,97093","3,123398"
"0,032","-0,634077",0,0,"0,605956",0,0,,"19,765899","-20,603702","19,54402","-19,340294","-3,299478","3,002966","-2,97093","3,873398"
"0,033","0,115923",0,0,"0,105956",0,0,,"21,015899","-20,103702","20,04402","-20,840294","-4,049478","3,752966","-2,97093","3,373398"
"0,034","-0,134077",0,0,"-0,394044",0,0,,"20,265899","-20,603702","20,54402","-20,340294","-3,299478","2,752966","-3,47093","3,623398"
"0,035","-0,634077",0,0,"0,855956",0,0,,"20,515899","-21,353702","20,54402","-20,340294","-2,799478","4,002966","-3,72093","3,373398"
"0,036","0,615923",0,0,"0,105956",0,0,,"21,015899","-19,603702","19,54402","-20,340294","-3,549478","4,002966","-3,47093","3,123398"
"0,037","0,615923",0,0,"-0,394044",0,0,,"21,515899","-20,353702","19,04402","-19,590294","-3,799478","3,002966","-2,72093","3,123398"
"0,038","0,115923",0,0,"-0,394044",0,0,,"21,765899","-20,603702","18,54402","-19,590294","-4,549478","3,252966","-3,22093","4,123398"
"0,039","0,115923",0,0,"-2,894044",0,0,,"20,765899","-20,103702","19,29402","-19,840294","-4,549478","2,502966","-3,97093","3,123398"
"0,04","-2,634077",0,0,"0,855956",0,0,,"20,515899","-21,603702","19,54402","-21,090294","-2,549478","2,502966","-3,47093","4,373398"
"0,041","-0,884077",0,0,"-0,144044",0,0,,"20,015899","-20,103702","19,54402","-20,340294","-2,799478","3,502966","-3,47093","2,623398"
"0,042","-0,384077",0,0,"-1,894044",0,0,,"20,515899","-20,353702","19,79402","-20,340294","-3,799478","2,752966","-3,97093","3,123398"
"0,043","-0,634077",0,0,"-1,144044",0,0,,"20,515899","-20,603702","19,79402","-20,340294","-3,049478","2,002966","-3,22093","3,123398"
"0,044","-1,884077",0,0,"-1,894044",0,0,,"19,265899","-20,603702","19,54402","-20,090294","-4,299478","2,502966","-3,72093","3,623398"
"0,045","-0,884077",0,0,"1,605956",0,0,,"21,515899","-21,853702","19,29402","-19,840294","-2,549478","3,502966","-3,97093","4,623398"
"0,046","1,365923",0,0,"1,105956",0,0,,"21,515899","-20,603702","20,04402","-19,590294","-2,549478","3,502966","-3,47093","3,623398"
"0,047","-0,134077",0,0,"-0,144044",0,0,,"21,015899","-20,603702","19,79402","-20,340294","-4,049478","2,752966","-2,72093","3,873398"
"0,048","-0,384077",0,0,"-0,144044",0,0,,"21,015899","-20,103702","19,54402","-20,840294","-4,049478","3,002966","-2,97093","3,873398"
"0,049","-1,634077",0,0,"-0,644044",0,0,,"19,765899","-21,103702","20,04402","-20,340294","-2,799478","2,752966","-3,47093","2,873398"
"0,05","0,115923",0,0,"-0,144044",0,0,,"21,015899","-19,853702","19,54402","-20,590294","-2,799478","2,252966","-2,72093","3,123398"
"0,051","-0,634077",0,0,"0,855956",0,0,,"21,015899","-20,853702","19,54402","-20,340294","-2,799478","3,752966","-3,22093","3,123398"
"0,052","1,615923",0,0,"-2,644044",0,0,,"20,765899","-19,353702","19,79402","-19,590294","-3,299478","1,252966","-3,47093","2,873398"
"0,053","-0,634077",0,0,"0,855956",0,0,,"20,015899","-20,853702","19,79402","-19,590294","-3,049478","3,502966","-3,47093","3,873398"
"0,054","0,865923",0,0,"0,105956",0,0,,"21,015899","-20,603702","19,79402","-19,340294","-2,799478","3,502966","-3,72093","3,123398"
"0,055","-0,884077",0,0,"-0,394044",0,0,,"20,765899","-20,603702","19,79402","-20,840294","-3,549478","3,252966","-3,72093","3,623398"
"0,056","-0,884077",0,0,"-0,394044",0,0,,"20,765899","-21,103702","19,79402","-20,340294","-2,549478","3,252966","-4,22093","3,123398"
"0,057","-0,384077",0,0,"-1,644044",0,0,,"21,515899","-20,103702","19,79402","-21,590294","-3,799478","3,002966","-3,47093","2,623398"
"0,058","-2,134077",0,0,"0,855956",0,0,,"20,765899","-21,103702","18,54402","-20,340294","-3,049478","3,002966","-2,72093","3,623398"
"0,059","-1,384077",0,0,"1,605956",0,0,,"21,015899","-20,353702","19,04402","-21,090294","-2,549478","3,502966","-2,72093","3,373398"
"0,06","0,365923",0,0,"-1,144044",0,0,,"21,015899","-20,603702","19,54402","-19,590294","-3,799478","2,502966","-2,72093","2,873398"
"0,061","-0,634077",0,0,"0,605956",0,0,,"20,515899","-20,353702","19,29402","-20,090294","-3,799478","4,002966","-3,47093","3,873398"
"0,062","-0,384077",0,0,"-0,894044",0,0,,"20,765899","-20,103702","19,79402","-20,840294","-3,549478","3,002966","-2,97093","2,623398"
"0,063","-0,384077",0,0,"0,355956",0,0,,"21,765899","-20,603702","19,54402","-21,090294","-2,299478","3,002966","-3,72093","3,373398"
"0,064","-1,384077",0,0,"0,355956",0,0,,"19,765899","-20,353702","19,79402","-20,590294","-3,799478","3,752966","-3,47093","3,873398"
"0,065","0,115923",0,0,"0,105956",0,0,,"21,015899","-21,103702","19,79402","-19,590294","-3,049478","3,002966","-2,97093","3,123398"
"0,066","1,115923",0,0,"-0,894044",0,0,,"21,015899","-19,353702","19,54402","-20,090294","-3,799478","2,752966","-2,72093","2,873398"
"0,067","-1,134077",0,0,"1,105956",0,0,,"21,015899","-21,353702","20,54402","-21,340294","-3,549478","4,752966","-3,47093","3,373398"
"0,068","-0,634077",0,0,"0,855956",0,0,,"21,015899","-20,603702","19,29402","-20,340294","-2,549478","3,002966","-2,72093","3,123398"
"0,069","-1,634077",0,0,"0,105956",0,0,,"20,515899","-21,353702","19,54402","-20,340294","-3,799478","3,002966","-2,97093","3,873398"
"0,07","-1,134077",0,0,"0,355956",0,0,,"21,015899","-21,103702","19,79402","-20,840294","-3,299478","2,752966","-2,47093","3,373398"
"0,071","2,115923",0,0,"-0,394044",0,0,,"21,265899","-19,853702","20,29402","-19,590294","-3,299478","3,002966","-3,47093","3,373398"
"0,072","1,115923",0,0,"1,355956",0,0,,"21,765899","-20,603702","19,79402","-19,840294","-3,299478","3,752966","-2,72093","3,623398"
"0,073","-0,884077",0,0,"1,605956",0,0,,"20,765899","-20,603702","19,29402","-20,340294","-3,049478","3,502966","-3,47093","4,623398"
"0,074","-1,134077",0,0,"-0,394044",0,0,,"21,765899","-21,853702","19,29402","-20,340294","-3,049478","2,752966","-3,22093","3,123398"
"0,075","-2,634077",0,0,"3,355956",0,0,,"20,515899","-21,353702","20,04402","-21,840294","-2,299478","3,752966","-1,97093","3,873398"
