ForceDecks Raw Data Export,2.0
Weight,"87,1"
Frequency,1000
Recording Date,2024-11-07T12:03:36
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:03:41
AthleteId,46ef7225-3d03-495b-998c-287b01f5f585

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-0,134077",0,0,"0,855956",0,0,,"10,515899","-10,353702","10,04402","-10,340294","-6,549478","6,502966","-7,22093","8,123398"
"0,001","-0,134077",0,0,"2,605956",0,0,,"10,015899","-9,603702","9,29402","-9,840294","-6,049478","7,752966","-6,72093","7,623398"
"0,002","-1,384077",0,0,"0,855956",0,0,,"10,015899","-10,353702","10,04402","-11,090294","-6,549478","6,252966","-5,97093","7,123398"
"0,003","0,115923",0,0,"0,855956",0,0,,"10,015899","-10,103702","10,04402","-9,840294","-7,049478","6,752966","-5,97093","7,123398"
"0,004","-1,384077",0,0,"0,355956",0,0,,"10,015899","-10,603702","9,79402","-10,590294","-7,049478","7,002966","-6,72093","7,123398"
"0,005","1,115923",0,0,"1,105956",0,0,,"10,765899","-10,603702","10,79402","-9,840294","-7,049478","7,252966","-6,72093","7,623398"
"0,006","-0,884077",0,0,"0,855956",0,0,,"10,265899","-11,103702","10,29402","-10,340294","-7,049478","6,252966","-6,72093","8,373398"
"0,007","-1,134077",0,0,"2,105956",0,0,,"10,515899","-9,853702","9,29402","-11,090294","-6,549478","7,502966","-6,72093","7,873398"
"0,008","-1,134077",0,0,"1,355956",0,0,,"10,765899","-10,353702","9,54402","-11,090294","-6,799478","6,752966","-6,47093","7,873398"
"0,009","-1,384077",0,0,"-0,144044",0,0,,"10,015899","-11,353702","10,29402","-10,340294","-7,049478","7,502966","-7,72093","7,123398"
"0,01","-0,634077",0,0,"-0,894044",0,0,,"10,765899","-10,853702","10,04402","-10,590294","-7,049478","6,752966","-7,72093","7,123398"
"0,011","1,365923",0,0,"0,605956",0,0,,"11,015899","-9,853702","10,04402","-9,840294","-7,049478","7,752966","-7,22093","7,123398"
"0,012","1,365923",0,0,"0,105956",0,0,,"10,265899","-9,853702","10,54402","-9,590294","-7,549478","7,252966","-7,22093","7,623398"
"0,013","-0,134077",0,0,"1,105956",0,0,,"10,515899","-10,353702","10,04402","-10,340294","-7,549478","7,502966","-6,47093","7,623398"
"0,014","0,115923",0,0,"-1,644044",0,0,,"10,515899","-10,353702","10,04402","-10,090294","-7,799478","6,502966","-6,72093","6,373398"
"0,015","-0,884077",0,0,"-1,394044",0,0,,"10,515899","-10,603702","9,54402","-10,340294","-7,799478","6,252966","-7,97093","8,123398"
"0,016","2,115923",0,0,"-0,144044",0,0,,"10,515899","-9,853702","10,54402","-9,090294","-7,549478","7,002966","-7,22093","7,623398"
"0,017","0,615923",0,0,"3,355956",0,0,,"11,015899","-10,353702","10,04402","-10,090294","-6,549478","8,252966","-5,97093","7,623398"
"0,018","0,115923",0,0,"1,605956",0,0,,"10,265899","-9,603702","9,54402","-10,090294","-6,799478","7,002966","-6,22093","7,623398"
"0,019","0,365923",0,0,"1,105956",0,0,,"10,015899","-10,103702","10,04402","-9,590294","-6,799478","7,002966","-6,72093","7,623398"
"0,02","-0,634077",0,0,"-2,894044",0,0,,"10,015899","-9,853702","9,29402","-10,090294","-8,299478","6,002966","-7,22093","6,623398"
"0,021","0,365923",0,0,"-0,894044",0,0,,"11,265899","-10,853702","10,04402","-10,090294","-7,299478","6,752966","-7,72093","7,373398"
"0,022","1,115923",0,0,"-1,394044",0,0,,"10,015899","-9,603702","10,54402","-9,840294","-7,549478","5,752966","-7,22093","7,623398"
"0,023","-1,134077",0,0,"-1,644044",0,0,,"10,015899","-11,603702","10,04402","-9,590294","-8,049478","6,252966","-6,47093","6,623398"
"0,024","-0,384077",0,0,"0,105956",0,0,,"10,265899","-10,853702","10,04402","-9,840294","-6,799478","6,502966","-6,47093","6,873398"
"0,025","-0,634077",0,0,"-2,144044",0,0,,"10,515899","-10,603702","9,79402","-10,340294","-8,299478","6,752966","-7,22093","6,623398"
"0,026","-0,134077",0,0,"-0,644044",0,0,,"10,765899","-10,353702","9,29402","-9,840294","-7,299478","6,252966","-6,22093","6,623398"
"0,027","-0,134077",0,0,"0,105956",0,0,,"11,015899","-10,853702","10,54402","-10,840294","-6,549478","6,252966","-6,72093","7,123398"
"0,028","-2,634077",0,0,"-1,394044",0,0,,"10,515899","-10,853702","9,54402","-11,840294","-7,049478","6,502966","-7,22093","6,373398"
"0,029","-0,134077",0,0,"0,355956",0,0,,"10,015899","-9,853702","9,54402","-9,840294","-6,549478","6,502966","-6,72093","7,123398"
"0,03","-0,384077",0,0,"0,605956",0,0,,"10,515899","-10,603702","10,04402","-10,340294","-7,049478","7,002966","-5,97093","6,623398"
"0,031","-1,134077",0,0,"1,105956",0,0,,"10,515899","-10,353702","8,79402","-10,090294","-7,799478","7,502966","-6,22093","7,623398"
"0,032","-0,384077",0,0,"1,105956",0,0,,"10,515899","-10,353702","10,04402","-10,590294","-6,799478","7,002966","-6,72093","7,623398"
"0,033","-0,884077",0,0,"0,605956",0,0,,"10,265899","-10,853702","10,04402","-10,340294","-6,799478","7,002966","-7,22093","7,623398"
"0,034","0,115923",0,0,"1,855956",0,0,,"10,515899","-10,603702","10,04402","-9,840294","-6,549478","7,002966","-5,97093","7,373398"
"0,035","1,365923",0,0,"0,105956",0,0,,"11,265899","-9,853702","9,79402","-9,840294","-7,299478","6,752966","-7,47093","8,123398"
"0,036","0,115923",0,0,"-0,894044",0,0,,"10,765899","-10,103702","10,04402","-10,590294","-6,799478","6,252966","-8,22093","7,873398"
"0,037","0,865923",0,0,"1,855956",0,0,,"10,765899","-10,353702","10,29402","-9,840294","-7,049478","7,252966","-5,97093","7,623398"
"0,038","-0,884077",0,0,"1,355956",0,0,,"10,015899","-10,853702","10,04402","-10,090294","-7,299478","7,502966","-6,97093","8,123398"
"0,039","-0,634077",0,0,"0,855956",0,0,,"10,265899","-10,353702","10,04402","-10,590294","-6,799478","6,752966","-6,72093","7,623398"
"0,04","-1,384077",0,0,"-1,394044",0,0,,"10,015899","-10,603702","9,79402","-10,590294","-7,049478","6,752966","-6,97093","5,873398"
