ForceDecks Raw Data Export,2.0
Weight,87
Frequency,1000
Recording Date,2024-11-07T12:04:32
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:04:36
AthleteId,46ef7225-3d03-495b-998c-287b01f5f585

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-1,134077",0,0,"0,355956",0,0,,"9,015899","-7,853702","7,29402","-9,590294","-10,799478","10,752966","-11,22093","11,623398"
"0,001","-0,384077",0,0,"2,355956",0,0,,"9,015899","-7,603702","7,29402","-9,090294","-9,299478","12,252966","-10,97093","10,373398"
"0,002","-1,634077",0,0,"3,355956",0,0,,"9,765899","-8,353702","6,79402","-9,840294","-10,299478","11,502966","-9,47093","11,623398"
"0,003","-1,134077",0,0,"0,605956",0,0,,"9,515899","-8,853702","7,29402","-9,090294","-10,299478","11,002966","-10,47093","10,373398"
"0,004","1,615923",0,0,"2,605956",0,0,,"9,765899","-7,853702","8,04402","-8,340294","-9,799478","11,752966","-10,22093","10,873398"
"0,005","0,115923",0,0,"2,105956",0,0,,"9,015899","-8,603702","8,04402","-8,340294","-9,049478","11,002966","-9,97093","10,123398"
"0,006","-1,134077",0,0,"1,355956",0,0,,"8,265899","-9,103702","7,54402","-7,840294","-9,549478","10,252966","-9,97093","10,623398"
"0,007","2,865923",0,0,"-0,394044",0,0,,"8,765899","-7,853702","9,29402","-7,340294","-10,549478","10,002966","-9,97093","10,123398"
"0,008","0,365923",0,0,"-1,144044",0,0,,"9,265899","-8,353702","8,04402","-8,590294","-10,299478","9,752966","-9,47093","8,873398"
"0,009","3,115923",0,0,"-0,894044",0,0,,"8,765899","-8,603702","9,79402","-6,840294","-10,049478","9,002966","-9,97093","10,123398"
"0,01","2,615923",0,0,"2,605956",0,0,,"8,515899","-8,353702","10,04402","-7,590294","-9,799478","10,252966","-8,97093","11,123398"
"0,011","1,865923",0,0,"-1,394044",0,0,,"9,515899","-8,353702","8,04402","-7,340294","-9,799478","8,502966","-9,97093","9,873398"
"0,012","1,365923",0,0,"0,605956",0,0,,"8,265899","-8,353702","9,29402","-7,840294","-9,549478","9,752966","-9,72093","10,123398"
"0,013","2,865923",0,0,"-3,144044",0,0,,"9,015899","-8,353702","8,79402","-6,590294","-10,549478","9,252966","-10,97093","9,123398"
