ForceDecks Raw Data Export,2.0
Weight,"87,2"
Frequency,1000
Recording Date,2024-11-07T11:58:48
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T11:58:52
AthleteId,46ef7225-3d03-495b-998c-287b01f5f585

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"412,865923","-33,87013","-56,751871","421,105956","72,38511","-103,31787",,"99,515899","70,646298","88,54402","154,159706","8,950522","134,252966","179,27907","98,623398"
"0,001","409,865923","-34,840229","-57,955327","423,355956","72,087804","-101,81508",,"99,015899","69,146298","87,54402","154,159706","9,950522","135,002966","179,77907","98,623398"
"0,002","412,365923","-33,552294","-57,995611","423,355956","72,087804","-102,196555",,"98,515899","70,646298","88,79402","154,409706","9,950522","134,752966","180,02907","98,623398"
"0,003","411,615923","-33,523539","-59,082174","425,355956","72,096795","-103,614443",,"98,265899","69,896298","89,29402","154,159706","9,200522","135,252966","181,02907","99,873398"
"0,004","411,365923","-34,713188","-59,706972","424,605956","71,788445","-102,466227",,"98,765899","68,896298","88,54402","155,159706","9,950522","135,002966","180,27907","99,373398"
"0,005","410,615923","-34,686484","-58,832749","425,855956","72,359681","-102,734316",,"98,265899","69,646298","87,54402","155,159706","9,700522","135,502966","181,52907","99,123398"
"0,006","413,615923","-34,077079","-59,577406","424,855956","72,007467","-102,976126",,"98,765899","69,896298","89,29402","155,659706","9,450522","135,252966","180,52907","99,623398"
"0,007","411,615923","-34,062877","-59,47453","425,355956","72,618711","-102,475397",,"98,765899","69,146298","89,29402","154,409706","9,200522","136,002966","181,02907","99,123398"
"0,008","411,615923","-33,523539","-58,689818","424,355956","72,441074","-103,097458",,"98,265899","70,146298","89,04402","154,159706","9,450522","135,002966","181,02907","98,873398"
"0,009","413,115923","-33,939197","-58,085787","424,855956","71,659113","-103,356255",,"99,015899","70,396298","88,79402","154,909706","9,700522","134,752966","180,52907","99,873398"
"0,01","414,365923","-33,926107","-58,495191","425,105956","72,922528","-103,485425",,"99,015899","70,646298","89,04402","155,659706","8,700522","135,752966","181,52907","99,123398"
"0,011","412,115923","-35,098917","-59,402373","423,105956","72,392744","-102,447791",,"99,015899","69,146298","88,04402","155,909706","9,200522","135,252966","179,77907","98,873398"
"0,012","413,365923","-34,366216","-59,027395","425,855956","71,838378","-103,113552",,"99,015899","69,896298","88,79402","155,659706","9,200522","135,752966","180,52907","100,373398"
"0,013","411,115923","-34,104304","-60,33253","426,605956","71,798813","-103,121557",,"98,015899","69,146298","89,04402","154,909706","9,950522","135,252966","181,52907","99,873398"
"0,014","411,865923","-34,491376","-59,242371","424,355956","72,266692","-102,716881",,"99,015899","69,146298","88,79402","154,909706","9,950522","134,752966","181,02907","98,623398"
"0,015","411,865923","-34,671046","-61,20296","424,355956","72,441074","-104,619765",,"98,015899","68,896298","88,79402","156,159706","8,700522","134,752966","181,27907","99,623398"
"0,016","412,865923","-34,049365","-58,316544","425,605956","72,31525","-102,984391",,"99,015899","70,146298","88,79402","154,909706","9,950522","135,002966","181,77907","98,873398"
"0,017","414,615923","-34,708803","-59,82323","424,605956","72,83412","-103,987638",,"99,015899","69,896298","88,79402","156,909706","8,700522","135,252966","181,52907","99,123398"
"0,018","414,865923","-34,063589","-59,203256","425,355956","72,270767","-102,475397",,"99,515899","69,896298","89,79402","155,659706","9,700522","135,502966","181,02907","99,123398"
"0,019","413,115923","-34,476576","-59,649513","424,355956","71,917928","-102,336305",,"99,015899","69,396298","89,04402","155,659706","9,950522","135,002966","180,27907","99,123398"
"0,02","412,865923","-34,2286","-60,272384","426,105956","71,709397","-101,347493",,"98,015899","69,896298","88,79402","156,159706","10,700522","135,502966","180,77907","99,123398"
"0,021","413,865923","-34,682301","-60,516975","424,855956","72,704173","-103,736383",,"99,015899","69,146298","89,29402","156,409706","9,200522","135,002966","181,77907","98,873398"
"0,022","413,115923","-34,655702","-61,995102","426,105956","71,709397","-102,484534",,"98,265899","68,646298","89,54402","156,659706","10,200522","135,252966","181,02907","99,623398"
