ForceDecks Raw Data Export,2.0
Weight,90
Frequency,1000
Recording Date,2024-11-07T10:40:53
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T10:40:58
AthleteId,8a0aa096-e14e-4d09-8118-485a28609c11

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"836,577513","21,726004","-68,882997","48,951156","-64,838061","66,602256",,"86,719561","242,364913","237,327513","270,165526","54,612199","-25,089783","38,842732","-19,413992"
"0,001","835,327513","21,891397","-69,662756","46,201156","-67,896527","61,827618",,"85,469561","242,114913","237,327513","270,415526","53,612199","-26,089783","38,592732","-19,913992"
"0,002","835,577513","21,929128","-69,158714","49,951156","-63,540032","68,502067",,"85,969561","242,364913","237,327513","269,915526","55,362199","-25,089783","39,342732","-19,663992"
"0,003","834,577513","21,512065","-68,661048","49,451156","-55,203928","62,662993",,"86,969561","241,614913","236,327513","269,665526","53,862199","-24,339783","39,842732","-19,913992"
"0,004","835,327513","22,068573","-68,696069","49,201156","-63,756592","71,187503",,"85,969561","242,864913","237,077513","269,415526","55,112199","-25,089783","39,092732","-19,913992"
"0,005","834,577513","21,866736","-69,04807","49,701156","-63,115193","67,221926",,"86,219561","241,864913","237,077513","269,415526","54,612199","-24,589783","38,842732","-19,163992"
"0,006","834,827513","21,993149","-69,124119","48,701156","-65,930633","68,60222",,"85,719561","242,364913","237,077513","269,665526","54,612199","-25,089783","38,592732","-19,413992"
"0,007","834,827513","21,461303","-69,124119","49,201156","-65,260622","61,340173",,"85,969561","242,114913","235,827513","270,915526","54,862199","-25,589783","39,342732","-19,413992"
"0,008","837,327513","21,573979","-68,531985","49,951156","-63,540032","58,802591",,"87,469561","242,364913","237,327513","270,165526","54,612199","-25,089783","39,342732","-18,913992"
"0,009","834,827513","21,815867","-68,156854","50,451156","-59,976783","55,018708",,"86,969561","242,364913","236,577513","268,915526","54,112199","-24,589783","39,592732","-18,663992"
"0,01","834,577513","21,778068","-68,661048","49,951156","-65,021479","65,268908",,"86,469561","242,114913","236,577513","269,415526","54,612199","-24,589783","38,592732","-18,663992"
"0,011","832,327513","21,792486","-68,555605","50,951156","-65,197697","63,987899",,"85,969561","241,864913","235,577513","268,915526","55,862199","-25,339783","39,592732","-19,163992"
"0,012","835,577513","21,574882","-68,192317","52,451156","-63,333171","65,237026",,"87,219561","242,364913","236,327513","269,665526","55,362199","-23,839783","38,842732","-17,913992"
"0,013","834,327513","21,651553","-68,584837","51,201156","-65,601996","74,715255",,"86,719561","241,864913","236,327513","269,415526","55,862199","-24,339783","38,592732","-18,913992"
"0,014","833,327513","21,766335","-69,054742","50,701156","-64,789411","65,89608",,"85,969561","241,614913","236,327513","269,415526","55,612199","-25,089783","39,342732","-19,163992"
"0,015","834,577513","21,778068","-68,854559","52,951156","-66,927681","55,471073",,"86,469561","241,864913","236,827513","269,415526","56,112199","-25,089783","39,592732","-17,663992"
"0,016","833,327513","21,499933","-68,473338","52,201156","-64,345281","64,002556",,"86,469561","241,864913","235,327513","269,665526","54,862199","-23,589783","38,342732","-17,413992"
"0,017","832,077513","21,754567","-68,867342","53,451156","-64,917175","76,102328",,"86,219561","241,114913","236,077513","268,665526","56,612199","-23,589783","38,592732","-18,163992"
"0,018","833,327513","21,677535","-68,860941","54,201156","-61,970967","52,701965",,"86,219561","241,614913","236,077513","269,415526","55,862199","-24,339783","40,092732","-17,413992"
"0,019","831,827513","21,538703","-68,985115","56,951156","-60,927614","62,918081",,"85,969561","241,114913","235,327513","269,415526","57,362199","-23,339783","40,092732","-17,163992"
"0,02","830,827513","21,653696","-68,096224","55,451156","-62,575757","67,53254",,"86,719561","241,114913","235,077513","267,915526","56,862199","-23,339783","39,342732","-17,413992"
"0,021","830,577513","21,972045","-68,213942","55,951156","-63,339139","55,38326",,"85,969561","241,614913","235,327513","267,665526","56,612199","-23,839783","39,842732","-16,663992"
"0,022","829,077513","22,011797","-69,116537","57,951156","-62,430127","59,045542",,"84,719561","241,114913","235,077513","268,165526","57,862199","-23,589783","40,342732","-16,663992"
"0,023","830,077513","21,806983","-69,422392","56,701156","-61,848793","56,074825",,"85,469561","240,364913","235,827513","268,415526","57,362199","-24,089783","40,592732","-17,163992"
"0,024","829,827513","21,768965","-68,95676","60,201156","-57,02379","55,497396",,"85,719561","240,614913","235,327513","268,165526","57,612199","-22,339783","40,842732","-15,913992"
"0,025","827,577513","22,051694","-69,046664","59,951156","-62,816104","59,769613",,"84,719561","240,614913","234,827513","267,415526","58,862199","-23,339783","40,592732","-16,163992"
"0,026","827,577513","21,872859","-69,43696","61,201156","-57,301173","57,229432",,"84,719561","240,114913","234,827513","267,915526","57,862199","-21,839783","40,592732","-15,413992"
"0,027","828,327513","21,629713","-68,69169","60,951156","-61,785507","53,489673",,"85,969561","240,114913","234,577513","267,665526","58,612199","-23,089783","40,842732","-15,413992"
"0,028","826,827513","21,668952","-68,816308","61,701156","-59,235487","56,765669",,"85,469561","239,864913","234,077513","267,415526","58,112199","-21,839783","40,342732","-14,913992"
"0,029","827,827513","21,732167","-69,123357","61,701156","-58,036158","56,765669",,"85,469561","239,864913","234,827513","267,665526","58,112199","-21,839783","40,592732","-15,163992"
"0,03","826,327513","21,413405","-68,857948","62,201156","-63,518081","58,905777",,"85,469561","239,614913","233,327513","267,915526","59,112199","-22,339783","40,092732","-14,663992"
"0,031","826,827513","21,668952","-68,816308","63,701156","-60,860717","54,98342",,"85,469561","239,864913","234,077513","267,415526","59,112199","-21,839783","40,592732","-14,163992"
"0,032","827,327513","21,745301","-68,969925","64,201156","-60,386733","57,070739",,"85,469561","239,864913","234,577513","267,415526","59,612199","-21,839783","40,842732","-14,413992"
"0,033","825,077513","21,58038","-68,668659","66,451156","-61,126071","58,78389",,"84,969561","239,864913","232,827513","267,415526","60,612199","-21,339783","40,842732","-13,663992"
"0,034","825,827513","21,874406","-68,508515","65,951156","-58,223362","56,78077",,"85,469561","239,864913","234,077513","266,415526","59,862199","-21,089783","41,092732","-13,913992"
"0,035","825,577513","21,119139","-68,43145","66,451156","-58,898871","46,632107",,"86,219561","239,114913","232,577513","267,665526","59,862199","-21,839783","41,842732","-13,413992"
"0,036","825,827513","21,247156","-68,312954","67,451156","-60,219843","48,335086",,"86,219561","239,364913","232,827513","267,415526","60,612199","-21,839783","41,842732","-13,163992"
"0,037","823,577513","21,529833","-68,009344","68,201156","-57,930075","58,459528",,"85,969561","239,114913","232,577513","265,915526","60,612199","-20,339783","41,092732","-13,163992"
"0,038","822,827513","21,50449","-68,56202","70,701156","-57,974979","63,245181",,"85,219561","238,864913","232,327513","266,415526","62,112199","-19,839783","41,342732","-12,913992"
"0,039","823,827513","21,119088","-68,478796","71,451156","-51,670235","54,670318",,"86,219561","238,364913","232,327513","266,915526","61,112199","-19,339783","42,592732","-12,913992"
