ForceDecks Raw Data Export,2.0
Weight,90
Frequency,1000
Recording Date,2024-11-07T10:41:59
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T10:42:07
AthleteId,8a0aa096-e14e-4d09-8118-485a28609c11

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-5,172487",0,0,"-0,298844",0,0,,"-19,530439","17,614913","-18,172487","14,915526","40,362199","-39,589783","39,342732","-40,413992"
"0,001","-6,172487",0,0,"-3,298844",0,0,,"-19,780439","16,864913","-18,422487","15,165526","40,112199","-40,839783","39,092732","-41,663992"
"0,002","-6,172487",0,0,"-2,298844",0,0,,"-19,780439","17,364913","-19,172487","15,415526","39,612199","-40,089783","39,342732","-41,163992"
"0,003","-6,172487",0,0,"-4,798844",0,0,,"-20,280439","16,864913","-18,922487","16,165526","38,112199","-40,839783","39,092732","-41,163992"
"0,004","-6,672487",0,0,"-3,048844",0,0,,"-20,280439","17,114913","-18,672487","15,165526","39,112199","-40,589783","38,592732","-40,163992"
"0,005","-5,422487",0,0,"-3,798844",0,0,,"-19,530439","16,364913","-18,672487","16,415526","39,112199","-40,089783","38,342732","-41,163992"
"0,006","-4,422487",0,0,"-2,548844",0,0,,"-20,280439","18,364913","-19,672487","17,165526","39,612199","-40,839783","38,592732","-39,913992"
"0,007","-3,922487",0,0,"-3,048844",0,0,,"-20,280439","18,614913","-19,172487","16,915526","39,612199","-40,089783","37,592732","-40,163992"
"0,008","-4,172487",0,0,"-2,298844",0,0,,"-20,780439","18,864913","-19,422487","17,165526","39,112199","-40,339783","38,342732","-39,413992"
"0,009","-1,672487",0,0,"-0,798844",0,0,,"-21,280439","20,114913","-18,422487","17,915526","38,862199","-39,839783","39,342732","-39,163992"
"0,01","-0,172487",0,0,"-1,048844",0,0,,"-21,280439","20,864913","-18,422487","18,665526","38,362199","-39,339783","39,342732","-39,413992"
"0,011","0,577513",0,0,"-0,298844",0,0,,"-20,280439","20,364913","-18,422487","18,915526","39,362199","-39,589783","38,592732","-38,663992"
"0,012","0,827513",0,0,"0,451156",0,0,,"-21,030439","20,614913","-18,922487","20,165526","39,112199","-39,589783","39,342732","-38,413992"
"0,013","2,077513",0,0,"-0,548844",0,0,,"-21,030439","21,864913","-18,922487","20,165526","39,362199","-39,589783","38,592732","-38,913992"
"0,014","1,327513",0,0,"0,701156",0,0,,"-22,030439","22,614913","-19,172487","19,915526","39,362199","-39,589783","38,842732","-37,913992"
"0,015","2,577513",0,0,"1,951156",0,0,,"-21,780439","21,864913","-17,922487","20,415526","39,612199","-39,089783","38,842732","-37,413992"
"0,016","2,077513",0,0,"0,201156",0,0,,"-21,780439","22,114913","-19,172487","20,915526","39,862199","-39,339783","38,842732","-39,163992"
"0,017","3,327513",0,0,"0,201156",0,0,,"-21,780439","22,864913","-18,922487","21,165526","40,112199","-39,589783","38,592732","-38,913992"
"0,018","3,327513",0,0,"-0,548844",0,0,,"-21,280439","22,114913","-18,922487","21,415526","40,112199","-39,339783","37,842732","-39,163992"
"0,019","6,577513",0,0,"0,201156",0,0,,"-21,280439","24,114913","-17,922487","21,665526","40,112199","-38,339783","37,842732","-39,413992"
"0,02","4,827513",0,0,"1,701156",0,0,,"-21,780439","24,364913","-18,922487","21,165526","39,862199","-38,089783","38,592732","-38,663992"
"0,021","6,077513",0,0,"1,201156",0,0,,"-20,530439","23,614913","-18,172487","21,165526","40,112199","-37,839783","38,092732","-39,163992"
"0,022","5,827513",0,0,"1,951156",0,0,,"-21,030439","24,114913","-18,922487","21,665526","39,612199","-38,089783","38,592732","-38,163992"
"0,023","5,827513",0,0,"3,201156",0,0,,"-21,280439","23,614913","-19,172487","22,665526","39,862199","-37,339783","38,592732","-37,913992"
"0,024","5,077513",0,0,"4,201156",0,0,,"-21,780439","23,364913","-18,172487","21,665526","39,862199","-37,339783","39,092732","-37,413992"
"0,025","3,827513",0,0,"2,201156",0,0,,"-20,780439","23,614913","-19,672487","20,665526","40,112199","-37,589783","38,342732","-38,663992"
"0,026","4,577513",0,0,"1,451156",0,0,,"-20,530439","23,364913","-18,922487","20,665526","38,862199","-38,339783","37,842732","-36,913992"
"0,027","2,577513",0,0,"2,701156",0,0,,"-21,280439","23,614913","-18,922487","19,165526","40,112199","-38,839783","38,342732","-36,913992"
"0,028","-0,172487",0,0,"3,201156",0,0,,"-21,030439","21,614913","-19,672487","18,915526","40,362199","-38,339783","39,092732","-37,913992"
"0,029","0,327513",0,0,"1,451156",0,0,,"-21,780439","22,614913","-18,172487","17,665526","39,612199","-38,089783","38,592732","-38,663992"
"0,03","-0,922487",0,0,"0,701156",0,0,,"-20,780439","20,864913","-18,672487","17,665526","40,112199","-39,589783","38,842732","-38,663992"
"0,031","-1,172487",0,0,"2,701156",0,0,,"-20,030439","20,864913","-18,922487","16,915526","41,112199","-38,589783","38,842732","-38,663992"
"0,032","-1,672487",0,0,"1,701156",0,0,,"-20,780439","19,614913","-17,922487","17,415526","40,862199","-39,089783","39,842732","-39,913992"
"0,033","-3,172487",0,0,"1,201156",0,0,,"-20,030439","18,364913","-18,922487","17,415526","40,362199","-39,089783","39,592732","-39,663992"
"0,034","-4,172487",0,0,"-0,048844",0,0,,"-20,030439","18,364913","-18,672487","16,165526","40,362199","-39,589783","39,592732","-40,413992"
"0,035","-6,422487",0,0,"-0,298844",0,0,,"-21,030439","17,614913","-19,172487","16,165526","39,862199","-40,089783","39,842732","-39,913992"
"0,036","-7,172487",0,0,"-1,298844",0,0,,"-20,280439","16,864913","-18,922487","15,165526","40,862199","-40,839783","39,342732","-40,663992"
"0,037","-8,172487",0,0,"-1,298844",0,0,,"-19,780439","16,114913","-19,672487","15,165526","40,862199","-41,339783","40,592732","-41,413992"
"0,038","-6,172487",0,0,"-3,798844",0,0,,"-19,530439","16,114913","-18,672487","15,915526","39,862199","-42,339783","39,842732","-41,163992"
"0,039","-8,672487",0,0,"-2,298844",0,0,,"-20,280439","16,364913","-19,172487","14,415526","40,612199","-42,089783","40,592732","-41,413992"
