ForceDecks Raw Data Export,2.0
Weight,"89,9"
Frequency,1000
Recording Date,2024-11-07T10:44:51
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T13:49:24
AthleteId,8a0aa096-e14e-4d09-8118-485a28609c11

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,577513",0,0,"0,201156",0,0,,"-14,530439","15,114913","-13,172487","13,165526","33,112199","-33,589783","33,592732","-32,913992"
"0,001","-0,422487",0,0,"-0,548844",0,0,,"-14,530439","14,364913","-13,172487","12,915526","32,362199","-33,089783","32,592732","-32,413992"
"0,002","1,827513",0,0,"0,451156",0,0,,"-14,030439","15,364913","-12,672487","13,165526","33,612199","-32,339783","32,842732","-33,663992"
"0,003","0,577513",0,0,"2,701156",0,0,,"-14,780439","14,864913","-13,422487","13,915526","34,362199","-31,589783","32,592732","-32,663992"
"0,004","0,327513",0,0,"-1,048844",0,0,,"-14,780439","14,614913","-13,172487","13,665526","32,612199","-33,089783","32,342732","-32,913992"
"0,005","0,327513",0,0,"-0,048844",0,0,,"-14,530439","14,864913","-13,172487","13,165526","33,612199","-32,839783","32,342732","-33,163992"
"0,006","1,077513",0,0,"1,201156",0,0,,"-15,030439","14,864913","-12,672487","13,915526","33,862199","-32,839783","33,342732","-33,163992"
"0,007","1,077513",0,0,"0,701156",0,0,,"-14,280439","14,364913","-12,922487","13,915526","34,362199","-33,589783","32,592732","-32,663992"
"0,008","-0,422487",0,0,"0,701156",0,0,,"-15,530439","14,614913","-13,172487","13,665526","33,862199","-32,589783","32,342732","-32,913992"
"0,009","-0,172487",0,0,"2,201156",0,0,,"-14,030439","14,614913","-13,172487","12,415526","33,112199","-32,089783","33,342732","-32,163992"
"0,01","2,327513",0,0,"-1,298844",0,0,,"-14,530439","15,614913","-12,672487","13,915526","32,862199","-34,339783","33,092732","-32,913992"
"0,011","0,327513",0,0,"-1,548844",0,0,,"-14,530439","14,614913","-13,672487","13,915526","33,112199","-33,339783","31,592732","-32,913992"
"0,012","0,577513",0,0,"0,701156",0,0,,"-14,530439","15,364913","-13,922487","13,665526","33,112199","-32,089783","31,842732","-32,163992"
"0,013","-1,672487",0,0,"-0,798844",0,0,,"-14,780439","14,364913","-14,172487","12,915526","33,112199","-33,089783","32,092732","-32,913992"
"0,014","1,077513",0,0,"-1,048844",0,0,,"-14,530439","15,614913","-13,672487","13,665526","32,362199","-33,089783","32,592732","-32,913992"
