ForceDecks Raw Data Export,2.0
Weight,90
Frequency,1000
Recording Date,2024-11-07T10:43:17
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T13:47:32
AthleteId,8a0aa096-e14e-4d09-8118-485a28609c11

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-0,422487",0,0,"0,201156",0,0,,"-9,280439","9,614913","-8,672487","7,915526","34,612199","-33,339783","32,342732","-33,413992"
"0,001","0,827513",0,0,"-1,548844",0,0,,"-9,530439","10,364913","-7,922487","7,915526","34,362199","-33,839783","31,342732","-33,413992"
"0,002","0,327513",0,0,"-0,548844",0,0,,"-9,780439","9,364913","-8,422487","9,165526","33,612199","-33,589783","33,342732","-33,913992"
"0,003","-1,672487",0,0,"1,951156",0,0,,"-10,280439","8,614913","-7,672487","7,665526","34,362199","-32,839783","33,342732","-32,913992"
"0,004","2,327513",0,0,"-0,548844",0,0,,"-9,530439","10,614913","-7,672487","8,915526","34,112199","-34,089783","32,842732","-33,413992"
"0,005","-0,172487",0,0,"-0,548844",0,0,,"-9,030439","9,864913","-8,672487","7,665526","34,362199","-34,589783","33,092732","-33,413992"
"0,006","1,577513",0,0,"0,201156",0,0,,"-9,030439","9,114913","-7,172487","8,665526","34,362199","-34,339783","33,342732","-33,163992"
"0,007","-0,422487",0,0,"0,451156",0,0,,"-9,530439","9,864913","-8,422487","7,665526","33,612199","-33,589783","33,592732","-33,163992"
"0,008","0,577513",0,0,"-0,798844",0,0,,"-9,030439","9,114913","-7,422487","7,915526","33,862199","-34,589783","33,342732","-33,413992"
"0,009","0,827513",0,0,"0,951156",0,0,,"-9,280439","9,864913","-7,922487","8,165526","34,112199","-33,589783","33,342732","-32,913992"
"0,01","-0,422487",0,0,"0,701156",0,0,,"-9,780439","9,864913","-8,172487","7,665526","34,112199","-33,089783","33,092732","-33,413992"
"0,011","-2,172487",0,0,"-0,298844",0,0,,"-9,780439","9,114913","-9,422487","7,915526","33,362199","-32,839783","33,342732","-34,163992"
"0,012","-0,422487",0,0,"-2,298844",0,0,,"-10,780439","10,114913","-8,422487","8,665526","33,362199","-33,589783","32,092732","-34,163992"
"0,013","2,077513",0,0,"-0,048844",0,0,,"-9,030439","9,864913","-7,922487","9,165526","33,612199","-33,839783","32,842732","-32,663992"
"0,014","-0,922487",0,0,"0,451156",0,0,,"-9,780439","8,864913","-8,422487","8,415526","34,612199","-33,839783","32,592732","-32,913992"
"0,015","1,327513",0,0,"-1,048844",0,0,,"-9,530439","9,614913","-7,672487","8,915526","34,112199","-34,339783","33,342732","-34,163992"
"0,016","-0,172487",0,0,"0,701156",0,0,,"-9,530439","9,114913","-7,922487","8,165526","33,612199","-32,839783","33,342732","-33,413992"
"0,017","0,827513",0,0,"-0,298844",0,0,,"-9,280439","10,364913","-8,172487","7,915526","34,362199","-34,339783","33,092732","-33,413992"
"0,018","2,327513",0,0,"-0,798844",0,0,,"-9,530439","9,114913","-6,422487","9,165526","33,862199","-33,839783","32,592732","-33,413992"
"0,019","-1,172487",0,0,"1,201156",0,0,,"-10,030439","8,864913","-7,922487","7,915526","34,362199","-32,839783","33,092732","-33,413992"
"0,02","-0,172487",0,0,"0,201156",0,0,,"-10,280439","10,114913","-7,922487","7,915526","34,362199","-33,589783","33,092732","-33,663992"
"0,021","0,827513",0,0,"-0,548844",0,0,,"-9,280439","9,864913","-8,172487","8,415526","33,862199","-34,339783","33,342732","-33,413992"
"0,022","0,077513",0,0,"-0,048844",0,0,,"-10,280439","9,864913","-7,422487","7,915526","34,612199","-33,589783","32,592732","-33,663992"
"0,023","0,827513",0,0,"-0,048844",0,0,,"-9,780439","9,114913","-7,422487","8,915526","33,862199","-33,589783","33,092732","-33,413992"
"0,024","-0,172487",0,0,"1,201156",0,0,,"-10,280439","9,614913","-7,422487","7,915526","34,612199","-32,839783","32,842732","-33,413992"
"0,025","1,077513",0,0,"1,451156",0,0,,"-9,530439","9,864913","-7,422487","8,165526","34,362199","-33,339783","33,342732","-32,913992"
"0,026","-0,422487",0,0,"-0,298844",0,0,,"-9,530439","9,864913","-8,672487","7,915526","33,362199","-33,589783","32,842732","-32,913992"
"0,027","-0,672487",0,0,"-1,048844",0,0,,"-10,280439","9,614913","-7,922487","7,915526","33,612199","-33,339783","32,592732","-33,913992"
"0,028","0,577513",0,0,"-0,298844",0,0,,"-9,030439","9,614913","-8,422487","8,415526","33,612199","-33,089783","33,342732","-34,163992"
"0,029","-1,172487",0,0,"-1,298844",0,0,,"-10,280439","9,614913","-7,922487","7,415526","33,112199","-32,839783","32,592732","-34,163992"
"0,03","1,577513",0,0,"-0,298844",0,0,,"-9,030439","9,864913","-7,672487","8,415526","33,612199","-34,339783","33,342732","-32,913992"
"0,031","0,577513",0,0,"-0,298844",0,0,,"-9,530439","9,614913","-7,922487","8,415526","33,612199","-33,589783","32,592732","-32,913992"
"0,032","0,077513",0,0,"-0,048844",0,0,,"-9,530439","10,114913","-8,422487","7,915526","34,612199","-34,089783","32,842732","-33,413992"
"0,033","-0,672487",0,0,"0,701156",0,0,,"-9,530439","8,614913","-8,172487","8,415526","34,362199","-34,339783","34,092732","-33,413992"
"0,034","1,577513",0,0,"-0,548844",0,0,,"-9,280439","9,864913","-7,422487","8,415526","33,612199","-34,339783","33,342732","-33,163992"
"0,035","-0,672487",0,0,"-1,798844",0,0,,"-9,530439","10,364913","-9,422487","7,915526","32,612199","-33,589783","33,092732","-33,913992"
"0,036","0,577513",0,0,"-0,798844",0,0,,"-8,780439","10,114913","-8,672487","7,915526","33,862199","-34,589783","33,592732","-33,663992"
"0,037","0,577513",0,0,"1,701156",0,0,,"-10,280439","9,864913","-6,922487","7,915526","35,362199","-33,339783","33,092732","-33,413992"
"0,038","0,577513",0,0,"-0,798844",0,0,,"-9,530439","10,114913","-7,922487","7,915526","34,112199","-33,839783","32,842732","-33,913992"
"0,039","-1,172487",0,0,"1,451156",0,0,,"-10,530439","9,614913","-8,172487","7,915526","34,362199","-33,339783","33,592732","-33,163992"
"0,04","1,077513",0,0,"-0,548844",0,0,,"-9,530439","9,364913","-7,422487","8,665526","33,862199","-33,339783","33,092732","-34,163992"
"0,041","1,077513",0,0,"-0,798844",0,0,,"-9,780439","10,364913","-8,422487","8,915526","33,362199","-33,839783","32,592732","-32,913992"
"0,042","-0,422487",0,0,"0,951156",0,0,,"-9,530439","9,864913","-8,422487","7,665526","33,862199","-32,339783","32,342732","-32,913992"
"0,043","-0,922487",0,0,"0,701156",0,0,,"-9,780439","8,864913","-8,422487","8,415526","34,112199","-33,089783","33,342732","-33,663992"
"0,044","2,327513",0,0,"0,451156",0,0,,"-9,280439","9,864913","-7,172487","8,915526","33,612199","-33,589783","33,342732","-32,913992"
"0,045","-0,672487",0,0,"-0,048844",0,0,,"-9,780439","9,614913","-7,672487","7,165526","34,362199","-33,839783","32,842732","-33,413992"
"0,046","0,077513",0,0,"-1,298844",0,0,,"-9,530439","9,364913","-7,922487","8,165526","33,862199","-33,589783","32,592732","-34,163992"
"0,047","0,077513",0,0,"1,451156",0,0,,"-9,530439","9,614913","-8,672487","8,665526","34,362199","-33,589783","33,842732","-33,163992"
