ForceDecks Raw Data Export,2.0
Weight,"90,1"
Frequency,1000
Recording Date,2024-11-07T10:44:07
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T10:44:10
AthleteId,8a0aa096-e14e-4d09-8118-485a28609c11

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,327513",0,0,"-0,298844",0,0,,"-16,530439","17,114913","-16,172487","15,915526","35,862199","-34,839783","33,842732","-35,163992"
"0,001","0,577513",0,0,"-2,048844",0,0,,"-17,030439","17,614913","-15,672487","15,665526","35,112199","-35,089783","33,342732","-35,413992"
"0,002","-1,422487",0,0,"0,451156",0,0,,"-18,030439","16,864913","-15,922487","15,665526","34,612199","-34,339783","35,592732","-35,413992"
"0,003","1,827513",0,0,"-0,298844",0,0,,"-16,030439","16,864913","-15,172487","16,165526","35,112199","-34,839783","34,092732","-34,663992"
"0,004","0,577513",0,0,"-0,048844",0,0,,"-17,280439","17,364913","-15,172487","15,665526","35,862199","-35,339783","34,342732","-34,913992"
"0,005","2,077513",0,0,"1,451156",0,0,,"-16,780439","16,364913","-13,922487","16,415526","36,362199","-34,839783","34,592732","-34,663992"
"0,006","-0,422487",0,0,"-0,548844",0,0,,"-17,780439","16,864913","-15,422487","15,915526","34,862199","-35,089783","34,592732","-34,913992"
"0,007","1,327513",0,0,"-1,048844",0,0,,"-16,530439","17,614913","-15,672487","15,915526","34,862199","-35,589783","33,842732","-34,163992"
"0,008","-0,422487",0,0,"-0,798844",0,0,,"-18,030439","17,864913","-15,922487","15,665526","35,612199","-34,839783","33,342732","-34,913992"
"0,009","0,077513",0,0,"-2,048844",0,0,,"-16,780439","16,864913","-15,672487","15,665526","35,112199","-34,839783","33,092732","-35,413992"
"0,01","2,327513",0,0,"0,701156",0,0,,"-16,780439","17,864913","-14,922487","16,165526","35,362199","-34,339783","34,092732","-34,413992"
"0,011","0,327513",0,0,"-0,048844",0,0,,"-17,030439","17,614913","-16,172487","15,915526","35,112199","-34,839783","34,342732","-34,663992"
"0,012","0,827513",0,0,"1,201156",0,0,,"-17,030439","16,864913","-15,172487","16,165526","35,612199","-35,589783","35,092732","-33,913992"
"0,013","1,827513",0,0,"-1,298844",0,0,,"-16,280439","17,364913","-15,422487","16,165526","34,612199","-34,339783","34,092732","-35,663992"
"0,014","1,077513",0,0,"0,201156",0,0,,"-16,530439","16,364913","-14,922487","16,165526","35,362199","-34,339783","34,592732","-35,413992"
"0,015","1,077513",0,0,"-0,298844",0,0,,"-16,030439","16,364913","-15,172487","15,915526","34,862199","-35,089783","33,842732","-33,913992"
"0,016","0,577513",0,0,"-1,798844",0,0,,"-17,280439","16,864913","-15,172487","16,165526","34,612199","-34,089783","33,092732","-35,413992"
"0,017","0,827513",0,0,"0,201156",0,0,,"-16,530439","16,864913","-15,172487","15,665526","34,612199","-34,339783","34,592732","-34,663992"
"0,018","0,327513",0,0,"-0,298844",0,0,,"-16,530439","17,614913","-15,922487","15,165526","35,112199","-35,589783","34,342732","-34,163992"
"0,019","-0,672487",0,0,"-0,548844",0,0,,"-18,030439","17,114913","-14,922487","15,165526","34,362199","-34,839783","35,342732","-35,413992"
"0,02","0,077513",0,0,"0,451156",0,0,,"-16,280439","16,864913","-15,922487","15,415526","35,612199","-34,339783","34,342732","-35,163992"
"0,021","-0,922487",0,0,"-0,298844",0,0,,"-17,280439","17,614913","-16,422487","15,165526","35,112199","-34,339783","34,342732","-35,413992"
"0,022","0,577513",0,0,"1,701156",0,0,,"-17,530439","17,364913","-15,172487","15,915526","35,362199","-34,589783","34,592732","-33,663992"
"0,023","0,077513",0,0,"-1,548844",0,0,,"-17,030439","17,614913","-16,422487","15,915526","34,862199","-34,589783","33,592732","-35,413992"
"0,024","0,327513",0,0,"0,951156",0,0,,"-17,280439","18,614913","-16,422487","15,415526","35,362199","-34,839783","34,592732","-34,163992"
"0,025","2,077513",0,0,"-0,048844",0,0,,"-17,280439","18,364913","-15,172487","16,165526","35,112199","-34,839783","34,092732","-34,413992"
"0,026","0,577513",0,0,"-0,298844",0,0,,"-16,530439","17,114913","-15,672487","15,665526","35,112199","-35,339783","34,592732","-34,663992"
"0,027","-0,422487",0,0,"0,951156",0,0,,"-17,030439","16,864913","-15,922487","15,665526","35,362199","-34,339783","34,592732","-34,663992"
"0,028","-0,172487",0,0,"-0,798844",0,0,,"-17,030439","16,864913","-15,422487","15,415526","34,362199","-34,589783","34,092732","-34,663992"
"0,029","-0,672487",0,0,"-0,048844",0,0,,"-17,280439","16,864913","-15,422487","15,165526","35,112199","-35,089783","33,842732","-33,913992"
"0,03","-1,922487",0,0,"0,451156",0,0,,"-17,530439","16,364913","-16,172487","15,415526","35,612199","-35,339783","34,342732","-34,163992"
"0,031","-1,172487",0,0,"-0,548844",0,0,,"-17,530439","17,114913","-16,422487","15,665526","34,862199","-34,339783","33,342732","-34,413992"
"0,032","1,077513",0,0,"-0,548844",0,0,,"-16,530439","17,364913","-14,922487","15,165526","35,112199","-34,839783","33,342732","-34,163992"
"0,033","-1,172487",0,0,"-0,048844",0,0,,"-18,030439","16,864913","-15,172487","15,165526","35,362199","-34,339783","34,592732","-35,663992"
"0,034","0,577513",0,0,"0,201156",0,0,,"-16,780439","16,864913","-15,922487","16,415526","35,112199","-34,589783","34,342732","-34,663992"
"0,035","0,077513",0,0,"0,701156",0,0,,"-16,530439","16,364913","-15,922487","16,165526","35,362199","-34,839783","34,592732","-34,413992"
"0,036","0,827513",0,0,"-0,298844",0,0,,"-16,530439","16,864913","-15,922487","16,415526","35,612199","-35,089783","34,592732","-35,413992"
"0,037","-0,172487",0,0,"-1,298844",0,0,,"-16,780439","16,364913","-15,422487","15,665526","34,612199","-35,589783","34,342732","-34,663992"
"0,038","1,077513",0,0,"-0,548844",0,0,,"-16,780439","17,114913","-15,172487","15,915526","34,862199","-34,339783","33,842732","-34,913992"
"0,039","-1,172487",0,0,"-0,298844",0,0,,"-16,780439","15,864913","-15,172487","14,915526","35,112199","-35,089783","33,842732","-34,163992"
"0,04","1,077513",0,0,"0,951156",0,0,,"-16,780439","17,364913","-15,172487","15,665526","35,612199","-34,589783","35,092732","-35,163992"
"0,041","-0,672487",0,0,"0,201156",0,0,,"-17,530439","16,364913","-15,172487","15,665526","35,362199","-34,839783","33,842732","-34,163992"
"0,042","0,327513",0,0,"0,201156",0,0,,"-17,280439","16,864913","-15,172487","15,915526","35,862199","-35,339783","33,342732","-33,663992"
"0,043","-0,422487",0,0,"-1,298844",0,0,,"-16,780439","16,864913","-16,172487","15,665526","34,862199","-34,839783","34,092732","-35,413992"
"0,044","-0,172487",0,0,"0,201156",0,0,,"-16,780439","17,114913","-16,422487","15,915526","34,862199","-34,839783","34,342732","-34,163992"
"0,045","1,577513",0,0,"-0,798844",0,0,,"-16,780439","16,864913","-14,922487","16,415526","34,362199","-35,089783","34,092732","-34,163992"
"0,046","-0,672487",0,0,"0,951156",0,0,,"-17,280439","16,864913","-15,922487","15,665526","35,362199","-34,339783","34,592732","-34,663992"
"0,047","0,577513",0,0,"-0,298844",0,0,,"-16,780439","17,364913","-15,422487","15,415526","34,862199","-34,839783","34,342732","-34,663992"
"0,048","0,077513",0,0,"2,201156",0,0,,"-17,780439","17,364913","-15,672487","16,165526","35,862199","-34,589783","35,092732","-34,163992"
"0,049","0,077513",0,0,"1,451156",0,0,,"-16,530439","16,364913","-15,172487","15,415526","36,362199","-35,089783","34,592732","-34,413992"
"0,05","0,327513",0,0,"-0,048844",0,0,,"-17,530439","16,864913","-14,672487","15,665526","35,862199","-35,089783","34,592732","-35,413992"
"0,051","0,077513",0,0,"0,951156",0,0,,"-17,030439","17,614913","-15,922487","15,415526","35,362199","-34,089783","34,092732","-34,413992"
"0,052","0,077513",0,0,"0,701156",0,0,,"-16,530439","16,864913","-15,922487","15,665526","35,612199","-35,089783","34,342732","-34,163992"
"0,053","0,827513",0,0,"1,201156",0,0,,"-16,780439","17,614913","-15,422487","15,415526","35,612199","-34,839783","34,592732","-34,163992"
"0,054","0,077513",0,0,"-0,798844",0,0,,"-16,030439","16,114913","-15,922487","15,915526","34,362199","-34,839783","34,592732","-34,913992"
"0,055","1,327513",0,0,"-0,548844",0,0,,"-16,030439","17,114913","-15,422487","15,665526","35,112199","-34,839783","33,842732","-34,663992"
"0,056","1,077513",0,0,"1,701156",0,0,,"-17,280439","18,114913","-15,422487","15,665526","35,612199","-34,339783","34,842732","-34,413992"
"0,057","0,577513",0,0,"-0,548844",0,0,,"-16,530439","17,614913","-15,922487","15,415526","34,862199","-34,339783","33,592732","-34,663992"
"0,058","0,327513",0,0,"-0,548844",0,0,,"-17,030439","16,864913","-15,172487","15,665526","35,362199","-35,089783","34,842732","-35,663992"
"0,059","-0,422487",0,0,"-0,798844",0,0,,"-16,530439","16,364913","-15,922487","15,665526","34,862199","-35,339783","34,592732","-34,913992"
"0,06","0,827513",0,0,"0,201156",0,0,,"-16,530439","16,864913","-15,422487","15,915526","34,612199","-35,089783","35,342732","-34,663992"
"0,061","-0,672487",0,0,"0,701156",0,0,,"-18,030439","17,614913","-15,922487","15,665526","36,362199","-34,839783","35,092732","-35,913992"
"0,062","0,327513",0,0,"-0,798844",0,0,,"-16,780439","17,364913","-15,922487","15,665526","34,862199","-35,589783","34,592732","-34,663992"
"0,063","-0,172487",0,0,"-0,048844",0,0,,"-17,280439","17,364913","-15,172487","14,915526","34,862199","-34,339783","34,592732","-35,163992"
"0,064","0,577513",0,0,"0,451156",0,0,,"-16,530439","17,114913","-15,422487","15,415526","35,612199","-35,339783","34,842732","-34,663992"
"0,065","-0,172487",0,0,"0,701156",0,0,,"-16,780439","16,114913","-15,172487","15,665526","35,612199","-34,589783","34,342732","-34,663992"
"0,066","1,077513",0,0,"-1,298844",0,0,,"-16,030439","16,614913","-15,672487","16,165526","34,862199","-35,089783","34,342732","-35,413992"
"0,067","0,577513",0,0,"1,201156",0,0,,"-16,780439","16,864913","-15,172487","15,665526","35,612199","-34,839783","34,592732","-34,163992"
"0,068","-0,922487",0,0,"-0,048844",0,0,,"-17,280439","16,864913","-15,672487","15,165526","34,612199","-34,839783","34,842732","-34,663992"
"0,069","0,577513",0,0,"0,951156",0,0,,"-17,280439","17,364913","-15,172487","15,665526","35,112199","-34,089783","34,592732","-34,663992"
"0,07","-0,422487",0,0,"0,201156",0,0,,"-16,530439","16,364913","-15,172487","14,915526","35,112199","-34,089783","34,342732","-35,163992"
"0,071","0,577513",0,0,"-0,048844",0,0,,"-17,280439","16,864913","-15,172487","16,165526","34,862199","-35,089783","34,592732","-34,413992"
"0,072","0,077513",0,0,"-0,798844",0,0,,"-16,780439","16,864913","-15,922487","15,915526","34,362199","-35,589783","35,342732","-34,913992"
"0,073","-0,422487",0,0,"0,451156",0,0,,"-17,280439","16,864913","-15,172487","15,165526","35,862199","-35,089783","34,342732","-34,663992"
"0,074","0,827513",0,0,"0,451156",0,0,,"-16,780439","16,864913","-14,922487","15,665526","36,612199","-35,589783","34,592732","-35,163992"
"0,075","0,077513",0,0,"-0,048844",0,0,,"-17,530439","16,864913","-15,172487","15,915526","34,862199","-35,339783","34,342732","-33,913992"
"0,076","-0,422487",0,0,"0,701156",0,0,,"-17,780439","16,864913","-15,172487","15,665526","34,612199","-34,589783","34,842732","-34,163992"
"0,077","1,577513",0,0,"0,201156",0,0,,"-16,530439","17,114913","-15,172487","16,165526","35,612199","-34,839783","34,092732","-34,663992"
"0,078","-0,922487",0,0,"-1,548844",0,0,,"-17,030439","16,364913","-15,922487","15,665526","35,362199","-35,339783","33,842732","-35,413992"
"0,079","0,577513",0,0,"-0,798844",0,0,,"-16,280439","16,364913","-14,672487","15,165526","34,612199","-35,339783","34,592732","-34,663992"
"0,08","-0,672487",0,0,"0,701156",0,0,,"-17,030439","16,364913","-15,672487","15,665526","35,112199","-34,339783","34,592732","-34,663992"
"0,081","0,327513",0,0,"1,451156",0,0,,"-16,530439","16,364913","-15,422487","15,915526","35,862199","-34,339783","34,342732","-34,413992"
"0,082","-0,672487",0,0,"-1,048844",0,0,,"-17,030439","16,364913","-15,672487","15,665526","35,112199","-35,089783","34,092732","-35,163992"
"0,083","-0,172487",0,0,"1,201156",0,0,,"-16,530439","16,864913","-15,672487","15,165526","36,112199","-33,839783","34,092732","-35,163992"
"0,084","1,827513",0,0,"-0,298844",0,0,,"-17,030439","17,114913","-13,922487","15,665526","35,112199","-34,589783","34,592732","-35,413992"
"0,085","0,327513",0,0,"-1,548844",0,0,,"-17,030439","16,864913","-15,172487","15,665526","35,112199","-35,589783","34,592732","-35,663992"
"0,086","0,327513",0,0,"0,701156",0,0,,"-16,530439","16,614913","-15,422487","15,665526","35,612199","-34,339783","34,092732","-34,663992"
"0,087","0,327513",0,0,"1,201156",0,0,,"-16,280439","16,614913","-15,172487","15,165526","35,362199","-34,589783","35,092732","-34,663992"
"0,088","-0,672487",0,0,"0,201156",0,0,,"-17,280439","16,864913","-14,922487","14,665526","35,362199","-34,089783","34,342732","-35,413992"
"0,089","1,077513",0,0,"0,201156",0,0,,"-16,280439","16,864913","-15,172487","15,665526","35,862199","-34,589783","34,342732","-35,413992"
"0,09","-1,172487",0,0,"-0,048844",0,0,,"-17,530439","16,114913","-15,922487","16,165526","35,612199","-35,589783","34,842732","-34,913992"
"0,091","1,577513",0,0,"-1,548844",0,0,,"-16,530439","17,114913","-14,672487","15,665526","34,612199","-35,839783","34,592732","-34,913992"
"0,092","0,577513",0,0,"0,201156",0,0,,"-17,030439","16,364913","-14,672487","15,915526","35,112199","-34,839783","34,092732","-34,163992"
"0,093","0,827513",0,0,"0,951156",0,0,,"-16,530439","16,864913","-14,422487","14,915526","35,362199","-34,839783","34,592732","-34,163992"
"0,094","-0,172487",0,0,"-0,548844",0,0,,"-17,030439","16,864913","-15,172487","15,165526","35,112199","-34,839783","34,842732","-35,663992"
"0,095","-0,672487",0,0,"-0,298844",0,0,,"-16,280439","15,614913","-15,172487","15,165526","35,612199","-35,089783","34,092732","-34,913992"
"0,096","1,577513",0,0,"-0,798844",0,0,,"-16,530439","16,864913","-14,422487","15,665526","34,612199","-35,339783","34,592732","-34,663992"
