ForceDecks Raw Data Export,2.0
Weight,"73,7"
Frequency,1000
Recording Date,2024-10-08T10:47:54
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:47:59
AthleteId,63d28e82-8a2d-4348-b89f-10cf2723fc18

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"351,403846","-39,106214","-82,93723","386,817308","3,632474","-79,178465",,"83,219611","47,367047","81,908951","138,908238","74,731719","71,265788","126,889839","113,929962"
"0,001","351,653846","-38,552327","-82,189381","384,067308","3,369472","-82,899143",,"82,969611","48,117047","81,908951","138,658238","73,981719","68,765788","127,639839","113,679962"
"0,002","353,403846","-38,884902","-81,5539","386,817308","3,44117","-80,848504",,"82,969611","49,117047","81,158951","140,158238","74,731719","70,265788","127,639839","114,179962"
"0,003","352,903846","-39,149684","-83,042342","384,317308","3,271005","-80,533976",,"83,219611","47,867047","81,908951","139,908238","74,231719","70,015788","126,389839","113,679962"
"0,004","353,403846","-38,256726","-83,838821","384,817308","3,266755","-81,688376",,"82,969611","47,867047","83,158951","139,408238","73,981719","69,765788","126,889839","114,179962"
"0,005","351,653846","-39,604498","-83,567156","386,317308","3,637176","-81,789245",,"83,469611","46,867047","81,908951","139,408238","74,731719","69,515788","128,389839","113,679962"
"0,006","354,403846","-39,401587","-82,690868","385,817308","3,83369","-81,895239",,"83,719611","48,117047","81,908951","140,658238","73,731719","70,265788","127,639839","114,179962"
"0,007","353,903846","-38,829965","-82,351356","384,317308","3,848653","-81,374427",,"83,719611","48,117047","82,408951","139,658238","73,481719","70,265788","126,889839","113,679962"
"0,008","353,653846","-38,752792","-83,094563","387,567308","3,148109","-81,317103",,"82,969611","48,367047","82,158951","140,158238","74,481719","70,515788","127,389839","115,179962"
"0,009","354,153846","-39,533876","-83,433265","384,067308","3,562146","-82,058145",,"83,719611","47,617047","82,158951","140,658238","73,231719","70,015788","126,639839","114,179962"
"0,01","353,653846","-38,543548","-83,094563","383,817308","3,275267","-81,480434",,"82,969611","48,367047","82,408951","139,908238","73,731719","69,765788","126,389839","113,929962"
"0,011","353,403846","-38,884902","-83,381837","384,567308","3,749939","-82,371408",,"83,219611","47,867047","82,408951","139,908238","73,731719","69,515788","127,639839","113,679962"
"0,012","354,653846","-38,434869","-81,949518","384,567308","3,365091","-81,111551",,"83,469611","48,867047","82,408951","139,908238","74,231719","69,765788","126,889839","113,679962"
"0,013","353,903846","-38,620869","-81,895018","383,317308","3,665642","-82,850683",,"83,719611","48,367047","82,408951","139,408238","72,731719","69,765788","126,639839","114,179962"
"0,014","353,403846","-38,67551","-82,467868","384,317308","2,693358","-81,374427",,"82,969611","48,617047","81,908951","139,908238","74,231719","69,515788","126,139839","114,429962"
"0,015","353,903846","-38,202676","-83,720372","382,317308","3,481673","-83,06739",,"82,969611","48,117047","83,158951","139,658238","72,731719","69,265788","126,389839","113,929962"
"0,016","353,903846","-38,411773","-82,807695","384,817308","2,689858","-80,429337",,"82,969611","48,617047","82,408951","139,908238","74,731719","69,765788","126,139839","114,179962"
"0,017","354,403846","-38,148779","-83,146563","384,317308","3,271005","-83,05533",,"83,219611","48,367047","83,158951","139,658238","73,731719","69,015788","127,389839","114,179962"
"0,018","352,903846","-39,359373","-83,499973","385,067308","3,552896","-81,425637",,"83,719611","47,117047","82,408951","139,658238","73,731719","70,265788","126,889839","114,179962"
"0,019","352,653846","-38,652844","-82,872233","384,317308","3,463555","-82,214879",,"83,219611","47,867047","82,408951","139,158238","73,481719","69,765788","126,889839","114,179962"
