ForceDecks Raw Data Export,2.0
Weight,"73,6"
Frequency,1000
Recording Date,2024-10-08T10:49:08
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:49:12
AthleteId,63d28e82-8a2d-4348-b89f-10cf2723fc18

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"688,153846","2,666447","-29,326599","32,067308","-98,102904","34,525793",,"144,969611","167,867047","182,408951","192,908238","1,231719","16,515788","-11,110161","25,429962"
"0,001","685,653846","2,892022","-30,375695","34,317308","-94,905347","34,615163",,"143,719611","166,867047","182,658951","192,408238","1,981719","17,015788","-10,860161","26,179962"
"0,002","686,903846","2,509705","-30,437975","32,067308","-95,795258","29,489511",,"145,219611","165,867047","183,408951","192,408238","0,981719","16,515788","-10,860161","25,429962"
"0,003","688,153846","2,881515","-30,734714","33,567308","-98,128097","32,982961",,"144,719611","166,617047","184,158951","192,658238","1,731719","16,765788","-11,110161","26,179962"
"0,004","686,903846","2,725164","-30,437975","32,567308","-96,596748","43,913646",,"144,719611","166,367047","183,408951","192,408238","1,231719","17,265788","-11,610161","25,679962"
"0,005","687,403846","2,830834","-30,415835","34,067308","-94,515717","37,239492",,"144,469611","166,867047","183,408951","192,658238","2,231719","16,765788","-10,610161","25,679962"
"0,006","689,903846","3,14236","-31,007889","33,817308","-102,87324","44,678282",,"144,469611","167,367047","184,908951","193,158238","2,481719","16,765788","-11,610161","26,179962"
"0,007","687,153846","2,993399","-30,779442","33,567308","-98,128097","28,171733",,"143,719611","167,117047","183,408951","192,908238","1,731719","16,515788","-10,860161","26,179962"
"0,008","688,403846","2,934217","-30,371652","36,317308","-91,716491","50,496563",,"144,219611","167,617047","183,408951","193,158238","3,231719","17,765788","-10,860161","26,179962"
"0,009","688,653846","3,201791","-30,946915","33,567308","-98,128097","37,79419",,"144,219611","167,117047","184,658951","192,658238","1,981719","16,765788","-11,110161","25,929962"
"0,01","691,153846","3,19021","-31,068643","34,067308","-94,515717","32,498876",,"144,719611","167,617047","185,408951","193,408238","1,731719","17,015788","-10,860161","26,179962"
"0,011","689,153846","3,09209","-30,690116","33,317308","-97,753877","40,501448",,"144,469611","167,367047","184,408951","192,908238","1,981719","16,765788","-11,110161","25,679962"
"0,012","690,403846","3,140084","-30,049748","36,317308","-95,791683","37,155816",,"144,719611","168,367047","184,158951","193,158238","3,231719","17,015788","-10,610161","26,679962"
"0,013","690,653846","2,97823","-30,155789","34,567308","-95,289342","27,356751",,"145,469611","167,617047","184,658951","192,908238","2,231719","16,515788","-10,360161","26,179962"
"0,014","691,153846","2,869008","-30,367641","34,567308","-93,148591","41,372884",,"145,469611","167,617047","184,658951","193,408238","2,481719","17,015788","-10,610161","25,679962"
"0,015","692,903846","3,128754","-31,572868","34,817308","-97,793202","29,479569",,"144,969611","167,617047","186,158951","194,158238","2,481719","16,515788","-10,610161","26,429962"
"0,016","693,153846","3,287764","-31,677977","33,317308","-97,753877","45,348779",,"144,969611","167,617047","186,658951","193,908238","1,981719","17,015788","-11,360161","25,679962"
"0,017","691,403846","3,028514","-31,1742","32,567308","-101,141183","38,954685",,"144,969611","167,367047","185,408951","193,658238","1,981719","16,265788","-11,110161","25,429962"
"0,018","692,903846","3,021957","-31,572868","35,567308","-90,529653","40,209656",,"144,969611","167,617047","185,908951","194,408238","2,481719","17,515788","-10,610161","26,179962"
"0,019","692,653846","3,290137","-31,467683","35,317308","-92,218128","24,489387",,"144,969611","167,617047","186,408951","193,658238","1,731719","17,265788","-10,610161","26,929962"
"0,02","693,903846","3,124245","-31,527368","34,067308","-94,515717","51,461337",,"144,969611","168,117047","186,158951","194,658238","2,481719","17,265788","-11,110161","25,429962"
"0,021","694,903846","3,439218","-31,249592","34,567308","-93,148591","41,372884",,"144,969611","168,867047","186,658951","194,408238","1,731719","17,765788","-11,360161","26,429962"
"0,022","693,903846","3,124245","-31,527368","34,817308","-93,542443","34,118066",,"144,969611","168,117047","186,158951","194,658238","2,231719","17,015788","-10,610161","26,179962"
"0,023","695,153846","3,384756","-31,354515","36,067308","-95,429801","26,219013",,"144,969611","168,867047","186,658951","194,658238","2,481719","17,015788","-10,610161","27,179962"
"0,024","695,153846","3,065402","-31,586838","34,567308","-101,711595","32,028795",,"144,969611","168,617047","186,158951","195,408238","2,481719","16,515788","-11,110161","26,679962"
"0,025","696,653846","3,058802","-31,750649","34,817308","-99,918582","24,841071",,"145,719611","168,367047","187,158951","195,408238","2,481719","16,265788","-10,610161","26,679962"
"0,026","694,903846","3,652197","-32,64403","33,067308","-101,849719","28,597708",,"143,969611","168,367047","187,658951","194,908238","1,731719","16,265788","-11,110161","26,179962"
"0,027","696,403846","3,644331","-31,646094","34,567308","-101,711595","41,372884",,"144,719611","169,367047","187,408951","194,908238","2,481719","17,015788","-11,610161","26,679962"
"0,028","696,653846","3,165024","-31,982471","34,317308","-97,061694","29,909083",,"145,469611","168,367047","187,408951","195,408238","1,981719","16,765788","-10,860161","26,429962"
"0,029","698,403846","3,73985","-32,94292","33,817308","-102,87324","35,12696",,"144,969611","168,617047","189,408951","195,408238","2,481719","16,265788","-11,110161","26,179962"
"0,03","698,403846","3,633895","-32,94292","33,067308","-117,514738","48,13362",,"144,969611","168,617047","189,158951","195,658238","3,231719","15,765788","-12,360161","26,429962"
"0,031","698,903846","3,419535","-33,61258","35,317308","-104,789868","38,207873",,"144,219611","168,867047","188,658951","197,158238","3,481719","16,265788","-11,110161","26,679962"
"0,032","698,903846","3,313655","-32,688276","35,067308","-96,040906","49,993836",,"144,969611","169,117047","188,158951","196,658238","2,731719","17,515788","-11,360161","26,179962"
"0,033","699,153846","3,471233","-32,330097","36,817308","-94,490777","27,878171",,"145,469611","169,117047","188,658951","195,908238","2,731719","17,265788","-10,610161","27,429962"
"0,034","701,153846","3,355791","-32,007543","34,317308","-103,530733","44,027324",,"145,969611","169,867047","188,658951","196,658238","2,481719","17,015788","-11,860161","26,679962"
"0,035","701,153846","3,566872","-32,007543","36,317308","-95,791683","41,602732",,"145,719611","170,117047","188,908951","196,408238","3,231719","17,265788","-10,860161","26,679962"
"0,036","701,153846","3,672412","-33,159216","34,067308","-103,204399","41,980107",,"145,219611","169,367047","189,908951","196,658238","2,481719","16,765788","-11,610161","26,429962"
"0,037","704,153846","3,656766","-32,10053","35,067308","-93,930679","26,96669",,"146,219611","170,867047","189,908951","197,158238","1,981719","17,015788","-10,610161","26,679962"
"0,038","703,403846","3,502861","-32,249556","33,817308","-102,87324","49,453943",,"146,219611","170,367047","189,658951","197,158238","2,481719","17,015788","-11,860161","26,179962"
"0,039","702,153846","3,456402","-32,651978","35,567308","-90,529653","26,587596",,"145,719611","169,867047","189,408951","197,158238","2,481719","16,765788","-9,860161","26,179962"
"0,04","703,653846","3,869695","-32,352856","34,567308","-97,430093","32,028795",,"145,969611","170,617047","190,408951","196,658238","2,481719","16,515788","-10,610161","26,179962"
"0,041","704,903846","3,495407","-32,639149","33,817308","-107,249697","35,12696",,"146,719611","170,117047","190,658951","197,408238","2,481719","16,265788","-11,610161","26,679962"
"0,042","706,403846","3,592741","-32,341219","35,317308","-100,599288","29,062216",,"146,719611","171,117047","190,658951","197,908238","2,231719","17,015788","-11,360161","27,429962"
"0,043","704,653846","3,864204","-31,848562","36,317308","-95,791683","37,155816",,"145,969611","171,617047","189,908951","197,158238","3,231719","17,015788","-10,610161","26,679962"
"0,044","706,653846","3,853267","-32,901132","35,567308","-96,77134","40,209656",,"145,969611","171,367047","191,158951","198,158238","2,481719","17,515788","-11,360161","26,929962"
"0,045","705,153846","3,756522","-32,513063","36,317308","-91,716491","28,261985",,"146,219611","170,867047","190,658951","197,408238","2,731719","17,015788","-10,110161","26,679962"
"0,046","706,653846","4,062705","-33,129674","36,567308","-94,12495","47,943076",,"145,969611","171,117047","191,908951","197,658238","3,231719","17,765788","-11,110161","26,679962"
"0,047","707,153846","3,327318","-32,649489","36,817308","-92,480853","27,878171",,"147,469611","170,367047","191,158951","198,158238","2,481719","17,515788","-10,610161","27,429962"
"0,048","705,903846","4,119436","-33,508051","35,317308","-98,503998","47,353531",,"145,219611","171,117047","191,658951","197,908238","2,481719","17,765788","-11,860161","26,929962"
"0,049","708,403846","4,000438","-32,477889","36,817308","-92,480853","45,424267",,"146,969611","171,617047","192,158951","197,658238","3,231719","17,765788","-10,860161","26,679962"
"0,05","707,903846","3,689662","-32,957106","36,567308","-96,148616","21,443996",,"146,469611","171,367047","191,408951","198,658238","2,481719","17,015788","-10,610161","27,679962"
"0,051","707,653846","3,743251","-33,311077","35,567308","-105,093589","40,209656",,"146,469611","170,867047","191,908951","198,408238","3,481719","16,515788","-11,360161","26,929962"
"0,052","709,403846","3,68186","-32,659763","37,817308","-91,992165","22,87046",,"147,219611","171,617047","191,908951","198,658238","3,231719","17,015788","-9,860161","27,429962"
"0,053","708,153846","3,740608","-33,0595","38,067308","-92,359986","46,053932",,"146,719611","171,117047","191,908951","198,408238","3,731719","18,015788","-10,860161","27,179962"
"0,054","708,153846","3,949602","-33,515615","35,067308","-102,371589","45,388407",,"145,969611","171,367047","192,158951","198,658238","2,481719","17,515788","-12,110161","27,179962"
"0,055","708,903846","3,580071","-33,138432","35,317308","-104,789868","56,499188",,"146,469611","171,617047","191,408951","199,408238","3,731719","17,015788","-11,860161","26,429962"
"0,056","708,653846","3,842392","-33,719865","36,317308","-91,716491","19,368154",,"146,469611","170,867047","192,658951","198,658238","1,731719","17,515788","-10,610161","27,679962"
"0,057","710,653846","3,831578","-33,170455","36,567308","-90,077619","34,693536",,"146,969611","171,867047","192,658951","199,158238","2,481719","17,765788","-10,610161","26,929962"
"0,058","710,403846","3,572512","-33,068461","34,817308","-91,417063","20,202573",,"147,719611","171,117047","192,658951","198,908238","1,231719","17,265788","-10,610161","26,929962"
"0,059","708,403846","3,791518","-33,617776","35,817308","-97,128909","37,674502",,"146,219611","171,117047","192,158951","198,908238","2,481719","17,515788","-11,360161","27,179962"
