ForceDecks Raw Data Export,2.0
Weight,"73,6"
Frequency,1000
Recording Date,2024-10-08T10:48:29
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:48:42
AthleteId,63d28e82-8a2d-4348-b89f-10cf2723fc18

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"41,153846","71,558948","-7,6958","696,317308","-34,221318","-50,247352",,"4,469611","15,617047","14,908951","6,158238","174,981719","119,015788","148,639839","253,679962"
"0,001","41,653846","61,817243","-15,357808","698,067308","-34,082524","-49,543003",,"5,219611","14,617047","14,908951","6,908238","176,231719","119,265788","149,389839","253,179962"
"0,002","43,403846","65,292046","-20,319899","698,817308","-34,416572","-49,374279",,"4,719611","15,617047","15,658951","7,408238","176,981719","119,015788","149,139839","253,679962"
"0,003","42,153846","69,861381","-19,006849","699,067308","-34,563047","-49,241111",,"4,469611","15,367047","15,658951","6,658238","177,481719","118,765788","149,139839","253,679962"
"0,004","43,653846","67,460858","-14,65419","698,317308","-34,229276","-49,178361",,"4,469611","16,367047","15,408951","7,408238","176,481719","119,515788","148,889839","253,429962"
"0,005","42,403846","63,341564","-9,373248","697,817308","-34,041712","-49,907906",,"5,469611","15,117047","15,158951","6,658238","176,231719","118,765788","149,889839","252,929962"
"0,006","42,903846","62,603383","-9,264013","696,067308","-34,286765","-50,14939",,"5,219611","15,617047","14,908951","7,158238","175,481719","118,515788","148,889839","253,179962"
"0,007","43,903846","66,233968","-12,731499","696,567308","-34,368389","-49,881541",,"5,219611","15,867047","15,908951","6,908238","176,731719","117,765788","149,639839","252,429962"
"0,008","43,653846","67,460858","-10,954631","695,067308","-34,336093","-49,292134",,"4,969611","16,117047","15,658951","6,908238","175,481719","119,015788","147,889839","252,679962"
"0,009","43,653846","65,765704","-18,35375","697,317308","-34,490605","-49,480488",,"4,969611","15,617047","15,908951","7,158238","176,981719","118,265788","149,139839","252,929962"
