ForceDecks Raw Data Export,2.0
Weight,"73,5"
Frequency,1000
Recording Date,2024-10-08T10:49:47
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:49:50
AthleteId,63d28e82-8a2d-4348-b89f-10cf2723fc18

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"1,403846",0,0,"-0,432692",0,0,,"6,719611","-6,132953","6,408951","-5,591762","-35,768281","36,015788","-34,860161","34,179962"
"0,001","-1,096154",0,0,"1,067308",0,0,,"5,219611","-6,382953","5,408951","-5,341762","-35,518281","35,015788","-34,110161","35,679962"
"0,002","-0,846154",0,0,"0,817308",0,0,,"5,469611","-6,132953","5,408951","-5,591762","-35,518281","36,015788","-34,610161","34,929962"
"0,003","0,153846",0,0,"1,067308",0,0,,"6,469611","-5,382953","5,158951","-6,091762","-35,018281","35,515788","-35,110161","35,679962"
"0,004","-0,096154",0,0,"-0,682692",0,0,,"5,969611","-6,382953","5,908951","-5,591762","-34,768281","35,515788","-35,860161","34,429962"
"0,005","0,653846",0,0,"1,817308",0,0,,"6,719611","-4,882953","4,408951","-5,591762","-34,768281","36,765788","-35,110161","34,929962"
"0,006","-0,096154",0,0,"0,317308",0,0,,"6,469611","-6,132953","5,658951","-6,091762","-34,518281","35,265788","-35,610161","35,179962"
"0,007","0,653846",0,0,"0,317308",0,0,,"6,219611","-5,132953","5,408951","-5,841762","-34,768281","35,015788","-35,110161","35,179962"
"0,008","-0,846154",0,0,"0,067308",0,0,,"5,219611","-6,132953","5,658951","-5,591762","-36,018281","36,015788","-35,110161","35,179962"
"0,009","-1,346154",0,0,"-1,182692",0,0,,"6,719611","-6,382953","4,658951","-6,341762","-36,268281","35,515788","-35,360161","34,929962"
"0,01","0,653846",0,0,"-0,432692",0,0,,"5,719611","-5,382953","5,908951","-5,591762","-35,018281","35,265788","-34,610161","33,929962"
"0,011","1,153846",0,0,"0,317308",0,0,,"5,719611","-5,632953","6,408951","-5,341762","-35,268281","35,515788","-34,860161","34,929962"
"0,012","0,403846",0,0,"0,567308",0,0,,"5,969611","-5,882953","6,408951","-6,091762","-34,768281","35,265788","-34,360161","34,429962"
"0,013","0,153846",0,0,"1,567308",0,0,,"5,969611","-5,882953","6,408951","-6,341762","-34,768281","35,765788","-34,860161","35,429962"
"0,014","0,403846",0,0,"0,817308",0,0,,"5,969611","-6,382953","5,908951","-5,091762","-35,518281","35,265788","-35,110161","36,179962"
"0,015","-0,596154",0,0,"1,567308",0,0,,"6,219611","-6,632953","4,658951","-4,841762","-35,768281","36,015788","-34,110161","35,429962"
"0,016","-0,596154",0,0,"0,817308",0,0,,"5,969611","-5,882953","5,658951","-6,341762","-34,768281","35,765788","-35,360161","35,179962"
"0,017","-0,846154",0,0,"-0,182692",0,0,,"5,469611","-5,632953","6,408951","-7,091762","-35,268281","35,265788","-34,610161","34,429962"
"0,018","-0,846154",0,0,"0,817308",0,0,,"5,219611","-5,132953","5,908951","-6,841762","-35,268281","36,015788","-35,360161","35,429962"
"0,019","0,403846",0,0,"0,567308",0,0,,"6,219611","-5,632953","5,658951","-5,841762","-34,518281","35,015788","-34,610161","34,679962"
"0,02","-0,846154",0,0,"-0,432692",0,0,,"6,469611","-6,632953","5,158951","-5,841762","-36,018281","35,265788","-34,110161","34,429962"
"0,021","0,653846",0,0,"0,317308",0,0,,"5,969611","-6,382953","7,158951","-6,091762","-34,768281","35,265788","-34,610161","34,429962"
"0,022","0,653846",0,0,"-0,682692",0,0,,"5,969611","-5,632953","5,908951","-5,591762","-35,518281","35,015788","-35,360161","35,179962"
"0,023","-0,846154",0,0,"0,817308",0,0,,"5,969611","-5,632953","5,158951","-6,341762","-35,518281","36,015788","-34,860161","35,179962"
"0,024","-0,346154",0,0,"0,567308",0,0,,"5,969611","-5,632953","5,408951","-6,091762","-34,768281","35,265788","-34,360161","34,429962"
"0,025","-0,346154",0,0,"0,567308",0,0,,"6,469611","-5,632953","4,658951","-5,841762","-34,768281","35,265788","-34,860161","34,929962"
"0,026","0,903846",0,0,"0,567308",0,0,,"5,969611","-6,132953","6,408951","-5,341762","-34,268281","35,265788","-35,360161","34,929962"
