ForceDecks Raw Data Export,2.0
Weight,"73,7"
Frequency,1000
Recording Date,2024-10-08T10:52:44
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T15:01:38
AthleteId,63d28e82-8a2d-4348-b89f-10cf2723fc18

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"1,153846",0,0,"1,067308",0,0,,"10,219611","-9,632953","9,408951","-8,841762","-22,518281","23,015788","-21,610161","22,179962"
"0,001","-1,846154",0,0,"-1,182692",0,0,,"9,469611","-9,632953","8,658951","-10,341762","-22,268281","21,765788","-22,610161","21,929962"
"0,002","-0,596154",0,0,"0,817308",0,0,,"9,219611","-10,132953","9,408951","-9,091762","-22,018281","22,265788","-22,110161","22,679962"
"0,003","-1,346154",0,0,"0,817308",0,0,,"9,719611","-9,882953","9,158951","-10,341762","-21,768281","21,765788","-22,110161","22,929962"
"0,004","-0,346154",0,0,"-1,682692",0,0,,"9,719611","-9,382953","9,658951","-10,341762","-22,768281","21,515788","-22,610161","22,179962"
"0,005","1,153846",0,0,"1,067308",0,0,,"10,469611","-10,132953","10,158951","-9,341762","-21,018281","22,015788","-22,610161","22,679962"
"0,006","1,403846",0,0,"0,067308",0,0,,"9,969611","-9,132953","9,908951","-9,341762","-21,518281","21,765788","-22,360161","22,179962"
"0,007","0,903846",0,0,"-0,932692",0,0,,"9,719611","-10,132953","10,158951","-8,841762","-22,518281","21,515788","-21,860161","21,929962"
"0,008","-0,346154",0,0,"1,317308",0,0,,"10,219611","-10,132953","8,908951","-9,341762","-21,268281","21,515788","-21,610161","22,679962"
"0,009","0,653846",0,0,"-0,182692",0,0,,"9,719611","-8,882953","9,408951","-9,591762","-21,768281","21,015788","-21,360161","21,929962"
"0,01","-0,346154",0,0,"-0,432692",0,0,,"9,469611","-10,132953","9,908951","-9,591762","-22,018281","20,765788","-22,110161","22,929962"
"0,011","0,403846",0,0,"-0,932692",0,0,,"9,719611","-9,882953","10,158951","-9,591762","-22,518281","21,515788","-21,860161","21,929962"
"0,012","1,403846",0,0,"-0,682692",0,0,,"10,469611","-9,882953","9,658951","-8,841762","-22,268281","21,515788","-22,360161","22,429962"
"0,013","-0,846154",0,0,"0,567308",0,0,,"9,969611","-10,882953","10,408951","-10,341762","-21,768281","21,515788","-21,610161","22,429962"
"0,014","0,903846",0,0,"0,317308",0,0,,"9,219611","-9,632953","10,158951","-8,841762","-21,768281","22,265788","-21,610161","21,429962"
"0,015","0,653846",0,0,"0,817308",0,0,,"9,719611","-9,632953","10,158951","-9,591762","-22,268281","23,015788","-22,360161","22,429962"
