ForceDecks Raw Data Export,2.0
Weight,"73,9"
Frequency,1000
Recording Date,2024-10-08T10:47:17
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:47:22
AthleteId,63d28e82-8a2d-4348-b89f-10cf2723fc18

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"335,653846","16,489982","12,528646","382,817308","3,090519","10,696745",,"74,969611","99,367047","87,158951","74,158238","73,981719","123,765788","71,639839","113,429962"
"0,001","338,153846","16,36807","11,003241","382,067308","3,193427","12,619895",,"74,969611","99,867047","87,908951","75,408238","73,981719","124,515788","70,639839","112,929962"
"0,002","335,653846","16,489982","12,528646","382,567308","4,156403","10,914809",,"74,969611","99,367047","87,158951","74,158238","73,231719","124,515788","72,139839","112,679962"
"0,003","336,153846","17,125867","13,47088","382,317308","4,062343","9,865887",,"74,719611","100,367047","87,158951","73,908238","72,981719","124,015788","72,389839","112,929962"
"0,004","335,153846","16,514583","13,511073","384,817308","3,074456","11,90019",,"74,969611","99,617047","86,658951","73,908238","74,231719","125,265788","71,139839","114,179962"
"0,005","335,403846","15,73007","13,260248","383,317308","3,47259","11,525436",,"75,219611","99,367047","86,158951","74,658238","74,231719","124,265788","71,889839","112,929962"
"0,006","335,403846","16,171329","11,815721","383,067308","2,605558","10,057369",,"74,719611","99,117047","86,908951","74,658238","73,981719","123,515788","71,389839","114,179962"
"0,007","337,153846","15,758165","11,993896","384,567308","3,172667","12,117903",,"75,469611","99,367047","87,158951","75,158238","74,231719","125,265788","71,139839","113,929962"
"0,008","335,903846","16,367559","12,278925","384,067308","2,984123","10,031182",,"74,969611","99,367047","87,158951","74,408238","74,231719","123,765788","72,139839","113,929962"
"0,009","336,653846","16,22119","12,01171","386,067308","3,352017","10,397537",,"75,219611","99,367047","87,408951","74,658238","73,981719","125,265788","72,139839","114,679962"
"0,01","337,403846","16,514115","12,224337","383,817308","3,275267","11,510422",,"74,969611","100,117047","87,408951","74,908238","74,731719","124,015788","72,139839","112,929962"
"0,011","336,403846","16,343231","12,740753","383,817308","3,082466","11,510422",,"74,969611","99,867047","86,908951","74,658238","73,981719","124,765788","71,139839","113,929962"
"0,012","337,903846","15,61369","12,684195","383,067308","2,219203","10,057369",,"75,969611","99,617047","87,158951","75,158238","74,481719","123,015788","71,389839","114,179962"
"0,013","336,653846","15,781569","9,613103","382,817308","3,090519","10,696745",,"74,969611","98,367047","87,908951","75,408238","73,731719","124,015788","71,389839","113,679962"
"0,014","337,653846","16,830627","11,497835","383,317308","3,086487","11,104114",,"74,969611","99,867047","88,158951","74,658238","74,731719","123,515788","72,139839","112,929962"
"0,015","337,153846","15,977649","11,993896","380,817308","2,523793","11,177011",,"75,219611","99,617047","87,158951","75,158238","73,981719","123,015788","70,639839","113,179962"
"0,016","336,653846","16,441","11,531988","383,817308","3,082466","9,82733",,"74,969611","99,367047","87,658951","74,658238","74,231719","123,515788","72,389839","113,679962"
"0,017","339,403846","15,762714","11,200634","384,317308","2,500808","9,394319",,"76,219611","99,367047","88,408951","75,408238","74,481719","123,265788","72,139839","114,429962"
"0,018","336,153846","16,02518","9,146967","382,317308","3,09456","10,288311",,"73,719611","99,117047","87,158951","76,158238","73,731719","123,515788","71,639839","113,429962"
"0,019","336,903846","16,099329","8,886922","384,817308","2,882157","10,221472",,"74,469611","98,617047","88,158951","75,658238","74,481719","124,015788","72,139839","114,179962"
"0,02","336,903846","15,879682","10,804383","384,317308","3,078456","8,133642",,"74,719611","99,367047","87,158951","75,658238","72,981719","124,015788","72,139839","115,179962"
"0,021","337,903846","15,61369","10,772408","385,317308","3,070467","10,627343",,"74,969611","99,617047","87,158951","76,158238","74,731719","124,265788","72,389839","113,929962"
"0,022","335,403846","17,053847","10,852703","384,567308","3,172667","10,01814",,"74,219611","99,117047","87,908951","74,158238","73,981719","124,265788","72,139839","114,179962"
"0,023","336,403846","16,563205","11,780597","383,817308","2,889666","10,668876",,"74,969611","99,367047","87,658951","74,408238","73,981719","124,265788","71,389839","114,179962"
"0,024","337,653846","16,173149","10,062934","384,817308","2,882157","8,962433",,"74,719611","99,367047","87,908951","75,658238","73,981719","123,765788","72,389839","114,679962"
"0,025","337,403846","16,075472","10,788372","383,317308","3,086487","9,840148",,"74,719611","99,617047","87,408951","75,658238","73,731719","123,765788","71,889839","113,929962"
"0,026","336,903846","15,660035","12,242479","385,067308","3,168547","10,005132",,"75,469611","99,367047","86,908951","75,158238","73,981719","124,515788","72,139839","114,429962"
"0,027","337,903846","15,832687","11,250355","384,567308","3,557515","10,438093",,"75,219611","99,617047","87,408951","75,658238","73,731719","124,765788","72,139839","113,929962"
"0,028","340,403846","15,933797","10,693293","384,067308","1,635401","9,190184",,"75,719611","100,117047","88,408951","76,158238","74,481719","123,015788","71,139839","115,429962"
"0,029","338,903846","15,349268","10,740622","385,067308","2,976373","8,74691",,"75,719611","99,367047","87,658951","76,158238","73,981719","123,765788","72,639839","114,679962"
"0,03","339,653846","16,295785","11,430132","385,567308","2,780588","9,573294",,"75,719611","100,117047","88,408951","75,408238","74,231719","124,265788","72,139839","114,929962"
"0,031","339,153846","15,447049","10,494613","385,067308","2,015502","9,166318",,"75,469611","99,617047","87,658951","76,408238","74,731719","123,265788","71,889839","115,179962"
"0,032","337,653846","17,049786","9,106333","385,067308","2,592025","10,424539",,"74,219611","99,367047","88,908951","75,158238","74,981719","123,765788","72,139839","114,179962"
"0,033","338,153846","16,149235","9,570461","383,567308","3,56679","8,781117",,"74,469611","99,617047","87,908951","76,158238","73,481719","123,515788","72,889839","113,679962"
"0,034","336,903846","15,22074","9,845653","385,067308","2,592025","8,74691",,"74,969611","98,617047","87,158951","76,158238","73,981719","123,765788","72,139839","115,179962"
"0,035","338,653846","16,343904","10,033219","385,317308","2,878417","8,950803",,"74,969611","99,617047","88,408951","75,658238","74,481719","123,515788","72,889839","114,429962"
"0,036","339,903846","15,739527","11,184158","384,567308","2,018123","9,178235",,"76,219611","99,617047","88,408951","75,658238","74,731719","123,015788","71,889839","114,929962"
"0,037","338,903846","15,78597","11,693695","384,817308","3,651353","11,060831",,"75,719611","99,867047","87,658951","75,658238","73,981719","125,015788","72,139839","113,679962"
"0,038","338,653846","16,125392","9,556331","384,067308","2,791448","7,928686",,"74,969611","99,367047","88,408951","75,908238","73,981719","122,765788","72,889839","114,429962"
"0,039","339,153846","16,537999","10,970798","385,067308","2,399851","7,488689",,"75,469611","99,867047","88,658951","75,158238","73,981719","123,015788","72,639839","115,429962"
"0,04","338,403846","15,809294","10,279251","384,317308","3,463555","8,974093",,"74,969611","99,617047","87,658951","76,158238","73,481719","124,015788","72,639839","114,179962"
"0,041","336,903846","16,977918","11,283748","385,817308","2,682886","9,357795",,"74,469611","99,867047","87,908951","74,658238","74,731719","123,765788","72,639839","114,679962"
"0,042","338,403846","16,465315","8,84753","385,317308","3,070467","8,531668",,"74,219611","99,617047","88,408951","76,158238","73,481719","124,265788","72,389839","115,179962"
"0,043","336,903846","16,977918","11,763114","383,567308","2,409236","7,939022",,"74,469611","100,117047","87,658951","74,658238","73,981719","122,515788","72,389839","114,679962"
"0,044","337,903846","15,832687","10,294462","387,567308","2,575305","8,273787",,"74,969611","99,367047","87,658951","75,908238","74,731719","124,015788","73,139839","115,679962"
"0,045","338,653846","16,343904","9,079443","385,567308","2,588663","9,154431",,"74,719611","99,367047","88,658951","75,908238","74,481719","123,765788","72,389839","114,929962"
"0,046","338,153846","16,149235","10,048054","386,067308","2,585311","9,142575",,"74,969611","99,367047","88,158951","75,658238","74,731719","123,765788","72,639839","114,929962"
"0,047","340,403846","15,716409","11,16773","384,067308","2,791448","8,769685",,"76,219611","99,867047","88,408951","75,908238","73,981719","123,265788","72,389839","114,429962"
"0,048","339,153846","16,319809","10,970798","385,317308","2,494318","9,789073",,"75,469611","99,867047","88,408951","75,408238","74,731719","123,765788","72,139839","114,679962"
"0,049","338,653846","16,343904","9,079443","384,317308","2,885907","8,553867",,"74,719611","99,367047","88,658951","75,908238","74,231719","123,015788","72,889839","114,179962"
"0,05","338,653846","16,343904","9,079443","383,067308","1,832848","9,635772",,"74,469611","99,617047","88,408951","76,158238","74,981719","122,265788","71,639839","114,179962"
"0,051","340,903846","15,693357","8,782647","385,067308","2,399851","8,74691",,"75,719611","99,367047","89,158951","76,658238","74,481719","123,265788","72,389839","114,929962"
"0,052","337,153846","16,855587","10,077857","385,567308","2,204813","7,897841",,"73,969611","99,867047","87,908951","75,408238","74,731719","122,765788","72,889839","115,179962"
"0,053","338,903846","16,004321","8,834477","384,317308","2,885907","9,394319",,"75,219611","98,867047","88,908951","75,908238","73,981719","123,765788","72,139839","114,429962"
"0,054","340,653846","16,465177","8,07796","385,567308","2,396738","8,735567",,"74,969611","99,617047","89,658951","76,408238","74,481719","123,515788","72,389839","115,179962"
"0,055","339,653846","15,860047","9,052711","385,817308","1,915684","10,194979",,"74,969611","99,617047","88,408951","76,658238","74,731719","124,265788","71,139839","115,679962"
"0,056","337,403846","15,417506","9,831062","386,067308","2,201958","9,979216",,"74,969611","98,867047","87,408951","76,158238","74,731719","124,265788","71,639839","115,429962"
"0,057","339,903846","17,045779","7,858217","385,067308","3,168547","7,488689",,"73,719611","100,367047","89,158951","76,658238","73,231719","123,765788","72,889839","115,179962"
"0,058","339,153846","16,101619","9,542242","384,817308","2,497559","8,542753",,"74,969611","99,617047","88,408951","76,158238","74,481719","123,015788","72,639839","114,679962"
"0,059","338,903846","16,222672","8,834477","384,317308","2,693358","6,872965",,"74,469611","99,617047","88,408951","76,408238","73,481719","122,765788","72,889839","115,179962"
"0,06","339,153846","16,101619","9,066057","384,817308","2,689858","8,542753",,"74,719611","99,617047","88,408951","76,408238","73,731719","123,765788","72,139839","115,179962"
"0,061","340,653846","16,899636","9,974313","385,067308","2,784199","8,327503",,"74,469611","101,117047","88,658951","76,408238","73,981719","123,515788","72,639839","114,929962"
"0,062","339,653846","15,642178","9,052711","385,817308","2,874687","7,683427",,"75,219611","99,367047","88,408951","76,658238","73,981719","123,515788","73,139839","115,179962"
"0,063","338,403846","16,683989","7,415809","384,567308","2,018123","8,33833",,"74,219611","98,867047","89,408951","75,908238","74,481719","122,765788","72,139839","115,179962"
"0,064","337,403846","16,514115","6,959133","384,567308","2,980243","7,498425",,"73,719611","98,617047","88,908951","76,158238","73,481719","123,265788","72,889839","114,929962"
"0,065","339,653846","15,860047","9,052711","384,067308","2,598774","7,928686",,"75,219611","99,367047","88,658951","76,408238","73,981719","122,765788","72,639839","114,679962"
"0,066","338,403846","16,027968","8,37029","383,817308","2,889666","8,144237",,"74,469611","99,117047","88,408951","76,408238","73,481719","123,265788","72,389839","114,679962"
"0,067","336,653846","16,441","10,572546","384,067308","2,406099","7,087688",,"74,469611","99,367047","87,658951","75,158238","73,231719","123,015788","72,139839","115,679962"
"0,068","337,403846","16,733437","7,916443","384,067308","2,02075","6,667189",,"73,469611","99,367047","88,408951","76,158238","73,731719","122,265788","72,389839","115,679962"
"0,069","338,403846","16,683989","9,324771","385,567308","2,588663","7,478977",,"74,719611","99,367047","88,908951","75,408238","73,981719","123,265788","72,889839","115,429962"
"0,07","337,653846","15,515671","7,671431","385,317308","2,878417","4,759452",,"74,719611","98,117047","88,408951","76,408238","73,231719","122,265788","74,139839","115,679962"
"0,071","339,653846","16,077916","8,577227","385,817308","2,299285","7,683427",,"74,469611","99,867047","88,408951","76,908238","74,231719","123,265788","72,639839","115,679962"
"0,072","338,903846","15,567619","7,881404","384,317308","3,271005","6,452739",,"74,969611","98,617047","88,658951","76,658238","73,231719","122,765788","73,639839","114,679962"
"0,073","338,153846","15,711564","7,660088","383,817308","2,118466","8,56501",,"74,469611","98,617047","88,408951","76,658238","73,981719","123,015788","71,639839","115,179962"
"0,074","337,903846","16,708676","8,860622","384,817308","2,689858","6,864034",,"74,469611","99,117047","88,908951","75,408238","73,481719","123,015788","72,889839","115,429962"
"0,075","337,403846","16,075472","8,873753","384,317308","2,885907","4,771836",,"73,969611","99,367047","87,658951","76,408238","72,731719","122,265788","73,639839","115,679962"
"0,076","341,653846","17,066765","7,108915","383,817308","3,468067","7,302691",,"74,469611","100,117047","90,408951","76,658238","73,231719","123,015788","73,389839","114,179962"
"0,077","338,903846","16,004321","7,881404","382,317308","3,09456","5,641647",,"74,219611","99,367047","88,408951","76,908238","72,231719","122,265788","72,889839","114,929962"
"0,078","338,403846","16,465315","8,37029","384,317308","2,885907","7,29319",,"74,219611","99,367047","88,658951","76,158238","73,481719","123,015788","72,889839","114,929962"
"0,079","340,403846","15,716409","8,795548","385,067308","3,360722","6,230467",,"75,469611","99,367047","88,908951","76,658238","72,981719","123,265788","73,639839","115,179962"
"0,08","340,403846","15,933797","8,321111","385,317308","1,91817","6,855127",,"75,219611","99,367047","89,158951","76,658238","74,231719","122,515788","72,639839","115,929962"
"0,081","339,153846","15,447049","8,589872","385,067308","1,631154","7,908096",,"74,969611","99,117047","88,158951","76,908238","74,981719","122,265788","72,389839","115,429962"
"0,082","338,653846","16,125392","8,125667","385,817308","2,107484","5,590468",,"74,469611","99,117047","88,658951","76,408238","73,981719","122,265788","73,389839","116,179962"
"0,083","341,153846","16,441046","6,172547","386,067308","2,585311","6,63265",,"74,469611","99,367047","90,158951","77,158238","73,981719","123,015788","73,389839","115,679962"
"0,084","340,153846","16,48938","6,190694","384,067308","2,406099","5,82619",,"73,969611","99,367047","89,658951","77,158238","72,731719","122,765788","72,389839","116,179962"
"0,085","337,903846","16,489679","7,426782","384,067308","2,406099","5,82619",,"73,969611","98,867047","88,908951","76,158238","73,231719","122,265788","72,889839","115,679962"
"0,086","337,903846","16,708676","6,470889","383,567308","2,602161","6,67588",,"73,719611","98,617047","89,408951","76,158238","73,231719","122,515788","72,639839","115,179962"
"0,087","339,153846","15,665239","7,637502","384,817308","2,689858","4,345956",,"74,219611","99,367047","88,158951","77,408238","73,231719","121,765788","74,139839","115,679962"
"0,088","338,153846","16,149235","7,660088","383,817308","3,082466","6,461145",,"74,469611","98,617047","88,908951","76,158238","72,731719","123,015788","72,889839","115,179962"
"0,089","335,153846","16,514583","8,692391","385,817308","3,450089","7,264835",,"73,469611","98,617047","87,658951","75,408238","73,481719","123,765788","73,639839","114,929962"
"0,09","337,403846","16,952759","8,395098","385,067308","2,207676","6,230467",,"73,719611","99,367047","88,658951","75,658238","73,731719","122,515788","72,889839","115,929962"
"0,091","339,653846","16,731522","7,626259","383,817308","2,504066","6,881918",,"74,469611","99,367047","89,658951","76,158238","72,981719","123,015788","72,139839","115,679962"
"0,092","339,403846","16,416803","5,490622","386,067308","2,585311","6,214329",,"73,719611","98,867047","89,658951","77,158238","73,981719","122,765788","73,639839","115,679962"
"0,093","336,403846","15,463337","8,900131","384,817308","2,30526","6,444355",,"74,219611","98,617047","87,158951","76,408238","73,981719","122,265788","73,139839","115,429962"
"0,094","337,653846","15,95399","6,23653","383,817308","2,889666","6,461145",,"73,969611","98,117047","88,908951","76,658238","72,981719","122,765788","72,889839","115,179962"
"0,095","338,403846","15,59062","7,415809","385,067308","2,592025","6,649874",,"74,719611","98,367047","88,658951","76,658238","73,481719","123,015788","72,889839","115,679962"
"0,096","337,903846","16,708676","4,559102","383,567308","2,409236","5,833785",,"73,219611","98,117047","89,908951","76,658238","72,981719","122,265788","72,639839","115,679962"
"0,097","339,153846","16,537999","5,732762","384,817308","3,074456","5,604995",,"73,469611","99,117047","89,408951","77,158238","73,481719","122,265788","74,139839","114,929962"
"0,098","337,653846","16,173149","8,149732","385,817308","2,682886","6,427652",,"73,719611","99,367047","87,908951","76,658238","73,731719","123,015788","73,389839","115,679962"
"0,099","338,653846","16,562416","5,741226","383,317308","2,314281","5,626929",,"73,719611","98,617047","89,658951","76,658238","73,231719","121,765788","72,889839","115,429962"
"0,1","337,153846","16,855587","6,724788","385,567308","2,396738","6,222388",,"73,219611","98,867047","88,908951","76,158238","73,731719","122,765788","73,139839","115,929962"
"0,101","337,653846","16,830627","8,149732","382,567308","2,608963","5,004738",,"73,719611","99,367047","88,658951","75,908238","72,981719","121,265788","73,389839","114,929962"
"0,102","337,403846","17,17208","6,959133","382,067308","1,643962","5,011288",,"72,969611","99,367047","88,908951","76,158238","73,231719","120,765788","72,389839","115,679962"
"0,103","337,653846","16,173149","6,71483","383,567308","2,409236","6,254832",,"73,719611","98,617047","88,658951","76,658238","73,481719","122,015788","72,889839","115,179962"
"0,104","339,153846","16,974379","7,161317","384,067308","2,406099","4,144193",,"73,719611","99,617047","89,408951","76,408238","73,231719","121,265788","73,889839","115,679962"
"0,105","339,153846","16,537999","7,637502","384,067308","2,02075","4,985192",,"73,969611","99,617047","88,908951","76,658238","72,981719","122,015788","72,639839","116,429962"
"0,106","338,153846","16,805741","6,704901","384,067308","2,213425","4,564693",,"73,219611","99,367047","88,908951","76,658238","73,481719","121,265788","73,639839","115,679962"
"0,107","337,153846","16,416618","6,245778","382,567308","2,608963","5,849034",,"73,219611","98,617047","88,658951","76,658238","72,481719","122,265788","72,389839","115,429962"
"0,108","337,403846","16,294793","6,959133","385,067308","2,592025","5,81106",,"73,969611","98,367047","88,908951","76,158238","72,981719","123,015788","72,889839","116,179962"
"0,109","339,153846","16,537999","7,637502","385,567308","2,588663","4,965798",,"73,719611","99,867047","88,658951","76,908238","73,231719","122,515788","73,639839","116,179962"
"0,11","336,653846","16,880621","5,295612","384,567308","2,595395","5,398663",,"72,469611","98,617047","88,908951","76,658238","73,231719","122,265788","73,389839","115,679962"
"0,111","338,653846","16,562416","6,695002","384,067308","2,984123","3,723694",,"74,219611","98,617047","89,658951","76,158238","71,981719","122,265788","73,639839","116,179962"
"0,112","337,903846","16,708676","7,426782","384,067308","2,406099","3,723694",,"73,469611","99,367047","88,658951","76,408238","73,231719","121,015788","74,139839","115,679962"
"0,113","338,403846","16,902662","5,506847","384,317308","2,308259","6,032513",,"73,219611","98,867047","89,658951","76,658238","73,481719","122,265788","72,889839","115,679962"
"0,114","336,403846","16,563205","7,459898","383,817308","2,504066","5,198826",,"73,469611","98,617047","88,408951","75,908238","73,231719","121,765788","73,389839","115,429962"
"0,115","338,653846","17,436465","5,741226","382,567308","2,415533","3,738294",,"72,969611","99,367047","89,908951","76,408238","72,231719","121,265788","73,139839","115,929962"
"0,116","337,903846","16,927673","5,037049","385,067308","2,784199","5,391653",,"72,719611","98,867047","89,408951","76,908238","73,231719","122,515788","73,639839","115,679962"
"0,117","337,153846","15,758165","5,766769","386,317308","2,296309","5,583232",,"73,719611","97,867047","88,658951","76,908238","73,731719","122,765788","73,389839","116,429962"
"0,118","337,903846","16,708676","4,081156","384,567308","2,018123","5,398663",,"73,219611","97,867047","90,158951","76,658238","73,981719","121,515788","73,389839","115,679962"
"0,119","340,153846","16,924477","5,715908","384,317308","1,538062","6,032513",,"73,969611","99,117047","90,408951","76,658238","73,981719","121,765788","72,389839","116,179962"
"0,12","338,653846","16,562416","6,695002","384,817308","2,689858","4,345956",,"73,719611","99,117047","89,158951","76,658238","73,231719","121,765788","74,139839","115,679962"
"0,121","337,903846","16,927673","5,514996","383,317308","2,507333","3,941641",,"73,219611","98,617047","89,658951","76,408238","72,731719","121,265788","73,639839","115,679962"
"0,122","338,153846","17,243412","6,704901","382,317308","2,320334","3,951951",,"73,219611","99,367047","89,408951","76,158238","72,231719","121,265788","72,889839","115,929962"
"0,123","336,653846","17,540052","4,815891","382,567308","2,415533","5,004738",,"72,219611","98,617047","89,658951","76,158238","72,731719","121,515788","72,889839","115,429962"
"0,124","338,403846","16,465315","4,552366","385,567308","2,588663","5,803524",,"73,719611","97,867047","90,158951","76,658238","73,981719","122,265788","73,889839","115,429962"
"0,125","337,403846","17,391402","6,001823","384,067308","2,984123","4,564693",,"72,719611","99,117047","89,408951","76,158238","72,481719","122,265788","73,639839","115,679962"
"0,126","337,903846","16,927673","5,992942","385,067308","2,784199","4,133431",,"72,719611","99,367047","88,908951","76,908238","72,731719","122,265788","73,889839","116,179962"
