ForceDecks Raw Data Export,2.0
Weight,"94,5"
Frequency,1000
Recording Date,2024-10-10T11:21:02
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T11:21:10
AthleteId,6ced2a20-c1b8-42c8-ae1e-bfeded77f0ce

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"430,985053","-12,360639","-43,750985","496,965887","-32,595776","-75,84751",,"89,476736","96,826905","100,668153","144,013259","121,867406","68,266273","125,490357","181,341851"
"0,001","429,735053","-12,827091","-45,193592","496,215887","-32,570479","-76,775807",,"88,726736","96,076905","100,168153","144,763259","121,617406","67,516273","125,990357","181,091851"
"0,002","431,485053","-11,660313","-45,946019","496,715887","-32,239736","-75,723117",,"87,476736","97,576905","101,168153","145,263259","121,367406","68,766273","125,490357","181,091851"
"0,003","430,485053","-12,031198","-46,427908","495,215887","-32,785679","-77,583082",,"87,476736","96,826905","100,918153","145,263259","121,117406","67,016273","125,740357","181,341851"
"0,004","430,235053","-12,124188","-44,765693","495,215887","-32,486819","-75,95248",,"88,226736","97,076905","100,418153","144,513259","121,367406","68,016273","125,240357","180,591851"
"0,005","432,485053","-11,633352","-45,839782","495,965887","-32,661498","-76,000439",,"87,976736","97,576905","101,668153","145,263259","121,617406","68,016273","125,240357","181,091851"
"0,006","429,735053","-11,966096","-45,193592","496,465887","-32,181444","-75,923897",,"87,226736","97,576905","99,918153","145,013259","121,367406","68,516273","125,740357","180,841851"
"0,007","429,485053","-12,403809","-45,031883","496,965887","-32,446873","-76,497454",,"88,226736","96,576905","100,168153","144,513259","121,367406","68,266273","125,740357","181,591851"
"0,008","431,985053","-12,332026","-45,145128","496,965887","-32,000162","-75,84751",,"88,976736","96,826905","101,168153","145,013259","121,367406","68,766273","125,990357","180,841851"
"0,009","429,235053","-11,980034","-46,374988","494,965887","-32,27897","-75,8277",,"87,476736","96,326905","100,918153","144,513259","121,367406","68,016273","125,490357","180,091851"
"0,01","428,985053","-12,245766","-46,590249","496,715887","-32,239736","-75,723117",,"87,476736","96,076905","100,668153","144,763259","121,367406","68,766273","125,490357","181,091851"
"0,011","428,735053","-12,511808","-44,545624","496,965887","-32,000162","-76,822426",,"87,976736","96,826905","99,418153","144,513259","121,117406","68,266273","126,490357","181,091851"
"0,012","427,735053","-12,195051","-45,782478","496,965887","-32,74468","-75,197566",,"87,476736","96,076905","100,168153","144,013259","122,367406","68,266273","125,240357","181,091851"
"0,013","428,985053","-12,245766","-44,707899","498,465887","-32,052322","-75,619267",,"87,976736","96,826905","99,918153","144,263259","122,117406","68,766273","126,490357","181,091851"
"0,014","429,235053","-12,497234","-45,622487","496,215887","-32,42135","-76,775807",,"88,226736","96,076905","100,418153","144,513259","120,617406","68,516273","125,240357","181,841851"
"0,015","428,985053","-12,073266","-45,084369","498,215887","-32,43973","-76,143447",,"87,476736","97,076905","99,918153","144,513259","121,617406","68,766273","125,740357","182,091851"
"0,016","427,985053","-12,101476","-44,812361","498,715887","-32,703969","-76,390939",,"87,976736","96,326905","100,168153","143,513259","122,117406","68,266273","125,990357","182,341851"
"0,017","429,985053","-11,70099","-46,106301","499,215887","-32,522981","-75,990921",,"87,476736","96,826905","101,168153","144,513259","122,117406","68,766273","125,990357","182,341851"
"0,018","427,985053","-11,409863","-46,699109","496,965887","-32,149066","-75,84751",,"86,726736","96,326905","101,168153","143,763259","121,367406","68,766273","125,740357","181,091851"
"0,019","428,235053","-12,526417","-45,351893","497,465887","-33,009276","-76,420567",,"87,976736","96,076905","99,918153","144,263259","122,117406","67,766273","125,490357","182,091851"
"0,02","428,485053","-12,260056","-45,513887","499,965887","-32,252178","-75,392394",,"87,976736","96,076905","100,418153","144,013259","122,117406","69,516273","125,990357","182,341851"
