ForceDecks Raw Data Export,2.0
Weight,"94,4"
Frequency,1000
Recording Date,2024-10-10T11:22:17
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T11:22:21
AthleteId,6ced2a20-c1b8-42c8-ae1e-bfeded77f0ce

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"294,485053","25,633726","-19,608875","594,465887","-64,220655","-123,990504",,"32,476736","105,826905","66,918153","89,263259","141,867406","41,266273","126,990357","284,341851"
"0,001","294,485053","26,638871","-18,512045","595,465887","-64,485623","-125,409577",,"31,976736","106,826905","66,918153","88,763259","142,117406","40,016273","127,990357","285,341851"
"0,002","295,985053","25,503819","-19,5095","596,465887","-63,881254","-123,574754",,"32,726736","106,326905","67,168153","89,763259","141,867406","42,266273","127,240357","285,091851"
"0,003","297,735053","26,720902","-20,208472","593,465887","-64,827633","-125,832211",,"32,226736","107,326905","68,418153","89,763259","141,867406","39,266273","127,490357","284,841851"
"0,004","297,235053","26,765851","-20,242466","595,465887","-64,112806","-124,053496",,"32,226736","107,076905","68,418153","89,513259","142,367406","41,016273","127,740357","284,341851"
"0,005","296,735053","25,564048","-22,453601","594,715887","-64,629161","-124,888836",,"32,476736","105,576905","68,418153","90,263259","142,117406","40,266273","127,240357","285,091851"
"0,006","297,485053","26,618982","-21,582666","595,965887","-64,059017","-125,846339",,"32,226736","106,576905","68,918153","89,763259","141,367406","40,516273","128,490357","285,591851"
"0,007","297,985053","25,829313","-19,920531","596,965887","-64,19963","-125,635529",,"32,976736","106,826905","68,168153","90,013259","141,867406","40,516273","128,490357","286,091851"
"0,008","295,985053","27,003895","-22,237679","596,715887","-64,412545","-124,740897",,"31,226736","106,576905","68,418153","89,763259","142,617406","40,516273","127,990357","285,591851"
"0,009","298,735053","26,383744","-21,222051","596,465887","-64,997831","-125,199323",,"32,726736","106,826905","69,168153","90,013259","142,367406","40,266273","126,990357","286,841851"
"0,01","296,735053","25,813429","-20,276575","596,465887","-64,749703","-125,740846",,"32,726736","106,326905","67,918153","89,763259","141,867406","40,266273","127,490357","286,841851"
"0,011","299,485053","26,935399","-21,438534","598,465887","-64,038719","-123,701495",,"31,976736","107,826905","69,168153","90,513259","142,867406","41,766273","127,990357","285,841851"
"0,012","298,735053","26,879167","-23,925115","598,715887","-64,691767","-124,86369",,"31,726736","106,576905","69,918153","90,513259","143,117406","40,516273","127,990357","287,091851"
"0,013","300,235053","26,498402","-21,653936","599,965887","-64,495315","-125,276498",,"32,726736","107,326905","69,668153","90,513259","143,117406","40,516273","128,740357","287,591851"
"0,014","301,485053","26,756714","-22,903359","598,715887","-64,691767","-124,324202",,"32,726736","107,326905","70,668153","90,763259","143,867406","40,266273","128,240357","286,341851"
"0,015","300,235053","26,744876","-23,267671","597,715887","-65,047608","-125,342787",,"31,976736","107,326905","69,918153","91,013259","143,117406","39,766273","127,740357","287,091851"
"0,016","299,485053","27,42958","-24,674088","599,465887","-64,795995","-125,380988",,"31,976736","106,326905","71,168153","90,013259","143,367406","40,016273","128,490357","287,591851"
"0,017","300,735053","27,438601","-21,617934","601,215887","-64,792015","-124,613099",,"32,476736","107,826905","70,418153","90,013259","143,867406","40,766273","128,240357","288,341851"
"0,018","300,235053","27,977244","-22,729759","596,965887","-65,067351","-125,906064",,"32,226736","107,326905","71,168153","89,513259","142,367406","39,766273","127,490357","287,341851"
"0,019","300,735053","27,930729","-23,766004","598,715887","-64,938963","-126,21241",,"31,726736","107,576905","71,168153","90,263259","142,367406","40,016273","127,990357","288,341851"
"0,02","300,735053","26,946474","-24,840039","601,715887","-64,492213","-125,314748",,"32,226736","106,576905","71,168153","90,763259","143,617406","40,516273","129,240357","288,341851"
"0,021","301,235053","28,621335","-24,798809","602,965887","-65,033511","-124,921039",,"31,226736","107,826905","71,918153","90,263259","144,867406","40,016273","128,990357","289,091851"
"0,022","300,735053","28,422857","-23,766004","602,965887","-64,542605","-125,724567",,"31,476736","107,826905","71,418153","90,013259","143,617406","40,516273","129,490357","289,341851"
"0,023","301,485053","28,229424","-23,439041","601,965887","-65,141547","-125,128561",,"31,976736","107,826905","71,668153","90,013259","144,367406","40,016273","128,490357","289,091851"
"0,024","302,485053","28,136099","-24,963285","602,715887","-64,87632","-124,838878",,"31,476736","108,076905","71,918153","91,013259","144,367406","40,516273","128,740357","289,091851"
"0,025","302,235053","28,771478","-26,319814","604,715887","-64,906495","-124,425993",,"30,726736","108,076905","72,418153","91,013259","145,367406","40,516273","129,240357","289,591851"
"0,026","302,235053","29,261163","-25,25111","604,465887","-65,239395","-125,679756",,"31,226736","108,076905","72,918153","90,013259","145,117406","39,516273","129,490357","290,341851"
"0,027","302,235053","29,995691","-25,25111","605,215887","-65,219684","-125,123739",,"30,726736","108,576905","73,168153","89,763259","145,367406","40,016273","129,240357","290,591851"
"0,028","301,485053","28,720327","-25,046086","604,965887","-65,185475","-124,241096",,"31,476736","107,576905","72,418153","90,013259","145,617406","40,516273","128,740357","290,091851"
"0,029","301,735053","29,5549","-25,828191","605,965887","-65,077902","-124,5691",,"30,976736","107,826905","73,168153","89,763259","145,367406","40,766273","128,990357","290,841851"
"0,03","299,985053","30,590688","-25,709683","605,965887","-65,077902","-124,5691",,"30,226736","107,826905","73,168153","88,763259","145,867406","40,266273","129,490357","290,341851"
"0,031","302,485053","30,5825","-25,497195","606,965887","-65,580274","-124,896022",,"30,726736","108,576905","73,918153","89,263259","146,117406","40,016273","128,990357","291,841851"
"0,032","303,735053","30,09119","-24,06298","607,715887","-65,316688","-124,60901",,"31,476736","109,076905","73,668153","89,513259","146,617406","40,016273","129,740357","291,341851"
"0,033","300,235053","30,441979","-25,419319","607,215887","-65,248604","-124,179681",,"30,476736","107,826905","73,168153","88,763259","146,367406","40,516273","129,240357","291,091851"
"0,034","303,235053","29,164667","-26,765608","607,965887","-65,71584","-124,42495",,"31,226736","107,826905","73,668153","90,513259","146,867406","40,016273","128,990357","292,091851"
"0,035","301,985053","30,878181","-26,609001","607,215887","-65,492339","-124,711617",,"29,976736","108,576905","73,918153","89,513259","146,367406","40,016273","129,240357","291,591851"
"0,036","299,235053","30,791009","-26,583685","608,215887","-65,506327","-124,772102",,"29,476736","107,826905","72,918153","89,013259","146,867406","39,766273","129,740357","291,841851"
"0,037","299,985053","30,837367","-28,939844","608,965887","-65,729444","-126,077054",,"29,226736","107,326905","73,918153","89,513259","146,367406","39,266273","129,990357","293,341851"
"0,038","299,485053","32,371396","-28,448901","610,215887","-65,534165","-125,4218",,"28,226736","108,326905","74,168153","88,763259","146,367406","40,266273","129,740357","293,841851"
"0,039","298,735053","31,833389","-29,871856","611,215887","-65,669086","-125,745054",,"28,726736","106,826905","74,668153","88,513259","147,117406","39,516273","130,490357","294,091851"
"0,04","300,235053","31,674347","-28,108878","608,965887","-65,972479","-126,342258",,"29,226736","107,826905","74,418153","88,763259","146,617406","38,766273","129,990357","293,591851"
"0,041","301,485053","30,929392","-26,117449","609,715887","-66,194747","-125,78953",,"29,976736","108,576905","73,668153","89,263259","146,617406","39,516273","128,990357","294,591851"
"0,042","296,235053","33,351047","-29,578777","610,465887","-66,174032","-125,502713",,"27,476736","107,076905","74,418153","87,263259","147,367406","39,266273","129,490357","294,341851"
"0,043","296,735053","33,793612","-27,35191","613,215887","-65,937608","-125,598303",,"27,976736","107,826905","74,418153","86,513259","148,367406","39,016273","130,990357","294,841851"
"0,044","297,985053","32,037678","-29,676054","612,215887","-66,287056","-126,594844",,"28,476736","106,826905","74,418153","88,263259","147,117406","39,016273","129,990357","296,091851"
"0,045","298,485053","33,471523","-29,626343","613,965887","-66,158381","-126,628574",,"27,726736","107,826905","75,168153","87,763259","147,617406","39,016273","130,740357","296,591851"
"0,046","294,735053","32,767563","-29,181363","613,715887","-66,125042","-125,495977",,"27,476736","106,576905","73,418153","87,263259","148,367406","39,266273","130,490357","295,591851"
"0,047","296,235053","32,601642","-30,669127","614,715887","-66,258234","-125,029101",,"27,476736","106,576905","74,168153","88,013259","149,117406","39,266273","130,490357","295,841851"
"0,048","294,485053","33,926168","-30,028758","615,465887","-66,117375","-125,795152",,"26,726736","106,826905","74,168153","86,763259","148,867406","39,016273","131,240357","296,341851"
"0,049","294,235053","33,326244","-30,328713","615,215887","-66,44495","-126,240035",,"26,726736","106,576905","73,668153","87,263259","148,867406","38,516273","130,990357","296,841851"
"0,05","293,735053","34,642611","-30,930154","616,465887","-66,610318","-126,639002",,"25,976736","106,826905","74,418153","86,513259","149,117406","38,266273","131,240357","297,841851"
"0,051","295,235053","34,71725","-29,131942","616,215887","-66,577298","-126,821422",,"27,226736","107,076905","75,168153","85,763259","148,367406","38,766273","130,740357","298,341851"
"0,052","294,735053","34,525073","-29,729312","615,715887","-66,511178","-125,875224",,"25,976736","107,826905","73,918153","87,013259","148,867406","39,016273","130,490357","297,341851"
"0,053","294,235053","34,583742","-30,328713","616,715887","-66,643311","-125,671118",,"26,226736","107,076905","74,418153","86,513259","149,617406","38,766273","130,740357","297,591851"
"0,054","293,485053","34,041765","-31,781927","618,215887","-66,721011","-125,366197",,"25,726736","106,576905","73,918153","87,263259","149,867406","39,266273","130,490357","298,591851"
"0,055","295,235053","34,215955","-33,508116","617,965887","-66,807877","-127,115633",,"25,976736","106,326905","75,418153","87,513259","149,117406","38,266273","131,240357","299,341851"
"0,056","291,485053","34,783085","-33,108114","618,965887","-66,939051","-126,910265",,"25,476736","105,326905","74,668153","86,013259","149,617406","38,266273","131,240357","299,841851"
"0,057","292,735053","35,013741","-31,587507","620,715887","-66,929154","-126,422372",,"25,476736","106,576905","74,418153","86,263259","150,367406","38,516273","131,490357","300,341851"
"0,058","291,735053","36,402034","-32,80295","620,715887","-66,690719","-125,641822",,"24,476736","106,576905","75,168153","85,513259","150,867406","38,766273","131,740357","299,341851"
"0,059","289,235053","36,716674","-33,086482","622,965887","-66,509242","-125,5769",,"23,976736","105,826905","74,668153","84,763259","150,867406","39,516273","131,990357","300,591851"
"0,06","289,985053","35,473378","-32,722447","621,965887","-66,854131","-127,336767",,"24,976736","105,326905","74,418153","85,263259","149,867406","38,516273","131,990357","301,591851"
"0,061","287,985053","36,490607","-32,388905","620,215887","-67,818303","-127,045077",,"23,976736","105,576905","73,918153","84,513259","150,867406","37,266273","130,740357","301,341851"
"0,062","288,735053","36,267676","-34,821787","621,715887","-67,178578","-128,037383",,"24,226736","104,576905","75,168153","84,763259","150,367406","37,266273","132,490357","301,591851"
"0,063","287,485053","36,811477","-35,254078","622,215887","-67,481384","-127,934495",,"23,226736","104,826905","74,668153","84,763259","151,117406","36,766273","132,490357","301,841851"
"0,064","287,485053","35,781858","-35,254078","623,215887","-67,373104","-125,396956",,"23,976736","104,076905","74,418153","85,013259","152,117406","38,516273","131,240357","301,341851"
"0,065","286,735053","36,778724","-35,627909","624,465887","-67,534496","-127,602847",,"22,976736","104,576905","74,418153","84,763259","151,617406","37,266273","132,490357","303,091851"
