ForceDecks Raw Data Export,2.0
Weight,"94,3"
Frequency,1000
Recording Date,2024-10-10T11:21:52
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T11:21:56
AthleteId,6ced2a20-c1b8-42c8-ae1e-bfeded77f0ce

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"382,235053","-7,645167","-93,483761","541,715887","-4,973066","-133,23197",,"56,476736","79,326905","101,918153","144,513259","86,617406","72,516273","189,240357","193,341851"
"0,001","384,985053","-7,686664","-91,347755","542,965887","-4,348319","-133,073968",,"57,976736","80,076905","102,418153","144,513259","85,867406","73,766273","189,740357","193,591851"
"0,002","384,735053","-7,980169","-90,35769","542,215887","-4,96848","-133,406963",,"57,976736","80,576905","101,418153","144,763259","86,367406","72,766273","189,240357","193,841851"
"0,003","382,485053","-7,349962","-93,633778","542,465887","-4,625155","-132,303481",,"55,726736","80,076905","101,668153","145,013259","86,367406","73,766273","188,990357","193,341851"
"0,004","381,985053","-8,328207","-93,333549","543,715887","-5,226974","-133,038921",,"57,226736","78,576905","101,668153","144,513259","87,367406","72,516273","189,740357","194,091851"
"0,005","383,985053","-6,935819","-92,006239","543,465887","-4,616645","-133,545871",,"56,976736","80,326905","102,668153","144,013259","86,117406","73,266273","189,990357","194,091851"
"0,006","384,735053","-7,980169","-92,456537","544,215887","-4,542295","-132,323177",,"57,976736","79,326905","102,668153","144,763259","86,617406","74,016273","189,740357","193,841851"
"0,007","381,235053","-8,053432","-93,305351","542,215887","-4,286095","-132,81126",,"56,976736","78,576905","101,668153","144,013259","85,867406","73,766273","189,490357","193,091851"
"0,008","381,235053","-8,247538","-92,458105","544,215887","-4,542295","-133,510206",,"56,726736","79,326905","100,668153","144,513259","86,367406","73,266273","190,490357","194,091851"
"0,009","382,735053","-7,635179","-92,939673","542,715887","-4,827552","-133,879211",,"56,476736","79,826905","101,668153","144,763259","85,867406","73,016273","189,490357","194,341851"
"0,01","382,985053","-7,920024","-91,824786","544,215887","-4,542295","-133,806963",,"57,226736","79,826905","101,418153","144,513259","86,117406","73,266273","190,490357","194,341851"
"0,011","382,735053","-8,601905","-92,095747","540,965887","-4,227603","-133,864494",,"57,976736","78,826905","101,418153","144,513259","85,117406","73,266273","189,490357","193,091851"
