ForceDecks Raw Data Export,2.0
Weight,"94,5"
Frequency,1000
Recording Date,2024-10-10T11:23:03
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T11:23:06
AthleteId,6ced2a20-c1b8-42c8-ae1e-bfeded77f0ce

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,485053",0,0,"-0,284113",0,0,,"11,226736","-10,173095","9,418153","-9,986741","2,117406","-1,733727","1,240357","-1,908149"
"0,001","1,735053",0,0,"-0,034113",0,0,,"11,476736","-10,423095","10,668153","-9,986741","2,617406","-2,733727","1,490357","-1,408149"
"0,002","0,485053",0,0,"1,465887",0,0,,"11,226736","-10,173095","9,918153","-10,486741","3,367406","-1,733727","0,990357","-1,158149"
"0,003","1,235053",0,0,"2,215887",0,0,,"11,226736","-10,673095","10,918153","-10,236741","2,867406","-1,483727","1,990357","-1,158149"
"0,004","-0,514947",0,0,"1,465887",0,0,,"10,226736","-10,423095","9,918153","-10,236741","3,117406","-1,483727","1,740357","-1,908149"
"0,005","-1,514947",0,0,"1,465887",0,0,,"10,226736","-10,923095","9,418153","-10,236741","2,617406","-2,483727","2,740357","-1,408149"
"0,006","-0,764947",0,0,"2,465887",0,0,,"10,726736","-9,923095","9,418153","-10,986741","2,867406","-0,983727","2,740357","-2,158149"
"0,007","-2,014947",0,0,"1,965887",0,0,,"10,226736","-10,923095","9,668153","-10,986741","2,867406","-1,733727","2,740357","-1,908149"
"0,008","-0,764947",0,0,"0,215887",0,0,,"10,726736","-11,423095","9,668153","-9,736741","2,867406","-2,483727","2,490357","-2,658149"
"0,009","-1,264947",0,0,"0,715887",0,0,,"9,476736","-9,673095","9,168153","-10,236741","2,867406","-2,483727","2,240357","-1,908149"
"0,01","-0,264947",0,0,"0,965887",0,0,,"10,726736","-10,673095","11,168153","-11,486741","2,367406","-1,983727","2,240357","-1,658149"
"0,011","0,485053",0,0,"0,965887",0,0,,"10,476736","-10,423095","10,418153","-9,986741","2,617406","-1,733727","2,240357","-2,158149"
"0,012","-1,264947",0,0,"0,715887",0,0,,"9,476736","-10,673095","10,168153","-10,236741","2,367406","-1,983727","2,490357","-2,158149"
"0,013","-0,764947",0,0,"-0,534113",0,0,,"9,976736","-10,673095","10,168153","-10,236741","2,617406","-2,983727","2,240357","-2,408149"
"0,014","0,735053",0,0,"-0,534113",0,0,,"10,976736","-10,173095","9,918153","-9,986741","2,367406","-2,983727","2,240357","-2,158149"
"0,015","-1,264947",0,0,"0,715887",0,0,,"10,226736","-10,673095","10,418153","-11,236741","3,367406","-2,233727","2,240357","-2,658149"
"0,016","0,235053",0,0,"-1,284113",0,0,,"10,226736","-10,673095","10,668153","-9,986741","2,117406","-3,233727","1,990357","-2,158149"
"0,017","0,485053",0,0,"-0,534113",0,0,,"11,226736","-11,173095","10,168153","-9,736741","2,367406","-3,233727","2,240357","-1,908149"
"0,018","-2,014947",0,0,"0,465887",0,0,,"9,226736","-10,923095","9,918153","-10,236741","2,117406","-2,233727","2,490357","-1,908149"
"0,019","1,235053",0,0,"-0,284113",0,0,,"10,476736","-10,923095","10,668153","-8,986741","3,367406","-3,733727","1,990357","-1,908149"
"0,02","-1,014947",0,0,"-0,284113",0,0,,"10,226736","-10,673095","11,168153","-11,736741","2,867406","-2,733727","1,990357","-2,408149"
"0,021","0,735053",0,0,"-0,284113",0,0,,"11,476736","-10,673095","10,168153","-10,236741","3,117406","-2,983727","1,490357","-1,908149"
"0,022","0,235053",0,0,"1,215887",0,0,,"11,226736","-10,673095","10,168153","-10,486741","3,117406","-1,983727","1,990357","-1,908149"
"0,023","1,735053",0,0,"-1,784113",0,0,,"11,476736","-9,673095","9,668153","-9,736741","2,617406","-3,233727","1,490357","-2,658149"
"0,024","-1,014947",0,0,"-0,534113",0,0,,"10,226736","-10,423095","9,918153","-10,736741","2,867406","-2,733727","1,990357","-2,658149"
"0,025","-2,014947",0,0,"1,215887",0,0,,"10,226736","-10,923095","10,168153","-11,486741","2,867406","-2,733727","3,240357","-2,158149"
"0,026","0,485053",0,0,"-0,284113",0,0,,"11,476736","-10,423095","10,418153","-10,986741","2,867406","-2,483727","2,240357","-2,908149"
"0,027","-2,014947",0,0,"0,715887",0,0,,"10,226736","-11,173095","9,918153","-10,986741","3,367406","-2,983727","2,240357","-1,908149"
"0,028","0,485053",0,0,"-1,034113",0,0,,"10,976736","-11,173095","10,168153","-9,486741","2,867406","-2,483727","1,490357","-2,908149"
"0,029","0,235053",0,0,"-1,034113",0,0,,"10,976736","-10,673095","10,168153","-10,236741","3,367406","-2,983727","1,990357","-3,408149"
"0,03","0,735053",0,0,"-1,034113",0,0,,"10,976736","-10,423095","10,418153","-10,236741","1,867406","-2,983727","2,240357","-2,158149"
"0,031","-0,514947",0,0,"0,215887",0,0,,"9,976736","-10,423095","10,168153","-10,236741","2,617406","-2,233727","2,490357","-2,658149"
"0,032","-0,014947",0,0,"0,715887",0,0,,"10,976736","-10,173095","10,168153","-10,986741","2,117406","-1,733727","2,240357","-1,908149"
"0,033","0,735053",0,0,"0,965887",0,0,,"10,976736","-10,423095","10,668153","-10,486741","2,867406","-2,483727","2,240357","-1,658149"
"0,034","0,235053",0,0,"-1,284113",0,0,,"11,226736","-11,423095","10,668153","-10,236741","2,117406","-2,483727","1,740357","-2,658149"
"0,035","-0,514947",0,0,"0,965887",0,0,,"10,976736","-11,423095","10,168153","-10,236741","2,367406","-1,983727","3,490357","-2,908149"
"0,036","0,235053",0,0,"-1,284113",0,0,,"10,726736","-10,673095","10,418153","-10,236741","2,117406","-3,233727","1,740357","-1,908149"
"0,037","0,735053",0,0,"0,215887",0,0,,"11,476736","-10,423095","10,668153","-10,986741","2,617406","-2,483727","2,740357","-2,658149"
"0,038","-0,014947",0,0,"-1,034113",0,0,,"11,226736","-10,923095","10,668153","-10,986741","2,867406","-3,233727","2,240357","-2,908149"
"0,039","1,735053",0,0,"-0,534113",0,0,,"10,976736","-10,423095","11,418153","-10,236741","1,867406","-3,233727","2,490357","-1,658149"
"0,04","0,485053",0,0,"2,215887",0,0,,"11,476736","-10,673095","10,418153","-10,736741","3,367406","-1,983727","3,240357","-2,408149"
"0,041","0,985053",0,0,"-2,284113",0,0,,"11,476736","-10,423095","10,668153","-10,736741","2,117406","-3,233727","1,240357","-2,408149"
"0,042","0,985053",0,0,"2,215887",0,0,,"10,976736","-10,423095","11,168153","-10,736741","3,367406","-2,233727","3,740357","-2,658149"
"0,043","0,235053",0,0,"0,215887",0,0,,"11,226736","-11,423095","10,668153","-10,236741","2,867406","-2,233727","2,240357","-2,658149"
"0,044","-1,014947",0,0,"-0,034113",0,0,,"10,476736","-11,423095","10,418153","-10,486741","2,117406","-2,983727","2,490357","-1,658149"
"0,045","0,735053",0,0,"0,965887",0,0,,"11,476736","-10,673095","10,668153","-10,736741","3,367406","-2,483727","2,740357","-2,658149"
"0,046","-0,514947",0,0,"0,965887",0,0,,"10,976736","-10,923095","10,668153","-11,236741","2,867406","-3,233727","2,740357","-1,408149"
"0,047","-1,764947",0,0,"1,215887",0,0,,"10,726736","-11,923095","10,418153","-10,986741","2,867406","-1,733727","2,490357","-2,408149"
"0,048","-0,764947",0,0,"0,715887",0,0,,"11,226736","-11,423095","10,668153","-11,236741","3,367406","-3,233727","3,240357","-2,658149"
"0,049","0,735053",0,0,"0,215887",0,0,,"11,226736","-10,673095","10,668153","-10,486741","2,867406","-2,483727","2,740357","-2,908149"
"0,05","-0,014947",0,0,"-0,284113",0,0,,"10,976736","-10,923095","10,918153","-10,986741","3,367406","-3,233727","2,240357","-2,658149"
