ForceDecks Raw Data Export,2.0
Weight,"94,3"
Frequency,1000
Recording Date,2024-10-10T11:25:42
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T15:56:03
AthleteId,6ced2a20-c1b8-42c8-ae1e-bfeded77f0ce

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,735053",0,0,"-0,284113",0,0,,"11,726736","-11,173095","11,168153","-10,986741","-0,882594","0,766273","-2,009643","1,841851"
"0,001","0,235053",0,0,"0,965887",0,0,,"11,476736","-10,923095","11,418153","-11,736741","-0,882594","1,516273","-1,759643","2,091851"
"0,002","-1,264947",0,0,"-0,034113",0,0,,"11,226736","-11,923095","11,168153","-11,736741","-1,382594","2,016273","-2,509643","1,841851"
"0,003","-0,514947",0,0,"-0,534113",0,0,,"11,476736","-11,423095","11,418153","-11,986741","-1,882594","1,516273","-1,759643","1,591851"
"0,004","-1,014947",0,0,"-0,284113",0,0,,"11,976736","-11,923095","10,918153","-11,986741","-1,382594","1,516273","-2,009643","1,591851"
"0,005","1,235053",0,0,"-0,534113",0,0,,"12,226736","-11,923095","11,418153","-10,486741","-2,382594","1,516273","-1,759643","2,091851"
"0,006","-0,764947",0,0,"1,465887",0,0,,"11,476736","-11,423095","11,418153","-12,236741","-1,382594","2,016273","-1,509643","2,341851"
"0,007","0,485053",0,0,"1,215887",0,0,,"12,226736","-11,423095","10,668153","-10,986741","-1,132594","2,016273","-1,759643","2,091851"
"0,008","-1,514947",0,0,"-0,534113",0,0,,"11,476736","-12,173095","10,918153","-11,736741","-1,132594","2,016273","-3,009643","1,591851"
"0,009","0,485053",0,0,"-0,534113",0,0,,"11,726736","-11,423095","11,918153","-11,736741","-1,632594","1,016273","-1,259643","1,341851"
