ForceDecks Raw Data Export,2.0
Weight,"73,8"
Frequency,1000
Recording Date,2024-11-07T12:16:57
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:17:01
AthleteId,41ba8072-563b-40cb-ad8f-6bd1ec855a29

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"362,790128","-3,616639","-10,697669","362,742543","27,236365","-19,916926",,"66,515743","108,871567","68,090791","119,312027","61,993253","108,194247","106,554688","86,000355"
"0,001","362,040128","-3,521933","-10,942872","363,492543","26,671217","-18,765079",,"66,515743","108,371567","68,340791","118,812027","62,993253","108,194247","106,304688","86,000355"
"0,002","362,540128","-3,31296","-10,482312","362,492543","27,561362","-19,262372",,"66,515743","108,871567","68,340791","118,812027","61,493253","108,944247","106,054688","86,000355"
"0,003","362,540128","-3,31296","-13,600587","362,492543","26,132368","-18,816846",,"65,265743","108,371567","68,840791","120,062027","62,743253","107,944247","105,304688","86,500355"
"0,004","363,040128","-3,104563","-10,467875","365,492543","26,52527","-18,220526",,"66,765743","108,871567","68,840791","118,562027","63,743253","108,694247","106,804688","86,250355"
"0,005","363,540128","-3,710955","-13,118933","363,992543","26,024677","-19,626683",,"66,265743","108,121567","69,090791","120,062027","62,993253","107,944247","106,054688","87,000355"
"0,006","361,790128","-4,035713","-10,280846","365,492543","26,930203","-20,429873",,"66,515743","108,621567","67,340791","119,312027","62,493253","108,694247","107,304688","87,000355"
"0,007","363,540128","-3,710955","-12,230448","363,742543","26,347725","-19,86217",,"66,265743","108,621567","68,590791","120,062027","62,493253","108,194247","106,054688","87,000355"
"0,008","364,790128","-3,191098","-11,081738","363,742543","26,347725","-18,530184",,"67,265743","108,871567","69,590791","119,062027","62,743253","108,694247","105,554688","86,750355"
"0,009","363,040128","-3,512231","-9,133312","363,742543","26,551165","-20,306165",,"67,265743","109,121567","68,090791","118,562027","61,993253","108,444247","106,054688","87,250355"
"0,01","363,540128","-3,507401","-10,009235","363,492543","26,671217","-20,097981",,"67,515743","108,621567","68,840791","118,562027","62,493253","107,944247","106,554688","86,500355"
"0,011","367,540128","-3,871906","-9,460895","363,242543","26,995154","-19,88951",,"68,515743","109,871567","69,090791","120,062027","61,993253","108,444247","106,304688","86,500355"
"0,012","364,790128","-3,799667","-9,753577","362,742543","27,032364","-20,807364",,"67,765743","109,121567","68,590791","119,312027","61,993253","107,694247","106,804688","86,250355"
"0,013","365,040128","-3,492988","-10,85294","363,492543","26,874797","-20,097981",,"66,765743","109,621567","68,590791","120,062027","62,243253","108,194247","106,554688","86,500355"
"0,014","364,040128","-3,909132","-10,43912","361,492543","26,614071","-20,209176",,"66,765743","109,371567","67,840791","120,062027","61,993253","107,444247","105,804688","86,250355"
"0,015","364,540128","-3,700775","-11,31085","363,492543","26,874797","-18,765079",,"66,765743","109,121567","68,590791","120,062027","62,493253","108,694247","106,054688","86,250355"
"0,016","365,040128","-3,290271","-12,622609","361,992543","27,190583","-19,73512",,"66,265743","109,121567","69,340791","120,312027","61,743253","108,194247","106,054688","86,000355"
"0,017","363,790128","-3,606698","-11,1122","362,242543","25,639695","-19,498583",,"66,515743","109,121567","68,340791","119,812027","62,743253","107,444247","105,054688","87,000355"
"0,018","365,540128","-3,690651","-10,396283","364,492543","26,598043","-18,270514",,"67,265743","109,621567","68,590791","120,062027","63,243253","108,694247","106,304688","86,250355"
"0,019","365,790128","-3,182374","-10,609933","362,992543","26,911816","-21,905316",,"67,515743","109,371567","69,590791","119,312027","61,743253","107,444247","107,054688","86,750355"
"0,02","365,540128","-3,690651","-10,838095","364,242543","26,921041","-19,391519",,"66,765743","109,871567","68,340791","120,562027","61,993253","109,194247","106,054688","87,000355"
"0,021","364,040128","-2,892761","-11,770017","363,492543","26,264056","-19,20938",,"66,265743","109,121567","69,340791","119,312027","62,493253","108,444247","105,554688","87,000355"
"0,022","364,790128","-4,002523","-12,852619","363,242543","26,995154","-19,444904",,"67,015743","108,121567","69,340791","120,312027","62,243253","108,444247","106,304688","86,250355"
"0,023","364,540128","-3,497779","-11,31085","362,742543","27,032364","-20,362145",,"66,765743","109,121567","68,840791","119,812027","61,743253","108,194247","106,304688","86,500355"
"0,024","364,790128","-3,596811","-10,196297","362,742543","26,828362","-19,471706",,"67,515743","109,121567","68,840791","119,312027","62,243253","108,194247","106,054688","86,250355"
"0,025","365,040128","-4,303858","-10,410523","361,742543","26,28883","-20,418434",,"67,765743","108,871567","68,340791","120,062027","62,493253","106,944247","106,054688","86,250355"
"0,026","365,540128","-3,488211","-9,512659","363,242543","26,383992","-19,444904",,"68,015743","109,371567","69,090791","119,062027","62,493253","108,194247","105,804688","86,750355"
"0,027","367,040128","-3,07073","-9,91379","362,992543","26,096372","-21,01549",,"67,265743","110,621567","69,090791","120,062027","61,493253","108,194247","105,304688","88,000355"
"0,028","366,290128","-3,784107","-11,918172","362,742543","26,624361","-19,026487",,"67,265743","109,121567","69,340791","120,562027","61,993253","108,694247","105,304688","86,750355"
"0,029","366,290128","-4,592209","-10,59545","362,242543","26,048261","-19,944417",,"67,765743","109,371567","68,090791","121,062027","62,243253","107,694247","105,304688","87,000355"
"0,03","365,290128","-3,794466","-11,950798","362,742543","26,216358","-19,026487",,"66,765743","109,121567","68,840791","120,562027","62,493253","108,194247","105,304688","86,750355"
"0,031","366,540128","-3,478694","-9,486707","360,492543","26,893173","-21,161232",,"67,765743","110,121567","68,840791","119,812027","61,493253","106,944247","106,054688","86,000355"
"0,032","365,540128","-3,08333","-10,396283","360,742543","26,77197","-20,027348",,"66,765743","110,121567","68,840791","119,812027","61,993253","107,194247","105,804688","85,750355"
"0,033","365,790128","-3,586978","-9,285403","361,492543","25,38583","-17,975381",,"67,515743","110,121567","68,340791","119,812027","63,243253","107,444247","104,304688","86,500355"
"0,034","367,790128","-3,969875","-11,430455","362,242543","25,843978","-18,161081",,"67,515743","109,871567","69,090791","121,312027","62,743253","108,194247","104,554688","86,750355"
"0,035","363,540128","-3,914509","-10,009235","360,742543","26,156572","-19,131972",,"67,265743","108,871567","68,090791","119,312027","62,243253","107,444247","104,804688","86,250355"
"0,036","364,040128","-4,112406","-9,551855","361,492543","25,999951","-18,868899",,"67,515743","109,121567","67,840791","119,562027","62,743253","107,444247","105,054688","86,250355"
"0,037","364,540128","-4,309761","-10,424802","361,992543","26,372887","-18,396695",,"67,515743","108,871567","68,090791","120,062027","62,493253","108,194247","105,054688","86,250355"
"0,038","367,040128","-3,473955","-11,233809","360,242543","25,987459","-18,710217",,"67,265743","109,871567","69,340791","120,562027","62,243253","107,444247","104,304688","86,250355"
"0,039","365,790128","-3,991581","-9,285403","359,742543","26,023579","-19,634087",,"67,765743","109,871567","68,090791","120,062027","61,993253","106,944247","104,554688","86,250355"
"0,04","363,290128","-3,407968","-11,127494","359,992543","26,724966","-19,396141",,"66,265743","109,121567","68,340791","119,562027","61,743253","107,444247","105,054688","85,750355"
"0,041","365,040128","-3,695706","-9,525689","359,992543","27,136085","-19,396141",,"67,515743","109,621567","68,340791","119,562027","61,493253","107,694247","105,304688","85,500355"
"0,042","365,040128","-4,101141","-10,410523","361,492543","25,38583","-19,315658",,"66,765743","109,871567","67,590791","120,812027","62,743253","107,194247","104,554688","87,000355"
"0,043","364,540128","-3,091788","-10,867826","359,742543","25,817876","-19,634087",,"67,015743","109,121567","69,340791","119,062027","61,993253","106,944247","104,304688","86,500355"
"0,044","364,790128","-4,20538","-10,639018","360,742543","25,95144","-18,684284",,"67,765743","108,621567","68,590791","119,812027","61,993253","107,944247","104,054688","86,750355"
"0,045","363,040128","-3,512231","-8,243603","361,742543","25,8797","-19,525534",,"67,265743","109,621567","67,590791","118,562027","62,493253","107,444247","105,054688","86,750355"
"0,046","365,040128","-3,087554","-9,083272","359,742543","26,434984","-19,185155",,"67,515743","109,871567","68,840791","118,812027","61,743253","107,444247","104,554688","86,000355"
"0,047","364,790128","-4,002523","-10,639018","362,242543","25,435412","-19,944417",,"67,265743","109,121567","68,340791","120,062027","62,743253","107,194247","105,054688","87,250355"
"0,048","364,540128","-3,90377","-8,209682","360,242543","26,192876","-20,503454",,"67,765743","109,871567","67,590791","119,312027","61,493253","107,194247","104,804688","86,750355"
"0,049","363,540128","-3,914509","-9,564993","360,242543","25,987459","-19,606835",,"67,265743","109,121567","67,840791","119,312027","61,993253","107,194247","104,554688","86,500355"
"0,05","363,040128","-3,308397","-9,133312","360,742543","26,156572","-16,893534",,"66,515743","109,871567","67,590791","119,062027","62,743253","108,194247","104,054688","85,750355"
"0,051","364,040128","-3,909132","-9,551855","360,992543","25,625982","-20,237167",,"67,515743","109,121567","68,090791","119,312027","62,743253","106,444247","105,304688","86,500355"
"0,052","365,290128","-4,199623","-7,971769","361,242543","25,91552","-19,999627",,"68,265743","109,871567","67,590791","119,562027","62,243253","107,194247","105,054688","86,750355"
"0,053","363,540128","-4,932278","-8,232265","361,492543","26,204658","-19,315658",,"67,765743","109,371567","66,340791","120,062027","62,493253","107,444247","105,304688","86,250355"
"0,054","364,540128","-3,90377","-9,981778","360,492543","25,8668","-20,713234",,"67,515743","109,121567","68,340791","119,562027","61,743253","106,944247","104,804688","87,000355"
"0,055","364,040128","-3,705858","-8,220958","359,492543","26,55629","-19,423119",,"68,015743","109,371567","68,090791","118,562027","61,993253","106,944247","105,054688","85,500355"
"0,056","363,790128","-4,623767","-10,224325","359,742543","26,846389","-20,531951",,"68,015743","108,121567","68,090791","119,562027","60,993253","107,444247","105,054688","86,250355"
"0,057","362,540128","-3,517075","-10,92778","359,742543","25,612173","-20,083019",,"66,265743","108,871567","68,090791","119,312027","62,243253","106,444247","104,554688","86,500355"
"0,058","364,040128","-3,909132","-9,995488","362,242543","25,639695","-19,498583",,"67,265743","109,121567","68,090791","119,562027","62,743253","107,444247","105,054688","87,000355"
"0,059","363,790128","-3,19987","-9,780388","361,492543","25,999951","-19,315658",,"67,265743","109,121567","68,840791","118,562027","62,743253","107,194247","105,304688","86,250355"
"0,06","364,790128","-4,408236","-10,196297","361,492543","24,976417","-19,762417",,"67,765743","108,871567","68,090791","120,062027","63,243253","106,444247","104,804688","87,000355"
"0,061","363,540128","-3,303847","-10,453478","360,742543","25,541175","-19,131972",,"66,515743","109,371567","68,340791","119,312027","62,743253","106,944247","104,554688","86,500355"
"0,062","364,040128","-4,315681","-9,551855","361,992543","25,759615","-19,73512",,"67,765743","108,871567","67,840791","119,562027","62,493253","107,444247","105,054688","87,000355"
"0,063","362,040128","-3,521933","-8,266373","362,492543","25,928225","-20,598951",,"66,515743","109,871567","66,840791","118,812027","62,743253","106,944247","106,054688","86,750355"
"0,064","363,290128","-3,815355","-9,793849","361,992543","25,55519","-18,842836",,"67,265743","108,871567","68,090791","119,062027","62,743253","107,694247","104,554688","87,000355"
"0,065","363,790128","-4,623767","-8,892514","360,242543","25,782042","-19,606835",,"67,765743","109,121567","67,090791","119,812027","62,243253","106,944247","104,554688","86,500355"
"0,066","364,540128","-4,715752","-7,766658","362,492543","25,519941","-21,044478",,"68,765743","109,121567","67,340791","119,312027","61,993253","107,444247","105,054688","88,000355"
"0,067","363,040128","-4,531403","-9,133312","363,242543","25,976551","-19,88951",,"67,765743","108,621567","67,340791","119,312027","62,743253","107,694247","105,804688","87,000355"
"0,068","365,290128","-4,402202","-9,298112","361,992543","25,146342","-21,965829",,"68,515743","108,871567","68,340791","119,562027","61,993253","106,694247","105,054688","88,250355"
"0,069","363,540128","-4,118062","-9,12075","362,242543","25,639695","-19,498583",,"67,515743","109,121567","67,590791","119,312027","62,743253","107,444247","105,054688","87,000355"
"0,07","365,290128","-3,591887","-8,413884","363,242543","25,976551","-21,22333",,"68,265743","109,621567","68,590791","118,812027","62,243253","107,444247","106,054688","87,500355"
"0,071","363,790128","-4,013526","-9,780388","363,242543","26,383992","-19,444904",,"67,265743","109,121567","67,840791","119,562027","62,493253","108,194247","105,804688","86,750355"
"0,072","364,790128","-3,596811","-8,868136","361,992543","25,964039","-20,627404",,"67,515743","109,871567","68,090791","119,312027","61,993253","107,444247","105,304688","87,250355"
