ForceDecks Raw Data Export,2.0
Weight,"73,7"
Frequency,1000
Recording Date,2024-11-07T12:18:13
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:18:18
AthleteId,41ba8072-563b-40cb-ad8f-6bd1ec855a29

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"408,790128","41,502761","-70,729469","319,992543","9,946445","-68,253048",,"27,015743","132,621567","129,090791","120,062027","54,243253","71,944247","98,804688","95,000355"
"0,001","407,790128","41,604536","-73,279137","321,992543","10,574122","-67,829106",,"26,265743","131,371567","129,840791","120,312027","54,243253","72,944247","99,554688","95,250355"
"0,002","409,290128","41,813662","-72,221406","320,242543","9,592068","-67,947613",,"26,265743","132,621567","129,840791","120,562027","54,993253","71,444247","99,054688","94,750355"
"0,003","408,790128","42,226849","-73,099878","320,492543","9,469139","-68,146566",,"26,265743","131,871567","130,840791","119,812027","54,743253","71,694247","98,804688","95,250355"
"0,004","410,040128","41,466476","-71,104647","321,742543","9,777347","-70,642558",,"27,015743","132,871567","129,590791","120,562027","54,243253","71,444247","100,054688","96,000355"
"0,005","412,040128","41,265202","-72,327321","322,992543","9,624954","-67,119092",,"27,265743","132,621567","130,840791","121,312027","55,493253","72,444247","99,554688","95,500355"
"0,006","408,540128","42,524388","-72,946956","321,992543","8,73557","-69,333799",,"25,515743","132,621567","130,340791","120,062027","54,993253","71,444247","99,054688","96,500355"
"0,007","409,290128","41,632861","-73,010578","322,992543","10,770491","-68,619127",,"26,015743","132,371567","129,840791","121,062027","53,993253","73,194247","100,054688","95,750355"
"0,008","408,540128","42,524388","-72,156336","321,992543","9,654846","-69,333799",,"26,265743","132,371567","130,590791","119,312027","54,493253","71,944247","99,554688","96,000355"
"0,009","406,790128","42,434459","-71,871234","322,742543","9,517767","-66,920884",,"25,765743","132,371567","129,340791","119,312027","54,993253","72,944247","98,804688","96,000355"
"0,01","409,540128","41,15572","-72,374492","322,992543","9,395847","-66,619081",,"26,765743","132,121567","129,590791","121,062027","55,493253","72,694247","99,054688","95,750355"
"0,011","410,790128","41,300698","-70,778256","323,742543","9,716945","-68,709587",,"27,515743","132,871567","129,840791","120,562027","54,743253","72,694247","99,804688","96,500355"
