ForceDecks Raw Data Export,2.0
Weight,"73,9"
Frequency,1000
Recording Date,2024-11-07T12:17:34
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:17:45
AthleteId,41ba8072-563b-40cb-ad8f-6bd1ec855a29

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-1,709872",0,0,"700,742543","-57,816115","-67,697069",,"-10,234257","8,871567","-9,159209","8,812027","200,493253","76,444247","137,054688","286,750355"
"0,001","-1,209872",0,0,"703,242543","-57,821035","-67,91571",,"-10,484257","8,621567","-9,159209","9,812027","200,993253","76,694247","137,554688","288,000355"
"0,002","0,790128",0,0,"703,742543","-57,885106","-67,637969",,"-9,734257","9,121567","-8,659209","10,062027","201,493253","76,694247","137,554688","288,000355"
"0,003","2,040128",0,0,"704,492543","-57,981042","-68,597555",,"-9,234257","10,371567","-8,909209","9,812027","200,993253","76,444247","137,804688","289,250355"
"0,004","1,290128",0,0,"705,992543","-57,962668","-69,138076",,"-9,234257","10,371567","-8,659209","8,812027","200,743253","76,694247","138,054688","290,500355"
"0,005","1,790128",0,0,"708,492543","-58,175929","-68,894114",,"-10,234257","10,121567","-8,659209","10,562027","201,993253","76,694247","138,304688","291,500355"
"0,006","1,040128",0,0,"709,992543","-58,3657","-69,658431",,"-8,734257","9,871567","-9,409209","9,312027","201,743253","76,694247","138,304688","293,250355"
"0,007","0,040128",0,0,"710,992543","-58,17953","-70,014752",,"-10,234257","10,621567","-9,659209","9,312027","201,993253","76,444247","139,304688","293,250355"
"0,008","1,790128",0,0,"710,992543","-58,699929","-70,469046",,"-8,484257","10,371567","-8,659209","8,562027","202,993253","74,944247","139,554688","293,500355"
"0,009","1,540128",0,0,"711,992543","-58,305683","-69,689587",,"-9,984257","9,621567","-8,159209","10,062027","202,743253","76,444247","139,304688","293,500355"
"0,01","1,290128",0,0,"712,992543","-58,431483","-70,497885",,"-9,734257","10,371567","-9,409209","10,062027","202,743253","75,944247","139,804688","294,500355"
"0,011","-0,459872",0,0,"714,492543","-58,619522","-70,349882",,"-9,484257","9,621567","-10,159209","9,562027","202,743253","76,694247","139,054688","296,000355"
"0,012","0,040128",0,0,"716,492543","-58,662455","-70,604317",,"-9,984257","9,371567","-9,409209","10,062027","203,993253","75,944247","140,304688","296,250355"
"0,013","-0,709872",0,0,"717,992543","-58,436835","-71,806409",,"-10,484257","9,871567","-9,909209","9,812027","203,243253","75,944247","141,304688","297,500355"
"0,014","1,790128",0,0,"718,492543","-58,190182","-71,756439",,"-9,984257","10,121567","-8,909209","10,562027","202,993253","76,444247","141,554688","297,500355"
"0,015","0,290128",0,0,"717,242543","-58,755873","-71,093407",,"-9,734257","9,621567","-9,659209","10,062027","203,743253","75,944247","140,304688","297,250355"
"0,016","1,540128",0,0,"720,242543","-58,408396","-72,142665",,"-9,734257","9,621567","-8,909209","10,562027","203,493253","76,194247","141,804688","298,750355"
