ForceDecks Raw Data Export,2.0
Weight,86
Frequency,1000
Recording Date,2024-10-10T12:31:30
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T12:31:33
AthleteId,e3b9d21b-a351-45ec-b2cf-a6b18814c4b0

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"357,865496","13,602508","-19,027888","479,574832","-28,994103","-4,227932",,"66,582291","101,809552","93,568696","95,904957","145,192372","91,456328","101,355269","141,570861"
"0,001","359,865496","13,115645","-18,922138","479,574832","-29,457013","-4,227932",,"67,082291","102,309552","93,568696","96,904957","145,692372","90,956328","101,105269","141,820861"
"0,002","360,115496","13,003795","-19,581702","480,074832","-28,809763","-3,550717",,"67,332291","101,809552","94,068696","96,904957","145,442372","91,956328","101,355269","141,320861"
"0,003","358,615496","13,264536","-19,213265","480,824832","-28,841776","-2,369595",,"67,082291","101,559552","93,818696","96,154957","146,442372","92,206328","101,355269","140,820861"
"0,004","359,615496","13,021875","-20,50711","480,324832","-28,563675","-3,716985",,"66,332291","102,059552","93,568696","97,654957","145,192372","92,206328","101,605269","141,320861"
"0,005","359,115496","12,627882","-19,63623","480,074832","-28,65562","-3,887123",,"66,832291","101,809552","93,068696","97,404957","144,692372","92,456328","101,105269","141,820861"
"0,006","359,865496","13,732542","-20,268474","479,324832","-28,468882","-4,735536",,"66,082291","102,559552","94,068696","97,154957","143,942372","92,206328","101,355269","141,820861"
"0,007","357,115496","13,734683","-21,55514","480,074832","-29,118048","-4,223529",,"65,832291","100,809552","94,318696","96,154957","145,442372","91,456328","101,355269","141,820861"
"0,008","359,865496","13,115645","-20,717253","479,824832","-29,056108","-3,384277",,"66,582291","101,809552","94,068696","97,404957","145,692372","91,706328","101,105269","141,320861"
"0,009","359,615496","13,021875","-19,608928","480,074832","-29,426334","-4,223529",,"67,082291","101,809552","93,818696","96,904957","145,942372","90,956328","101,355269","141,820861"
"0,01","359,115496","12,42182","-20,985378","479,824832","-28,901885","-4,39402",,"66,832291","101,059552","93,568696","97,654957","144,942372","91,706328","101,355269","141,820861"
"0,011","359,865496","12,910013","-20,717253","478,324832","-29,147226","-2,719616",,"66,582291","101,809552","93,818696","97,654957","145,192372","91,956328","100,105269","141,070861"
"0,012","360,365496","13,097447","-19,792196","478,824832","-29,271335","-3,05406",,"67,082291","102,059552","94,068696","97,154957","145,192372","91,956328","100,105269","141,570861"
"0,013","360,615496","12,985765","-20,002397","479,824832","-28,439216","-2,037952",,"67,332291","101,809552","94,318696","97,154957","145,192372","93,206328","100,605269","140,820861"
"0,014","361,115496","13,787467","-20,869153","479,824832","-28,747662","-4,057439",,"66,332291","102,559552","94,818696","97,404957","144,942372","91,956328","101,355269","141,570861"
"0,015","360,365496","13,302795","-20,688508","479,574832","-28,994103","-3,891176",,"66,332291","102,309552","94,068696","97,654957","144,942372","91,956328","100,855269","141,820861"
"0,016","360,365496","12,8921","-20,688508","478,324832","-29,301933","-3,39489",,"66,832291","101,809552","94,068696","97,654957","144,942372","91,706328","100,105269","141,570861"
"0,017","361,115496","12,762865","-20,421927","478,324832","-28,99252","-3,057253",,"67,332291","101,809552","94,318696","97,654957","144,942372","91,956328","100,355269","141,070861"
"0,018","360,865496","13,0793","-19,317237","477,574832","-28,650677","-4,245638",,"67,082291","102,559552","93,818696","97,404957","143,942372","91,706328","100,855269","141,070861"
