ForceDecks Raw Data Export,2.0
Weight,"85,8"
Frequency,1000
Recording Date,2024-10-10T12:33:04
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T12:33:08
AthleteId,e3b9d21b-a351-45ec-b2cf-a6b18814c4b0

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"601,115496","39,674353","-9,581644","242,824832","-29,988046","20,581256",,"92,832291","198,809552","182,318696","127,154957","77,192372","51,956328","44,855269","68,820861"
"0,001","602,115496","39,608461","-9,297509","243,324832","-29,318184","20,538964",,"92,832291","199,559552","182,068696","127,654957","77,192372","52,206328","45,355269","68,570861"
"0,002","601,865496","40,055242","-9,435537","243,574832","-30,351421","21,512444",,"92,582291","199,559552","182,818696","126,904957","77,442372","52,456328","44,355269","69,320861"
"0,003","599,615496","40,267252","-8,797595","244,074832","-29,986058","18,159964",,"92,332291","199,309552","182,068696","125,904957","76,942372","51,956328","45,355269","69,820861"
"0,004","599,365496","40,222316","-8,935991","244,324832","-29,803938","21,115905",,"91,582291","199,809552","181,318696","126,654957","77,942372","52,206328","45,355269","68,820861"
"0,005","599,615496","39,897015","-8,528256","244,324832","-30,712565","21,115905",,"92,332291","199,559552","181,068696","126,654957","77,942372","52,206328","44,605269","69,570861"
"0,006","599,115496","40,053827","-9,074501","243,824832","-30,472049","21,159207",,"92,082291","199,059552","181,568696","126,404957","77,942372","51,956328","44,855269","69,070861"
"0,007","599,865496","40,065429","-8,928542","245,074832","-30,467601","19,403829",,"92,582291","199,059552","182,068696","126,154957","77,942372","51,956328","45,355269","69,820861"
"0,008","597,865496","39,704362","-7,337644","242,824832","-30,597539","19,251079",,"93,082291","199,059552","180,068696","125,654957","77,442372","51,206328","45,105269","69,070861"
"0,009","599,365496","40,222316","-8,935991","244,574832","-30,227322","21,424486",,"92,332291","199,059552","182,068696","125,904957","77,692372","52,706328","44,605269","69,570861"
"0,01","596,865496","39,646903","-8,432259","245,324832","-30,587373","19,71321",,"92,582291","198,059552","180,318696","125,904957","78,442372","51,706328","45,605269","69,570861"
"0,011","597,115496","39,940126","-8,834429","247,074832","-30,819983","20,554056",,"92,082291","198,309552","180,818696","125,904957","78,692372","52,706328","45,105269","70,570861"
"0,012","597,115496","39,692268","-7,752561","246,324832","-30,763614","22,911373",,"92,832291","198,559552","180,068696","125,654957","78,692372","53,206328","44,355269","70,070861"
"0,013","596,115496","40,007127","-8,849249","245,824832","-29,923105","21,64403",,"91,582291","198,309552","180,318696","125,904957","77,942372","53,206328","44,855269","69,820861"
"0,014","595,365496","40,119672","-8,182242","244,074832","-30,895616","20,806693",,"91,832291","198,309552","180,068696","125,154957","77,942372","51,956328","44,605269","69,570861"
"0,015","595,865496","40,086007","-7,904342","246,574832","-30,282256","19,940762",,"92,082291","198,559552","180,068696","125,154957","78,442372","52,456328","45,605269","70,070861"
"0,016","595,365496","39,746791","-8,724766","248,324832","-29,919852","21,42613",,"91,582291","198,059552","179,568696","126,154957","79,192372","53,206328","45,855269","70,070861"
"0,017","595,865496","40,334385","-7,904342","247,824832","-30,876011","19,514348",,"91,582291","199,059552","180,068696","125,154957","78,442372","52,956328","45,105269","71,320861"
"0,018","595,115496","40,074352","-8,321367","246,074832","-31,245951","20,637584",,"91,582291","198,309552","179,818696","125,404957","78,692372","52,206328","44,855269","70,320861"
"0,019","594,115496","40,141805","-8,063541","247,824832","-29,681619","20,817688",,"91,582291","198,059552","179,568696","124,904957","78,692372","53,206328","45,855269","70,070861"
"0,02","592,615496","39,743929","-8,356471","248,824832","-30,157127","19,435922",,"91,582291","197,059552","178,818696","125,154957","79,192372","52,706328","46,355269","70,570861"
"0,021","594,865496","39,7802","-7,917629","247,074832","-31,418992","21,207705",,"92,332291","197,809552","179,568696","125,154957","79,692372","51,956328","45,355269","70,070861"
"0,022","592,115496","39,77749","-8,090777","248,824832","-30,751923","17,488769",,"91,832291","196,809552","178,818696","124,654957","78,692372","52,456328","46,105269","71,570861"
"0,023","593,615496","40,050956","-7,254148","248,574832","-30,634003","21,079729",,"92,082291","198,059552","179,068696","124,404957","79,192372","53,206328","45,355269","70,820861"
"0,024","591,615496","40,311433","-7,278671","249,574832","-29,91825","19,053965",,"91,582291","197,559552","178,818696","123,654957","79,192372","52,956328","46,605269","70,820861"
"0,025","591,365496","39,890505","-7,1452","248,824832","-29,859729","21,383075",,"92,082291","197,059552","178,318696","123,904957","78,692372","53,956328","45,355269","70,820861"
"0,026","593,115496","39,33613","-8,077136","248,824832","-30,454525","21,383075",,"92,082291","197,059552","178,318696","125,654957","79,192372","53,456328","45,355269","70,820861"
"0,027","593,115496","39,58566","-7,260263","248,074832","-30,099152","20,471202",,"92,082291","197,809552","178,068696","125,154957","79,192372","52,706328","46,105269","70,070861"
"0,028","593,615496","40,050956","-7,798271","250,574832","-30,094172","19,622442",,"91,332291","198,309552","178,818696","125,154957","80,192372","52,706328","47,105269","70,570861"
"0,029","592,365496","40,07301","-7,951045","247,574832","-31,056639","23,121858",,"91,332291","197,559552","178,818696","124,654957","79,442372","53,206328","44,605269","70,320861"
"0,03","591,865496","39,981834","-8,230628","248,324832","-30,515845","19,475056",,"91,082291","197,309552","178,568696","124,904957","78,442372","53,206328","45,355269","71,320861"
"0,031","590,115496","40,163101","-8,118198","249,574832","-29,325241","20,995266",,"90,832291","196,809552","178,318696","124,154957","78,942372","53,956328","46,105269","70,570861"
"0,032","589,365496","40,025872","-7,169447","250,574832","-30,980135","20,26696",,"91,832291","196,309552","178,068696","123,154957","80,442372","52,706328","46,355269","71,070861"
"0,033","591,365496","39,890505","-7,691393","249,074832","-29,681209","19,092214",,"91,582291","197,059552","178,318696","124,404957","78,942372","52,956328","46,605269","70,570861"
"0,034","589,115496","40,356888","-8,131978","250,074832","-29,266608","18,370062",,"90,832291","196,309552","178,568696","123,404957","78,942372","53,206328","47,105269","70,820861"
"0,035","588,865496","39,934193","-8,546815","251,074832","-29,739509","19,583365",,"90,332291","196,309552","177,568696","124,654957","79,692372","53,456328","46,855269","71,070861"
"0,036","589,865496","39,615587","-7,163369","251,074832","-30,623707","16,367192",,"91,332291","197,059552","176,818696","124,654957","79,192372","52,706328","46,855269","72,320861"
"0,037","587,115496","39,990203","-7,059385","250,574832","-29,50353","19,622442",,"91,082291","196,059552","176,818696","123,154957","79,192372","53,706328","46,605269","71,070861"
"0,038","588,115496","39,796381","-7,321988","249,324832","-30,393451","17,453697",,"91,582291","195,809552","177,318696","123,404957","78,692372","52,706328","46,355269","71,570861"
"0,039","589,865496","40,117397","-7,437161","251,324832","-29,857146","16,672209",,"91,082291","197,059552","177,818696","123,904957","78,942372","53,206328","47,105269","72,070861"
"0,04","588,865496","40,059858","-7,998303","252,074832","-30,502221","19,505676",,"90,832291","196,309552","177,818696","123,904957","79,942372","53,706328","46,355269","72,070861"
"0,041","588,615496","40,391169","-8,687631","251,574832","-29,974549","17,618575",,"90,082291","196,309552","178,318696","123,904957","79,192372","53,456328","46,855269","72,070861"
"0,042","587,365496","40,288148","-7,468815","251,324832","-29,562706","19,885182",,"90,832291","196,059552","177,568696","122,904957","79,192372","54,206328","46,355269","71,570861"
"0,043","586,365496","39,978253","-8,583255","252,324832","-30,03209","19,166326",,"90,332291","195,059552","177,318696","123,654957","79,692372","53,956328","46,605269","72,070861"
"0,044","587,365496","40,036176","-8,018729","253,074832","-29,796887","19,428601",,"90,332291","196,059552","177,068696","123,904957","80,442372","53,706328","47,355269","71,570861"
"0,045","585,865496","40,26499","-7,763598","251,324832","-29,562706","17,314803",,"90,082291","195,809552","176,818696","123,154957","78,942372","53,456328","47,105269","71,820861"
"0,046","586,615496","39,771994","-7,065402","252,574832","-30,148856","19,467063",,"91,082291","195,809552","176,318696","123,404957","80,442372","53,456328","47,105269","71,570861"
"0,047","584,115496","40,322279","-8,478074","253,074832","-29,796887","18,79045",,"89,582291","194,809552","176,818696","122,904957","79,942372","53,956328","47,105269","72,070861"
"0,048","585,365496","40,299383","-7,77023","252,324832","-30,911909","19,166326",,"90,332291","195,309552","177,068696","122,654957","79,942372","53,706328","46,105269","72,570861"
"0,049","584,115496","40,195592","-8,201588","257,324832","-28,873398","18,793911",,"89,582291","195,059552","176,318696","123,154957","80,942372","55,206328","48,355269","72,820861"
"0,05","585,865496","39,507137","-7,487938","253,574832","-29,154479","20,027185",,"90,832291","195,309552","175,818696","123,904957","79,942372","54,706328","47,105269","71,820861"
"0,051","585,615496","40,218997","-8,18058","251,574832","-30,268696","18,902487",,"90,082291","195,309552","177,068696","123,154957","79,942372","53,206328","46,855269","71,570861"
"0,052","585,365496","39,793716","-7,77023","254,574832","-29,330638","19,314125",,"90,082291","195,559552","175,818696","123,904957","80,442372","54,456328","47,605269","72,070861"
"0,053","584,615496","40,034635","-7,918323","255,074832","-30,433587","18,00997",,"90,082291","195,059552","176,318696","123,154957","80,942372","53,706328","47,605269","72,820861"
"0,054","585,615496","40,218997","-6,801689","255,074832","-29,563254","19,276265",,"90,832291","195,809552","176,568696","122,404957","80,442372","54,706328","47,355269","72,570861"
