ForceDecks Raw Data Export,2.0
Weight,"85,8"
Frequency,1000
Recording Date,2024-10-10T12:33:49
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T12:33:52
AthleteId,e3b9d21b-a351-45ec-b2cf-a6b18814c4b0

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,115496",0,0,"1,324832",0,0,,"5,332291","-4,690448","5,068696","-5,595043","-1,057628","2,206328","-1,894731","2,070861"
"0,001","-0,384504",0,0,"-0,425168",0,0,,"5,082291","-4,690448","3,818696","-4,595043","-2,057628","1,956328","-2,644731","2,320861"
"0,002","-0,884504",0,0,"-0,925168",0,0,,"4,332291","-4,940448","4,818696","-5,095043","-1,807628","1,956328","-2,394731","1,320861"
"0,003","0,365496",0,0,"0,324832",0,0,,"5,582291","-4,940448","5,318696","-5,595043","-2,057628","1,206328","-1,144731","2,320861"
"0,004","-0,134504",0,0,"-0,925168",0,0,,"5,832291","-5,940448","4,568696","-4,595043","-2,557628","2,456328","-2,394731","1,570861"
"0,005","-1,384504",0,0,"1,824832",0,0,,"4,582291","-5,690448","4,568696","-4,845043","-1,057628","1,206328","-1,644731","3,320861"
"0,006","0,365496",0,0,"-0,425168",0,0,,"5,082291","-4,690448","5,318696","-5,345043","-1,307628","1,456328","-2,394731","1,820861"
"0,007","0,865496",0,0,"-0,175168",0,0,,"5,582291","-4,940448","5,568696","-5,345043","-2,057628","1,706328","-1,644731","1,820861"
"0,008","-0,884504",0,0,"0,074832",0,0,,"5,332291","-5,440448","4,318696","-5,095043","-2,057628","2,706328","-2,144731","1,570861"
"0,009","-0,634504",0,0,"0,074832",0,0,,"5,082291","-4,940448","4,818696","-5,595043","-1,807628","1,706328","-2,394731","2,570861"
"0,01","-0,134504",0,0,"-1,175168",0,0,,"5,582291","-5,690448","5,068696","-5,095043","-1,807628","2,206328","-2,644731","1,070861"
"0,011","-0,384504",0,0,"0,574832",0,0,,"5,832291","-4,940448","3,818696","-5,095043","-2,307628","2,706328","-2,394731","2,570861"
"0,012","-1,384504",0,0,"-1,425168",0,0,,"4,832291","-6,190448","5,068696","-5,095043","-1,807628","1,456328","-2,394731","1,320861"
"0,013","0,365496",0,0,"0,324832",0,0,,"5,332291","-5,690448","4,318696","-3,595043","-2,057628","2,706328","-1,644731","1,320861"
"0,014","1,365496",0,0,"-0,675168",0,0,,"5,332291","-4,940448","5,568696","-4,595043","-2,057628","2,206328","-3,144731","2,320861"
"0,015","1,865496",0,0,"-1,175168",0,0,,"5,582291","-4,940448","5,818696","-4,595043","-2,557628","1,706328","-1,644731","1,320861"
"0,016","-0,884504",0,0,"1,324832",0,0,,"4,832291","-4,940448","4,318696","-5,095043","-1,307628","1,956328","-1,644731","2,320861"
"0,017","-0,884504",0,0,"0,074832",0,0,,"5,332291","-5,690448","5,068696","-5,595043","-1,807628","2,956328","-2,394731","1,320861"
"0,018","0,115496",0,0,"1,574832",0,0,,"5,082291","-4,940448","4,568696","-4,595043","-1,307628","2,706328","-1,894731","2,070861"
"0,019","-1,134504",0,0,"-1,175168",0,0,,"5,582291","-5,690448","4,568696","-5,595043","-2,057628","1,206328","-2,644731","2,320861"
"0,02","2,365496",0,0,"-1,175168",0,0,,"6,332291","-4,690448","5,318696","-4,595043","-2,307628","1,956328","-3,144731","2,320861"
"0,021","-0,384504",0,0,"-0,675168",0,0,,"4,832291","-4,690448","5,068696","-5,595043","-1,307628","1,706328","-2,394731","1,320861"
"0,022","-1,634504",0,0,"1,074832",0,0,,"4,582291","-5,690448","4,568696","-5,095043","-1,807628","2,706328","-3,144731","3,320861"
"0,023","-0,134504",0,0,"-0,425168",0,0,,"4,582291","-4,940448","5,068696","-4,845043","-1,307628","1,706328","-2,894731","2,070861"
"0,024","-0,384504",0,0,"0,574832",0,0,,"5,332291","-5,690448","5,068696","-5,095043","-2,057628","2,206328","-1,644731","2,070861"
"0,025","0,865496",0,0,"0,074832",0,0,,"5,332291","-5,440448","5,318696","-4,345043","-2,057628","1,956328","-1,894731","2,070861"
"0,026","-1,134504",0,0,"0,074832",0,0,,"4,582291","-5,690448","5,068696","-5,095043","-1,557628","1,956328","-1,894731","1,570861"
"0,027","-1,384504",0,0,"-0,925168",0,0,,"4,832291","-5,690448","4,318696","-4,845043","-2,057628","1,956328","-2,394731","1,570861"
"0,028","-0,134504",0,0,"-0,425168",0,0,,"5,082291","-4,940448","4,818696","-5,095043","-1,557628","1,706328","-2,644731","2,070861"
"0,029","0,615496",0,0,"-0,175168",0,0,,"4,832291","-4,940448","5,318696","-4,595043","-1,807628","1,706328","-2,394731","2,320861"
"0,03","0,115496",0,0,"-0,175168",0,0,,"5,082291","-4,940448","5,068696","-5,095043","-1,807628","2,456328","-1,644731","0,820861"
"0,031","-0,884504",0,0,"-0,175168",0,0,,"4,332291","-4,940448","4,818696","-5,095043","-2,557628","2,706328","-2,394731","2,070861"
"0,032","0,115496",0,0,"-0,175168",0,0,,"4,582291","-4,690448","4,818696","-4,595043","-2,557628","2,706328","-1,894731","1,570861"
"0,033","2,115496",0,0,"-1,675168",0,0,,"6,082291","-5,940448","5,818696","-3,845043","-2,307628","1,706328","-3,144731","2,070861"
"0,034","-0,384504",0,0,"-0,175168",0,0,,"5,082291","-5,940448","5,818696","-5,345043","-1,557628","1,456328","-2,144731","2,070861"
"0,035","0,365496",0,0,"-0,175168",0,0,,"5,582291","-4,940448","4,568696","-4,845043","-2,307628","2,206328","-2,144731","2,070861"
"0,036","-0,384504",0,0,"0,324832",0,0,,"5,332291","-5,690448","4,818696","-4,845043","-1,807628","2,456328","-1,894731","1,570861"
"0,037","1,365496",0,0,"-0,675168",0,0,,"6,332291","-4,690448","4,318696","-4,595043","-2,557628","1,956328","-2,144731","2,070861"
"0,038","1,365496",0,0,"-0,675168",0,0,,"5,082291","-4,440448","5,318696","-4,595043","-1,557628","1,706328","-2,144731","1,320861"
"0,039","0,615496",0,0,"1,324832",0,0,,"5,332291","-4,690448","5,068696","-5,095043","-1,307628","2,456328","-1,644731","1,820861"
"0,04","0,615496",0,0,"0,074832",0,0,,"4,582291","-5,690448","5,818696","-4,095043","-1,807628","2,206328","-2,644731","2,320861"
"0,041","1,615496",0,0,"0,824832",0,0,,"5,832291","-4,190448","5,068696","-5,095043","-1,557628","1,956328","-1,644731","2,070861"
"0,042","-1,134504",0,0,"0,074832",0,0,,"4,332291","-4,190448","4,568696","-5,845043","-2,307628","1,956328","-1,644731","2,070861"
"0,043","-0,384504",0,0,"-0,675168",0,0,,"5,332291","-5,690448","5,068696","-5,095043","-2,057628","2,206328","-2,144731","1,320861"
"0,044","-0,384504",0,0,"0,324832",0,0,,"5,082291","-5,940448","5,318696","-4,845043","-1,807628","1,706328","-2,394731","2,820861"
"0,045","-0,134504",0,0,"1,074832",0,0,,"5,082291","-4,940448","5,068696","-5,345043","-2,307628","2,456328","-1,644731","2,570861"
"0,046","0,615496",0,0,"0,324832",0,0,,"5,082291","-4,440448","4,818696","-4,845043","-1,307628","1,956328","-2,394731","2,070861"
"0,047","-0,384504",0,0,"0,574832",0,0,,"5,082291","-4,940448","4,818696","-5,345043","-1,307628","2,206328","-2,644731","2,320861"
"0,048","-0,634504",0,0,"1,074832",0,0,,"5,082291","-5,440448","4,818696","-5,095043","-2,057628","2,956328","-1,894731","2,070861"
"0,049","1,865496",0,0,"0,574832",0,0,,"6,082291","-5,440448","6,068696","-4,845043","-1,807628","1,956328","-2,144731","2,570861"
"0,05","-0,384504",0,0,"0,574832",0,0,,"5,082291","-5,440448","4,568696","-4,595043","-1,807628","2,956328","-2,644731","2,070861"
"0,051","0,615496",0,0,"1,824832",0,0,,"4,832291","-4,440448","5,068696","-4,845043","-0,557628","2,706328","-1,644731","1,320861"
"0,052","-0,134504",0,0,"0,574832",0,0,,"4,332291","-5,940448","6,068696","-4,595043","-1,057628","2,206328","-2,394731","1,820861"
"0,053","1,365496",0,0,"-0,925168",0,0,,"5,582291","-4,940448","5,068696","-4,345043","-2,307628","2,456328","-2,394731","1,320861"
"0,054","-1,134504",0,0,"0,324832",0,0,,"4,332291","-5,440448","5,068696","-5,095043","-1,307628","1,706328","-2,144731","2,070861"
"0,055","1,115496",0,0,"2,074832",0,0,,"5,082291","-4,440448","5,568696","-5,095043","-0,307628","2,706328","-2,394731","2,070861"
"0,056","0,115496",0,0,"0,074832",0,0,,"4,832291","-5,190448","4,568696","-4,095043","-1,557628","2,456328","-2,144731","1,320861"
"0,057","-1,884504",0,0,"1,324832",0,0,,"4,332291","-4,940448","4,068696","-5,345043","-1,307628","2,706328","-2,144731","2,070861"
"0,058","0,115496",0,0,"0,324832",0,0,,"4,832291","-4,940448","5,068696","-4,845043","-2,057628","1,706328","-1,394731","2,070861"
"0,059","1,365496",0,0,"-0,425168",0,0,,"5,332291","-3,940448","5,568696","-5,595043","-2,057628","2,456328","-2,394731","1,570861"
"0,06","-0,884504",0,0,"2,074832",0,0,,"5,332291","-4,440448","3,818696","-5,595043","-2,057628","2,456328","-1,644731","3,320861"
"0,061","1,115496",0,0,"0,074832",0,0,,"5,832291","-4,940448","5,568696","-5,345043","-1,057628","2,206328","-2,394731","1,320861"
"0,062","0,365496",0,0,"0,074832",0,0,,"5,332291","-5,440448","5,068696","-4,595043","-1,557628","1,956328","-1,644731","1,320861"
"0,063","-0,134504",0,0,"0,324832",0,0,,"5,332291","-4,940448","4,818696","-5,345043","-1,307628","1,456328","-2,144731","2,320861"
"0,064","-0,384504",0,0,"1,074832",0,0,,"5,082291","-5,440448","5,068696","-5,095043","-1,557628","1,706328","-1,644731","2,570861"
"0,065","-0,634504",0,0,"-0,175168",0,0,,"5,582291","-6,190448","5,318696","-5,345043","-2,807628","2,706328","-2,394731","2,320861"
"0,066","1,615496",0,0,"-0,675168",0,0,,"5,082291","-4,940448","5,318696","-3,845043","-2,307628","1,706328","-2,144731","2,070861"
"0,067","-1,384504",0,0,"0,574832",0,0,,"4,332291","-5,190448","5,318696","-5,845043","-1,057628","2,206328","-2,144731","1,570861"
"0,068","-0,884504",0,0,"1,574832",0,0,,"4,832291","-5,690448","5,068696","-5,095043","-1,557628","2,206328","-2,144731","3,070861"
"0,069","-0,634504",0,0,"-1,675168",0,0,,"4,582291","-4,940448","4,568696","-4,845043","-2,057628","1,706328","-3,144731","1,820861"
"0,07","0,615496",0,0,"0,574832",0,0,,"4,582291","-4,440448","5,068696","-4,595043","-1,057628","2,456328","-2,894731","2,070861"
"0,071","1,365496",0,0,"-0,425168",0,0,,"5,332291","-4,190448","4,568696","-4,345043","-2,307628","2,456328","-2,394731","1,820861"
"0,072","-0,634504",0,0,"1,574832",0,0,,"4,582291","-4,940448","5,068696","-5,345043","-2,057628","2,956328","-1,894731","2,570861"
"0,073","-0,134504",0,0,"2,074832",0,0,,"5,082291","-5,190448","5,818696","-5,845043","-1,057628","2,706328","-1,644731","2,070861"
"0,074","-1,884504",0,0,"1,324832",0,0,,"4,582291","-5,690448","4,818696","-5,595043","-1,307628","1,706328","-1,644731","2,570861"
"0,075","-0,634504",0,0,"1,824832",0,0,,"5,082291","-5,690448","4,318696","-4,345043","-0,807628","1,956328","-1,894731","2,570861"
"0,076","-1,634504",0,0,"0,574832",0,0,,"4,582291","-5,690448","4,568696","-5,095043","-2,057628","1,706328","-1,644731","2,570861"
"0,077","-0,884504",0,0,"-0,425168",0,0,,"4,832291","-5,690448","4,568696","-4,595043","-1,807628","2,456328","-2,394731","1,320861"
"0,078","-0,634504",0,0,"0,324832",0,0,,"4,332291","-4,440448","4,568696","-5,095043","-1,557628","2,706328","-1,394731","0,570861"
"0,079","-1,634504",0,0,"0,074832",0,0,,"4,082291","-5,440448","5,568696","-5,845043","-1,807628","1,956328","-1,394731","1,320861"
"0,08","-0,384504",0,0,"0,574832",0,0,,"5,082291","-5,440448","5,068696","-5,095043","-1,807628","1,706328","-1,894731","2,570861"
"0,081","2,365496",0,0,"-1,675168",0,0,,"6,332291","-4,690448","5,818696","-5,095043","-2,807628","1,456328","-2,394731","2,070861"
"0,082","-1,384504",0,0,"-0,925168",0,0,,"5,832291","-5,690448","4,318696","-5,845043","-2,057628","1,956328","-2,394731","1,570861"
"0,083","-0,134504",0,0,"-0,675168",0,0,,"5,082291","-5,690448","4,818696","-4,345043","-2,057628","1,956328","-2,394731","1,820861"
"0,084","1,365496",0,0,"-0,425168",0,0,,"5,832291","-5,440448","5,568696","-4,595043","-2,057628","2,456328","-2,144731","1,320861"
"0,085","0,615496",0,0,"1,074832",0,0,,"5,832291","-4,440448","5,068696","-5,845043","-1,307628","1,706328","-1,894731","2,570861"
"0,086","-1,884504",0,0,"1,574832",0,0,,"4,332291","-5,690448","4,568696","-5,095043","-1,557628","2,456328","-1,644731","2,320861"
"0,087","-0,634504",0,0,"-0,425168",0,0,,"5,082291","-5,440448","4,818696","-5,095043","-2,057628","2,706328","-3,144731","2,070861"
"0,088","0,615496",0,0,"1,074832",0,0,,"5,082291","-4,440448","5,068696","-5,095043","-0,807628","1,456328","-2,394731","2,820861"
"0,089","0,365496",0,0,"0,074832",0,0,,"5,582291","-5,690448","4,318696","-3,845043","-2,057628","2,706328","-2,394731","1,820861"
"0,09","1,115496",0,0,"-0,675168",0,0,,"5,832291","-4,940448","5,318696","-5,095043","-2,807628","1,956328","-2,394731","2,570861"
"0,091","0,365496",0,0,"0,324832",0,0,,"5,082291","-4,940448","5,818696","-5,595043","-2,057628","1,706328","-1,644731","2,320861"
"0,092","-1,384504",0,0,"0,824832",0,0,,"5,332291","-5,440448","5,318696","-6,595043","-2,057628","2,206328","-1,394731","2,070861"
"0,093","0,865496",0,0,"-0,175168",0,0,,"5,832291","-5,190448","5,568696","-5,345043","-2,307628","1,456328","-2,144731","2,820861"
"0,094","1,115496",0,0,"2,324832",0,0,,"6,082291","-4,690448","4,818696","-5,095043","-1,307628","2,706328","-1,644731","2,570861"
"0,095","-0,884504",0,0,"-0,175168",0,0,,"4,832291","-4,940448","4,318696","-5,095043","-2,057628","2,956328","-3,144731","2,070861"
"0,096","-0,634504",0,0,"-0,425168",0,0,,"5,082291","-5,690448","5,068696","-5,095043","-2,057628","2,206328","-2,644731","2,070861"
"0,097","0,615496",0,0,"-0,675168",0,0,,"5,332291","-5,690448","6,068696","-5,095043","-2,057628","2,206328","-2,394731","1,570861"
"0,098","0,615496",0,0,"1,574832",0,0,,"6,332291","-4,690448","4,068696","-5,095043","-1,307628","2,206328","-2,144731","2,820861"
"0,099","1,115496",0,0,"0,074832",0,0,,"5,832291","-4,690448","5,068696","-5,095043","-2,307628","2,456328","-2,144731","2,070861"
"0,1","-0,384504",0,0,"-0,425168",0,0,,"5,332291","-5,440448","4,318696","-4,595043","-2,057628","2,456328","-2,644731","1,820861"
"0,101","-1,134504",0,0,"1,324832",0,0,,"4,582291","-5,690448","5,068696","-5,095043","-1,307628","2,206328","-1,394731","1,820861"
"0,102","1,865496",0,0,"-0,675168",0,0,,"6,332291","-5,190448","5,318696","-4,595043","-2,057628","1,956328","-2,144731","1,570861"
"0,103","0,115496",0,0,"1,074832",0,0,,"5,082291","-4,940448","4,318696","-4,345043","-1,557628","2,456328","-2,394731","2,570861"
