ForceDecks Raw Data Export,2.0
Weight,"85,8"
Frequency,1000
Recording Date,2024-10-10T12:35:59
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T16:02:55
AthleteId,e3b9d21b-a351-45ec-b2cf-a6b18814c4b0

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-0,384504",0,0,"1,074832",0,0,,"8,832291","-8,940448","7,818696","-8,095043","1,692372","-1,043672","0,855269","-0,429139"
"0,001","-0,134504",0,0,"1,074832",0,0,,"8,332291","-8,190448","7,818696","-8,095043","0,942372","-0,293672","1,605269","-1,179139"
"0,002","2,865496",0,0,"-0,675168",0,0,,"9,832291","-7,440448","8,318696","-7,845043","0,192372","-0,293672","0,105269","-0,679139"
"0,003","-1,134504",0,0,"-1,175168",0,0,,"8,582291","-8,940448","8,318696","-9,095043","0,692372","-0,793672","-0,394731","-0,679139"
"0,004","0,865496",0,0,"0,324832",0,0,,"8,832291","-7,690448","7,818696","-8,095043","1,942372","-1,043672","0,105269","-0,679139"
"0,005","0,115496",0,0,"0,324832",0,0,,"8,832291","-8,190448","8,318696","-8,845043","1,692372","-0,293672","0,605269","-1,679139"
"0,006","0,365496",0,0,"-0,425168",0,0,,"8,582291","-8,190448","9,068696","-9,095043","1,692372","-1,293672","-0,144731","-0,679139"
"0,007","0,115496",0,0,"-0,925168",0,0,,"8,332291","-8,440448","8,818696","-8,595043","-0,057628","-0,293672","-0,144731","-0,429139"
"0,008","0,365496",0,0,"-1,175168",0,0,,"8,832291","-8,940448","8,068696","-7,595043","0,442372","-1,293672","-0,394731","0,070861"
"0,009","0,615496",0,0,"1,074832",0,0,,"9,082291","-8,190448","7,818696","-8,095043","1,192372","-0,293672","0,855269","-0,679139"
"0,01","1,365496",0,0,"-0,175168",0,0,,"9,082291","-7,440448","8,318696","-8,595043","1,192372","-0,543672","0,105269","-0,929139"
"0,011","0,115496",0,0,"-1,675168",0,0,,"8,332291","-8,940448","8,818696","-8,095043","-0,057628","-0,543672","0,105269","-1,179139"
"0,012","1,115496",0,0,"-0,675168",0,0,,"9,832291","-8,940448","8,318696","-8,095043","1,442372","-1,543672","1,105269","-1,679139"
"0,013","1,115496",0,0,"-0,925168",0,0,,"8,332291","-7,940448","8,568696","-7,845043","0,442372","-0,793672","0,105269","-0,679139"
"0,014","-0,884504",0,0,"-0,175168",0,0,,"8,582291","-9,190448","8,318696","-8,595043","0,942372","-0,543672","0,605269","-1,179139"
"0,015","-0,384504",0,0,"1,324832",0,0,,"8,082291","-8,190448","9,068696","-9,345043","0,942372","-0,793672","1,105269","0,070861"
"0,016","0,615496",0,0,"0,324832",0,0,,"9,082291","-7,690448","8,068696","-8,845043","0,942372","-0,793672","1,355269","-1,179139"
"0,017","-0,634504",0,0,"-0,675168",0,0,,"8,082291","-7,690448","7,568696","-8,595043","1,192372","-0,293672","-0,394731","-1,179139"
"0,018","0,865496",0,0,"0,324832",0,0,,"8,582291","-7,940448","8,818696","-8,595043","1,192372","-0,293672","0,105269","-0,679139"
"0,019","-0,134504",0,0,"2,324832",0,0,,"8,832291","-8,940448","8,318696","-8,345043","1,942372","-0,543672","1,605269","-0,679139"
"0,02","0,115496",0,0,"-0,425168",0,0,,"8,582291","-8,940448","9,068696","-8,595043","0,942372","-0,293672","-0,144731","-0,929139"
"0,021","1,115496",0,0,"1,074832",0,0,,"8,332291","-8,190448","9,068696","-8,095043","2,192372","-0,793672","0,355269","-0,679139"
"0,022","1,115496",0,0,"0,574832",0,0,,"9,082291","-7,690448","8,068696","-8,345043","1,192372","-0,793672","0,855269","-0,679139"
"0,023","0,115496",0,0,"-0,175168",0,0,,"9,082291","-8,440448","8,068696","-8,595043","-0,307628","-0,293672","1,105269","-0,679139"
"0,024","0,865496",0,0,"-0,425168",0,0,,"8,082291","-8,190448","8,568696","-7,595043","1,192372","-1,543672","0,605269","-0,679139"
"0,025","0,865496",0,0,"-1,175168",0,0,,"9,082291","-7,690448","7,818696","-8,345043","0,942372","-0,793672","-0,144731","-1,179139"
"0,026","1,115496",0,0,"-0,425168",0,0,,"8,832291","-7,690448","8,568696","-8,595043","1,692372","-0,793672","-0,394731","-0,929139"
"0,027","-0,134504",0,0,"-0,675168",0,0,,"8,832291","-7,690448","7,818696","-9,095043","0,442372","-0,793672","0,855269","-1,179139"
"0,028","0,615496",0,0,"-0,925168",0,0,,"8,832291","-8,690448","8,068696","-7,595043","0,442372","-0,793672","0,605269","-1,179139"
"0,029","2,115496",0,0,"2,574832",0,0,,"9,082291","-7,940448","8,818696","-7,845043","1,192372","0,206328","1,355269","-0,179139"
"0,03","-0,134504",0,0,"1,074832",0,0,,"8,332291","-8,190448","8,568696","-8,845043","0,442372","0,206328","1,355269","-0,929139"
"0,031","0,865496",0,0,"-0,175168",0,0,,"9,082291","-8,690448","9,068696","-8,595043","0,942372","-0,293672","0,855269","-1,679139"
"0,032","1,115496",0,0,"-0,425168",0,0,,"9,082291","-8,440448","9,068696","-8,595043","0,942372","-0,793672","0,605269","-1,179139"
"0,033","0,615496",0,0,"1,074832",0,0,,"7,832291","-8,190448","9,568696","-8,595043","0,942372","-0,543672","1,105269","-0,429139"
"0,034","0,615496",0,0,"-0,175168",0,0,,"8,332291","-8,440448","9,068696","-8,345043","1,942372","-1,543672","0,105269","-0,679139"
"0,035","-1,384504",0,0,"0,074832",0,0,,"8,582291","-9,190448","8,318696","-9,095043","0,942372","-1,793672","0,855269","0,070861"
"0,036","0,115496",0,0,"2,074832",0,0,,"8,332291","-7,690448","8,818696","-9,345043","1,192372","-0,043672","1,605269","-0,679139"
"0,037","-0,384504",0,0,"0,574832",0,0,,"9,082291","-8,940448","8,318696","-8,845043","0,942372","-0,293672","1,105269","-1,179139"
"0,038","1,115496",0,0,"-0,925168",0,0,,"9,082291","-7,690448","8,318696","-8,595043","0,692372","-1,043672","-0,394731","-0,179139"
"0,039","-1,134504",0,0,"0,824832",0,0,,"8,832291","-8,940448","8,068696","-9,095043","1,692372","-0,793672","1,355269","-1,429139"
"0,04","0,615496",0,0,"-0,425168",0,0,,"8,332291","-8,690448","9,068696","-8,095043","1,192372","-1,543672","1,355269","-1,429139"
"0,041","-0,134504",0,0,"-0,925168",0,0,,"8,082291","-8,940448","8,818696","-8,095043","0,692372","-1,043672","0,605269","-1,179139"
"0,042","-0,384504",0,0,"-0,675168",0,0,,"9,082291","-9,440448","9,068696","-9,095043","0,442372","-0,293672","0,355269","-1,179139"
"0,043","-0,884504",0,0,"0,324832",0,0,,"7,832291","-8,190448","8,568696","-9,095043","0,692372","-0,293672","1,105269","-1,179139"
"0,044","-0,384504",0,0,"0,324832",0,0,,"8,832291","-8,940448","8,318696","-8,595043","0,442372","-0,293672","0,605269","-0,429139"
"0,045","1,365496",0,0,"0,824832",0,0,,"8,832291","-8,190448","9,568696","-8,845043","1,192372","-0,793672","1,355269","-0,929139"
"0,046","-0,634504",0,0,"-0,175168",0,0,,"8,332291","-8,940448","8,568696","-8,595043","0,442372","-0,543672","0,855269","-0,929139"
"0,047","0,615496",0,0,"-1,925168",0,0,,"9,082291","-8,690448","8,068696","-7,845043","0,442372","-0,293672","-0,394731","-1,679139"
"0,048","0,115496",0,0,"0,324832",0,0,,"8,832291","-8,190448","8,568696","-9,095043","1,192372","-0,293672","0,605269","-1,179139"
"0,049","1,865496",0,0,"-0,175168",0,0,,"9,082291","-8,940448","9,068696","-7,345043","0,942372","-1,293672","0,855269","-0,679139"
"0,05","0,615496",0,0,"1,074832",0,0,,"8,582291","-8,690448","9,068696","-8,345043","0,692372","-0,293672","1,355269","-0,679139"
"0,051","1,615496",0,0,"-0,675168",0,0,,"9,832291","-8,690448","8,318696","-7,845043","0,942372","-0,543672","0,105269","-1,179139"
"0,052","0,865496",0,0,"0,574832",0,0,,"9,582291","-8,440448","8,818696","-9,095043","1,692372","-0,793672","0,605269","-0,929139"
"0,053","1,365496",0,0,"0,574832",0,0,,"9,082291","-8,440448","9,068696","-8,345043","0,442372","-0,293672","1,355269","-0,929139"
"0,054","-0,634504",0,0,"-0,425168",0,0,,"9,332291","-9,440448","8,068696","-8,595043","1,442372","-1,543672","0,355269","-0,679139"
"0,055","-1,634504",0,0,"3,074832",0,0,,"7,582291","-8,940448","8,818696","-9,095043","1,942372","0,456328","0,855269","-0,179139"
"0,056","-0,884504",0,0,"0,574832",0,0,,"8,082291","-8,190448","8,318696","-9,095043","1,192372","-1,293672","1,355269","-0,679139"
"0,057","-0,884504",0,0,"-0,425168",0,0,,"8,332291","-8,940448","8,818696","-9,095043","1,192372","-1,293672","0,355269","-0,679139"
"0,058","0,865496",0,0,"-1,675168",0,0,,"8,332291","-7,940448","9,068696","-8,595043","0,692372","-1,543672","0,105269","-0,929139"
"0,059","-0,134504",0,0,"-0,175168",0,0,,"8,082291","-8,940448","8,568696","-7,845043","1,942372","-1,043672","0,855269","-1,929139"
"0,06","1,615496",0,0,"0,574832",0,0,,"9,082291","-8,190448","9,318696","-8,595043","1,192372","-0,293672","0,855269","-1,179139"
"0,061","-0,884504",0,0,"0,074832",0,0,,"8,332291","-8,690448","9,068696","-9,595043","0,692372","-0,293672","0,855269","-1,179139"
"0,062","-0,134504",0,0,"-0,425168",0,0,,"9,082291","-8,940448","8,818696","-9,095043","-0,057628","-0,543672","1,105269","-0,929139"
"0,063","2,865496",0,0,"2,824832",0,0,,"8,832291","-7,190448","9,568696","-8,345043","1,942372","-0,043672","0,855269","0,070861"
"0,064","0,365496",0,0,"1,074832",0,0,,"8,582291","-9,190448","9,818696","-8,845043","0,942372","0,206328","0,855269","-0,929139"
"0,065","1,615496",0,0,"0,574832",0,0,,"9,332291","-8,190448","9,568696","-9,095043","0,442372","-1,043672","1,605269","-0,429139"
"0,066","1,365496",0,0,"0,324832",0,0,,"9,332291","-7,940448","8,818696","-8,845043","0,692372","-0,793672","1,605269","-1,179139"
"0,067","0,615496",0,0,"-2,675168",0,0,,"9,082291","-8,940448","9,318696","-8,845043","0,192372","-1,293672","0,105269","-1,679139"
"0,068","0,365496",0,0,"-2,675168",0,0,,"9,082291","-8,690448","8,568696","-8,595043","0,192372","-1,043672","-0,394731","-1,429139"
"0,069","0,865496",0,0,"-0,425168",0,0,,"8,332291","-8,190448","8,568696","-7,845043","0,942372","-1,043672","0,105269","-0,429139"
"0,07","-0,384504",0,0,"1,074832",0,0,,"8,832291","-8,940448","8,818696","-9,095043","1,692372","-0,793672","1,105269","-0,929139"
"0,071","0,115496",0,0,"-0,425168",0,0,,"8,582291","-9,440448","9,068696","-8,095043","1,192372","-1,293672","0,855269","-1,179139"
"0,072","0,115496",0,0,"-0,175168",0,0,,"8,582291","-9,190448","8,568696","-7,845043","1,192372","-0,543672","0,355269","-1,179139"
