ForceDecks Raw Data Export,2.0
Weight,"85,9"
Frequency,1000
Recording Date,2024-10-10T12:35:16
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T12:35:22
AthleteId,e3b9d21b-a351-45ec-b2cf-a6b18814c4b0

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"2,615496",0,0,"3,324832",0,0,,"2,582291","-0,940448","2,318696","-1,345043","7,192372","-5,793672","6,605269","-4,679139"
"0,001","0,365496",0,0,"1,324832",0,0,,"1,832291","-1,690448","1,818696","-1,595043","7,192372","-5,543672","4,855269","-5,179139"
"0,002","0,115496",0,0,"0,074832",0,0,,"2,082291","-1,440448","1,318696","-1,845043","5,942372","-6,043672","5,355269","-5,179139"
"0,003","1,615496",0,0,"2,074832",0,0,,"1,832291","-0,690448","1,818696","-1,345043","5,442372","-4,043672","6,855269","-6,179139"
"0,004","-0,634504",0,0,"0,824832",0,0,,"1,082291","-1,940448","2,068696","-1,845043","5,942372","-6,043672","6,105269","-5,179139"
"0,005","0,865496",0,0,"1,074832",0,0,,"2,582291","-1,690448","2,568696","-2,595043","7,192372","-5,793672","5,355269","-5,679139"
"0,006","-0,634504",0,0,"0,074832",0,0,,"1,582291","-2,440448","2,818696","-2,595043","5,692372","-5,293672","6,105269","-6,429139"
"0,007","0,865496",0,0,"2,574832",0,0,,"3,332291","-2,690448","2,568696","-2,345043","7,442372","-4,793672","6,105269","-6,179139"
"0,008","0,865496",0,0,"-1,175168",0,0,,"3,082291","-2,940448","3,318696","-2,595043","5,692372","-6,293672","6,105269","-6,679139"
"0,009","-1,134504",0,0,"0,074832",0,0,,"1,832291","-1,690448","1,818696","-3,095043","6,442372","-5,543672","5,355269","-6,179139"
"0,01","1,365496",0,0,"0,074832",0,0,,"2,332291","-1,940448","3,068696","-2,095043","6,192372","-6,043672","5,855269","-5,929139"
"0,011","-0,134504",0,0,"-0,175168",0,0,,"2,082291","-2,440448","2,068696","-1,845043","6,942372","-6,043672","5,355269","-6,429139"
"0,012","-0,134504",0,0,"-1,675168",0,0,,"1,832291","-1,940448","1,568696","-1,595043","6,192372","-6,043672","4,605269","-6,429139"
"0,013","0,865496",0,0,"-0,425168",0,0,,"2,332291","-1,690448","2,568696","-2,345043","5,692372","-6,043672","5,355269","-5,429139"
"0,014","0,115496",0,0,"0,074832",0,0,,"2,582291","-1,690448","2,568696","-3,345043","5,692372","-5,543672","5,605269","-5,679139"
"0,015","-0,384504",0,0,"-0,675168",0,0,,"1,832291","-1,690448","2,568696","-3,095043","4,692372","-5,293672","5,605269","-5,679139"
"0,016","1,115496",0,0,"-1,175168",0,0,,"2,082291","-0,940448","1,818696","-1,845043","5,192372","-6,043672","4,855269","-5,179139"
"0,017","-1,634504",0,0,"1,574832",0,0,,"2,082291","-2,440448","1,818696","-3,095043","6,692372","-5,793672","5,855269","-5,179139"
"0,018","-0,134504",0,0,"-0,175168",0,0,,"2,332291","-2,440448","1,818696","-1,845043","6,192372","-5,543672","4,855269","-5,679139"
"0,019","-1,384504",0,0,"-0,675168",0,0,,"1,582291","-3,190448","2,068696","-1,845043","5,942372","-5,793672","5,605269","-6,429139"
"0,02","0,865496",0,0,"2,324832",0,0,,"2,582291","-2,190448","2,818696","-2,345043","6,442372","-4,793672","6,105269","-5,429139"
"0,021","-1,634504",0,0,"1,324832",0,0,,"2,832291","-2,690448","1,818696","-3,595043","6,192372","-5,043672","5,355269","-5,179139"
"0,022","-0,384504",0,0,"-0,675168",0,0,,"2,082291","-2,190448","2,318696","-2,595043","5,692372","-6,293672","5,605269","-5,679139"
"0,023","0,615496",0,0,"-0,925168",0,0,,"2,582291","-2,440448","3,068696","-2,595043","6,692372","-6,043672","4,855269","-6,429139"
"0,024","-0,884504",0,0,"-1,675168",0,0,,"3,082291","-2,690448","2,068696","-3,345043","4,942372","-5,543672","5,355269","-6,429139"
"0,025","0,865496",0,0,"0,824832",0,0,,"3,082291","-2,190448","2,068696","-2,095043","5,942372","-4,793672","5,355269","-5,679139"
"0,026","-1,384504",0,0,"1,324832",0,0,,"1,832291","-2,440448","1,818696","-2,595043","6,192372","-5,043672","6,105269","-5,929139"
"0,027","0,115496",0,0,"-0,175168",0,0,,"2,582291","-2,190448","2,068696","-2,345043","6,192372","-5,543672","4,855269","-5,679139"
"0,028","0,615496",0,0,"1,074832",0,0,,"2,832291","-2,440448","2,568696","-2,345043","6,192372","-5,543672","5,355269","-4,929139"
"0,029","0,115496",0,0,"0,824832",0,0,,"2,832291","-1,940448","1,818696","-2,595043","5,192372","-4,293672","5,355269","-5,429139"
"0,03","2,365496",0,0,"-0,175168",0,0,,"2,332291","-1,190448","3,068696","-1,845043","6,442372","-6,293672","4,855269","-5,179139"
"0,031","2,865496",0,0,"-0,675168",0,0,,"3,082291","-1,190448","3,068696","-2,095043","5,192372","-5,543672","4,355269","-4,679139"
"0,032","1,365496",0,0,"-0,675168",0,0,,"3,082291","-2,440448","2,568696","-1,845043","4,692372","-5,293672","5,355269","-5,429139"
"0,033","1,115496",0,0,"0,574832",0,0,,"2,332291","-0,940448","2,318696","-2,595043","5,442372","-5,543672","5,355269","-4,679139"
"0,034","-0,134504",0,0,"4,074832",0,0,,"1,832291","-1,690448","2,568696","-2,845043","5,692372","-3,793672","6,605269","-4,429139"
"0,035","1,365496",0,0,"0,324832",0,0,,"1,832291","-1,690448","2,818696","-1,595043","5,192372","-5,293672","5,355269","-4,929139"
"0,036","-0,884504",0,0,"1,574832",0,0,,"1,582291","-2,440448","1,818696","-1,845043","6,192372","-4,543672","4,855269","-4,929139"
"0,037","-1,634504",0,0,"1,074832",0,0,,"1,832291","-2,690448","2,068696","-2,845043","5,942372","-5,293672","5,605269","-5,179139"
"0,038","-0,384504",0,0,"0,824832",0,0,,"2,582291","-2,940448","2,568696","-2,595043","4,942372","-5,543672","5,855269","-4,429139"
"0,039","-0,634504",0,0,"-0,175168",0,0,,"1,582291","-2,440448","2,318696","-2,095043","5,442372","-5,543672","4,355269","-4,429139"
"0,04","0,115496",0,0,"-0,425168",0,0,,"1,332291","-1,940448","3,318696","-2,595043","6,192372","-6,293672","5,355269","-5,679139"
"0,041","-2,134504",0,0,"0,074832",0,0,,"1,082291","-2,440448","1,568696","-2,345043","6,192372","-5,543672","4,605269","-5,179139"
"0,042","-1,384504",0,0,"0,824832",0,0,,"1,832291","-2,190448","1,568696","-2,595043","5,192372","-3,543672","4,355269","-5,179139"
"0,043","-0,884504",0,0,"1,574832",0,0,,"1,082291","-1,690448","1,568696","-1,845043","5,442372","-5,043672","6,105269","-4,929139"
"0,044","2,365496",0,0,"1,074832",0,0,,"3,832291","-2,190448","2,318696","-1,595043","6,192372","-5,543672","5,105269","-4,679139"
"0,045","-0,384504",0,0,"-0,175168",0,0,,"1,832291","-1,690448","1,818696","-2,345043","4,442372","-5,793672","5,855269","-4,679139"
"0,046","2,365496",0,0,"1,574832",0,0,,"2,082291","-0,940448","2,568696","-1,345043","5,442372","-5,293672","5,355269","-3,929139"
"0,047","0,365496",0,0,"-0,925168",0,0,,"2,082291","-2,440448","2,318696","-1,595043","4,692372","-5,293672","5,355269","-5,679139"
"0,048","0,365496",0,0,"0,824832",0,0,,"1,832291","-2,190448","2,568696","-1,845043","5,442372","-5,543672","5,855269","-4,929139"
"0,049","1,615496",0,0,"1,074832",0,0,,"3,082291","-1,190448","2,318696","-2,595043","6,192372","-4,793672","4,105269","-4,429139"
"0,05","0,865496",0,0,"-1,175168",0,0,,"2,332291","-1,190448","1,818696","-2,095043","4,942372","-5,543672","4,105269","-4,679139"
"0,051","0,615496",0,0,"-0,675168",0,0,,"1,832291","-1,690448","2,068696","-1,595043","5,442372","-5,543672","4,605269","-5,179139"
"0,052","1,615496",0,0,"0,824832",0,0,,"2,082291","-0,940448","2,568696","-2,095043","5,692372","-5,043672","5,355269","-5,179139"
"0,053","0,615496",0,0,"0,574832",0,0,,"2,582291","-3,190448","2,568696","-1,345043","5,942372","-4,543672","4,855269","-5,679139"
"0,054","1,115496",0,0,"-0,675168",0,0,,"2,832291","-1,440448","1,568696","-1,845043","5,192372","-5,043672","4,605269","-5,429139"
"0,055","-0,134504",0,0,"0,324832",0,0,,"1,832291","-2,690448","2,568696","-1,845043","4,692372","-4,293672","4,355269","-4,429139"
"0,056","-1,634504",0,0,"-0,175168",0,0,,"2,332291","-2,690448","1,068696","-2,345043","5,442372","-5,293672","4,855269","-5,179139"
"0,057","0,615496",0,0,"1,324832",0,0,,"2,582291","-1,940448","2,568696","-2,595043","6,192372","-4,793672","4,855269","-4,929139"
"0,058","-0,634504",0,0,"-0,675168",0,0,,"2,582291","-2,440448","2,318696","-3,095043","5,192372","-5,793672","5,355269","-5,429139"
"0,059","0,615496",0,0,"-0,425168",0,0,,"2,582291","-2,190448","2,068696","-1,845043","5,192372","-4,793672","3,855269","-4,679139"
"0,06","-1,634504",0,0,"1,324832",0,0,,"1,582291","-2,440448","1,818696","-2,595043","5,192372","-5,043672","5,605269","-4,429139"
"0,061","-2,134504",0,0,"1,324832",0,0,,"1,832291","-2,940448","1,568696","-2,595043","5,692372","-4,293672","5,605269","-5,679139"
"0,062","-0,384504",0,0,"0,074832",0,0,,"2,582291","-1,940448","2,068696","-3,095043","4,442372","-4,793672","5,355269","-4,929139"
"0,063","-1,134504",0,0,"1,074832",0,0,,"2,082291","-2,690448","2,068696","-2,595043","5,442372","-4,543672","4,855269","-4,679139"
"0,064","0,865496",0,0,"0,824832",0,0,,"1,832291","-1,690448","2,568696","-1,845043","4,942372","-4,793672","5,105269","-4,429139"
"0,065","1,115496",0,0,"-0,675168",0,0,,"1,832291","-1,690448","2,318696","-1,345043","5,692372","-5,543672","4,105269","-4,929139"
"0,066","-0,634504",0,0,"0,574832",0,0,,"1,832291","-2,690448","2,818696","-2,595043","5,192372","-4,793672","5,355269","-5,179139"
"0,067","-0,884504",0,0,"-0,425168",0,0,,"1,832291","-1,940448","1,068696","-1,845043","4,442372","-5,543672","4,855269","-4,179139"
"0,068","-0,384504",0,0,"0,574832",0,0,,"2,332291","-2,190448","1,568696","-2,095043","5,692372","-5,543672","4,855269","-4,429139"
"0,069","0,615496",0,0,"1,074832",0,0,,"1,582291","-1,690448","2,568696","-1,845043","5,192372","-4,793672","4,855269","-4,179139"
"0,07","-1,384504",0,0,"1,824832",0,0,,"1,832291","-2,440448","2,068696","-2,845043","5,442372","-4,293672","5,105269","-4,429139"
"0,071","1,365496",0,0,"0,324832",0,0,,"1,082291","-0,940448","2,818696","-1,595043","5,692372","-4,793672","4,105269","-4,679139"
"0,072","0,365496",0,0,"-0,425168",0,0,,"1,832291","-1,690448","2,068696","-1,845043","5,192372","-4,793672","5,105269","-5,929139"
"0,073","0,365496",0,0,"-0,425168",0,0,,"2,082291","-1,690448","2,568696","-2,595043","4,692372","-5,543672","4,855269","-4,429139"
"0,074","0,865496",0,0,"0,574832",0,0,,"2,082291","-1,940448","2,568696","-1,845043","5,192372","-4,793672","4,855269","-4,679139"
"0,075","0,865496",0,0,"1,324832",0,0,,"2,582291","-1,690448","2,068696","-2,095043","5,692372","-4,543672","4,855269","-4,679139"
"0,076","-1,134504",0,0,"0,074832",0,0,,"1,332291","-2,440448","1,818696","-1,845043","4,692372","-4,793672","4,855269","-4,679139"
