ForceDecks Raw Data Export,2.0
Weight,"77,3"
Frequency,1000
Recording Date,2024-10-08T10:07:18
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:07:22
AthleteId,79c3ff0b-df20-4d5a-9a5a-c821e5720504

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"370,255619","-12,799192","27,279407","384,346126","8,867788","-9,917567",,"109,306552","91,45648","77,661286","91,831301","101,903396","84,369082","119,318508","78,755141"
"0,001","369,005619","-12,942818","28,465972","384,596126","8,765819","-10,960923",,"109,056552","91,70648","76,661286","91,581301","101,403396","84,369082","119,318508","79,505141"
"0,002","370,255619","-12,999054","26,407037","382,346126","9,107716","-11,659013",,"109,306552","90,95648","77,911286","92,081301","100,153396","84,119082","118,818508","79,255141"
"0,003","369,755619","-12,216103","28,189845","382,846126","9,28911","-11,221946",,"108,806552","92,20648","77,411286","91,331301","100,653396","84,119082","119,318508","78,755141"
"0,004","371,005619","-12,873047","27,441912","382,846126","9,28911","-12,065627",,"109,556552","91,70648","77,661286","92,081301","100,153396","84,119082","119,318508","79,255141"
"0,005","369,505619","-12,52477","28,427453","383,846126","9,26491","-11,19271",,"109,306552","91,70648","77,411286","91,081301","100,903396","84,369082","119,568508","79,005141"
"0,006","370,505619","-12,291238","25,735382","385,096126","8,754437","-11,366067",,"108,556552","91,45648","78,411286","92,081301","100,903396","84,869082","119,068508","80,255141"
"0,007","369,505619","-13,32584","26,679171","384,096126","9,74053","-11,395659",,"109,306552","90,70648","77,411286","92,081301","100,653396","84,619082","120,068508","78,755141"
"0,008","369,255619","-12,633451","26,478551","382,346126","9,301258","-13,348582",,"109,056552","90,70648","78,161286","91,331301","100,153396","83,119082","120,068508","79,005141"
"0,009","369,005619","-12,942818","28,028309","384,596126","8,573409","-10,960923",,"109,306552","91,20648","77,161286","91,331301","101,403396","84,369082","119,068508","79,755141"
