ForceDecks Raw Data Export,2.0
Weight,"77,3"
Frequency,1000
Recording Date,2024-10-08T10:08:37
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:08:42
AthleteId,79c3ff0b-df20-4d5a-9a5a-c821e5720504

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"652,255619","49,120355","-54,090981","99,346126","14,940692","-59,501852",,"85,306552","186,20648","248,161286","132,581301","32,403396","8,119082","46,568508","12,255141"
"0,001","651,505619","49,460859","-54,772968","95,346126","16,34361","-63,691926",,"84,056552","186,45648","248,161286","132,831301","30,903396","7,369082","45,568508","11,505141"
"0,002","652,755619","49,30946","-53,802136","95,096126","16,775656","-57,915382",,"85,056552","186,95648","248,161286","132,581301","31,903396","7,119082","45,818508","10,255141"
"0,003","652,005619","49,649921","-54,23557","94,096126","19,313227","-56,814543",,"84,556552","186,70648","248,661286","132,081301","31,403396","7,369082","45,818508","9,505141"
"0,004","653,505619","49,649194","-54,111082","93,846126","18,181889","-57,826345",,"84,556552","187,45648","248,911286","132,581301","31,653396","6,869082","45,818508","9,505141"
"0,005","653,755619","49,686804","-54,460941","91,846126","20,1892","-57,32717",,"84,306552","187,45648","249,161286","132,831301","30,653396","7,119082","45,068508","9,005141"
"0,006","656,255619","49,497522","-53,2691","90,346126","18,886254","-52,916253",,"85,806552","188,20648","249,661286","132,581301","30,653396","7,119082","43,818508","8,755141"
"0,007","655,005619","49,761447","-53,247477","91,596126","19,032463","-54,838874",,"85,306552","188,20648","249,411286","132,081301","31,153396","6,869082","44,818508","8,755141"
"0,008","658,505619","49,384586","-54,681229","90,346126","18,886254","-49,341113",,"85,306552","188,20648","250,911286","134,081301","30,653396","7,619082","43,318508","8,755141"
"0,009","658,505619","49,496961","-52,71921","90,096126","18,527987","-53,95935",,"86,806552","188,70648","250,661286","132,331301","30,653396","6,869082","43,818508","8,755141"
"0,01","659,255619","49,496775","-54,251561","87,596126","16,522418","-46,28091",,"85,056552","189,20648","250,661286","134,331301","30,653396","6,869082","41,818508","8,255141"
"0,011","659,005619","49,459407","-54,149609","89,346126","17,441157","-53,508514",,"85,806552","188,45648","251,161286","133,581301","30,653396","6,619082","43,318508","8,755141"
"0,012","660,505619","49,347085","-52,804087","85,346126","20,859762","-56,01635",,"86,806552","189,45648","250,911286","133,331301","29,653396","5,619082","43,068508","7,005141"
"0,013","662,505619","49,421509","-54,351081","87,346126","16,146106","-51,035789",,"85,806552","189,70648","252,161286","134,831301","30,653396","6,119082","42,318508","8,255141"
