ForceDecks Raw Data Export,2.0
Weight,"77,6"
Frequency,1000
Recording Date,2024-10-08T10:07:59
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:08:02
AthleteId,79c3ff0b-df20-4d5a-9a5a-c821e5720504

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"432,255619","-11,648137","-47,247845","315,596126","-16,28252","-28,709251",,"100,056552","84,45648","114,661286","133,081301","92,403396","51,369082","89,068508","82,755141"
"0,001","429,005619","-11,477642","-47,417552","317,596126","-14,781982","-30,053983",,"99,306552","83,70648","114,161286","131,831301","91,903396","52,119082","90,818508","82,755141"
"0,002","425,755619","-11,825969","-45,313897","320,596126","-16,028578","-30,780249",,"99,556552","83,45648","112,411286","130,331301","93,653396","51,369082","91,568508","84,005141"
"0,003","425,505619","-12,963337","-44,771198","322,096126","-15,724188","-29,132696",,"100,056552","83,20648","110,911286","131,331301","93,903396","52,619082","91,318508","84,255141"
"0,004","421,255619","-11,776633","-45,031201","325,346126","-16,363189","-30,579059",,"98,306552","82,95648","110,911286","129,081301","94,653396","52,619082","92,068508","86,005141"
"0,005","420,005619","-11,899776","-44,972961","326,096126","-16,212091","-31,251608",,"98,056552","82,70648","110,411286","128,831301","94,903396","52,369082","92,818508","86,005141"
"0,006","418,755619","-12,023654","-43,757374","330,346126","-16,115522","-31,582869",,"98,556552","82,45648","109,911286","127,831301","95,153396","53,869082","93,318508","88,005141"
"0,007","417,005619","-12,340296","-44,134648","330,346126","-17,011552","-30,605107",,"98,056552","81,95648","109,161286","127,831301","96,153396","53,369082","92,818508","88,005141"
"0,008","415,755619","-12,644382","-42,90777","333,346126","-17,080445","-30,814153",,"98,556552","81,70648","108,411286","127,081301","97,403396","53,369082","94,068508","88,505141"
"0,009","413,005619","-12,101464","-43,388989","333,596126","-17,400382","-32,001356",,"97,056552","81,70648","107,911286","126,331301","97,153396","53,119082","94,068508","89,255141"
"0,01","411,005619","-11,980305","-42,814248","337,346126","-17,097277","-30,448781",,"96,306552","81,95648","106,911286","125,831301","98,153396","54,619082","94,568508","90,005141"
"0,011","407,005619","-12,643493","-44,028621","338,596126","-16,924884","-30,574858",,"96,056552","79,70648","106,411286","124,831301","98,153396","55,119082","94,818508","90,505141"
