ForceDecks Raw Data Export,2.0
Weight,"76,9"
Frequency,1000
Recording Date,2024-10-08T10:10:25
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T10:10:29
AthleteId,79c3ff0b-df20-4d5a-9a5a-c821e5720504

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,255619",0,0,"-1,153874",0,0,,"15,056552","-14,29352","14,411286","-14,918699","26,403396","-27,880918","26,318508","-25,994859"
"0,001","1,005619",0,0,"-0,903874",0,0,,"15,306552","-14,54352","15,411286","-15,168699","26,153396","-26,630918","25,568508","-25,994859"
"0,002","0,505619",0,0,"0,346126",0,0,,"15,556552","-13,79352","14,661286","-15,918699","26,653396","-26,130918","26,568508","-26,744859"
"0,003","-0,744381",0,0,"0,096126",0,0,,"15,056552","-14,79352","14,911286","-15,918699","26,153396","-25,880918","25,818508","-25,994859"
"0,004","0,505619",0,0,"-1,653874",0,0,,"15,306552","-14,54352","15,411286","-15,668699","26,153396","-25,880918","24,818508","-26,744859"
"0,005","0,255619",0,0,"0,096126",0,0,,"15,306552","-14,54352","14,911286","-15,418699","26,903396","-26,130918","26,068508","-26,744859"
"0,006","-0,994381",0,0,"0,096126",0,0,,"14,306552","-14,79352","14,911286","-15,418699","26,153396","-25,880918","25,818508","-25,994859"
"0,007","1,005619",0,0,"0,096126",0,0,,"15,806552","-15,04352","15,161286","-14,918699","26,653396","-26,630918","25,068508","-24,994859"
"0,008","-1,744381",0,0,"0,346126",0,0,,"15,556552","-15,29352","14,161286","-16,168699","26,403396","-26,630918","26,068508","-25,494859"
"0,009","1,255619",0,0,"0,346126",0,0,,"15,806552","-14,29352","14,911286","-15,168699","25,153396","-25,630918","26,068508","-25,244859"
"0,01","1,005619",0,0,"-0,153874",0,0,,"16,056552","-15,04352","15,411286","-15,418699","26,153396","-25,880918","26,068508","-26,494859"
"0,011","0,255619",0,0,"-0,653874",0,0,,"16,306552","-15,54352","14,661286","-15,168699","26,653396","-25,880918","24,318508","-25,744859"
"0,012","1,255619",0,0,"-2,653874",0,0,,"16,806552","-15,79352","16,161286","-15,918699","25,653396","-26,630918","24,068508","-25,744859"
"0,013","-0,744381",0,0,"1,346126",0,0,,"14,806552","-15,54352","15,411286","-15,418699","26,153396","-25,880918","25,568508","-24,494859"
"0,014","0,005619",0,0,"-1,153874",0,0,,"15,806552","-15,79352","15,161286","-15,168699","25,153396","-25,130918","24,818508","-25,994859"
"0,015","0,255619",0,0,"-0,653874",0,0,,"15,556552","-15,04352","15,661286","-15,918699","24,903396","-25,130918","25,068508","-25,494859"
"0,016","0,255619",0,0,"1,596126",0,0,,"15,556552","-15,29352","15,911286","-15,918699","25,903396","-25,380918","25,068508","-23,994859"
"0,017","1,005619",0,0,"-1,153874",0,0,,"15,556552","-15,54352","16,411286","-15,418699","25,403396","-26,630918","25,068508","-24,994859"
"0,018","-0,744381",0,0,"0,096126",0,0,,"15,806552","-15,29352","14,661286","-15,918699","25,653396","-26,880918","26,068508","-24,744859"
"0,019","-0,494381",0,0,"2,096126",0,0,,"15,056552","-15,79352","16,161286","-15,918699","26,653396","-24,380918","25,568508","-25,744859"
"0,02","0,255619",0,0,"0,596126",0,0,,"15,556552","-15,29352","15,411286","-15,418699","25,653396","-25,630918","25,568508","-24,994859"
"0,021","1,255619",0,0,"2,096126",0,0,,"15,556552","-16,29352","16,911286","-14,918699","26,153396","-25,630918","26,068508","-24,494859"
"0,022","1,755619",0,0,"2,346126",0,0,,"16,056552","-15,29352","16,161286","-15,168699","26,153396","-25,130918","26,818508","-25,494859"
"0,023","1,005619",0,0,"0,096126",0,0,,"16,806552","-15,54352","15,411286","-15,668699","25,903396","-25,380918","25,568508","-25,994859"
"0,024","0,505619",0,0,"-0,153874",0,0,,"16,056552","-16,29352","16,161286","-15,418699","25,653396","-25,380918","26,068508","-26,494859"
"0,025","0,755619",0,0,"0,846126",0,0,,"16,806552","-15,79352","15,161286","-15,418699","25,903396","-25,130918","25,818508","-25,744859"
"0,026","0,005619",0,0,"0,596126",0,0,,"15,556552","-16,04352","16,161286","-15,668699","25,903396","-25,880918","25,818508","-25,244859"
"0,027","0,255619",0,0,"-0,153874",0,0,,"16,056552","-15,29352","14,911286","-15,418699","25,403396","-26,380918","25,568508","-24,744859"
"0,028","3,255619",0,0,"0,846126",0,0,,"16,306552","-14,04352","15,411286","-14,418699","26,153396","-25,880918","25,818508","-25,244859"
"0,029","1,505619",0,0,"-0,153874",0,0,,"16,306552","-15,54352","16,161286","-15,418699","25,653396","-25,880918","25,318508","-25,244859"
"0,03","3,005619",0,0,"1,596126",0,0,,"16,306552","-14,79352","16,411286","-14,918699","26,153396","-24,880918","26,068508","-25,744859"
"0,031","1,255619",0,0,"-0,153874",0,0,,"15,306552","-14,79352","16,161286","-15,418699","26,653396","-26,630918","25,568508","-25,744859"
"0,032","0,755619",0,0,"-0,903874",0,0,,"15,306552","-15,79352","15,911286","-14,668699","26,653396","-26,880918","24,818508","-25,494859"
"0,033","1,255619",0,0,"1,096126",0,0,,"15,306552","-15,04352","16,161286","-15,168699","26,153396","-25,630918","25,818508","-25,244859"
"0,034","2,505619",0,0,"0,096126",0,0,,"15,556552","-14,04352","16,161286","-15,168699","25,403396","-26,380918","25,818508","-24,744859"
"0,035","0,755619",0,0,"-0,903874",0,0,,"15,306552","-15,54352","15,661286","-14,668699","26,153396","-26,130918","25,568508","-26,494859"
"0,036","0,005619",0,0,"0,346126",0,0,,"15,056552","-14,54352","14,661286","-15,168699","25,903396","-25,630918","26,068508","-25,994859"
"0,037","0,755619",0,0,"0,096126",0,0,,"15,556552","-15,04352","14,911286","-14,668699","25,653396","-25,880918","25,068508","-24,744859"
"0,038","-2,994381",0,0,"0,096126",0,0,,"14,306552","-15,29352","14,661286","-16,668699","26,403396","-25,130918","24,318508","-25,494859"
"0,039","-0,744381",0,0,"0,096126",0,0,,"15,306552","-15,04352","14,911286","-15,918699","25,403396","-25,380918","25,318508","-25,244859"
"0,04","-0,994381",0,0,"-0,653874",0,0,,"15,056552","-15,29352","14,161286","-14,918699","26,153396","-25,880918","25,568508","-26,494859"
"0,041","-1,744381",0,0,"-2,403874",0,0,,"14,806552","-15,04352","13,911286","-15,418699","25,153396","-26,380918","25,568508","-26,744859"
"0,042","1,005619",0,0,"-0,153874",0,0,,"15,306552","-14,54352","15,161286","-14,918699","25,403396","-25,880918","25,568508","-25,244859"
"0,043","-1,494381",0,0,"0,846126",0,0,,"14,806552","-15,54352","14,661286","-15,418699","25,403396","-25,130918","25,318508","-24,744859"
"0,044","-1,744381",0,0,"0,096126",0,0,,"14,556552","-16,04352","15,411286","-15,668699","25,403396","-25,130918","24,818508","-24,994859"
"0,045","-1,994381",0,0,"1,346126",0,0,,"14,806552","-15,54352","14,411286","-15,668699","25,403396","-24,630918","25,318508","-24,744859"
"0,046","-1,744381",0,0,"-0,403874",0,0,,"14,306552","-15,04352","14,411286","-15,418699","24,653396","-25,130918","25,318508","-25,244859"
"0,047","1,255619",0,0,"-1,903874",0,0,,"15,056552","-13,29352","14,161286","-14,668699","24,653396","-25,630918","23,818508","-24,744859"
"0,048","0,005619",0,0,"1,096126",0,0,,"15,306552","-15,29352","15,411286","-15,418699","24,903396","-24,630918","24,818508","-23,994859"
"0,049","1,255619",0,0,"-1,653874",0,0,,"15,306552","-14,54352","15,161286","-14,668699","24,903396","-25,880918","24,318508","-24,994859"
"0,05","-0,994381",0,0,"0,346126",0,0,,"14,556552","-15,29352","15,161286","-15,418699","24,153396","-24,880918","25,318508","-24,244859"
"0,051","0,505619",0,0,"-0,903874",0,0,,"14,556552","-13,79352","14,911286","-15,168699","24,653396","-25,130918","25,318508","-25,744859"
"0,052","-0,494381",0,0,"0,596126",0,0,,"14,306552","-14,79352","15,161286","-15,168699","24,653396","-24,130918","24,818508","-24,744859"
"0,053","0,255619",0,0,"-0,403874",0,0,,"14,806552","-15,54352","15,161286","-14,168699","24,903396","-24,880918","24,318508","-24,744859"
"0,054","1,755619",0,0,"-2,403874",0,0,,"15,556552","-14,54352","15,411286","-14,668699","24,153396","-25,130918","23,818508","-25,244859"
"0,055","-0,494381",0,0,"-0,403874",0,0,,"14,306552","-14,54352","15,411286","-15,668699","25,403396","-25,630918","23,818508","-23,994859"
"0,056","-0,994381",0,0,"-0,903874",0,0,,"15,306552","-15,29352","14,661286","-15,668699","25,153396","-25,130918","24,318508","-25,244859"
"0,057","1,505619",0,0,"0,346126",0,0,,"15,306552","-14,79352","16,411286","-15,418699","24,153396","-24,130918","24,318508","-23,994859"
"0,058","-1,244381",0,0,"0,596126",0,0,,"15,056552","-15,29352","14,411286","-15,418699","24,903396","-24,880918","24,568508","-23,994859"
"0,059","2,505619",0,0,"-0,403874",0,0,,"16,056552","-15,04352","16,161286","-14,668699","24,403396","-24,130918","24,068508","-24,744859"
"0,06","-0,494381",0,0,"0,596126",0,0,,"16,306552","-16,04352","14,661286","-15,418699","25,153396","-24,630918","24,818508","-24,744859"
"0,061","1,505619",0,0,"-0,153874",0,0,,"15,056552","-13,54352","14,911286","-14,918699","24,653396","-24,380918","23,568508","-23,994859"
"0,062","2,505619",0,0,"0,346126",0,0,,"15,556552","-14,04352","15,411286","-14,418699","25,153396","-24,880918","24,818508","-24,744859"
"0,063","0,255619",0,0,"0,096126",0,0,,"14,556552","-14,79352","15,161286","-14,668699","24,653396","-24,880918","23,818508","-23,494859"
"0,064","1,255619",0,0,"-0,653874",0,0,,"14,806552","-13,79352","15,411286","-15,168699","25,403396","-24,630918","23,568508","-24,994859"
"0,065","-0,244381",0,0,"0,596126",0,0,,"14,306552","-15,29352","15,161286","-14,418699","24,653396","-24,630918","24,318508","-23,744859"
"0,066","1,755619",0,0,"-0,153874",0,0,,"15,306552","-14,54352","15,161286","-14,168699","24,153396","-23,380918","23,318508","-24,244859"
"0,067","-0,494381",0,0,"0,846126",0,0,,"14,056552","-14,54352","14,661286","-14,668699","24,653396","-23,880918","24,818508","-24,744859"
"0,068","-0,994381",0,0,"1,096126",0,0,,"15,556552","-16,29352","14,661286","-14,918699","24,903396","-24,380918","24,318508","-23,744859"
"0,069","1,005619",0,0,"-0,153874",0,0,,"15,056552","-14,54352","14,661286","-14,168699","24,403396","-23,630918","23,068508","-23,994859"
"0,07","0,005619",0,0,"0,096126",0,0,,"14,556552","-14,54352","14,661286","-14,668699","24,403396","-24,630918","23,568508","-23,244859"
"0,071","0,255619",0,0,"0,096126",0,0,,"15,056552","-15,04352","14,661286","-14,418699","23,903396","-24,380918","24,068508","-23,494859"
"0,072","-2,494381",0,0,"1,346126",0,0,,"14,306552","-15,29352","14,161286","-15,668699","24,653396","-23,880918","23,568508","-22,994859"
"0,073","-2,244381",0,0,"1,846126",0,0,,"14,306552","-16,04352","14,411286","-14,918699","23,403396","-23,880918","25,068508","-22,744859"
"0,074","0,005619",0,0,"2,096126",0,0,,"15,056552","-15,04352","14,661286","-14,668699","24,153396","-23,130918","24,318508","-23,244859"
"0,075","-3,244381",0,0,"0,096126",0,0,,"14,056552","-15,29352","13,411286","-15,418699","23,403396","-24,630918","24,818508","-23,494859"
"0,076","-0,244381",0,0,"-1,153874",0,0,,"15,056552","-14,54352","13,411286","-14,168699","23,903396","-23,880918","23,068508","-24,244859"
"0,077","0,505619",0,0,"0,346126",0,0,,"14,806552","-14,04352","14,911286","-15,168699","23,903396","-23,880918","23,068508","-22,744859"
"0,078","0,005619",0,0,"-0,653874",0,0,,"15,056552","-15,29352","14,411286","-14,168699","24,153396","-23,630918","22,318508","-23,494859"
"0,079","-0,994381",0,0,"0,596126",0,0,,"15,056552","-14,79352","14,161286","-15,418699","24,153396","-23,630918","22,818508","-22,744859"
