ForceDecks Raw Data Export,2.0
Weight,"80,6"
Frequency,1000
Recording Date,2024-11-07T08:45:36
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T08:45:43
AthleteId,3f95a4b7-a0b2-4c8e-8e91-5b6afdaaa28e

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"409,456827","10,267104","-13,321788","384,712774","5,051784","-51,829244",,"47,923882","148,360728","70,570171","142,602046","75,962179","85,528306","113,393911","109,828378"
"0,001","410,456827","10,422377","-13,682796","383,462774","5,164741","-53,051101",,"48,173882","148,360728","71,320171","142,602046","75,462179","84,778306","113,643911","109,578378"
"0,002","409,956827","9,532554","-12,911596","384,462774","5,728736","-52,493047",,"48,673882","148,110728","70,070171","143,102046","75,212179","85,778306","113,893911","109,578378"
"0,003","411,206827","10,313389","-11,104988","384,212774","4,673155","-53,157713",,"49,423882","149,110728","70,820171","141,852046","75,962179","84,528306","113,643911","110,078378"
"0,004","409,956827","11,157116","-12,123709","383,462774","5,164741","-53,472263",,"47,923882","149,360728","71,070171","141,602046","75,212179","84,778306","113,643911","109,828378"
"0,005","411,456827","10,756744","-12,472018","384,962774","5,336843","-51,166304",,"48,423882","149,360728","71,320171","142,352046","75,962179","86,028306","113,393911","109,578378"
"0,006","411,456827","10,037349","-11,294495","384,212774","5,058358","-52,737373",,"49,173882","149,360728","70,320171","142,602046","75,462179","85,278306","113,393911","110,078378"
"0,007","409,706827","10,892998","-12,722383","383,712774","4,293539","-52,385205",,"47,923882","148,860728","71,070171","141,852046","76,212179","84,528306","112,893911","110,078378"
"0,008","411,456827","10,037349","-12,864526","384,962774","4,760163","-52,424867",,"48,673882","148,860728","70,820171","143,102046","75,712179","85,528306","113,143911","110,578378"
"0,009","409,456827","10,267104","-12,532938","384,212774","4,673155","-52,737373",,"48,423882","148,360728","70,570171","142,102046","75,712179","85,028306","113,143911","110,328378"
"0,01","409,456827","10,628558","-13,321788","385,212774","5,237328","-52,18122",,"47,423882","148,860728","70,570171","142,602046","75,462179","86,028306","113,393911","110,328378"
"0,011","411,206827","10,313389","-12,675974","385,962774","4,939559","-52,707473",,"48,423882","149,110728","70,820171","142,852046","75,712179","85,778306","113,643911","110,828378"
"0,012","409,706827","10,17053","-14,29912","384,212774","5,058358","-51,896693",,"47,923882","147,860728","71,070171","142,852046","75,462179","85,778306","112,893911","110,078378"
