ForceDecks Raw Data Export,2.0
Weight,"80,6"
Frequency,1000
Recording Date,2024-11-07T08:46:55
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T08:46:58
AthleteId,3f95a4b7-a0b2-4c8e-8e91-5b6afdaaa28e

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"294,456827","22,821464","17,12578","495,712774","-50,41733","-37,291499",,"27,673882","127,360728","42,570171","96,852046","146,712179","72,528306","90,893911","185,578378"
"0,001","296,956827","22,87853","16,981603","495,212774","-49,870511","-37,329151",,"28,423882","127,860728","43,570171","97,102046","145,962179","73,028306","91,143911","185,078378"
"0,002","299,206827","21,098903","17,663544","493,462774","-49,222587","-37,297894",,"30,173882","127,610728","43,320171","98,102046","145,212179","73,028306","91,643911","183,578378"
"0,003","299,206827","21,593544","17,123784","489,962774","-50,027299","-37,893945",,"29,673882","127,860728","43,570171","98,102046","144,712179","71,528306","90,643911","183,078378"
"0,004","300,956827","21,836806","17,292523","489,462774","-49,776031","-37,932655",,"29,923882","128,610728","44,070171","98,352046","144,212179","71,778306","90,643911","182,828378"
"0,005","301,956827","22,009556","16,70041","486,462774","-50,082998","-37,834596",,"30,173882","128,610728","44,820171","98,352046","143,712179","71,028306","89,893911","181,828378"
"0,006","302,456827","22,217835","16,672802","483,962774","-50,341711","-36,695224",,"29,923882","129,110728","44,820171","98,602046","143,712179","70,778306","88,893911","180,578378"
"0,007","303,706827","21,760906","15,274773","479,962774","-50,60708","-37,67401",,"29,673882","129,360728","44,820171","99,852046","142,212179","69,778306","88,143911","179,828378"
"0,008","305,706827","21,860604","16,23141","477,712774","-50,148364","-37,682418",,"30,673882","129,860728","45,570171","99,602046","141,212179","69,778306","88,143911","178,578378"
"0,009","306,206827","22,549908","17,78717","477,212774","-50,04584","-37,045053",,"30,673882","130,860728","45,570171","99,102046","141,462179","69,778306","88,143911","177,828378"
"0,01","309,206827","22,331123","15,525378","475,212774","-50,256465","-36,861114",,"30,923882","131,110728","46,820171","100,352046","140,962179","69,528306","87,393911","177,328378"
"0,011","307,706827","22,680471","17,175612","474,962774","-50,205017","-38,750663",,"30,923882","131,110728","46,320171","99,352046","140,212179","68,778306","88,143911","177,828378"
"0,012","309,956827","21,918974","16,790412","470,212774","-50,790867","-38,283461",,"31,173882","131,860728","46,070171","100,852046","139,212179","68,028306","86,393911","176,578378"
"0,013","309,456827","22,671776","16,817541","466,462774","-50,802584","-38,764342",,"30,923882","131,860728","46,570171","100,102046","138,212179","67,028306","86,143911","175,078378"
"0,014","311,456827","22,051004","16,191017","466,212774","-50,591738","-38,265516",,"31,423882","132,110728","46,820171","101,102046","137,962179","67,528306","85,893911","174,828378"
"0,015","312,706827","23,737684","16,384525","462,212774","-50,709361","-38,946073",,"30,923882","133,360728","48,070171","100,352046","136,212179","67,028306","84,893911","174,078378"
"0,016","311,956827","22,490086","16,165067","460,462774","-51,143145","-38,567987",,"31,423882","132,360728","47,320171","100,852046","136,462179","66,278306","84,393911","173,328378"
"0,017","314,706827","22,411131","15,254048","459,712774","-50,502217","-39,157869",,"31,923882","132,860728","48,320171","101,602046","135,712179","66,278306","85,143911","172,578378"
"0,018","316,206827","23,942986","15,181687","455,712774","-50,620732","-38,792795",,"30,923882","134,610728","49,070171","101,602046","134,712179","65,778306","84,143911","171,078378"
"0,019","319,206827","23,254314","15,544946","454,712774","-51,057537","-38,878108",,"32,173882","135,110728","49,570171","102,352046","134,462179","65,528306","83,393911","171,328378"
