ForceDecks Raw Data Export,2.0
Weight,"80,5"
Frequency,1000
Recording Date,2024-11-07T08:48:03
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T08:48:07
AthleteId,3f95a4b7-a0b2-4c8e-8e91-5b6afdaaa28e

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-1,293173",0,0,"0,962774",0,0,,"0,173882","-0,389272","-0,179829","-0,897954","4,462179","-3,471694","3,893911","-3,921622"
"0,001","-0,043173",0,0,"1,212774",0,0,,"0,173882","0,110728","-0,179829","-0,147954","4,212179","-3,721694","4,643911","-3,921622"
"0,002","-0,293173",0,0,"-0,537226",0,0,,"0,923882","-0,389272","0,070171","-0,897954","3,962179","-4,221694","3,893911","-4,171622"
"0,003","0,206827",0,0,"0,712774",0,0,,"-0,326118","0,110728","1,070171","-0,647954","4,712179","-4,471694","3,893911","-3,421622"
"0,004","2,956827",0,0,"1,712774",0,0,,"0,173882","0,860728","1,820171","0,102046","5,462179","-3,721694","3,893911","-3,921622"
"0,005","-1,543173",0,0,"-0,787226",0,0,,"0,173882","0,110728","-0,679829","-1,147954","5,212179","-4,971694","2,893911","-3,921622"
"0,006","0,706827",0,0,"-0,537226",0,0,,"-0,576118","-0,139272","1,070171","0,352046","4,462179","-3,221694","3,393911","-5,171622"
"0,007","0,456827",0,0,"0,712774",0,0,,"-0,326118","0,110728","0,070171","0,602046","5,212179","-3,221694","3,893911","-5,171622"
"0,008","-0,793173",0,0,"-1,037226",0,0,,"-0,576118","-0,389272","0,820171","-0,647954","4,462179","-3,721694","2,643911","-4,421622"
"0,009","0,706827",0,0,"-0,037226",0,0,,"0,173882","0,360728","0,570171","-0,397954","3,962179","-4,221694","3,393911","-3,171622"
"0,01","-0,293173",0,0,"-1,037226",0,0,,"0,173882","0,110728","-0,179829","-0,397954","3,712179","-4,471694","4,643911","-4,921622"
"0,011","0,706827",0,0,"0,712774",0,0,,"0,423882","-0,889272","0,820171","0,352046","4,212179","-4,221694","4,393911","-3,671622"
"0,012","0,706827",0,0,"-0,287226",0,0,,"0,923882","0,110728","-0,179829","-0,147954","3,962179","-4,221694","3,893911","-3,921622"
"0,013","-0,793173",0,0,"-0,037226",0,0,,"-0,326118","0,110728","-0,429829","-0,147954","4,712179","-4,221694","3,893911","-4,421622"
"0,014","-0,293173",0,0,"-0,037226",0,0,,"0,923882","-0,889272","0,070171","-0,397954","4,462179","-3,721694","3,643911","-4,421622"
"0,015","-1,043173",0,0,"0,212774",0,0,,"-0,076118","0,110728","0,070171","-1,147954","4,462179","-4,471694","5,143911","-4,921622"
"0,016","-0,043173",0,0,"-0,287226",0,0,,"-0,076118","0,360728","0,070171","-0,397954","4,462179","-4,221694","3,893911","-4,421622"
"0,017","-0,043173",0,0,"1,962774",0,0,,"-0,076118","-0,139272","0,570171","-0,397954","4,962179","-3,721694","4,643911","-3,921622"
"0,018","2,706827",0,0,"-0,537226",0,0,,"1,173882","-0,639272","1,570171","0,602046","4,962179","-4,221694","3,143911","-4,421622"
"0,019","-0,043173",0,0,"0,462774",0,0,,"0,173882","0,360728","0,570171","-1,147954","4,462179","-4,221694","4,643911","-4,421622"
"0,02","-0,043173",0,0,"1,462774",0,0,,"-0,576118","0,110728","-0,179829","0,602046","4,462179","-3,721694","4,143911","-3,421622"
"0,021","1,206827",0,0,"-0,287226",0,0,,"1,423882","-0,389272","0,570171","-0,397954","4,462179","-4,221694","3,893911","-4,421622"
"0,022","-0,543173",0,0,"-0,537226",0,0,,"0,173882","-0,389272","0,070171","-0,397954","4,712179","-4,221694","3,393911","-4,421622"
"0,023","1,456827",0,0,"-0,287226",0,0,,"0,673882","-0,139272","0,570171","0,352046","4,462179","-4,471694","4,143911","-4,421622"
"0,024","0,956827",0,0,"0,712774",0,0,,"0,923882","-0,139272","0,570171","-0,397954","4,712179","-4,471694","4,393911","-3,921622"
"0,025","1,206827",0,0,"-1,037226",0,0,,"0,673882","0,110728","0,070171","0,352046","3,712179","-4,221694","3,393911","-3,921622"
"0,026","-0,043173",0,0,"0,962774",0,0,,"0,673882","-0,389272","0,820171","-1,147954","5,212179","-3,721694","4,393911","-4,921622"
"0,027","1,206827",0,0,"0,212774",0,0,,"0,673882","0,860728","0,820171","-1,147954","5,212179","-4,721694","3,393911","-3,671622"
"0,028","0,956827",0,0,"-0,537226",0,0,,"0,173882","0,360728","0,570171","-0,147954","3,712179","-4,221694","4,143911","-4,171622"
"0,029","0,956827",0,0,"-0,037226",0,0,,"0,173882","0,860728","0,070171","-0,147954","3,712179","-4,471694","4,643911","-3,921622"
"0,03","1,956827",0,0,"2,462774",0,0,,"0,923882","0,360728","1,070171","-0,397954","5,712179","-3,471694","3,893911","-3,671622"
