ForceDecks Raw Data Export,2.0
Weight,"80,7"
Frequency,1000
Recording Date,2024-11-07T08:51:27
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T08:51:31
AthleteId,3f95a4b7-a0b2-4c8e-8e91-5b6afdaaa28e

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,706827",0,0,"0,462774",0,0,,"-0,076118","0,110728","0,820171","-0,147954","8,962179","-9,221694","9,393911","-8,671622"
"0,001","-1,043173",0,0,"0,462774",0,0,,"0,423882","-1,139272","-0,429829","0,102046","9,212179","-9,471694","9,393911","-8,671622"
"0,002","-0,043173",0,0,"0,462774",0,0,,"0,673882","-1,139272","0,070171","0,352046","8,212179","-7,721694","9,143911","-9,171622"
"0,003","0,206827",0,0,"1,712774",0,0,,"0,173882","-0,139272","0,570171","-0,397954","10,212179","-9,221694","9,893911","-9,171622"
"0,004","-0,043173",0,0,"-0,037226",0,0,,"0,423882","0,110728","0,570171","-1,147954","9,212179","-8,971694","9,893911","-10,171622"
"0,005","-1,793173",0,0,"1,462774",0,0,,"-0,076118","-0,889272","1,070171","-1,897954","9,462179","-9,221694","10,393911","-9,171622"
"0,006","0,206827",0,0,"0,462774",0,0,,"0,673882","-0,889272","0,820171","-0,397954","9,712179","-9,221694","8,893911","-8,921622"
"0,007","-0,293173",0,0,"-0,537226",0,0,,"0,673882","-0,889272","0,570171","-0,647954","8,962179","-9,471694","9,393911","-9,421622"
"0,008","0,956827",0,0,"-1,787226",0,0,,"0,923882","-0,389272","0,570171","-0,147954","7,962179","-10,221694","9,643911","-9,171622"
"0,009","0,456827",0,0,"0,462774",0,0,,"0,923882","-0,639272","0,570171","-0,397954","9,962179","-8,971694","8,893911","-9,421622"
"0,01","-0,793173",0,0,"-1,287226",0,0,,"-0,826118","-0,639272","1,820171","-1,147954","9,462179","-9,971694","8,143911","-8,921622"
"0,011","0,206827",0,0,"-1,537226",0,0,,"0,673882","-0,389272","1,070171","-1,147954","9,212179","-9,471694","8,643911","-9,921622"
"0,012","-0,293173",0,0,"-0,537226",0,0,,"-0,826118","-0,139272","0,570171","0,102046","8,962179","-9,221694","9,393911","-9,671622"
"0,013","-0,543173",0,0,"-0,787226",0,0,,"-0,576118","-0,389272","0,570171","-0,147954","9,712179","-9,471694","8,393911","-9,421622"
"0,014","-1,793173",0,0,"-0,287226",0,0,,"-0,076118","0,110728","-0,179829","-1,647954","9,962179","-8,971694","8,643911","-9,921622"
"0,015","0,456827",0,0,"0,712774",0,0,,"0,173882","0,360728","0,070171","-0,147954","8,462179","-8,971694","9,643911","-8,421622"
"0,016","0,456827",0,0,"2,462774",0,0,,"1,173882","0,110728","-0,429829","-0,397954","9,962179","-8,971694","10,643911","-9,171622"
"0,017","0,456827",0,0,"0,712774",0,0,,"0,423882","0,360728","0,570171","-0,897954","9,712179","-8,721694","8,643911","-8,921622"
"0,018","-0,543173",0,0,"-0,037226",0,0,,"0,173882","-0,389272","0,320171","-0,647954","9,962179","-9,471694","8,643911","-9,171622"
"0,019","1,456827",0,0,"-0,787226",0,0,,"0,673882","0,110728","0,570171","0,102046","9,462179","-9,471694","8,643911","-9,421622"
"0,02","0,456827",0,0,"2,212774",0,0,,"-0,076118","-0,139272","0,820171","-0,147954","9,962179","-8,221694","9,143911","-8,671622"
"0,021","0,706827",0,0,"-0,537226",0,0,,"0,173882","0,110728","1,070171","-0,647954","10,462179","-10,221694","8,893911","-9,671622"
"0,022","-0,543173",0,0,"-0,037226",0,0,,"-0,826118","0,110728","0,570171","-0,397954","9,212179","-8,971694","8,643911","-8,921622"
"0,023","0,956827",0,0,"-1,287226",0,0,,"0,673882","0,360728","0,570171","-0,647954","8,462179","-8,971694","8,643911","-9,421622"
"0,024","-0,043173",0,0,"0,712774",0,0,,"-0,326118","0,110728","0,320171","-0,147954","10,212179","-9,221694","9,143911","-9,421622"
"0,025","0,456827",0,0,"-0,537226",0,0,,"0,923882","-0,389272","1,070171","-1,147954","8,962179","-9,471694","8,893911","-8,921622"
"0,026","0,706827",0,0,"0,462774",0,0,,"0,173882","0,110728","0,570171","-0,147954","9,712179","-8,971694","8,643911","-8,921622"
"0,027","-0,293173",0,0,"0,462774",0,0,,"-0,076118","0,110728","-0,179829","-0,147954","9,712179","-8,721694","8,393911","-8,921622"
