ForceDecks Raw Data Export,2.0
Weight,"80,6"
Frequency,1000
Recording Date,2024-11-07T08:50:16
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:58:00
AthleteId,3f95a4b7-a0b2-4c8e-8e91-5b6afdaaa28e

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-0,793173",0,0,"-0,037226",0,0,,"-0,576118","-0,139272","0,070171","-0,147954","7,212179","-6,221694","6,393911","-7,421622"
"0,001","1,206827",0,0,"0,962774",0,0,,"0,673882","0,110728","0,820171","-0,397954","7,712179","-6,971694","6,643911","-6,421622"
"0,002","-0,543173",0,0,"0,212774",0,0,,"-0,576118","0,110728","0,570171","-0,647954","6,712179","-6,471694","6,893911","-6,921622"
"0,003","1,706827",0,0,"-0,537226",0,0,,"0,173882","0,860728","0,570171","0,102046","7,212179","-6,721694","5,893911","-6,921622"
"0,004","0,706827",0,0,"1,462774",0,0,,"0,173882","0,110728","1,070171","-0,647954","6,962179","-5,971694","6,393911","-5,921622"
"0,005","0,206827",0,0,"-1,287226",0,0,,"0,173882","0,110728","1,070171","-1,147954","6,462179","-6,971694","5,893911","-6,671622"
"0,006","-0,043173",0,0,"-1,037226",0,0,,"-0,076118","-0,639272","1,070171","-0,397954","7,212179","-6,971694","5,893911","-7,171622"
"0,007","0,456827",0,0,"-0,037226",0,0,,"0,673882","0,110728","-0,429829","0,102046","6,962179","-6,721694","6,143911","-6,421622"
"0,008","-0,793173",0,0,"-0,037226",0,0,,"0,173882","0,360728","0,070171","-1,397954","6,462179","-6,471694","6,393911","-6,421622"
"0,009","-1,043173",0,0,"1,212774",0,0,,"-0,576118","0,110728","-0,179829","-0,397954","7,712179","-7,471694","7,393911","-6,421622"
"0,01","0,456827",0,0,"1,212774",0,0,,"0,173882","-0,139272","0,820171","-0,397954","7,212179","-6,221694","6,643911","-6,421622"
"0,011","0,206827",0,0,"-0,537226",0,0,,"-0,576118","0,110728","0,320171","0,352046","7,712179","-6,971694","6,393911","-7,671622"
"0,012","-1,793173",0,0,"-0,287226",0,0,,"-0,326118","-0,889272","-0,179829","-0,397954","7,212179","-6,221694","5,643911","-6,921622"
"0,013","-0,793173",0,0,"-2,037226",0,0,,"-0,576118","-0,389272","-0,179829","0,352046","6,212179","-6,971694","6,393911","-7,671622"
"0,014","0,456827",0,0,"0,462774",0,0,,"0,673882","0,610728","-0,179829","-0,647954","7,212179","-6,971694","6,643911","-6,421622"
"0,015","-0,543173",0,0,"-0,287226",0,0,,"0,923882","-0,389272","0,070171","-1,147954","6,962179","-6,971694","6,643911","-6,921622"
"0,016","-1,293173",0,0,"-1,037226",0,0,,"-1,076118","-0,139272","-0,179829","0,102046","7,212179","-7,471694","5,893911","-6,671622"
"0,017","0,456827",0,0,"0,712774",0,0,,"-0,576118","0,110728","0,820171","0,102046","7,462179","-6,971694","6,643911","-6,421622"
"0,018","1,956827",0,0,"0,962774",0,0,,"0,423882","0,110728","0,570171","0,852046","7,712179","-6,471694","6,643911","-6,921622"
"0,019","-1,293173",0,0,"-0,787226",0,0,,"-1,076118","-0,389272","0,070171","0,102046","6,212179","-6,471694","6,643911","-7,171622"
"0,02","0,956827",0,0,"-0,537226",0,0,,"-0,576118","0,860728","0,570171","0,102046","7,212179","-7,471694","6,393911","-6,671622"
"0,021","0,206827",0,0,"-1,537226",0,0,,"-0,326118","0,610728","0,570171","-0,647954","6,712179","-6,971694","6,143911","-7,421622"
"0,022","-0,043173",0,0,"-0,037226",0,0,,"-0,326118","0,110728","-0,429829","0,602046","6,712179","-6,221694","6,393911","-6,921622"
"0,023","1,206827",0,0,"1,462774",0,0,,"0,173882","0,360728","1,320171","-0,647954","7,212179","-6,721694","6,893911","-5,921622"
"0,024","0,956827",0,0,"0,462774",0,0,,"0,173882","0,110728","0,570171","0,102046","7,212179","-6,221694","5,893911","-6,421622"
"0,025","1,206827",0,0,"0,462774",0,0,,"0,423882","0,360728","-0,179829","0,602046","7,462179","-7,221694","6,643911","-6,421622"
"0,026","0,956827",0,0,"0,462774",0,0,,"-0,076118","0,610728","0,070171","0,352046","6,462179","-5,971694","6,143911","-6,171622"
"0,027","0,456827",0,0,"0,462774",0,0,,"0,173882","-0,139272","0,320171","0,102046","6,212179","-5,721694","6,643911","-6,671622"
"0,028","-0,543173",0,0,"-0,287226",0,0,,"-0,826118","0,110728","0,070171","0,102046","7,212179","-6,221694","6,393911","-7,671622"
"0,029","1,206827",0,0,"0,712774",0,0,,"0,173882","0,110728","0,320171","0,602046","7,212179","-6,971694","6,643911","-6,171622"
"0,03","-0,043173",0,0,"-0,537226",0,0,,"0,173882","-0,139272","-0,179829","0,102046","6,462179","-6,971694","6,643911","-6,671622"
"0,031","-0,293173",0,0,"0,462774",0,0,,"0,923882","-0,639272","0,070171","-0,647954","7,712179","-7,221694","6,143911","-6,171622"
"0,032","1,206827",0,0,"-0,787226",0,0,,"0,173882","0,110728","0,570171","0,352046","6,462179","-6,471694","6,643911","-7,421622"
"0,033","0,706827",0,0,"-0,787226",0,0,,"0,173882","-0,139272","0,570171","0,102046","7,212179","-6,221694","5,643911","-7,421622"
"0,034","0,956827",0,0,"0,462774",0,0,,"0,173882","0,110728","0,570171","0,102046","7,212179","-6,721694","6,643911","-6,671622"
"0,035","0,206827",0,0,"1,712774",0,0,,"-0,576118","0,610728","0,070171","0,102046","6,462179","-5,721694","6,643911","-5,671622"
"0,036","0,206827",0,0,"0,212774",0,0,,"-0,076118","0,110728","0,570171","-0,397954","6,962179","-6,971694","6,643911","-6,421622"
"0,037","0,206827",0,0,"-0,037226",0,0,,"-0,076118","-0,389272","0,570171","0,102046","6,712179","-6,971694","6,893911","-6,671622"
"0,038","-3,293173",0,0,"-0,037226",0,0,,"-0,576118","-0,389272","-0,679829","-1,647954","8,212179","-7,721694","5,893911","-6,421622"
"0,039","-0,293173",0,0,"1,462774",0,0,,"0,173882","0,110728","1,320171","-1,897954","7,462179","-6,721694","6,643911","-5,921622"
"0,04","-1,293173",0,0,"1,962774",0,0,,"-0,326118","-0,139272","-0,179829","-0,647954","7,212179","-5,971694","7,393911","-6,671622"
"0,041","-0,543173",0,0,"0,212774",0,0,,"0,673882","-1,139272","0,320171","-0,397954","7,212179","-7,471694","6,643911","-6,171622"
"0,042","0,456827",0,0,"1,212774",0,0,,"0,673882","0,110728","0,070171","-0,397954","6,462179","-6,721694","6,643911","-5,171622"
"0,043","-0,543173",0,0,"1,212774",0,0,,"0,673882","-0,889272","0,070171","-0,397954","6,962179","-5,971694","7,393911","-7,171622"
"0,044","-0,043173",0,0,"-1,037226",0,0,,"-0,826118","-0,139272","0,820171","0,102046","6,712179","-6,971694","6,143911","-6,921622"
"0,045","-2,043173",0,0,"0,712774",0,0,,"0,173882","-1,139272","-0,679829","-0,397954","7,712179","-6,221694","5,893911","-6,671622"
"0,046","-1,293173",0,0,"-0,787226",0,0,,"0,423882","-1,639272","0,320171","-0,397954","7,212179","-7,471694","5,893911","-6,421622"
"0,047","-0,543173",0,0,"0,462774",0,0,,"-0,076118","-0,139272","0,070171","-0,397954","6,712179","-6,221694","7,393911","-7,421622"
"0,048","1,456827",0,0,"-0,537226",0,0,,"0,923882","0,360728","0,570171","-0,397954","6,462179","-5,721694","5,643911","-6,921622"
"0,049","0,706827",0,0,"-1,287226",0,0,,"0,923882","0,360728","0,570171","-1,147954","6,712179","-6,971694","5,393911","-6,421622"
"0,05","0,456827",0,0,"0,962774",0,0,,"-0,826118","0,610728","0,570171","0,102046","6,462179","-5,721694","6,143911","-5,921622"
"0,051","0,706827",0,0,"0,462774",0,0,,"-0,576118","0,110728","0,570171","0,602046","6,462179","-5,721694","7,143911","-7,421622"
"0,052","0,706827",0,0,"0,212774",0,0,,"-0,076118","0,360728","-0,179829","0,602046","5,962179","-6,221694","6,893911","-6,421622"
"0,053","0,956827",0,0,"0,212774",0,0,,"0,173882","0,610728","0,570171","-0,397954","5,962179","-5,721694","6,643911","-6,671622"
"0,054","0,456827",0,0,"1,212774",0,0,,"0,923882","-0,139272","-0,429829","0,102046","7,712179","-6,721694","6,393911","-6,171622"
"0,055","0,706827",0,0,"-0,037226",0,0,,"-0,076118","-0,139272","0,820171","0,102046","6,462179","-7,471694","6,643911","-5,671622"
"0,056","0,956827",0,0,"-0,037226",0,0,,"0,423882","0,860728","0,070171","-0,397954","6,712179","-6,221694","5,643911","-6,171622"
"0,057","0,206827",0,0,"0,712774",0,0,,"0,173882","0,360728","0,320171","-0,647954","6,712179","-6,471694","6,643911","-6,171622"
"0,058","-0,293173",0,0,"-1,537226",0,0,,"-0,076118","0,360728","0,320171","-0,897954","6,462179","-6,971694","5,893911","-6,921622"
"0,059","-0,543173",0,0,"1,212774",0,0,,"-0,576118","0,360728","-0,179829","-0,147954","6,712179","-6,221694","6,643911","-5,921622"
"0,06","1,956827",0,0,"0,462774",0,0,,"0,173882","0,860728","0,820171","0,102046","6,962179","-7,721694","7,143911","-5,921622"
"0,061","0,456827",0,0,"2,712774",0,0,,"-0,576118","0,110728","1,070171","-0,147954","6,712179","-5,221694","7,143911","-5,921622"
"0,062","0,206827",0,0,"-0,037226",0,0,,"0,173882","-0,639272","1,070171","-0,397954","6,712179","-6,221694","5,643911","-6,171622"
"0,063","0,206827",0,0,"-0,037226",0,0,,"-0,576118","0,360728","0,320171","0,102046","6,462179","-6,221694","6,143911","-6,421622"
"0,064","-0,043173",0,0,"-0,787226",0,0,,"-0,326118","-0,139272","0,320171","0,102046","6,962179","-7,221694","5,893911","-6,421622"
"0,065","0,206827",0,0,"-0,037226",0,0,,"0,173882","-0,639272","0,570171","0,102046","6,712179","-6,471694","5,643911","-5,921622"
"0,066","1,956827",0,0,"-0,037226",0,0,,"0,673882","0,110728","0,070171","1,102046","7,712179","-6,221694","5,143911","-6,671622"
"0,067","-1,043173",0,0,"0,462774",0,0,,"-0,326118","0,110728","0,570171","-1,397954","6,462179","-7,221694","6,643911","-5,421622"
"0,068","1,456827",0,0,"0,462774",0,0,,"0,673882","0,110728","0,570171","0,102046","5,962179","-5,471694","6,893911","-6,921622"
"0,069","1,956827",0,0,"-0,037226",0,0,,"0,173882","0,610728","0,820171","0,352046","6,462179","-6,221694","5,393911","-5,671622"
"0,07","-1,793173",0,0,"-0,287226",0,0,,"-0,326118","-0,139272","-0,179829","-1,147954","6,712179","-6,971694","6,643911","-6,671622"
"0,071","0,956827",0,0,"-0,287226",0,0,,"-0,076118","0,360728","0,570171","0,102046","6,712179","-6,221694","5,643911","-6,421622"
"0,072","0,706827",0,0,"-0,287226",0,0,,"0,173882","0,110728","0,820171","-0,397954","6,962179","-6,471694","6,393911","-7,171622"
"0,073","1,206827",0,0,"0,462774",0,0,,"0,423882","0,360728","0,320171","0,102046","6,712179","-5,971694","5,393911","-5,671622"
"0,074","-0,043173",0,0,"-0,287226",0,0,,"0,173882","0,110728","0,320171","-0,647954","6,462179","-5,721694","6,393911","-7,421622"
"0,075","-0,293173",0,0,"1,462774",0,0,,"0,423882","-0,139272","0,070171","-0,647954","6,712179","-5,971694","7,143911","-6,421622"
"0,076","-2,293173",0,0,"-1,537226",0,0,,"-0,826118","-1,139272","-0,179829","-0,147954","6,462179","-7,471694","5,893911","-6,421622"
"0,077","0,956827",0,0,"-0,037226",0,0,,"0,173882","0,360728","0,570171","-0,147954","7,212179","-6,221694","5,643911","-6,671622"
"0,078","0,206827",0,0,"0,462774",0,0,,"0,423882","1,360728","-0,429829","-1,147954","6,712179","-6,221694","6,643911","-6,671622"
"0,079","-0,293173",0,0,"-1,037226",0,0,,"-0,076118","0,610728","-0,179829","-0,647954","6,962179","-7,221694","5,893911","-6,671622"
"0,08","-0,043173",0,0,"0,212774",0,0,,"0,923882","0,360728","-0,929829","-0,397954","6,462179","-5,971694","6,643911","-6,921622"
"0,081","-1,293173",0,0,"1,962774",0,0,,"-0,326118","-0,389272","0,070171","-0,647954","6,962179","-6,471694","6,643911","-5,171622"
"0,082","-0,043173",0,0,"-0,287226",0,0,,"-0,076118","-0,889272","0,570171","0,352046","6,462179","-6,971694","6,893911","-6,671622"
"0,083","-0,043173",0,0,"0,462774",0,0,,"0,673882","-0,139272","-0,179829","-0,397954","6,712179","-5,721694","5,893911","-6,421622"
"0,084","-1,043173",0,0,"-0,287226",0,0,,"-0,576118","0,110728","-0,179829","-0,397954","6,462179","-6,721694","6,643911","-6,671622"
"0,085","-0,293173",0,0,"0,712774",0,0,,"0,673882","0,360728","-0,179829","-1,147954","6,712179","-6,221694","6,643911","-6,421622"
"0,086","-2,793173",0,0,"-0,787226",0,0,,"-0,326118","-1,139272","-0,179829","-1,147954","5,962179","-6,721694","6,893911","-6,921622"
"0,087","1,706827",0,0,"0,712774",0,0,,"-0,076118","0,110728","1,570171","0,102046","7,212179","-6,971694","6,893911","-6,421622"
"0,088","-0,543173",0,0,"-0,287226",0,0,,"-0,576118","-0,139272","0,070171","0,102046","5,712179","-6,721694","6,893911","-6,171622"
"0,089","-0,793173",0,0,"0,712774",0,0,,"0,173882","0,610728","-0,679829","-0,897954","7,212179","-6,221694","6,143911","-6,421622"
"0,09","-0,793173",0,0,"0,212774",0,0,,"0,423882","-0,389272","0,070171","-0,897954","6,462179","-6,471694","6,143911","-5,921622"
"0,091","-0,543173",0,0,"-0,037226",0,0,,"0,173882","-0,389272","0,570171","-0,897954","7,212179","-6,971694","6,143911","-6,421622"
"0,092","0,956827",0,0,"1,212774",0,0,,"1,423882","0,110728","0,070171","-0,647954","7,212179","-6,221694","6,393911","-6,171622"
"0,093","0,456827",0,0,"1,212774",0,0,,"-0,826118","0,360728","1,070171","-0,147954","6,962179","-6,471694","6,643911","-5,921622"
"0,094","-0,293173",0,0,"0,962774",0,0,,"0,173882","0,360728","0,320171","-1,147954","7,212179","-5,721694","5,393911","-5,921622"
